175
2806.81 1393.97 778.784,   1 6 171,              stand,  0.0 0.0 0.0,                ,
868.664 -1045.52 898.125,  37 41,                stand,  0.0 0.0 0.0,                ,
661.4 -1011.15 898.125,    40 42 43,             stand,  0.0 0.0 0.0,                ,
784.747 -963.454 898.125,  41,                   stand,  0.0 0.0 0.0,                ,
560.917 -1000.9 875.415,   41 66 159,            stand,  0.0 0.0 0.0,                ,
1423.34 -978.953 873.861,  39 45,                stand,  0.0 0.0 0.0,                ,
1431.87 -836.019 877.087,  39 44 46 47,          stand,  0.0 0.0 0.0,                ,
1361.07 -586.957 863.941,  45 51 52 53 168,      stand,  0.0 0.0 0.0,                ,
1946.99 -783.19 880.125,   45 48,                stand,  0.0 0.0 0.0,                ,
2062.7 -639.934 858.532,   47 49 50 157,         stand,  0.0 0.0 0.0,                ,
2059.81 -773.75 867.382,   48,                   stand,  0.0 0.0 0.0,                ,
1980.85 -314.828 857.659,  48 51 156,            stand,  0.0 0.0 0.0,                ,
1548.81 -437.515 862.535,  46 50 52,             stand,  0.0 0.0 0.0,                ,
1427.37 -203.093 864.816,  46 51 168,            stand,  0.0 0.0 0.0,                ,
1101.83 -578.259 863.671,  34 35 46 54 168,      stand,  0.0 0.0 0.0,                ,
928.293 -574.513 864.557,  34 35 53 64 67,       stand,  0.0 0.0 0.0,                ,
568.228 -87.9546 763.467,  174,                  stand,  0.0 0.0 0.0,                ,
992.288 461.09 687.277,    57,                   stand,  0.0 0.0 0.0,                ,
870.399 461.472 693.97,    56 58 61,             stand,  0.0 0.0 0.0,                ,
1000.88 706.033 644.568,   57 59,                stand,  0.0 0.0 0.0,                ,
1167.78 868.888 648.788,   58 60,                stand,  0.0 0.0 0.0,                ,
1588.53 1010.17 614.242,   59 87 88,             stand,  0.0 0.0 0.0,                ,
710.162 137.339 768.355,   57 62,                stand,  0.0 0.0 0.0,                ,
690.716 -361.664 858.739,  61 63 64 65,          stand,  0.0 0.0 0.0,                ,
534.029 -349.944 855.519,  62 65 167 174,        stand,  0.0 0.0 0.0,                ,
733.709 -480.599 868.282,  34 54 62 65 67,       stand,  0.0 0.0 0.0,                ,
503.626 -514.632 865.492,  62 63 64 66 159 167,  stand,  0.0 0.0 0.0,                ,
567.606 -730.591 865.318,  43 65 67 159,         stand,  0.0 0.0 0.0,                ,
839.256 -679.979 875.119,  35 54 64 66,          stand,  0.0 0.0 0.0,                ,
199.612 -453.775 839.786,  69 70 167,            stand,  0.0 0.0 0.0,                ,
84.4314 -147.911 767.075,  68 70 71,             stand,  0.0 0.0 0.0,                ,
-76.7528 -502.196 829.22,  68 69 159,            stand,  0.0 0.0 0.0,                ,
12.7199 171.282 672.555,   69 72,                stand,  0.0 0.0 0.0,                ,
-143.298 582.505 540.764,  71 73,                stand,  0.0 0.0 0.0,                ,
-135.014 791.842 455.853,  72 74 81,             stand,  0.0 0.0 0.0,                ,
49.6165 1144.98 360.87,    73 75 82,             stand,  0.0 0.0 0.0,                ,
82.0007 1342.66 381.787,   74 76 77,             stand,  0.0 0.0 0.0,                ,
-122.32 1736.07 468.934,   75 77 155,            stand,  0.0 0.0 0.0,                ,
157.988 1772.25 448.92,    75 76 78,             stand,  0.0 0.0 0.0,                ,
633.274 1784.09 454.829,   77 79 93,             stand,  0.0 0.0 0.0,                ,
606.742 1913.18 495.114,   78,                   stand,  0.0 0.0 0.0,                ,
602.438 1007.36 405.767,   81 82 83,             stand,  0.0 0.0 0.0,                ,
577.356 814.081 463.676,   73 80 83 84,          stand,  0.0 0.0 0.0,                ,
352.499 1072.74 380.168,   74 80,                stand,  0.0 0.0 0.0,                ,
967.308 1075.52 474.751,   80 81 85,             stand,  0.0 0.0 0.0,                ,
572.481 597.413 516.441,   81,                   stand,  0.0 0.0 0.0,                ,
1190.2 1122.63 551.067,    83 86,                stand,  0.0 0.0 0.0,                ,
1543.99 1222.39 519.144,   85 87 91 96,          stand,  0.0 0.0 0.0,                ,
1562.75 1127.72 578.38,    60 86,                stand,  0.0 0.0 0.0,                ,
1889.98 1051.9 632.451,    60 89 90,             stand,  0.0 0.0 0.0,                ,
1849.55 933.301 641.808,   88,                   stand,  0.0 0.0 0.0,                ,
2153.42 1059.57 683.522,   88 100,               stand,  0.0 0.0 0.0,                ,
1389.31 1512.05 396.351,   86 92,                stand,  0.0 0.0 0.0,                ,
1310.73 1728.31 487.233,   91 93 94 164,         stand,  0.0 0.0 0.0,                ,
881.929 1696.9 441.275,    78 92,                stand,  0.0 0.0 0.0,                ,
1564.18 1847.7 524.771,    92 95 164,            stand,  0.0 0.0 0.0,                ,
1822.96 2069.1 555.272,    94 101 102,           stand,  0.0 0.0 0.0,                ,
2044.87 1317.92 544.824,   86 97,                stand,  0.0 0.0 0.0,                ,
2322.87 1685.59 522.793,   96 98 101,            stand,  0.0 0.0 0.0,                ,
2490.62 1513.04 572.557,   97 99 170,            stand,  0.0 0.0 0.0,                ,
2501.93 1235.21 620.316,   9 98 100 170,         stand,  0.0 0.0 0.0,                ,
2374.84 1090.53 658.815,   9 90 99,              stand,  0.0 0.0 0.0,                ,
2108.3 1941.08 521.196,    95 97,                stand,  0.0 0.0 0.0,                ,
1686.59 2159.24 600.59,    95 103 104,           stand,  0.0 0.0 0.0,                ,
1538.53 2171.44 616.053,   102 104 163,          stand,  0.0 0.0 0.0,                ,
1605.04 2303.2 644.491,    102 103 160 161 172,  stand,  0.0 0.0 0.0,                ,
1432.46 2646.4 736.512,    144 160,              stand,  0.0 0.0 0.0,                ,
1209.86 1978.09 625.667,   107 163,              stand,  0.0 0.0 0.0,                ,
934.744 2101.15 708.007,   106 108,              stand,  0.0 0.0 0.0,                ,
743.867 2341.12 803.678,   107 109,              stand,  0.0 0.0 0.0,                ,
620.234 2730.99 871.237,   108 112 136,          stand,  0.0 0.0 0.0,                ,
550.619 2307.57 760.125,   111,                  stand,  0.0 0.0 0.0,                ,
550.688 2436.75 760.125,   110 112,              stand,  0.0 0.0 0.0,                ,
551.832 2721.84 867.116,   109 111 113 136 152,  stand,  0.0 0.0 0.0,                ,
354.652 2733.02 848.125,   112 114 152,          stand,  0.0 0.0 0.0,                ,
211.613 2586.94 830.882,   113 115 117,          stand,  0.0 0.0 0.0,                ,
105.338 2629.84 834.815,   114 116 117,          stand,  0.0 0.0 0.0,                ,
98.0958 2710.51 864.125,   115 118 119,          stand,  0.0 0.0 0.0,                ,
-108.167 2515.56 814.775,  114 115 153,          stand,  0.0 0.0 0.0,                ,
-99.5305 2940.55 864.125,  116 119 120,          stand,  0.0 0.0 0.0,                ,
-156.643 2840.21 864.125,  116 118,              stand,  0.0 0.0 0.0,                ,
-105.922 3049.55 864.125,  118 121,              stand,  0.0 0.0 0.0,                ,
-27.9432 3251.76 864.125,  120 122,              stand,  0.0 0.0 0.0,                ,
-26.3371 3373.87 862.99,   121 123 124,          stand,  0.0 0.0 0.0,                ,
-116.418 3479.01 864.125,  122,                  stand,  0.0 0.0 0.0,                ,
187.104 3372.95 860.344,   122 150 151,          stand,  0.0 0.0 0.0,                ,
413.369 3558.96 853.96,    126 127 150 151,      stand,  0.0 0.0 0.0,                ,
490.411 3849.83 856.658,   125,                  stand,  0.0 0.0 0.0,                ,
559.578 3525.11 861.873,   125 128 129 132 151,  stand,  0.0 0.0 0.0,                ,
599.368 3637.08 879.125,   127 133 134,          stand,  0.0 0.0 0.0,                ,
576.037 3284.77 860.77,    127 130 150 151,      stand,  0.0 0.0 0.0,                ,
767.018 3290.09 857.431,   129 131,              stand,  0.0 0.0 0.0,                ,
941.734 3373.23 855.753,   130 132 142,          stand,  0.0 0.0 0.0,                ,
804.503 3472.18 859.296,   127 131,              stand,  0.0 0.0 0.0,                ,
1046.76 3650.6 879.125,    128 134 135,          stand,  0.0 0.0 0.0,                ,
926.049 3714.99 879.125,   128 133,              stand,  0.0 0.0 0.0,                ,
1135.06 3623.71 861.556,   133 142 143,          stand,  0.0 0.0 0.0,                ,
612.803 2862.97 897.779,   109 112 137,          stand,  0.0 0.0 0.0,                ,
618.962 3063.56 896.425,   136 138,              stand,  0.0 0.0 0.0,                ,
828.158 3052.62 896.425,   137 139,              stand,  0.0 0.0 0.0,                ,
948.609 2942.34 896.425,   138 140 141,          stand,  0.0 0.0 0.0,                ,
846.689 2950.59 896.425,   139,                  stand,  0.0 0.0 0.0,                ,
1080.21 2948.95 853.892,   139 144,              stand,  0.0 0.0 0.0,                ,
1212.27 3281.34 855.291,   131 135 143 145,      stand,  0.0 0.0 0.0,                ,
1344.6 3433.16 864.125,    135 142 145,          stand,  0.0 0.0 0.0,                ,
1364.62 2966.86 808.906,   105 141 145,          stand,  0.0 0.0 0.0,                ,
1357.32 3148.88 845.801,   142 143 144 146,      stand,  0.0 0.0 0.0,                ,
1685.11 3161.56 816.109,   145 147,              stand,  0.0 0.0 0.0,                ,
1726.42 3084.97 833.125,   146 148,              stand,  0.0 0.0 0.0,                ,
1873.84 2853.26 833.125,   147 149 162,          stand,  0.0 0.0 0.0,                ,
1973.86 2765.72 816.707,   148,                  stand,  0.0 0.0 0.0,                ,
396.264 3253.36 850.424,   124 125 129 151 152,  stand,  0.0 0.0 0.0,                ,
282.778 3378.7 854.666,    124 125 127 129 150,  stand,  0.0 0.0 0.0,                ,
412.826 2932.27 848.125,   112 113 150,          stand,  0.0 0.0 0.0,                ,
-203.798 2331.55 735.501,  117 154,              stand,  0.0 0.0 0.0,                ,
-97.5798 2096.08 608.67,   153 155,              stand,  0.0 0.0 0.0,                ,
-162.1 1880.43 529.135,    76 154,               stand,  0.0 0.0 0.0,                ,
2356.86 -150.474 850.104,  14 50 157 158,        stand,  0.0 0.0 0.0,                ,
2478.96 -485.216 858.623,  48 156,               stand,  0.0 0.0 0.0,                ,
2589.14 -87.8809 849.095,  13 156,               stand,  0.0 0.0 0.0,                ,
167.821 -791.514 847.977,  43 65 66 70,          stand,  0.0 0.0 0.0,                ,
1518.27 2478.83 691.383,   104 105 161 172,      stand,  0.0 0.0 0.0,                ,
1756.56 2450.63 682.895,   104 160 172,          stand,  0.0 0.0 0.0,                ,
1900.59 2781.51 817.794,   148 173,              stand,  0.0 0.0 0.0,                ,
1320.42 2028.31 600.412,   103 106 166,          stand,  0.0 0.0 0.0,                ,
1387.02 1795.65 517.357,   92 94 165,            climb,  -3.54309 107.468 0.0,       ,
1376.32 1833.78 581.823,   164 166,              climb,  -3.87268 107.687 0.0,       ,
1341.04 1937.99 609.742,   163 165,              stand,  0.0 0.0 0.0,                ,
340.674 -434.332 859.983,  63 65 68,             stand,  0.0 0.0 0.0,                ,
1278.23 -137.125 878.525,  46 52 53 169,         climb,  1.10413 86.3855 0.0,        ,
1279.65 -115.549 978.125,  29 168,               climb,  -1.49963 83.3533 0.812988,  ,
2629.69 1390.28 629.182,   98 99 171,            climb,  1.87866 -0.557251 0.0,      ,
2658.16 1389.75 793.125,   0 170,                climb,  2.68616 0.953369 0.0,       ,
1712.32 2505.93 692.063,   104 160 161 173,      climb,  -9.11316 71.958 0.236206,   ,
1716.42 2521.12 826.125,   162 172,              climb,  -6.70715 72.4963 0.466919,  ,
568.447 -211.9 803.456,    55 63,                stand,  0.0 0.0 0.0,                ,
