167
-10936.2 -15605.8 74.125,   138,                      stand,  ,                       ,
-9833.0 -19313.7 42.8664,   17 18 37 39 41 43,        stand,  ,                       ,
-9832.14 -18686.9 42.9328,  40 42 43 67,              stand,  ,                       ,
-10162.8 -18813.8 24.0818,  41 43 44,                 stand,  ,                       ,
-9993.68 -18943.3 31.1351,  36 40 41 42,              stand,  ,                       ,
-10325.9 -18850.2 74.125,   42 45,                    stand,  ,                       ,
-10468.8 -18551.1 74.261,   11 12 44 46 47,           stand,  ,                       ,
-10653.0 -18608.7 72.125,   45 49,                    stand,  ,                       ,
-10033.3 -18378.0 74.125,   45 48,                    stand,  ,                       ,
-9640.43 -18244.0 68.125,   47 67 70,                 stand,  ,                       ,
-10792.2 -18190.8 70.125,   46 50,                    stand,  ,                       ,
-10796.9 -17693.4 112.125,  49 51,                    stand,  ,                       ,
-10856.9 -17417.1 110.125,  50 52 53 154,             stand,  ,                       ,
-11300.9 -17425.9 106.483,  51 157,                   stand,  ,                       ,
-10546.6 -17332.8 110.884,  51 54,                    stand,  ,                       ,
-10161.5 -17032.4 144.125,  53 55 56,                 stand,  ,                       ,
-10153.5 -16630.9 144.125,  54 62,                    stand,  ,                       ,
-9820.74 -17127.8 144.125,  7 54 57 58 59,            stand,  ,                       ,
-9589.55 -17075.9 144.125,  56 58 61,                 stand,  ,                       ,
-9639.27 -17231.5 146.125,  56 57 88 89,              stand,  ,                       ,
-9877.51 -16792.1 144.125,  56 60,                    stand,  ,                       ,
-9676.28 -16484.7 144.125,  59 61 62 63 64,           stand,  ,                       ,
-9461.65 -16745.0 144.125,  57 60,                    stand,  ,                       ,
-9908.1 -16440.2 144.125,   55 60 63 64,              stand,  ,                       ,
-9893.87 -16292.9 148.125,  60 62 64 66,              stand,  ,                       ,
-9793.53 -16279.9 148.125,  60 62 63 65,              stand,  ,                       ,
-9591.99 -16260.4 116.248,  14 64 103 104 105 106,    stand,  ,                       ,
-10044.6 -16276.5 114.125,  63 114,                   stand,  ,                       ,
-9583.02 -18506.0 64.0434,  5 19 41 48 68,            stand,  ,                       ,
-9242.65 -18263.6 73.3049,  5 67 69,                  stand,  ,                       ,
-9263.62 -18149.9 74.125,   68 70 78,                 stand,  ,                       ,
-9551.3 -18191.0 33.4932,   48 69 71,                 stand,  ,                       ,
-9466.9 -17981.6 29.5345,   70 72 73,                 stand,  ,                       ,
-9277.31 -17911.8 32.6695,  71 73 77,                 stand,  ,                       ,
-9498.65 -17807.5 28.2925,  71 72 74 76,              stand,  ,                       ,
-9447.59 -17636.0 68.7541,  73 75 84,                 stand,  ,                       ,
-9510.58 -17499.6 63.6481,  74 85 92,                 stand,  ,                       ,
-9694.86 -17780.8 26.627,   73 92,                    stand,  ,                       ,
-9081.42 -17861.2 73.3373,  72 78 81 84,              stand,  ,                       ,
-9025.87 -18104.7 74.125,   69 77 79,                 stand,  ,                       ,
-8736.81 -17956.4 106.803,  78 80,                    stand,  ,                       ,
-8668.71 -17811.0 86.8782,  79 81 82,                 stand,  ,                       ,
-8895.46 -17835.8 49.2841,  77 80,                    stand,  ,                       ,
-8320.5 -17731.3 132.996,   80 83,                    stand,  ,                       ,
-8096.04 -17247.0 174.215,  82 93,                    stand,  ,                       ,
-9123.61 -17617.1 93.8921,  74 77 85,                 stand,  ,                       ,
-9206.66 -17352.1 102.321,  75 84 86 87,              stand,  ,                       ,
-9078.31 -17125.2 117.674,  6 85 87 104,              stand,  ,                       ,
-9395.66 -17209.1 85.7214,  85 86 88,                 stand,  ,                       ,
-9525.38 -17274.7 146.125,  58 87 89,                 stand,  ,                       ,
-9661.52 -17344.6 146.125,  58 88 90,                 stand,  ,                       ,
-9912.05 -17443.2 30.0975,  89 91 92,                 stand,  ,                       ,
-10089.7 -17014.9 22.9914,  90 148 150,               stand,  ,                       ,
-9828.2 -17565.8 42.9397,   75 76 90,                 stand,  ,                       ,
-7937.39 -17110.3 178.48,   83 94 95,                 stand,  ,                       ,
-7932.52 -16942.6 214.552,  93 95 100,                stand,  ,                       ,
-7658.65 -16946.4 184.79,   20 93 94 96,              stand,  ,                       ,
-7403.87 -16711.4 232.898,  21 95 97,                 stand,  ,                       ,
-7611.45 -16382.7 258.125,  22 23 24 96 101,          stand,  ,                       ,
-8154.43 -16167.3 229.545,  99 100 101 102,           stand,  ,                       ,
-8257.13 -16433.7 241.291,  25 98 100 101 108,        stand,  ,                       ,
-8067.2 -16652.2 250.332,   25 94 98 99 101,          stand,  ,                       ,
-7987.14 -16419.4 245.12,   97 98 99 100,             stand,  ,                       ,
-8251.47 -15668.9 181.7,    26 98 109,                stand,  ,                       ,
-9128.03 -16393.6 110.125,  65 104 105 107,           stand,  ,                       ,
-9092.93 -16775.7 111.794,  6 65 86 103,              stand,  ,                       ,
-9180.93 -16144.1 109.873,  2 65 103 106 107,         stand,  ,                       ,
-9256.52 -15897.9 116.41,   65 105 109 110,           stand,  ,                       ,
-8889.01 -16416.8 113.974,  103 105 108,              stand,  ,                       ,
-8584.03 -16431.1 164.124,  99 107,                   stand,  ,                       ,
-9003.08 -15545.9 100.59,   102 106 110,              stand,  ,                       ,
-9612.43 -15533.7 84.1317,  106 109 111,              stand,  ,                       ,
-10019.4 -15498.9 66.0451,  110 112 116 141,          stand,  ,                       ,
-10009.9 -15735.8 79.125,   111 113 114,              stand,  ,                       ,
-10269.4 -15870.0 79.125,   112 114 115,              stand,  ,                       ,
-10044.6 -16132.1 81.6035,  66 112 113,               stand,  ,                       ,
-10451.8 -15992.1 33.5804,  113 147,                  stand,  ,                       ,
-10065.3 -15238.9 63.2115,  111 118 141 142,          stand,  ,                       ,
-10244.1 -14444.9 74.8644,  118 119 143,              stand,  ,                       ,
-9929.6 -14789.7 78.6156,   3 116 117,                stand,  ,                       ,
-10361.1 -14191.2 72.5858,  117 120,                  stand,  ,                       ,
-10475.4 -14186.3 95.125,   119 121,                  stand,  ,                       ,
-10689.8 -14187.3 95.125,   120 122,                  stand,  ,                       ,
-10707.0 -13940.7 95.125,   121 123,                  stand,  ,                       ,
-10923.6 -13950.7 95.125,   122 124 125,              stand,  ,                       ,
-10893.5 -14268.3 95.125,   123 125 126,              stand,  ,                       ,
-11141.5 -13925.5 95.125,   27 123 124 127,           stand,  ,                       ,
-10900.1 -14454.3 93.125,   124 144,                  stand,  ,                       ,
-11258.9 -13940.4 95.125,   125 128,                  stand,  ,                       ,
-11279.6 -14163.9 30.2504,  29 127 129,               stand,  ,                       ,
-11335.8 -14533.0 19.1637,  128 130 144,              stand,  ,                       ,
-11118.3 -14859.5 17.5177,  129 131 142 144,          stand,  ,                       ,
-11362.6 -14994.4 28.125,   10 130 132,               stand,  ,                       ,
-11573.7 -15294.9 57.0191,  131 166,                  stand,  ,                       ,
-11402.5 -15729.9 70.125,   134 135 165,              stand,  ,                       ,
-11476.6 -16204.1 30.6209,  133 156,                  stand,  ,                       ,
-10994.1 -15857.0 72.125,   133 136 145,              stand,  ,                       ,
-10612.0 -15621.8 74.125,   135 137 138,              stand,  ,                       ,
-10470.4 -15537.0 74.125,   136 141,                  stand,  ,                       ,
-10747.5 -15430.1 74.125,   0 136 139,                stand,  ,                       ,
-10776.0 -15317.9 74.125,   138 140,                  stand,  ,                       ,
-10634.9 -15215.1 30.2067,  139 141 142,              stand,  ,                       ,
-10270.8 -15460.4 47.4599,  111 116 137 140 142,      stand,  ,                       ,
-10700.8 -14937.2 28.1108,  116 130 140 141 143 144,  stand,  ,                       ,
-10419.4 -14657.4 61.9911,  117 142 144,              stand,  ,                       ,
-10915.5 -14713.7 30.0063,  126 129 130 142 143,      stand,  ,                       ,
-10849.4 -16100.3 76.1831,  135 146,                  stand,  ,                       ,
-10641.7 -16466.0 27.6534,  145 147 149,              stand,  ,                       ,
-10527.2 -16264.4 12.8204,  115 146 148,              stand,  ,                       ,
-10136.4 -16628.9 51.8769,  91 147 149,               stand,  ,                       ,
-10683.5 -16774.1 18.7743,  146 148 150 151,          stand,  ,                       ,
-10252.6 -17047.1 17.1683,  91 149,                   stand,  ,                       ,
-10932.1 -16679.7 21.0979,  149 152 153,              stand,  ,                       ,
-11038.0 -16862.4 28.125,   151 153 154,              stand,  ,                       ,
-11251.4 -16649.6 25.7674,  151 152 155 156,          stand,  ,                       ,
-10909.8 -17239.8 84.8825,  51 152,                   stand,  ,                       ,
-11655.5 -16771.0 27.967,   4 153 156,                stand,  ,                       ,
-11495.0 -16431.0 28.125,   134 153 155,              stand,  ,                       ,
-11535.2 -17385.8 90.0174,  8 52 163,                 stand,  ,                       ,
-11565.8 -17802.4 222.125,  159,                      stand,  ,                       ,
-11646.9 -17779.2 222.125,  158 160 161,              stand,  ,                       ,
-11791.9 -17747.4 222.125,  159 162,                  stand,  ,                       ,
-11584.4 -17551.9 222.125,  159 162 164,              stand,  ,                       ,
-11728.7 -17511.5 222.125,  160 161,                  stand,  ,                       ,
-11559.3 -17456.0 88.7564,  157 164,                  climb,  3.18604 -104.944 0.0,   ,
-11564.1 -17474.8 222.125,  161 163,                  climb,  -1.00525 -104.944 0.0,  ,
-11620.7 -15708.3 72.125,   133 166,                  stand,  ,                       ,
-11650.2 -15503.8 74.3256,  132 165,                  stand,  ,                       ,
