192
1598.0 1358.0 -228.0,       1 79 179,               stand,     ,                       ,
974.0 1441.0 -23.0,         28 30,                  stand,     ,                       ,
953.0 1076.0 -19.0,         29 31,                  stand,     ,                       ,
890.0 1074.0 -3.0,          30 32 36 132,           stand,     ,                       ,
684.0 1063.0 18.0,          31 124 148,             stand,     ,                       ,
557.0 786.0 74.0,           34 35 145,              stand,     ,                       ,
509.0 782.0 113.0,          33 38 159,              stand,     ,                       ,
641.0 780.0 19.0,           33 36 122,              stand,     ,                       ,
895.0 765.0 10.0,           31 35 37,               stand,     ,                       ,
1130.0 765.0 -2.0,          36 123 136,             stand,     ,                       ,
508.0 467.0 -55.0,          34 39,                  stand,     ,                       ,
501.0 103.0 -236.0,         12 38 40 41,            stand,     ,                       ,
837.0 108.0 -245.0,         8 9 39 109 113 114,     stand,     ,                       ,
329.0 80.0 -239.0,          13 14 39 48 49 134,     stand,     ,                       ,
127.0 46.0 -238.0,          13 14 43 45 48,         stand,     ,                       ,
-90.0 43.0 -244.0,          42 44,                  stand,     ,                       ,
-182.0 130.0 -213.0,        43 45 175,              stand,     ,                       ,
-177.0 264.0 -228.0,        17 42 44 46,            stand,     ,                       ,
-158.0 398.0 -233.0,        45 47 48 115,           stand,     ,                       ,
-171.0 677.0 -243.0,        18 46 98 99 100 115,    stand,     ,                       ,
139.0 206.0 -245.0,         41 42 46 49 115,        stand,     ,                       ,
397.0 221.0 -239.0,         41 48 52,               stand,     ,                       ,
208.0 696.0 -239.0,         51 54 99 154,           stand,     ,                       ,
217.0 484.0 -237.0,         50 52,                  stand,     ,                       ,
421.0 483.0 -239.0,         49 51 53 114 155,       stand,     ,                       ,
438.0 599.0 -238.0,         52 54,                  stand,     ,                       ,
438.0 699.0 -239.0,         50 53 55 59,            stand,     ,                       ,
445.0 728.0 -237.0,         54 56,                  crouch,    ,                       ,
443.0 828.0 -197.0,         55 57,                  crouch,    ,                       ,
569.0 835.0 -196.0,         56 58,                  crouch,    ,                       ,
614.0 837.0 -204.0,         57 104,                 stand,     ,                       ,
722.0 689.0 -235.0,         54 60,                  stand,     ,                       ,
776.0 689.0 -233.0,         59 61,                  crouch,    ,                       ,
870.0 689.0 -234.0,         60 62 63 68,            crouch,    ,                       ,
862.0 494.0 -238.0,         61 185 186,             crouch,    ,                       ,
848.0 858.0 -235.0,         61 64 128 187,          crouch,    ,                       ,
849.0 968.0 -234.0,         63 65 66,               crouch,    ,                       ,
921.0 986.0 -225.0,         64 73,                  stand,     ,                       ,
833.0 1053.0 -231.0,        64 75,                  stand,     ,                       ,
1000.0 650.0 -234.0,        68 110 135 185,         stand,     ,                       ,
938.0 664.0 -231.0,         61 67,                  crouch,    ,                       ,
1302.0 640.0 -226.0,        110 111 188 191,        stand,     ,                       ,
1260.0 875.0 -234.0,        71 72 73 163 189 190,   stand,     ,                       ,
1014.0 854.0 -236.0,        70 72 73,               stand,     ,                       ,
1280.0 1117.0 -221.0,       2 70 71 73,             stand,     ,                       ,
1074.0 1116.0 -237.0,       65 70 71 72 74 163,     stand,     ,                       ,
1059.0 1205.0 -236.0,       73 75 76 139,           stand,     ,                       ,
840.0 1194.0 -233.0,        66 74 84 106,           stand,     ,                       ,
1069.0 1530.0 -235.0,       74 77 84,               stand,     ,                       ,
1242.0 1545.0 -219.0,       76 78 79,               stand,     ,                       ,
1247.0 1483.0 -235.0,       77 79 169,              stand,     ,                       ,
1503.0 1491.0 -236.0,       0 2 77 78 143 178 179,  stand,     ,                       ,
1219.0 1624.0 -144.0,       28 178,                 stand,     ,                       ,
1570.0 1781.0 -228.0,       83 143 178 179 180,     stand,     ,                       ,
872.0 1769.0 -234.0,        83 84 87,               stand,     ,                       ,
1221.0 1777.0 -224.0,       81 82 178 179,          stand,     ,                       ,
859.0 1545.0 -245.0,        75 76 82 85,            stand,     ,                       ,
605.0 1540.0 -241.0,        84 86 88 107 108,       stand,     ,                       ,
610.0 1781.0 -224.0,        85 88 89,               stand,     ,                       ,
755.0 1792.0 -222.0,        82 88,                  stand,     ,                       ,
676.0 1699.0 -235.0,        85 86 87,               stand,     ,                       ,
204.0 1773.0 -225.0,        86 91 95,               stand,     ,                       ,
-416.0 1766.0 -238.0,       20 91 131,              stand,     ,                       ,
-143.0 1769.0 -239.0,       89 90,                  stand,     ,                       ,
-221.0 1331.0 -234.0,       93 152,                 stand,     ,                       ,
-145.0 1218.0 -228.0,       19 92 94 101,           stand,     ,                       ,
180.0 1234.0 -226.0,        93 95 96 98,            stand,     ,                       ,
193.0 1552.0 -224.0,        89 94 108 133,          stand,     ,                       ,
263.0 1201.0 -230.0,        94 97 102 137,          stand,     ,                       ,
298.0 955.0 -240.0,         96 98,                  stand,     ,                       ,
40.0 958.0 -244.0,          47 94 97 99 100 101,    stand,     ,                       ,
48.0 686.0 -245.0,          47 50 98 100 115,       stand,     ,                       ,
-223.0 926.0 -237.0,        47 98 99 101,           stand,     ,                       ,
-209.0 1103.0 -236.0,       19 93 98 100,           stand,     ,                       ,
439.0 1203.0 -236.0,        96 103 107 108,         stand,     ,                       ,
454.0 1036.0 -222.0,        102 104 119,            stand,     ,                       ,
599.0 1036.0 -202.0,        58 103 105 141,         stand,     ,                       ,
719.0 1026.0 -202.0,        104 106,                stand,     ,                       ,
712.0 1204.0 -172.0,        75 105 107,             stand,     ,                       ,
605.0 1204.0 -230.0,        85 102 106,             stand,     ,                       ,
423.0 1543.0 -234.0,        85 95 102,              stand,     ,                       ,
1044.0 117.0 -241.0,        8 9 40 112,             stand,     ,                       ,
1115.0 642.0 -245.0,        67 69 184 188,          stand,     ,                       ,
1332.0 322.0 -240.0,        69 112 125 158 191,     stand,     ,                       ,
1020.0 332.0 -243.0,        109 111 113 184 185,    stand,     ,                       ,
827.0 287.0 -246.0,         40 112 114,             stand,     ,                       ,
555.0 367.0 -239.0,         40 52 113,              stand,     ,                       ,
46.0 515.0 -244.0,          46 47 48 99,            stand,     ,                       ,
728.0 1100.0 266.0,         120 121 140 162 167,    stand,     ,                       ,
1772.0 1648.0 -127.0,       144,                    crouch,    3.0 -178.0 0.0,         ,
-440.0 1803.0 -47.0,        24,                     crouch,    1.0 -43.0 0.0,          ,
452.0 933.0 -223.0,         103,                    crouch,    -4.0 136.0 0.0,         ,
742.0 948.0 268.0,          116,                    crouch,    -1.0 131.0 0.0,         ,
549.0 1086.0 266.0,         116,                    crouch,    10.0 -70.0 0.0,         ,
642.0 901.0 19.0,           35,                     crouch,    4.0 -90.0 0.0,          ,
1067.0 780.0 -2.0,          37,                     crouch,    12.0 -88.0 0.0,         ,
694.0 1000.0 18.0,          32,                     crouch,    14.0 90.0 0.0,          ,
1309.0 161.0 -240.0,        111,                    crouch,    5.0 85.0 0.0,           ,
-98.0 -55.0 -217.0,         15,                     crouch,    10.0 -127.0 0.0,        ,
557.0 -48.0 -222.0,         10,                     claymore,  6.0 -86.0 0.0,          ,
910.0 790.0 -233.0,         63,                     claymore,  7.0 -179.0 0.0,         ,
1597.0 761.0 -229.0,        4,                      claymore,  7.0 -170.0 0.0,         ,
1619.0 1056.0 -224.0,       1,                      claymore,  11.0 173.0 0.0,         ,
-270.0 1702.0 -230.0,       90,                     claymore,  9.0 166.0 0.0,          ,
792.0 1055.0 7.0,           31,                     claymore,  7.0 14.0 0.0,           ,
262.0 1529.0 -236.0,        95,                     grenade,   -33.0 -92.0 0.0,        ,
308.0 180.0 -239.0,         41,                     grenade,   -34.0 90.0 0.0,         ,
967.0 672.0 -233.0,         67,                     claymore,  7.0 -177.0 0.0,         ,
1178.0 771.0 -4.0,          37,                     claymore,  19.0 -129.0 0.0,        ,
217.0 1313.0 -229.0,        96,                     grenade,   -22.0 -6.0 0.0,         ,
885.0 40.0 -240.0,          8 9,                    grenade,   -42.0 89.0 0.0,         ,
929.0 1240.0 -234.0,        74,                     grenade,   -21.0 -175.0 0.0,       ,
726.0 1025.0 268.0,         116,                    claymore,  29.0 -160.0 0.0,        ,
633.0 983.0 -198.0,         104 142,                climb,     6.0 -3.0 0.0,           ,
636.0 986.0 274.0,          141 162,                climb,     11.0 0.0 0.0,           ,
1616.0 1654.0 -225.0,       79 81 144 179 180,      climb,     4.0 0.0 0.0,            ,
1641.0 1652.0 -149.0,       117 143,                climb,     -2.0 0.0 0.0,           ,
554.0 872.0 126.0,          33 146 159,             stand,     ,                       ,
549.0 962.0 126.0,          145 147,                climb,     3.0 -88.0 0.0,          ,
555.0 987.0 19.0,           146 168,                climb,     0.0 -90.0 0.0,          ,
558.0 1064.0 18.0,          32 168,                 stand,     ,                       ,
-124.0 1520.0 -129.0,       21 23 150,              stand,     ,                       ,
-196.0 1493.0 -129.0,       149 151,                climb,     0.0 4.0 0.0,            ,
-254.0 1495.0 -234.0,       150 152,                climb,     -1.0 6.0 0.0,           ,
-278.0 1445.0 -235.0,       20 92 151,              stand,     ,                       ,
1640.0 463.0 -223.0,        4 158,                  grenade,   -35.0 -172.0 0.0,       ,
208.0 550.0 -239.0,         50,                     claymore,  11.0 94.0 0.0,          ,
502.0 561.0 -232.0,         52,                     claymore,  7.0 104.0 0.0,          ,
-266.0 -103.0 -239.0,       15 16,                  grenade,   -34.0 70.0 0.0,         ,
1508.0 895.0 -230.0,        2 3,                    stand,     ,                       ,
1636.0 279.0 -228.0,        5 111 153,              stand,     ,                       ,
502.0 896.0 148.0,          34 145 160,             stand,     ,                       ,
509.0 943.0 175.0,          159 161,                climb,     0.0 79.0 0.0,           ,
516.0 1008.0 268.0,         160 167,                climb,     -1.0 80.0 0.0,          ,
660.0 1008.0 274.0,         116 142,                stand,     ,                       ,
1354.0 979.0 -230.0,        70 73 164 190,          stand,     ,                       ,
1384.0 982.0 -232.0,        163 165,                climb,     7.0 0.0 0.0,            ,
1458.0 984.0 -132.0,        164 166,                climb,     -4.0 1.0 0.0,           ,
1486.0 991.0 -133.0,        165 181 182 183,        stand,     ,                       ,
535.0 1026.0 268.0,         116 161,                stand,     ,                       ,
556.0 1008.0 18.0,          147 148,                stand,     ,                       ,
1382.53 1493.33 -234.335,   78,                     javelin,   ,                       -20.7808 1527.84 731.487,
1640.87 -224.875 -224.569,  5,                      crouch,    4.31763 135.831 0.0,    ,
1309.33 -73.6364 -237.941,  6 172,                  claymore,  10.7544 -87.4169 0.0,   ,
1318.17 -45.5842 -238.945,  6 171,                  crouch,    3.84949 -95.5303 0.0,   ,
562.647 17.0226 -216.037,   10,                     crouch,    3.50342 -34.2375 0.0,   ,
-331.308 -49.0278 -233.09,  16,                     crouch,    2.11914 91.9734 0.0,    ,
-300.921 167.496 -235.744,  17 44,                  stand,     27.3273 -0.229355 0.0,  ,
-268.761 394.655 -242.882,  17,                     crouch,    1.60278 8.74648 0.0,    ,
62.3967 1466.16 -128.204,   21 22,                  crouch,    8.16162 -34.9297 0.0,   ,
1411.96 1628.96 -189.562,   79 80 81 83 179,        stand,     28.5358 -1.60265 0.0,   ,
1527.17 1661.57 -203.622,   0 79 81 83 143 178,     stand,     30.9528 85.4201 0.0,    ,
1637.37 1805.4 -214.478,    81 143,                 crouch,    5.74463 -133.68 0.0,    ,
1600.3 1018.02 -135.063,    166 182 183,            prone,     6.60706 95.2638 0.0,    ,
1601.29 816.382 -133.231,   166 181 183,            prone,     3.32764 -123.15 0.0,    ,
1490.43 833.024 -136.401,   166 181 182,            prone,     7.99133 -162.003 0.0,   ,
1121.93 482.659 -245.06,    110 112 185,            stand,     35.1001 172.261 0.0,    ,
971.991 486.75 -239.875,    62 67 112 184,          stand,     23.7018 93.0116 0.0,    ,
822.12 456.971 -236.589,    62,                     crouch,    3.50342 31.3673 0.0,    ,
788.325 798.664 -224.365,   63,                     crouch,    8.3374 4.43983 0.0,     ,
1241.47 681.283 -230.668,   69 110 189,             stand,     30.2179 57.6288 0.0,    ,
1244.82 806.093 -234.996,   70 188 190,             stand,     29.696 8.24524 0.0,     ,
1397.63 805.253 -234.462,   70 163 189 191,         stand,     26.2463 -61.6827 0.0,   ,
1408.58 675.907 -236.953,   3 69 111 190,           stand,     21.5826 -165.108 0.0,   ,
