212
-985.5 -540.5 -0.875,         170,                                      stand,  0.0 0.0 0.0,           ,
-3894.62 -175.752 -0.875,     126 128,                                  stand,  0.0 0.0 0.0,           ,
-3900.74 1154.57 -0.875,      127 129 132 203,                          stand,  0.0 0.0 0.0,           ,
-3689.68 1434.28 -0.875,      128 130 131,                              stand,  0.0 0.0 0.0,           ,
-3865.73 1522.18 -0.875,      129,                                      stand,  0.0 0.0 0.0,           ,
-3119.44 1380.69 -0.875,      129 132 134 135 207,                      stand,  0.0 0.0 0.0,           ,
-3698.56 1119.59 -0.875002,   128 131 133 135,                          stand,  0.0 0.0 0.0,           ,
-3574.02 673.932 -0.874999,   132 134 166 203,                          stand,  0.0 0.0 0.0,           ,
-3256.91 546.731 -0.874999,   131 133 164 204,                          stand,  0.0 0.0 0.0,           ,
-2804.4 1504.17 -0.875002,    131 132 136 168 205,                      stand,  0.0 0.0 0.0,           ,
-2003.09 1271.51 0.261128,    135 137 140 205,                          stand,  0.0 0.0 0.0,           ,
-1611.48 895.255 -0.875,      136 138 149 150 168 202 205 206,          stand,  0.0 0.0 0.0,           ,
-102.775 950.03 -0.874999,    137 139 149 150 174,                      stand,  0.0 0.0 0.0,           ,
-398.247 1212.89 -0.874999,   138 140 142,                              stand,  0.0 0.0 0.0,           ,
-1135.1 1302.66 -0.875,       136 139 141 142 149 169,                  stand,  0.0 0.0 0.0,           ,
-1614.06 1442.68 -0.874999,   140,                                      stand,  0.0 0.0 0.0,           ,
-870.238 1247.19 -0.874999,   9 139 140,                                stand,  0.0 0.0 0.0,           ,
-717.5 -205.215 -0.874999,    144 152,                                  stand,  0.0 0.0 0.0,           ,
-872.267 -195.682 61.625,     143 145,                                  stand,  0.0 0.0 0.0,           ,
-871.112 -21.4487 166.125,    144 146,                                  stand,  0.0 0.0 0.0,           ,
-1001.51 -6.94563 164.625,    145 147 153,                              stand,  0.0 0.0 0.0,           ,
-1012.1 295.079 164.625,      146 148 153,                              stand,  0.0 0.0 0.0,           ,
-981.371 646.897 -0.875,      147 149,                                  stand,  0.0 0.0 0.0,           ,
-1097.48 849.441 -0.875,      137 138 140 148 150 169 202 205,          stand,  0.0 0.0 0.0,           ,
-445.194 890.054 -0.874998,   137 138 149 151,                          stand,  0.0 0.0 0.0,           ,
-514.445 716.744 -0.875001,   150 152,                                  stand,  0.0 0.0 0.0,           ,
-623.247 695.723 -0.875001,   143 151,                                  stand,  0.0 0.0 0.0,           ,
-1049.11 -184.16 164.625,     10 146 147 154 155,                       stand,  0.0 0.0 0.0,           ,
-970.256 -367.121 164.625,    153 155 156,                              stand,  0.0 0.0 0.0,           ,
-1405.12 -490.078 164.625,    153 154 159,                              stand,  0.0 0.0 0.0,           ,
-889.503 -367.463 172.625,    154 157,                                  stand,  0.0 0.0 0.0,           ,
-804.248 -326.591 137.0,      156 158,                                  stand,  0.0 0.0 0.0,           ,
-753.102 -467.255 68.0451,    54 157,                                   stand,  0.0 0.0 0.0,           ,
-2290.43 -503.574 164.625,    155 160,                                  stand,  0.0 0.0 0.0,           ,
-3175.57 -404.897 164.625,    159 161 200,                              stand,  0.0 0.0 0.0,           ,
-3283.43 -294.352 164.625,    160 162,                                  stand,  0.0 0.0 0.0,           ,
-3610.24 -305.22 -0.874999,   161 163,                                  stand,  0.0 0.0 0.0,           ,
-3595.09 -417.447 -0.874999,  125 126 162 164,                          stand,  0.0 0.0 0.0,           ,
-2665.4 -492.213 -0.875001,   121 122 125 126 134 163 165 167 170 173,  stand,  0.0 0.0 0.0,           ,
-2597.6 -100.457 -0.875001,   164 166 167 202,                          stand,  0.0 0.0 0.0,           ,
-3427.5 18.1929 -0.875001,    133 165 202,                              stand,  0.0 0.0 0.0,           ,
-2668.72 502.258 -0.874999,   164 165 168 206 207,                      stand,  0.0 0.0 0.0,           ,
-1846.24 598.707 -0.874999,   135 137 167 201 202 205 206,              stand,  0.0 0.0 0.0,           ,
-1074.0 341.127 -0.874999,    140 149 170 172,                          stand,  0.0 0.0 0.0,           ,
-999.255 -469.757 -0.875002,  0 164 169 172 173,                        stand,  0.0 0.0 0.0,           ,
-1275.05 -223.48 -0.875,      172 173 201,                              stand,  0.0 0.0 0.0,           ,
-1047.4 -133.098 -0.875,      169 170 171,                              stand,  0.0 0.0 0.0,           ,
-1243.88 -447.938 -0.875,     164 170 171,                              stand,  0.0 0.0 0.0,           ,
91.6412 959.608 -15.2511,     31 138 175 183,                           stand,  0.0 0.0 0.0,           ,
138.974 1141.41 -3.89539,     174 176,                                  stand,  0.0 0.0 0.0,           ,
295.297 1081.2 40.125,        175 177,                                  stand,  0.0 0.0 0.0,           ,
283.803 910.906 95.625,       176 178,                                  stand,  0.0 0.0 0.0,           ,
519.019 919.706 95.625,       177 179,                                  stand,  0.0 0.0 0.0,           ,
706.306 993.842 95.625,       5 8 178 180,                              stand,  0.0 0.0 0.0,           ,
807.67 886.594 95.625,        8 179 181,                                stand,  0.0 0.0 0.0,           ,
804.557 757.39 95.625,        180 182,                                  stand,  0.0 0.0 0.0,           ,
804.632 499.765 -21.375,      25 181 183 186 195,                       stand,  0.0 0.0 0.0,           ,
284.275 139.492 -8.4122,      25 31 174 182 195,                        stand,  0.0 0.0 0.0,           ,
825.404 -417.964 88.125,      14 185 187,                               stand,  0.0 0.0 0.0,           ,
804.741 -121.201 -20.875,     29 184 186,                               stand,  0.0 0.0 0.0,           ,
673.569 3.58069 -20.875,      25 29 182 185 195,                        stand,  0.0 0.0 0.0,           ,
732.994 -1129.1 88.125,       15 184 188 189 191,                       stand,  0.0 0.0 0.0,           ,
489.687 -1209.65 88.125,      33 187,                                   stand,  0.0 0.0 0.0,           ,
666.301 -1485.71 88.125,      187 190 191 208,                          stand,  0.0 0.0 0.0,           ,
252.391 -1512.49 88.125,      189,                                      stand,  0.0 0.0 0.0,           ,
810.979 -1362.43 88.125,      187 189 192,                              stand,  0.0 0.0 0.0,           ,
914.905 -1372.25 88.125,      191 193,                                  stand,  0.0 0.0 0.0,           ,
918.14 -1216.68 88.125,       192 194,                                  stand,  0.0 0.0 0.0,           ,
904.387 -974.598 -17.2798,    19 21 22 193,                             stand,  0.0 0.0 0.0,           ,
1160.09 418.013 1.36348,      23 24 25 182 183 186,                     stand,  0.0 0.0 0.0,           ,
-2167.74 -644.393 -1.375,     197,                                      stand,  0.0 0.0 0.0,           ,
-2169.07 -696.875 0.125,      196 198,                                  stand,  0.0 0.0 0.0,           ,
-2360.54 -689.622 0.125,      197 199,                                  stand,  0.0 0.0 0.0,           ,
-2494.66 -633.625 -1.375,     121 122 198,                              stand,  0.0 0.0 0.0,           ,
-3518.18 -505.843 164.625,    11 160,                                   stand,  0.0 0.0 0.0,           ,
-1483.06 -305.094 -0.875001,  168 171 202,                              stand,  0.0 0.0 0.0,           ,
-2021.3 -125.299 -0.874998,   137 149 165 166 168 201 206,              stand,  0.0 0.0 0.0,           ,
-3818.61 637.995 -0.875002,   128 133 204,                              stand,  0.0 0.0 0.0,           ,
-3710.15 307.911 -0.874999,   134 203,                                  stand,  0.0 0.0 0.0,           ,
-2202.17 1031.18 -0.874999,   135 136 137 149 168,                      stand,  0.0 0.0 0.0,           ,
-2142.5 313.112 -0.874999,    137 167 168 202,                          stand,  0.0 0.0 0.0,           ,
-2824.39 846.488 -0.875,      131 167,                                  stand,  0.0 0.0 0.0,           ,
709.669 -1589.46 94.9111,     189 211,                                  stand,  0.0 0.0 0.0,           ,
688.367 -1782.04 -69.2244,    41 42 119 210,                            stand,  0.0 0.0 0.0,           ,
712.723 -1695.32 -66.9498,    209 211,                                  climb,  19.3677 90.6921 0.0,   ,
711.451 -1637.88 101.841,     208 210,                                  climb,  19.3732 90.379 0.0,    ,
