387
1896.29 1372.49 -63.875,     1 109 238 260 261 262 384,       stand,   0.0 0.0 0.0,             ,
539.41 -2227.1 -57.875,      72 74 134,                       stand,   0.0 0.0 0.0,             ,
693.936 -2017.14 -59.5458,   65 73 75 135 137 334,            stand,   0.0 0.0 0.0,             ,
1014.23 -2134.61 -59.5283,   63 74 328 330 331,               stand,   0.0 0.0 0.0,             ,
746.349 -1365.62 -62.8987,   139 142 143 144 145 146 381,     stand,   0.0 0.0 0.0,             ,
400.018 -1078.31 -57.875,    139 140 141 164,                 stand,   0.0 0.0 0.0,             ,
119.528 -1424.9 -57.8354,    79 165,                          stand,   0.0 0.0 0.0,             ,
318.895 -1564.23 -55.875,    71 78 136 138 170 379,           stand,   0.0 0.0 0.0,             ,
-173.908 -1094.7 -63.875,    81 167 172 173,                  stand,   0.0 0.0 0.0,             ,
-397.647 -1381.58 -63.875,   80 82 185 186,                   stand,   0.0 0.0 0.0,             ,
-717.826 -1172.05 -63.875,   81 86 180 185 186,               stand,   0.0 0.0 0.0,             ,
-106.316 -413.158 -63.875,   84 93 175 176 177,               stand,   0.0 0.0 0.0,             ,
171.667 -667.76 -63.875,     83 172,                          stand,   0.0 0.0 0.0,             ,
-782.047 -637.027 -63.875,   179 188 189,                     stand,   0.0 0.0 0.0,             ,
-1039.95 -990.766 -63.875,   82 87 188,                       stand,   0.0 0.0 0.0,             ,
-1182.04 -859.729 -63.875,   86 88 187,                       stand,   0.0 0.0 0.0,             ,
-843.247 -427.621 -63.875,   87 199,                          stand,   0.0 0.0 0.0,             ,
-533.541 -40.4135 -62.9204,  93 199 200,                      stand,   0.0 0.0 0.0,             ,
-769.326 123.57 -61.5092,    198 200 203,                     stand,   0.0 0.0 0.0,             ,
-549.532 368.162 -67.875,    97 98 191 193 194 195 196 203,   stand,   0.0 0.0 0.0,             ,
-213.36 110.961 -67.8813,    94 96 190 191 192 194 204,       stand,   0.0 0.0 0.0,             ,
-427.537 -185.917 -63.875,   83 89 189 204,                   stand,   0.0 0.0 0.0,             ,
251.611 -256.407 -62.875,    92 95 205,                       stand,   0.0 0.0 0.0,             ,
402.389 -54.0425 -62.875,    94 96 104 374,                   stand,   0.0 0.0 0.0,             ,
-16.9708 309.764 -67.875,    92 95 103 192 197 373,           stand,   0.0 0.0 0.0,             ,
-180.902 714.0 -63.875,      91 101 102 103 193 197 210 211,  stand,   0.0 0.0 0.0,             ,
-831.028 871.364 -63.875,    91 99 193 207,                   stand,   0.0 0.0 0.0,             ,
-737.272 1265.61 -63.875,    98 100 208 217,                  stand,   0.0 0.0 0.0,             ,
-340.755 1332.3 -63.875,     99 209 224,                      stand,   0.0 0.0 0.0,             ,
106.751 946.458 -61.875,     97 102 210 216 220 224,          stand,   0.0 0.0 0.0,             ,
214.838 862.154 -67.875,     15 97 101 103 197 219 222,       stand,   0.0 0.0 0.0,             ,
361.074 673.532 -61.875,     96 97 102 197 219,               stand,   0.0 0.0 0.0,             ,
640.75 224.262 -64.0781,     95 105 106 375,                  stand,   0.0 0.0 0.0,             ,
489.04 366.609 -63.875,      104 376,                         stand,   0.0 0.0 0.0,             ,
925.097 421.354 -67.875,     104 107 375 376 377,             stand,   0.0 0.0 0.0,             ,
1338.47 584.911 -68.468,     106 115 268 269 377,             stand,   0.0 0.0 0.0,             ,
1531.46 899.336 -63.875,     109 266 268,                     stand,   0.0 0.0 0.0,             ,
1778.54 930.083 -63.3491,    0 108 110 238 261 266,           stand,   0.0 0.0 0.0,             ,
1485.38 1097.43 -49.1369,    109 111 236 238,                 stand,   0.0 0.0 0.0,             ,
1084.09 993.811 22.125,      17 110 112 113 236 239,          stand,   0.0 0.0 0.0,             ,
964.786 830.18 66.125,       111 128,                         climb,   0.0 0.0 0.0,             ,
825.823 1116.73 19.484,      16 111 372,                      stand,   0.0 0.0 0.0,             ,
700.96 903.39 24.125,        226 233 372,                     stand,   0.0 0.0 0.0,             ,
1432.68 454.547 -66.8475,    107 116 117 269 377,             stand,   0.0 0.0 0.0,             ,
1766.57 230.486 -67.875,     115 118 119 120 367,             stand,   0.0 0.0 0.0,             ,
1285.56 179.563 -67.875,     115 118 377 378,                 stand,   0.0 0.0 0.0,             ,
1555.35 -20.2444 -67.875,    116 117 119 120 124,             stand,   0.0 0.0 0.0,             ,
1911.16 -299.728 -67.875,    116 118 120 121 357 359,         stand,   0.0 0.0 0.0,             ,
2174.32 -39.4204 -67.875,    116 118 119 358 366,             stand,   0.0 0.0 0.0,             ,
1950.02 -567.864 -61.875,    119 122 355 356 359,             stand,   0.0 0.0 0.0,             ,
1672.7 -714.63 -67.875,      121 123 351 354,                 stand,   0.0 0.0 0.0,             ,
1407.39 -518.506 -67.875,    122 124 353 354,                 stand,   0.0 0.0 0.0,             ,
1319.96 -302.975 -67.875,    118 123,                         stand,   0.0 0.0 0.0,             ,
1232.69 -736.088 -67.875,    126 340 342 352 353,             stand,   0.0 0.0 0.0,             ,
940.486 -1098.08 -55.875,    125 144 335 336,                 stand,   0.0 0.0 0.0,             ,
1979.34 2106.92 -63.875,     3 4 18 246,                      stand,   0.0 0.0 0.0,             ,
963.146 819.38 267.51,       112 241,                         climb,   61.0358 -125.963 0.0,    ,
2851.99 365.493 125.855,     37 130,                          climb,   59.5032 141.499 0.0,     ,
2781.1 408.48 -19.875,       21 129,                          climb,   31.2573 74.5704 0.0,     ,
3357.47 72.5815 151.04,      38,                              stand,   6.79627 -9.42556 0.0,    ,
33.0258 -1892.23 -57.875,    72,                              crouch,  3.27942 0.264401 0.0,    ,
226.238 -2063.0 -57.875,     72,                              crouch,  2.93335 91.2587 0.0,     ,
692.168 -2282.16 -57.875,    73,                              crouch,  3.97156 116.121 0.0,     ,
573.491 -1951.78 -58.6951,   74 136 137,                      stand,   7.25098 126.481 0.0,     ,
464.902 -1782.35 -55.875,    71 79 135 163 379,               stand,   9.49768 149.272 0.0,     ,
723.223 -1837.41 9.09919,    65 74 135 147 379 382,           stand,   32.2888 -147.875 0.0,    ,
390.514 -1355.71 -58.4042,   79 139 170 171,                  stand,   10.7062 -111.544 0.0,    ,
526.377 -1180.08 -57.7011,   76 77 138 140 141 142 171,       stand,   10.5304 -18.6597 0.0,    ,
479.085 -944.055 -57.875,    77 139 141,                      crouch,  4.48792 -65.9778 0.0,    ,
604.19 -1039.2 -57.875,      77 139 140 142,                  crouch,  5.69641 -125.892 0.0,    ,
647.763 -1156.9 -58.0609,    76 139 141 143 144,              stand,   13.1232 -19.1925 0.0,    ,
769.935 -1117.15 -57.875,    76 142 144,                      stand,   4.83398 49.7028 0.0,     ,
859.885 -1218.24 -63.875,    76 126 142 143 145 146,          stand,   11.5686 -27.4762 0.0,    ,
968.4 -1315.74 -57.875,      76 144 146,                      stand,   4.6637 60.4089 0.0,      ,
821.164 -1453.53 -63.015,    65 76 144 145 147 148 381,       stand,   15.8862 -45.0928 0.0,    ,
828.422 -1617.8 -65.875,     65 137 146 148 381 382,          stand,   10.1898 75.9381 0.0,     ,
1040.53 -1536.97 -58.1612,   146 147,                         crouch,  3.27942 -160.251 0.0,    ,
1035.93 -1215.82 102.125,    150 152,                         crouch,  11.3983 54.3445 0.0,     ,
924.756 -1139.93 102.125,    67 149 151 152,                  crouch,  10.1898 51.2353 0.0,     ,
810.711 -1045.33 102.125,    67 150,                          crouch,  11.7389 53.136 0.0,      ,
902.839 -1329.36 102.125,    66 67 149 150 153,               stand,   22.9669 -50.119 0.0,     ,
1018.04 -1476.23 78.125,     66 152,                          crouch,  20.0281 -133.0 0.0,      ,
539.748 -1101.25 80.125,     67 68,                           crouch,  15.0238 -94.6741 0.0,    ,
-14.9219 -1016.62 82.125,    156 157 158,                     crouch,  23.8293 138.077 0.0,     ,
-91.0886 -1116.55 82.125,    155 157 158,                     crouch,  25.9003 140.323 0.0,     ,
143.609 -1087.48 80.125,     69 155 156 159,                  stand,   8.97583 -33.8922 0.0,    ,
26.7053 -1236.88 80.125,     69 155 156 160,                  stand,   11.0522 156.721 0.0,     ,
298.165 -1204.22 80.125,     68 69 157 161 162,               stand,   8.63525 50.8838 0.0,     ,
222.929 -1403.33 80.125,     69 158,                          crouch,  15.7104 -33.0298 0.0,    ,
355.414 -1232.95 80.125,     69 159,                          crouch,  14.502 -39.7644 0.0,     ,
454.284 -1104.57 80.125,     68 159,                          crouch,  22.2748 -62.215 0.0,     ,
379.127 -1904.84 19.125,     71 136,                          crouch,  7.25098 55.8826 0.0,     ,
289.871 -1207.57 -57.7716,   77 165 169 171,                  stand,   15.7104 48.8184 0.0,     ,
182.854 -1353.85 -57.6507,   78 164 166 170,                  stand,   22.099 144.636 0.0,      ,
38.5148 -1237.06 -59.875,    165 167 169,                     stand,   16.4026 57.7887 0.0,     ,
-27.6682 -1195.49 -59.875,   80 166 168,                      stand,   15.1941 53.8171 0.0,     ,
55.7632 -1056.56 -59.875,    167 169 172,                     stand,   14.3317 -117.636 0.0,    ,
138.121 -1103.18 -59.875,    164 166 168,                     stand,   11.3983 -35.2765 0.0,    ,
303.71 -1438.57 -58.9472,    79 138 165,                      stand,   21.5826 59.3433 0.0,     ,
376.156 -1279.17 -56.8536,   138 139 164,                     stand,   24.516 140.664 0.0,      ,
-63.3616 -964.289 -63.875,   80 84 168 174 175,               stand,   13.0011 -122.634 0.0,    ,
-410.768 -1026.75 -71.875,   80 174 181 182 184,              stand,   6.61255 53.3063 0.0,     ,
-223.141 -851.703 -71.875,   172 173 175 182,                 stand,   10.238 49.1589 0.0,      ,
-133.921 -701.132 -71.875,   83 172 174 176,                  stand,   5.40405 89.7369 0.0,     ,
-228.591 -564.789 -71.875,   83 175 177 183,                  stand,   11.6168 143.262 0.0,     ,
-360.684 -470.827 -71.875,   83 176 178 183,                  stand,   10.4083 -144.393 0.0,    ,
-489.909 -628.36 -71.875,    177 179 183 189,                 stand,   8.68347 -126.436 0.0,    ,
-581.583 -788.939 -71.875,   85 178 180 181 182,              stand,   8.3374 -131.44 0.0,      ,
-755.239 -892.982 -71.875,   82 179 181 188,                  stand,   7.12891 -84.9951 0.0,    ,
-571.533 -988.881 -71.875,   173 179 180 182 185,             stand,   2.29492 44.6765 0.0,     ,
-443.306 -853.36 -71.875,    173 174 179 181 183,             stand,   6.78284 51.4111 0.0,     ,
-317.84 -686.733 -71.875,    176 177 178 182,                 stand,   8.85376 46.2311 0.0,     ,
-389.725 -1218.41 -71.875,   173,                             prone,   2.29492 91.6321 0.0,     ,
-447.452 -1306.19 -63.875,   81 82 181,                       crouch,  0.0482178 100.608 0.0,   ,
-532.294 -1448.56 -63.875,   81 82,                           crouch,  6.61255 110.963 0.0,     ,
-1243.62 -938.436 -58.0126,  87,                              crouch,  3.50342 48.4558 0.0,     ,
-870.443 -745.142 -63.875,   85 86 180,                       stand,   15.072 -34.7711 0.0,     ,
-647.218 -464.916 -63.875,   85 93 178,                       stand,   11.2708 -38.2208 0.0,    ,
-229.176 -108.721 -62.875,   92 204,                          crouch,  1.60278 99.2181 0.0,     ,
-441.619 123.397 -61.875,    91 92 194 203 204,               stand,   5.05798 142.037 0.0,     ,
-357.664 382.601 -67.9895,   92 96 193 194,                   stand,   19.906 138.582 0.0,      ,
-512.018 493.454 -67.9849,   91 97 98 192 196 211 218,        stand,   16.2805 -74.3109 0.0,    ,
-370.921 255.631 -67.875,    91 92 191 192,                   stand,   13.0011 -142.855 0.0,    ,
-837.294 290.782 -61.875,    91 206,                          crouch,  1.25671 27.2082 0.0,     ,
-878.577 461.152 -61.875,    91 193 206,                      crouch,  2.81128 -9.91454 0.0,    ,
28.5873 537.439 -67.875,     96 97 102 103 373,               stand,   6.78284 -40.473 0.0,     ,
-856.688 28.082 -62.3648,    90 199,                          crouch,  3.84949 12.5415 0.0,     ,
-612.971 -129.449 -62.875,   88 89 198,                       stand,   17.6593 69.3408 0.0,     ,
-653.265 44.3173 -62.875,    89 90 201 202,                   stand,   13.1714 -39.6051 0.0,    ,
-645.193 -35.9465 -62.875,   200,                             crouch,  3.50342 89.3744 0.0,     ,
-740.337 36.7409 -62.875,    200,                             crouch,  6.0907 28.598 0.0,       ,
-663.529 240.385 -62.0977,   90 91 191,                       stand,   16.4508 -123.348 0.0,    ,
-319.669 -33.1474 -62.875,   92 93 190 191,                   stand,   11.1005 123.042 0.0,     ,
224.78 -350.376 -62.875,     94,                              crouch,  3.32764 103.333 0.0,     ,
-809.501 383.497 -61.875,    195 196,                         prone,   -0.638428 8.71276 0.0,   ,
-720.966 910.064 -38.875,    98 208 212 213,                  stand,   19.3896 83.6505 0.0,     ,
-688.508 1127.01 -38.875,    99 207 217,                      stand,   16.7969 31.85 0.0,       ,
-301.654 1164.9 -38.875,     100 216 217,                     stand,   14.3799 -43.9502 0.0,    ,
-237.066 846.847 -38.875,    97 101 215,                      stand,   12.655 -153.759 0.0,     ,
-437.974 701.094 -38.875,    97 193,                          stand,   10.7544 155.995 0.0,     ,
-545.089 876.989 -39.4486,   207 215 218,                     stand,   11.7926 109.029 0.0,     ,
-546.806 1058.75 -43.5192,   207 214 217,                     stand,   9.89197 52.9108 0.0,     ,
-395.086 1057.4 -46.2231,    213 215 216,                     stand,   8.85376 -22.5378 0.0,    ,
-363.917 895.435 -37.875,    210 212 214,                     stand,   14.2096 -118.536 0.0,    ,
-238.976 984.139 -38.875,    101 209 214,                     stand,   8.3374 99.3555 0.0,      ,
-518.101 1205.07 -38.875,    99 208 209 213,                  stand,   11.9629 -90.9112 0.0,    ,
-602.942 736.252 -38.8972,   193 212,                         stand,   12.309 -105.237 0.0,     ,
419.757 769.541 -63.875,     102 103 222,                     prone,   2.46521 -164.454 0.0,    ,
80.7617 1052.2 -63.875,      101 221 224,                     stand,   14.3799 53.2733 0.0,     ,
143.233 1118.49 -57.0138,    14 220,                          stand,   21.8066 -135.444 0.0,    ,
389.662 846.424 -63.875,     102 219 223,                     stand,   16.4508 55.8551 0.0,     ,
436.748 907.797 -58.5895,    15 222 226 227,                  stand,   23.1854 -131.654 0.0,    ,
29.9254 1047.0 -63.875,      100 101 220,                     stand,   17.8351 18.3862 0.0,     ,
15.7984 1198.61 12.0149,     14,                              stand,   7.2992 -125.26 0.0,      ,
496.007 870.021 24.125,      114 223,                         stand,   16.1102 -34.0735 0.0,    ,
546.003 1089.07 -39.4511,    15 16 223 228,                   stand,   11.7926 58.2996 0.0,     ,
328.317 1338.26 -39.2836,    14 16 227 229,                   stand,   6.95862 164.153 0.0,     ,
456.501 1598.61 -11.0271,    228,                             crouch,  6.26648 -106.407 0.0,    ,
99.3523 1839.32 18.9156,     231 232,                         crouch,  3.50342 -35.9796 0.0,    ,
219.462 2040.84 14.0099,     13 230,                          crouch,  2.36877 -29.245 0.0,     ,
359.594 1629.56 1.80518,     13 14 230,                       stand,   3.57727 -57.0514 0.0,    ,
750.17 690.486 26.125,       114 234,                         crouch,  1.50635 88.3636 0.0,     ,
948.53 774.777 20.125,       233 235 372,                     prone,   1.85242 64.0234 0.0,     ,
1061.96 711.07 20.125,       234 236,                         stand,   4.09912 47.6603 0.0,     ,
1240.98 798.746 24.125,      110 111 235 237,                 stand,   11.8664 54.9113 0.0,     ,
1306.06 755.406 26.125,      236,                             stand,   11.004 -41.3253 0.0,     ,
1645.86 1313.41 -63.875,     0 109 110 262 384,               stand,   10.6579 96.7948 0.0,     ,
1248.58 1221.65 -35.875,     17 111 240,                      stand,   14.2834 60.7102 0.0,     ,
1434.41 1440.99 -63.875,     239 384 385,                     stand,   11.1743 51.7289 0.0,     ,
934.533 783.355 284.125,     128,                             crouch,  12.8992 -128.507 0.0,    ,
1038.71 1904.44 -12.7628,    243 244,                         prone,   5.47241 -60.9964 0.0,    ,
1142.88 1551.94 -63.875,     17 242 244 386,                  stand,   6.85669 168.47 0.0,      ,
1250.18 1697.42 -42.1604,    242 243 245 385 386,             stand,   6.85669 9.61827 0.0,     ,
1533.79 1752.97 -37.3609,    18 244 246 383 385,              stand,   10.6524 20.3244 0.0,     ,
1787.71 2022.92 -63.875,     18 127 245,                      stand,   6.68091 52.9593 0.0,     ,
1914.64 2714.08 -63.875,     248,                             crouch,  0.638428 -45.7803 0.0,   ,
2064.96 2536.26 -63.875,     4 247 249,                       stand,   7.71912 -65.4623 0.0,    ,
2285.81 2386.5 -63.875,      3 4 248 250,                     stand,   3.57727 -36.6232 0.0,    ,
2500.36 2185.37 -61.3303,    3 249 251,                       stand,   5.47241 -48.3621 0.0,    ,
2615.5 1989.91 -45.7856,     2 250 252,                       stand,   12.207 -140.219 0.0,     ,
2412.18 1965.25 -61.5817,    2 3 251 253 259,                 stand,   10.9985 -179.22 0.0,     ,
2472.87 1749.27 -58.6399,    1 2 252 254,                     stand,   5.99426 -153.144 0.0,    ,
2294.83 1718.76 -63.9117,    253 255 258,                     stand,   14.624 -95.4715 0.0,     ,
2235.6 1609.89 -63.875,      254 256 265,                     stand,   14.7998 -179.731 0.0,    ,
2125.26 1650.06 -63.875,     255 257 263,                     stand,   10.4822 132.786 0.0,     ,
2126.92 1770.91 -63.875,     256 258 263 264,                 stand,   13.4155 32.8104 0.0,     ,
2243.84 1787.88 -63.875,     254 257 264,                     stand,   18.0792 -35.2169 0.0,    ,
2129.29 1932.44 -61.7734,    3 18 252 264,                    stand,   11.1743 -176.622 0.0,    ,
2128.17 1218.4 -63.6934,     0 1 261 265,                     stand,   7.8894 -157.808 0.0,     ,
1906.35 1054.6 -62.8108,     0 109 260,                       stand,   7.71912 -129.666 0.0,    ,
1889.74 1616.57 -63.875,     0 18 238 263 383 384,            stand,   8.41125 103.255 0.0,     ,
2050.81 1696.61 -27.875,     256 257 262,                     stand,   39.6619 7.94835 0.0,     ,
2217.64 1862.35 -27.875,     257 258 259,                     stand,   24.292 94.8063 0.0,      ,
2215.75 1557.92 -27.875,     1 255 260,                       stand,   14.624 -83.0404 0.0,     ,
1796.6 804.448 -61.875,      108 109,                         crouch,  1.50085 125.205 0.0,     ,
1704.51 748.812 -63.875,     268,                             crouch,  5.81848 176.149 0.0,     ,
1478.06 792.322 -63.875,     107 108 267,                     stand,   13.4155 -156.918 0.0,    ,
1586.31 551.166 -60.5443,    25 107 115,                      stand,   4.95605 0.208483 0.0,    ,
2629.14 1537.2 -42.144,      271 272,                         crouch,  2.02271 -85.5947 0.0,    ,
2777.46 1427.06 -52.2083,    270 272,                         crouch,  2.70935 -152.249 0.0,    ,
2541.65 1264.81 -63.7845,    1 19 270 271 273 370,            stand,   6.51062 -91.9888 0.0,    ,
2316.9 1041.57 -63.0143,     19 272 274,                      crouch,  2.70935 4.35582 0.0,     ,
2495.59 938.844 -57.3156,    19 273 275,                      stand,   6.16455 -31.9046 0.0,    ,
2756.83 748.728 -57.848,     20 21 274,                       stand,   5.47241 -76.976 0.0,     ,
2152.34 1044.16 -61.875,     23,                              crouch,  -0.223999 -79.0689 0.0,  ,
2266.55 724.565 -63.875,     24,                              crouch,  0.638428 -159.357 0.0,   ,
2350.08 133.698 -63.875,     27,                              crouch,  6.16455 133.83 0.0,      ,
2219.61 76.3636 126.125,     31 280,                          crouch,  15.4865 -130.172 0.0,    ,
2135.87 146.572 126.125,     279 281,                         crouch,  15.3161 -151.76 0.0,     ,
2042.97 220.313 126.125,     32 280,                          crouch,  13.0694 -151.073 0.0,    ,
1902.51 952.685 128.125,     283 284,                         crouch,  14.4537 130.023 0.0,     ,
1981.3 903.708 130.125,      34 282,                          stand,   21.1884 -174.551 0.0,    ,
1887.85 842.336 130.125,     34 282 285,                      stand,   24.1217 -49.8837 0.0,    ,
1901.88 710.465 128.125,     34 284 286,                      stand,   13.7616 -90.632 0.0,     ,
1934.88 508.664 128.125,     33 285 287,                      stand,   10.1361 -156.418 0.0,    ,
1773.89 509.186 136.125,     286,                             crouch,  9.44395 -0.346327 0.0,   ,
2055.76 667.258 128.125,     34 36,                           stand,   14.1076 -1.37904 0.0,    ,
2186.79 399.784 128.125,     36 290,                          prone,   1.33057 29.531 0.0,      ,
2327.7 438.289 128.125,      36 289,                          stand,   16.0083 51.4542 0.0,     ,
2514.46 291.015 128.125,     292 293,                         crouch,  6.16455 28.6686 0.0,     ,
2666.58 356.93 128.125,      35 37 291 293,                   stand,   17.041 -15.5294 0.0,     ,
2632.25 193.435 128.125,     291 292,                         crouch,  4.60999 85.6492 0.0,     ,
2794.25 38.9283 -59.1377,    295,                             stand,   8.75181 -130.172 0.0,    ,
2681.53 -119.025 -56.3885,   39 294,                          stand,   4.95605 -80.7827 0.0,    ,
3456.76 161.365 -63.1011,    43 297 298 299 307,              stand,   4.78577 -27.4276 0.0,    ,
3628.9 27.0646 -45.0913,     296 298 299,                     stand,   7.71912 33.5245 0.0,     ,
3855.57 243.975 -27.9903,    296 297 299,                     crouch,  6.68091 -167.965 0.0,    ,
3641.85 309.787 -45.1891,    43 296 297 298,                  stand,   8.75181 149.551 0.0,     ,
3555.99 715.828 -45.56,      301 302 303,                     stand,   7.02698 144.684 0.0,     ,
3259.58 927.508 -54.8972,    20 300 302,                      stand,   9.9658 -143.317 0.0,     ,
3293.61 685.881 -55.2099,    20 43 300 301 303 304,           stand,   0.814209 -17.9629 0.0,   ,
