149
9541.88 -3327.63 192.125,   1 112 114,           stand,  0.0 0.0 0.0,  ,
8533.82 -4507.13 193.125,   94 99 100 103,       stand,  0.0 0.0 0.0,  ,
8019.03 -4497.36 192.125,   98,                  stand,  0.0 0.0 0.0,  ,
8788.54 -4203.59 192.137,   98 101 104 108,      stand,  0.0 0.0 0.0,  ,
8574.21 -3925.96 192.125,   100 102,             stand,  0.0 0.0 0.0,  ,
8412.92 -4060.27 193.125,   101 103,             stand,  0.0 0.0 0.0,  ,
8437.41 -4319.13 195.125,   98 102,              stand,  0.0 0.0 0.0,  ,
9173.79 -4299.19 192.125,   95 100 107,          stand,  0.0 0.0 0.0,  ,
9671.23 -4239.72 192.125,   24 106 107 115,      stand,  0.0 0.0 0.0,  ,
9524.48 -4259.75 192.125,   105,                 stand,  0.0 0.0 0.0,  ,
9397.84 -4076.85 193.125,   24 104 105 108 109,  stand,  0.0 0.0 0.0,  ,
8941.5 -4060.95 192.125,    100 107 110,         stand,  0.0 0.0 0.0,  ,
9256.99 -3805.36 193.125,   107 110 111 112,     stand,  0.0 0.0 0.0,  ,
9041.57 -3845.62 192.125,   108 109,             stand,  0.0 0.0 0.0,  ,
9391.76 -3825.62 192.125,   109,                 stand,  0.0 0.0 0.0,  ,
9293.78 -3494.63 192.125,   0 109 113,           stand,  0.0 0.0 0.0,  ,
9264.63 -3356.25 192.125,   112,                 stand,  0.0 0.0 0.0,  ,
9531.85 -3476.95 192.125,   0,                   stand,  0.0 0.0 0.0,  ,
10061.1 -4247.45 191.306,   105 116 118 120,     stand,  0.0 0.0 0.0,  ,
10066.5 -4028.0 193.125,    115 117,             stand,  0.0 0.0 0.0,  ,
10215.3 -4057.35 193.125,   116 118 133,         stand,  0.0 0.0 0.0,  ,
10207.7 -4272.09 192.115,   115 117 119,         stand,  0.0 0.0 0.0,  ,
10260.5 -4512.41 190.961,   118 120 121,         stand,  0.0 0.0 0.0,  ,
10050.0 -4466.06 190.052,   115 119,             stand,  0.0 0.0 0.0,  ,
10244.6 -4727.69 190.309,   119 122 126,         stand,  0.0 0.0 0.0,  ,
10262.3 -4895.25 192.125,   121 123 125,         stand,  0.0 0.0 0.0,  ,
10237.2 -5151.75 192.125,   122 124,             stand,  0.0 0.0 0.0,  ,
9893.58 -5132.98 192.125,   123 125 128 130,     stand,  0.0 0.0 0.0,  ,
9904.83 -4886.59 192.125,   122 124 128,         stand,  0.0 0.0 0.0,  ,
9569.04 -4714.47 192.125,   96 121 127 128,      stand,  0.0 0.0 0.0,  ,
9526.24 -4838.69 192.125,   126,                 stand,  0.0 0.0 0.0,  ,
9747.77 -4951.34 192.125,   124 125 126 129,     stand,  0.0 0.0 0.0,  ,
9553.63 -5123.39 192.125,   128,                 stand,  0.0 0.0 0.0,  ,
9969.54 -5345.23 192.125,   79 124 131 132,      stand,  0.0 0.0 0.0,  ,
10063.3 -5263.31 192.125,   130,                 stand,  0.0 0.0 0.0,  ,
9812.5 -5355.28 192.125,    130,                 stand,  0.0 0.0 0.0,  ,
10896.6 -4027.08 192.125,   67 117,              stand,  0.0 0.0 0.0,  ,
12017.5 -3556.96 -112.174,  28 135,              stand,  0.0 0.0 0.0,  ,
11798.7 -3511.33 -113.875,  134 138 139 143,     stand,  0.0 0.0 0.0,  ,
10921.8 -3652.08 8.80361,   19 25 148,           stand,  0.0 0.0 0.0,  ,
11476.4 -3659.44 -113.875,  27 139 148,          stand,  0.0 0.0 0.0,  ,
11813.0 -3651.89 -113.875,  135 139,             stand,  0.0 0.0 0.0,  ,
11675.3 -3642.9 -113.875,   135 137 138,         stand,  0.0 0.0 0.0,  ,
10179.7 -3437.49 19.4289,   20 141,              stand,  0.0 0.0 0.0,  ,
9975.14 -3583.56 31.6946,   21 140 142,          stand,  0.0 0.0 0.0,  ,
9963.42 -3874.17 54.125,    22 141,              stand,  0.0 0.0 0.0,  ,
12033.6 -3438.26 -103.45,   135 144,             stand,  0.0 0.0 0.0,  ,
12187.7 -3458.61 -108.841,  29 143,              stand,  0.0 0.0 0.0,  ,
10743.0 -3063.22 18.125,    16 18,               stand,  0.0 0.0 0.0,  ,
10603.1 -5082.81 98.3336,   69 70 74 147,        stand,  0.0 0.0 0.0,  ,
10882.9 -5028.97 101.318,   70 72 73 146,        stand,  0.0 0.0 0.0,  ,
11226.7 -3648.92 -113.875,  136 137,             stand,  0.0 0.0 0.0,  ,
