230
-519.184 -782.6 194.125,     26 84 85 204,         stand,  0.0 0.0 0.0,            ,
-1317.37 -1271.65 36.125,    34 36,                stand,  0.0 0.0 0.0,            ,
-1317.35 -1418.29 -51.0002,  35 91,                stand,  0.0 0.0 0.0,            ,
1244.46 -613.626 32.125,     193,                  stand,  0.0 0.0 0.0,            ,
1378.12 -158.047 32.125,     39 41 215,            stand,  0.0 0.0 0.0,            ,
1590.94 -148.24 32.125,      38 40 184,            stand,  0.0 0.0 0.0,            ,
1598.49 171.112 32.125,      39 41 183,            stand,  0.0 0.0 0.0,            ,
1381.14 192.799 32.125,      38 40 42,             stand,  0.0 0.0 0.0,            ,
1154.61 216.045 42.9946,     41 215 218,           stand,  0.0 0.0 0.0,            ,
1343.71 426.41 32.125,       196,                  stand,  0.0 0.0 0.0,            ,
736.899 310.116 28.1082,     161 189,              stand,  0.0 0.0 0.0,            ,
659.869 35.2831 52.816,      162 190 191,          stand,  0.0 0.0 0.0,            ,
1131.62 1882.74 152.594,     47 64 145,            stand,  0.0 0.0 0.0,            ,
1023.79 1884.29 194.125,     46 48,                stand,  0.0 0.0 0.0,            ,
972.851 1885.84 194.125,     47 49 55,             stand,  0.0 0.0 0.0,            ,
719.98 1892.69 194.125,      48 50 51 52,          stand,  0.0 0.0 0.0,            ,
800.807 1763.37 194.125,     49,                   stand,  0.0 0.0 0.0,            ,
712.79 1594.7 194.693,       49 55 131,            stand,  0.0 0.0 0.0,            ,
276.81 1869.8 194.125,       49 53 54 132,         stand,  0.0 0.0 0.0,            ,
65.486 1874.58 194.125,      52 130 132 134 136,   stand,  0.0 0.0 0.0,            ,
248.854 1988.48 194.125,     52,                   stand,  0.0 0.0 0.0,            ,
966.639 1590.49 194.125,     48 51 56,             stand,  0.0 0.0 0.0,            ,
964.166 1473.16 194.125,     55 57,                stand,  0.0 0.0 0.0,            ,
771.065 1473.36 194.125,     56 58,                stand,  0.0 0.0 0.0,            ,
655.989 1477.12 142.125,     57 59,                stand,  0.0 0.0 0.0,            ,
655.018 1378.94 142.125,     58 60,                stand,  0.0 0.0 0.0,            ,
790.583 1379.0 93.1365,      59 61 63,             stand,  0.0 0.0 0.0,            ,
791.922 1281.67 94.3739,     60 63,                stand,  0.0 0.0 0.0,            ,
512.29 1009.07 128.335,      223,                  stand,  0.0 0.0 0.0,            ,
1142.47 1358.36 92.2455,     60 61 64,             stand,  0.0 0.0 0.0,            ,
1147.45 1518.5 105.89,       46 63 144,            stand,  0.0 0.0 0.0,            ,
324.619 900.559 194.125,     66 67 68,             stand,  0.0 0.0 0.0,            ,
253.756 909.605 200.215,     65 67 71,             stand,  0.0 0.0 0.0,            ,
263.867 1053.31 194.125,     65 66 133,            stand,  0.0 0.0 0.0,            ,
312.25 734.911 199.988,      65 69 70,             stand,  0.0 0.0 0.0,            ,
309.132 585.625 209.196,     68 72 73,             stand,  0.0 0.0 0.0,            ,
13.4105 730.846 194.747,     68 71 76,             stand,  0.0 0.0 0.0,            ,
23.3261 931.145 194.125,     17 66 70 128,         stand,  0.0 0.0 0.0,            ,
598.134 580.602 194.125,     69 149 154,           stand,  0.0 0.0 0.0,            ,
209.366 504.743 194.125,     69 74,                stand,  0.0 0.0 0.0,            ,
-151.791 512.691 194.125,    73 75 77,             stand,  0.0 0.0 0.0,            ,
-154.027 604.348 194.125,    74 76 78 227,         stand,  0.0 0.0 0.0,            ,
-153.64 736.04 194.125,      70 75 78,             stand,  0.0 0.0 0.0,            ,
-261.685 566.838 194.125,    74,                   stand,  0.0 0.0 0.0,            ,
-263.662 641.977 194.125,    75 76 79,             stand,  0.0 0.0 0.0,            ,
-550.572 647.558 194.536,    19 78 80 82 210,      stand,  0.0 0.0 0.0,            ,
-605.08 420.107 192.373,     19 79 82 83,          stand,  0.0 0.0 0.0,            ,
-719.859 199.124 216.053,    12 82,                stand,  0.0 0.0 0.0,            ,
-713.551 428.702 201.405,    7 19 79 80 81,        stand,  0.0 0.0 0.0,            ,
-467.831 300.005 132.475,    80 160 171,           stand,  0.0 0.0 0.0,            ,
-544.147 -910.904 194.125,   0,                    stand,  0.0 0.0 0.0,            ,
-393.966 -829.978 192.387,   0 86,                 stand,  0.0 0.0 0.0,            ,
57.5433 -785.129 192.125,    85 87,                stand,  0.0 0.0 0.0,            ,
308.882 -791.643 30.5736,    86 117,               stand,  0.0 0.0 0.0,            ,
-1319.29 -1600.29 -52.7745,  91 95 176,            stand,  0.0 0.0 0.0,            ,
-1019.5 -1232.67 -12.3842,   90,                   stand,  0.0 0.0 0.0,            ,
-1025.1 -1338.48 -11.875,    89 97,                stand,  0.0 0.0 0.0,            ,
-1322.46 -1491.3 -52.7803,   36 88 92 93 96,       stand,  0.0 0.0 0.0,            ,
-1407.48 -1522.59 -52.0357,  91,                   stand,  0.0 0.0 0.0,            ,
-1174.83 -1490.17 -50.4298,  91 94 97,             stand,  0.0 0.0 0.0,            ,
-1168.69 -1390.91 -39.3854,  93,                   stand,  0.0 0.0 0.0,            ,
-1326.45 -1766.4 -48.8772,   88 96,                stand,  0.0 0.0 0.0,            ,
-1026.66 -1748.88 -48.3942,  91 95 98 99,          stand,  0.0 0.0 0.0,            ,
-1033.57 -1394.08 -32.0954,  90 93 98 101,         stand,  0.0 0.0 0.0,            ,
-1035.0 -1533.51 -45.914,    96 97 101,            stand,  0.0 0.0 0.0,            ,
-788.935 -1750.18 -46.3973,  96 102 175,           stand,  0.0 0.0 0.0,            ,
-661.302 -1464.99 -49.9406,  101 102 103 209,      stand,  0.0 0.0 0.0,            ,
-866.177 -1432.83 -49.8764,  97 98 100,            stand,  0.0 0.0 0.0,            ,
-698.548 -1579.84 -49.6373,  99 100 104,           stand,  0.0 0.0 0.0,            ,
-344.954 -1482.49 -50.3119,  100 104 105,          stand,  0.0 0.0 0.0,            ,
-371.717 -1639.22 -50.2002,  102 103 107,          stand,  0.0 0.0 0.0,            ,
-0.552557 -1448.06 -42.717,  103 106 112 114,      stand,  0.0 0.0 0.0,            ,
10.5059 -1614.28 -46.6103,   105 107 109 111,      stand,  0.0 0.0 0.0,            ,
-331.905 -1688.21 -50.4618,  104 106 108,          stand,  0.0 0.0 0.0,            ,
-225.726 -1777.8 -33.9649,   107,                  stand,  0.0 0.0 0.0,            ,
224.394 -1528.77 -23.4656,   106 110 112 167,      stand,  0.0 0.0 0.0,            ,
329.227 -1346.38 -8.56788,   109 112 113 166,      stand,  0.0 0.0 0.0,            ,
131.262 -1792.13 -2.04921,   106,                  stand,  0.0 0.0 0.0,            ,
148.042 -1374.65 -21.6984,   105 109 110 114,      stand,  0.0 0.0 0.0,            ,
440.22 -1169.61 14.3765,     110 116 118 123,      stand,  0.0 0.0 0.0,            ,
132.486 -1147.91 -11.303,    105 112 116,          stand,  0.0 0.0 0.0,            ,
134.092 -911.321 49.4483,    116,                  stand,  0.0 0.0 0.0,            ,
334.429 -1001.08 26.5169,    113 114 115 117,      stand,  0.0 0.0 0.0,            ,
348.914 -791.595 29.8122,    87 116 118,           stand,  0.0 0.0 0.0,            ,
536.599 -802.3 32.5316,      113 117 119 122,      stand,  0.0 0.0 0.0,            ,
545.162 -635.908 31.4892,    118 120,              stand,  0.0 0.0 0.0,            ,
489.183 -362.348 24.467,     119 163 165,          stand,  0.0 0.0 0.0,            ,
909.738 -752.3 58.4706,      122 192 214,          stand,  0.0 0.0 0.0,            ,
813.736 -865.135 43.802,     118 121 123,          stand,  0.0 0.0 0.0,            ,
802.204 -1114.36 10.4652,    113 122 174,          stand,  0.0 0.0 0.0,            ,
-897.858 -555.903 194.125,   25 125 127 203,       stand,  0.0 0.0 0.0,            ,
-895.563 -244.962 194.125,   2 13 25 124 126,      stand,  0.0 0.0 0.0,            ,
-1144.77 -249.851 194.125,   3 125 127,            stand,  0.0 0.0 0.0,            ,
-1154.49 -515.646 194.125,   22 25 124 126,        stand,  0.0 0.0 0.0,            ,
52.1313 1396.64 201.671,     71 129 130,           stand,  0.0 0.0 0.0,            ,
-210.884 1394.39 194.125,    128,                  stand,  0.0 0.0 0.0,            ,
62.593 1607.01 194.125,      53 128 132 135 137,   stand,  0.0 0.0 0.0,            ,
360.458 1612.14 197.387,     51 132 133,           stand,  0.0 0.0 0.0,            ,
261.918 1621.24 204.778,     52 53 130 131 133,    stand,  0.0 0.0 0.0,            ,
331.403 1310.97 194.125,     67 131 132,           stand,  0.0 0.0 0.0,            ,
158.088 1934.94 194.125,     53,                   stand,  0.0 0.0 0.0,            ,
-215.813 1635.05 194.125,    130,                  stand,  0.0 0.0 0.0,            ,
-42.8488 1901.33 195.139,    53,                   stand,  0.0 0.0 0.0,            ,
-172.306 1860.85 204.49,     130,                  stand,  0.0 0.0 0.0,            ,
1828.76 1149.89 94.125,      139 140 168,          stand,  0.0 0.0 0.0,            ,
1901.51 1146.18 94.125,      138,                  stand,  0.0 0.0 0.0,            ,
1832.15 1222.03 100.45,      138 141,              stand,  0.0 0.0 0.0,            ,
1650.88 1244.49 98.0282,     140 142 220,          stand,  0.0 0.0 0.0,            ,
1511.43 1518.54 115.538,     141 143 146,          stand,  0.0 0.0 0.0,            ,
1370.82 1394.77 83.9473,     142 144 147 221,      stand,  0.0 0.0 0.0,            ,
1268.39 1529.88 105.199,     64 143 145,           stand,  0.0 0.0 0.0,            ,
1288.85 1853.29 157.738,     46 144 146,           stand,  0.0 0.0 0.0,            ,
1699.69 1812.99 149.621,     142 145 169 170,      stand,  0.0 0.0 0.0,            ,
1379.37 1080.83 32.5986,     143 148 219 221 224,  stand,  0.0 0.0 0.0,            ,
1444.47 880.072 32.0871,     147 195 219 224,      stand,  0.0 0.0 0.0,            ,
619.437 821.069 194.125,     72 150 151,           stand,  0.0 0.0 0.0,            ,
489.701 878.597 194.125,     149,                  stand,  0.0 0.0 0.0,            ,
978.87 821.901 207.616,      149 152 226,          stand,  0.0 0.0 0.0,            ,
1173.17 797.997 194.125,     151 153 226,          stand,  0.0 0.0 0.0,            ,
1158.49 569.252 194.125,     152 154 159,          stand,  0.0 0.0 0.0,            ,
941.425 569.354 194.125,     72 153 155,           stand,  0.0 0.0 0.0,            ,
921.402 333.835 194.125,     154 156,              stand,  0.0 0.0 0.0,            ,
728.038 328.994 194.125,     155 157,              stand,  0.0 0.0 0.0,            ,
727.865 409.208 194.125,     156 158,              stand,  0.0 0.0 0.0,            ,
-13.2736 406.787 194.125,    157,                  stand,  0.0 0.0 0.0,            ,
1167.5 396.183 194.125,      153,                  stand,  0.0 0.0 0.0,            ,
-68.064 25.2903 24.5273,     21 83 171 212,        stand,  0.0 0.0 0.0,            ,
431.82 251.77 26.5775,       44 162 171,           stand,  0.0 0.0 0.0,            ,
434.991 35.527 22.4732,      45 161 163 212,       stand,  0.0 0.0 0.0,            ,
482.333 -214.723 25.8536,    120 162 164 212,      stand,  0.0 0.0 0.0,            ,
738.98 -184.114 34.3709,     163,                  stand,  0.0 0.0 0.0,            ,
726.312 -385.439 35.8037,    120,                  stand,  0.0 0.0 0.0,            ,
468.038 -1493.43 2.31478,    110,                  stand,  0.0 0.0 0.0,            ,
310.887 -1704.59 -3.70223,   109,                  stand,  0.0 0.0 0.0,            ,
1872.32 1009.53 94.125,      138 220,              stand,  0.0 0.0 0.0,            ,
1784.66 1916.66 152.717,     146,                  stand,  0.0 0.0 0.0,            ,
1843.63 1841.59 154.954,     146,                  stand,  0.0 0.0 0.0,            ,
-41.3339 136.878 24.125,     83 160 161,           stand,  0.0 0.0 0.0,            ,
-92.5587 -401.828 32.9069,   21,                   stand,  0.0 0.0 0.0,            ,
-222.139 -390.493 30.0597,   21,                   stand,  0.0 0.0 0.0,            ,
933.788 -1300.18 25.1365,    123,                  stand,  0.0 0.0 0.0,            ,
-706.126 -1714.51 -45.875,   99,                   stand,  0.0 0.0 0.0,            ,
-1403.18 -1630.29 -54.8701,  88,                   stand,  0.0 0.0 0.0,            ,
-1491.45 -1103.28 18.2776,   34,                   stand,  0.0 0.0 0.0,            ,
-1491.67 -927.044 35.8379,   34,                   stand,  0.0 0.0 0.0,            ,
-1359.47 -394.965 194.125,   22,                   stand,  0.0 0.0 0.0,            ,
-749.085 -10.2128 194.125,   12,                   stand,  0.0 0.0 0.0,            ,
209.97 -632.793 194.125,     202,                  stand,  0.0 0.0 0.0,            ,
608.539 -543.345 194.125,    201,                  stand,  0.0 0.0 0.0,            ,
1678.39 166.555 32.125,      40,                   stand,  0.0 0.0 0.0,            ,
1688.03 -128.485 32.125,     39,                   stand,  0.0 0.0 0.0,            ,
437.618 603.665 32.125,      186 229,              stand,  0.0 0.0 0.0,            ,
742.406 594.471 32.125,      185 187 188,          stand,  0.0 0.0 0.0,            ,
931.418 653.236 34.3522,     186 188 197 216,      stand,  0.0 0.0 0.0,            ,
929.748 473.885 35.7625,     186 187 189 216,      stand,  0.0 0.0 0.0,            ,
906.074 315.078 32.125,      44 188 190,           stand,  0.0 0.0 0.0,            ,
964.667 151.667 46.3863,     45 189 191,           stand,  0.0 0.0 0.0,            ,
893.789 -40.6716 46.8617,    45 190 214,           stand,  0.0 0.0 0.0,            ,
976.374 -540.201 32.125,     121 193 214,          stand,  0.0 0.0 0.0,            ,
1103.38 -526.972 32.125,     37 192 215,           stand,  0.0 0.0 0.0,            ,
1272.64 584.167 32.125,      195 196 216 217 218,  stand,  0.0 0.0 0.0,            ,
1396.61 675.093 32.125,      148 194 196 224,      stand,  0.0 0.0 0.0,            ,
1421.1 526.859 32.125,       43 194 195,           stand,  0.0 0.0 0.0,            ,
946.049 851.05 32.125,       187 198 217,          stand,  0.0 0.0 0.0,            ,
935.199 996.093 32.125,      197 221 222,          stand,  0.0 0.0 0.0,            ,
-265.958 -577.338 194.125,   200 204 205,          stand,  0.0 0.0 0.0,            ,
-57.6215 -594.291 206.974,   199 202,              stand,  0.0 0.0 0.0,            ,
454.517 -539.804 194.125,    182 202,              stand,  0.0 0.0 0.0,            ,
178.336 -556.494 194.125,    181 200 201,          stand,  0.0 0.0 0.0,            ,
-656.895 -574.092 195.125,   124 204,              stand,  0.0 0.0 0.0,            ,
-522.959 -653.413 194.125,   0 199 203 205,        stand,  0.0 0.0 0.0,            ,
-365.681 -466.029 194.125,   199 204 206,          stand,  0.0 0.0 0.0,            ,
-507.83 -274.742 194.125,    1 2 205,              stand,  0.0 0.0 0.0,            ,
-690.097 -1237.13 19.4094,   208 209,              climb,  21.1157 85.8453 0.0,    ,
-691.24 -1207.35 66.125,     29 30 207,            climb,  -4.9823 85.1861 0.0,    ,
-719.406 -1334.44 -14.8506,  100 207,              stand,  0.0 0.0 0.0,            ,
-764.769 840.962 215.867,    9 14 15 19 79 211,    stand,  0.0 0.0 0.0,            ,
-921.191 667.054 213.35,     8 19 210,             stand,  0.0 0.0 0.0,            ,
158.517 -228.815 22.5875,    21 160 162 163,       stand,  0.0 0.0 0.0,            ,
-849.772 -767.68 194.125,    24 26 27,             stand,  0.0 0.0 0.0,            ,
917.811 -304.909 32.125,     121 191 192,          stand,  0.0 0.0 0.0,            ,
1165.14 -157.786 32.125,     38 42 193,            stand,  0.0 0.0 0.0,            ,
1083.68 573.669 48.0797,     187 188 194 217 218,  stand,  0.0 0.0 0.0,            ,
1172.08 720.929 32.125,      194 197 216 218,      stand,  0.0 0.0 0.0,            ,
1153.28 436.77 44.2687,      42 194 216 217,       stand,  0.0 0.0 0.0,            ,
1578.88 972.241 32.125,      147 148 220,          climb,  1.26343 -1.9328 0.0,    ,
1604.59 972.14 100.125,      141 168 219,          climb,  0.741577 -2.14703 0.0,  ,
1230.89 1053.43 32.125,      143 147 198,          stand,  0.0 0.0 0.0,            ,
833.317 1035.39 32.125,      198 223,              climb,  3.79578 176.721 0.0,    ,
809.568 1035.38 100.125,     62 222,               climb,  3.72986 -178.769 0.0,   ,
1319.13 914.901 57.1393,     147 148 195 225,      climb,  4.37256 178.671 0.0,    ,
1295.29 914.359 232.125,     224 226,              climb,  5.39978 -179.714 0.0,   ,
1203.89 899.589 204.988,     151 152 225,          stand,  0.0 0.0 0.0,            ,
-25.1636 603.043 192.125,    75 228,               stand,  0.0 0.0 0.0,            ,
106.576 597.105 97.7133,     227 229,              stand,  0.0 0.0 0.0,            ,
242.226 598.01 32.125,       185 228,              stand,  0.0 0.0 0.0,            ,
