255
1425.04 -518.452 -175.875,  1,                        stand,  0.0 0.0 0.0,           ,
663.415 -2025.26 -207.173,  33 35 48 49,              stand,  0.0 0.0 0.0,           ,
549.513 -2012.07 -202.369,  34,                       stand,  0.0 0.0 0.0,           ,
343.794 -1847.34 -203.875,  33 37,                    stand,  0.0 0.0 0.0,           ,
178.269 -2016.37 -203.875,  36 38,                    stand,  0.0 0.0 0.0,           ,
160.615 -2897.43 -203.875,  37 39 40,                 stand,  0.0 0.0 0.0,           ,
53.3972 -2853.87 -203.875,  38,                       stand,  0.0 0.0 0.0,           ,
372.608 -2900.59 -205.102,  38 41,                    stand,  0.0 0.0 0.0,           ,
450.647 -2835.64 -203.457,  40 42 44,                 stand,  0.0 0.0 0.0,           ,
467.581 -2450.81 -204.994,  41 43 45,                 stand,  0.0 0.0 0.0,           ,
648.913 -2462.21 -205.315,  42 44 47,                 stand,  0.0 0.0 0.0,           ,
633.7 -2841.4 -204.79,      41 43 56 57,              stand,  0.0 0.0 0.0,           ,
476.915 -2257.26 -204.875,  42 46 47 48,              stand,  0.0 0.0 0.0,           ,
366.812 -2257.16 -204.875,  45,                       stand,  0.0 0.0 0.0,           ,
653.395 -2353.97 -205.5,    43 45 48 52,              stand,  0.0 0.0 0.0,           ,
652.232 -2179.9 -203.906,   34 45 47 49,              stand,  0.0 0.0 0.0,           ,
855.553 -2099.07 -213.432,  34 48 50,                 stand,  0.0 0.0 0.0,           ,
1082.44 -2143.03 -219.329,  49 51 52 73,              stand,  0.0 0.0 0.0,           ,
1042.78 -2055.64 -219.875,  50,                       stand,  0.0 0.0 0.0,           ,
1088.32 -2387.18 -194.196,  47 50 237,                stand,  0.0 0.0 0.0,           ,
873.808 -2958.44 -204.875,  54 56,                    stand,  0.0 0.0 0.0,           ,
1013.08 -2959.4 -200.239,   53 55,                    stand,  0.0 0.0 0.0,           ,
1302.35 -2959.34 -183.893,  54,                       stand,  0.0 0.0 0.0,           ,
836.22 -2876.32 -204.031,   44 53,                    stand,  0.0 0.0 0.0,           ,
647.922 -3034.06 -168.801,  44 58,                    stand,  0.0 0.0 0.0,           ,
699.672 -3081.11 -168.993,  57 59,                    stand,  0.0 0.0 0.0,           ,
1934.71 -3085.58 -179.424,  58 60 61,                 stand,  0.0 0.0 0.0,           ,
1949.82 -3156.8 -179.891,   59,                       stand,  0.0 0.0 0.0,           ,
2078.85 -3055.31 -195.88,   59 62 63,                 stand,  0.0 0.0 0.0,           ,
2302.64 -3115.69 -167.233,  61 63 64,                 stand,  0.0 0.0 0.0,           ,
2280.33 -2943.19 -213.875,  61 62 87 88,              stand,  0.0 0.0 0.0,           ,
2500.54 -3142.64 -114.107,  62 65 245,                stand,  0.0 0.0 0.0,           ,
2719.43 -3121.67 -100.725,  64 245,                   stand,  0.0 0.0 0.0,           ,
1300.94 -1659.86 -229.875,  10 67 68 69,              stand,  0.0 0.0 0.0,           ,
1170.58 -1662.45 -229.875,  66,                       stand,  0.0 0.0 0.0,           ,
1456.1 -1690.78 -229.875,   66,                       stand,  0.0 0.0 0.0,           ,
1431.28 -1864.56 -229.875,  66 70 71,                 stand,  0.0 0.0 0.0,           ,
1288.35 -1853.72 -229.875,  69,                       stand,  0.0 0.0 0.0,           ,
1432.22 -2076.58 -235.201,  69 72 73 74,              stand,  0.0 0.0 0.0,           ,
1497.99 -2207.46 -231.925,  71 73 75,                 stand,  0.0 0.0 0.0,           ,
1316.68 -2140.56 -228.859,  50 71 72,                 stand,  0.0 0.0 0.0,           ,
1710.93 -2063.93 -226.32,   71,                       stand,  0.0 0.0 0.0,           ,
1742.24 -2371.76 -224.201,  72 76 77 78 80,           stand,  0.0 0.0 0.0,           ,
1925.5 -2188.56 -221.628,   75,                       stand,  0.0 0.0 0.0,           ,
1991.63 -2267.16 -215.296,  75,                       stand,  0.0 0.0 0.0,           ,
1604.55 -2681.68 -199.0,    75,                       stand,  0.0 0.0 0.0,           ,
2045.04 -2514.7 -213.176,   80,                       stand,  0.0 0.0 0.0,           ,
1964.54 -2596.54 -212.974,  75 79 81,                 stand,  0.0 0.0 0.0,           ,
2122.8 -2652.16 -213.88,    80 82 83 87,              stand,  0.0 0.0 0.0,           ,
1802.91 -2915.31 -208.99,   81,                       stand,  0.0 0.0 0.0,           ,
2172.29 -2485.23 -214.172,  81 84 231,                stand,  0.0 0.0 0.0,           ,
2356.26 -2475.14 -212.428,  83 85 87,                 stand,  0.0 0.0 0.0,           ,
2658.8 -2469.97 -211.875,   84 86 227,                stand,  0.0 0.0 0.0,           ,
2646.72 -2821.66 -214.799,  85 88 89,                 stand,  0.0 0.0 0.0,           ,
2300.83 -2736.19 -213.875,  63 81 84 88,              stand,  0.0 0.0 0.0,           ,
2439.96 -2823.8 -213.875,   63 86 87,                 stand,  0.0 0.0 0.0,           ,
2873.66 -2825.03 -207.875,  86 90 91,                 stand,  0.0 0.0 0.0,           ,
2876.03 -2642.72 -207.875,  89,                       stand,  0.0 0.0 0.0,           ,
3040.32 -2826.12 -207.875,  89 92,                    stand,  0.0 0.0 0.0,           ,
3046.03 -2650.61 -207.875,  91 93 94,                 stand,  0.0 0.0 0.0,           ,
3053.75 -2534.9 -205.875,   92,                       stand,  0.0 0.0 0.0,           ,
3310.0 -2662.36 -207.875,   92 95 162 165,            stand,  0.0 0.0 0.0,           ,
3303.94 -2348.58 -207.875,  94 96 109,                stand,  0.0 0.0 0.0,           ,
3286.62 -2248.28 -207.875,  95 97 104,                stand,  0.0 0.0 0.0,           ,
3138.66 -2247.41 -167.875,  96 252,                   stand,  0.0 0.0 0.0,           ,
3132.63 -2475.22 -59.875,   99 254,                   stand,  0.0 0.0 0.0,           ,
3125.03 -2866.07 -63.875,   98 100,                   stand,  0.0 0.0 0.0,           ,
2959.98 -2860.86 -63.875,   99 101,                   stand,  0.0 0.0 0.0,           ,
2798.4 -2861.39 -1.875,     100 102 103 246,          stand,  0.0 0.0 0.0,           ,
2496.9 -2661.45 12.8229,    101 103,                  stand,  0.0 0.0 0.0,           ,
2662.13 -2577.83 12.1863,   101 102,                  stand,  0.0 0.0 0.0,           ,
3285.18 -2158.35 -207.875,  96 105,                   stand,  0.0 0.0 0.0,           ,
3272.98 -1910.08 -243.875,  104 106 107,              stand,  0.0 0.0 0.0,           ,
3186.34 -1943.67 -243.875,  105,                      stand,  0.0 0.0 0.0,           ,
3281.35 -1698.61 -315.875,  105 108,                  stand,  0.0 0.0 0.0,           ,
3284.31 -1589.52 -367.647,  107 178,                  stand,  0.0 0.0 0.0,           ,
3537.2 -2344.61 -209.921,   95 110,                   stand,  0.0 0.0 0.0,           ,
3722.57 -2346.97 -204.869,  109 166 168 169,          stand,  0.0 0.0 0.0,           ,
4563.41 -1735.48 -191.875,  112 113 115,              stand,  0.0 0.0 0.0,           ,
4551.28 -1920.13 -191.875,  111 114,                  stand,  0.0 0.0 0.0,           ,
4174.2 -1757.13 -191.875,   111 114,                  stand,  0.0 0.0 0.0,           ,
4173.04 -1921.71 -191.875,  112 113,                  stand,  0.0 0.0 0.0,           ,
4761.42 -1739.47 -239.875,  111 116 117,              stand,  0.0 0.0 0.0,           ,
4758.03 -2135.91 -239.216,  115 243,                  stand,  0.0 0.0 0.0,           ,
4762.73 -1552.59 -248.087,  115 118 241,              stand,  0.0 0.0 0.0,           ,
4551.0 -1552.25 -246.845,   117 141 142 241,          stand,  0.0 0.0 0.0,           ,
4935.95 -1343.01 -198.827,  239 241,                  stand,  0.0 0.0 0.0,           ,
5014.29 -663.392 -198.077,  128 240,                  stand,  0.0 0.0 0.0,           ,
4782.14 -1227.24 -249.875,  241,                      stand,  0.0 0.0 0.0,           ,
4605.66 -1060.34 -249.046,  123 124 241,              stand,  0.0 0.0 0.0,           ,
4452.4 -1095.16 -246.721,   122,                      stand,  0.0 0.0 0.0,           ,
4654.71 -653.754 -249.779,  122 125 126,              stand,  0.0 0.0 0.0,           ,
4766.4 -695.393 -249.186,   124,                      stand,  0.0 0.0 0.0,           ,
4769.18 -427.682 -249.718,  124 127 128 130,          stand,  0.0 0.0 0.0,           ,
4601.01 -338.726 -243.751,  126,                      stand,  0.0 0.0 0.0,           ,
4945.01 -464.115 -250.775,  120 126 129 130,          stand,  0.0 0.0 0.0,           ,
4984.1 -361.004 -250.795,   128,                      stand,  0.0 0.0 0.0,           ,
4867.2 -279.732 -249.119,   126 128 131,              stand,  0.0 0.0 0.0,           ,
4872.87 -171.888 -247.873,  130 132,                  stand,  0.0 0.0 0.0,           ,
4755.79 -164.105 -247.875,  131 133,                  stand,  0.0 0.0 0.0,           ,
4537.42 -159.22 -375.019,   132 134,                  stand,  0.0 0.0 0.0,           ,
4428.98 -159.179 -375.89,   133 135,                  stand,  0.0 0.0 0.0,           ,
4260.12 -169.562 -424.896,  134 136 137,              stand,  0.0 0.0 0.0,           ,
4281.82 -500.847 -416.062,  135 139,                  stand,  0.0 0.0 0.0,           ,
4107.95 -117.271 -424.817,  135 138,                  stand,  0.0 0.0 0.0,           ,
3887.1 -214.879 -444.97,    137 180,                  stand,  0.0 0.0 0.0,           ,
4315.27 -920.644 -380.715,  136 140 150,              stand,  0.0 0.0 0.0,           ,
4303.55 -1369.63 -312.216,  139 141 143,              stand,  0.0 0.0 0.0,           ,
4369.39 -1566.89 -275.875,  118 140,                  stand,  0.0 0.0 0.0,           ,
4525.18 -1609.01 -247.374,  118,                      stand,  0.0 0.0 0.0,           ,
4222.91 -1344.08 -316.875,  140 144,                  stand,  0.0 0.0 0.0,           ,
4019.77 -1345.6 -399.089,   143 145 146,              stand,  0.0 0.0 0.0,           ,
4017.06 -1447.58 -397.697,  144,                      stand,  0.0 0.0 0.0,           ,
3804.22 -1343.65 -403.403,  144 147 148 177,          stand,  0.0 0.0 0.0,           ,
3822.09 -1247.38 -404.672,  146,                      stand,  0.0 0.0 0.0,           ,
3654.59 -1289.91 -406.587,  146 149 177,              stand,  0.0 0.0 0.0,           ,
3691.88 -1158.24 -459.737,  148 156,                  stand,  0.0 0.0 0.0,           ,
4103.5 -936.638 -451.204,   139 151 161,              stand,  0.0 0.0 0.0,           ,
4104.09 -728.501 -492.671,  150 152 153,              stand,  0.0 0.0 0.0,           ,
4123.27 -394.696 -502.09,   151,                      stand,  0.0 0.0 0.0,           ,
3846.14 -732.941 -523.331,  151 154,                  stand,  0.0 0.0 0.0,           ,
3698.99 -693.311 -518.58,   153 155 181 183,          stand,  0.0 0.0 0.0,           ,
3700.54 -868.701 -463.976,  154 156,                  stand,  0.0 0.0 0.0,           ,
3709.82 -1012.32 -462.135,  149 155 159 161,          stand,  0.0 0.0 0.0,           ,
3282.62 -1261.54 -466.274,  158,                      stand,  0.0 0.0 0.0,           ,
3301.13 -1050.04 -463.775,  157 159,                  stand,  0.0 0.0 0.0,           ,
3397.52 -1034.06 -458.192,  156 158 160,              stand,  0.0 0.0 0.0,           ,
3390.07 -912.764 -464.084,  159,                      stand,  0.0 0.0 0.0,           ,
3897.81 -1099.95 -456.342,  150 156,                  stand,  0.0 0.0 0.0,           ,
3311.87 -2808.28 -207.875,  94 163,                   stand,  0.0 0.0 0.0,           ,
3587.29 -2807.27 -207.875,  162 164,                  stand,  0.0 0.0 0.0,           ,
3587.64 -2528.95 -207.875,  163 165 166,              stand,  0.0 0.0 0.0,           ,
3471.13 -2617.96 -207.875,  94 164,                   stand,  0.0 0.0 0.0,           ,
3736.57 -2522.74 -207.875,  110 164 167,              stand,  0.0 0.0 0.0,           ,
3786.75 -2849.2 -207.875,   166,                      stand,  0.0 0.0 0.0,           ,
3724.82 -2180.17 -256.957,  110 170,                  stand,  0.0 0.0 0.0,           ,
3930.33 -2360.05 -207.245,  110,                      stand,  0.0 0.0 0.0,           ,
3725.98 -2105.13 -256.305,  168 171 172,              stand,  0.0 0.0 0.0,           ,
3592.34 -1930.36 -253.057,  170 174,                  stand,  0.0 0.0 0.0,           ,
3916.7 -2123.69 -256.229,   170 173 242,              stand,  0.0 0.0 0.0,           ,
3945.17 -1999.7 -255.598,   172,                      stand,  0.0 0.0 0.0,           ,
3604.96 -1741.37 -320.558,  171 175 176 177,          stand,  0.0 0.0 0.0,           ,
3732.3 -1778.03 -307.518,   174,                      stand,  0.0 0.0 0.0,           ,
3433.75 -1814.27 -303.945,  174,                      stand,  0.0 0.0 0.0,           ,
3583.48 -1510.68 -375.561,  146 148 174 178,          stand,  0.0 0.0 0.0,           ,
3368.08 -1519.14 -381.391,  108 177 179,              stand,  0.0 0.0 0.0,           ,
3409.41 -1186.85 -405.715,  178,                      stand,  0.0 0.0 0.0,           ,
3776.17 -216.401 -514.407,  138 232,                  stand,  0.0 0.0 0.0,           ,
3595.89 -463.761 -516.861,  154 182 183 186 233 251,  stand,  0.0 0.0 0.0,           ,
3917.23 -452.118 -512.39,   181,                      stand,  0.0 0.0 0.0,           ,
3571.49 -695.294 -514.963,  154 181 184,              stand,  0.0 0.0 0.0,           ,
3552.44 -786.338 -515.046,  183 185,                  stand,  0.0 0.0 0.0,           ,
3323.8 -789.324 -511.823,   184,                      stand,  0.0 0.0 0.0,           ,
3160.6 -496.491 -510.057,   181 191 251,              stand,  0.0 0.0 0.0,           ,
2869.3 -252.582 -515.497,   188 189 236 251,          stand,  0.0 0.0 0.0,           ,
2840.87 -122.296 -517.249,  187 197,                  stand,  0.0 0.0 0.0,           ,
2650.46 -257.843 -496.661,  187 190 192 197,          stand,  0.0 0.0 0.0,           ,
2674.56 -519.079 -491.706,  189 191 206 214,          stand,  0.0 0.0 0.0,           ,
2868.95 -511.355 -510.379,  186 190 236,              stand,  0.0 0.0 0.0,           ,
2544.63 -267.848 -481.875,  189 193,                  stand,  0.0 0.0 0.0,           ,
2431.45 -273.828 -481.875,  192 194 195 196,          stand,  0.0 0.0 0.0,           ,
2251.06 -271.089 -481.875,  193,                      stand,  0.0 0.0 0.0,           ,
2439.49 -188.137 -481.875,  193,                      stand,  0.0 0.0 0.0,           ,
2435.3 -360.059 -481.875,   193,                      stand,  0.0 0.0 0.0,           ,
2644.68 36.2868 -498.948,   188 189 198,              stand,  0.0 0.0 0.0,           ,
2499.27 30.3692 -495.993,   197 199,                  stand,  0.0 0.0 0.0,           ,
2215.73 44.4862 -461.736,   198 200,                  stand,  0.0 0.0 0.0,           ,
1984.15 -18.7626 -453.198,  199 201,                  stand,  0.0 0.0 0.0,           ,
1977.51 -227.157 -444.286,  200 202 244,              stand,  0.0 0.0 0.0,           ,
1648.2 -288.982 -444.264,   27 201,                   stand,  0.0 0.0 0.0,           ,
2092.51 -612.819 -447.157,  204,                      stand,  0.0 0.0 0.0,           ,
1936.17 -792.102 -451.948,  27 203 205 210 244,       stand,  0.0 0.0 0.0,           ,
2153.87 -799.711 -451.875,  204 206,                  stand,  0.0 0.0 0.0,           ,
2334.28 -799.68 -495.523,   190 205 207 214 250,      stand,  0.0 0.0 0.0,           ,
2329.68 -668.546 -493.486,  206 208,                  stand,  0.0 0.0 0.0,           ,
2225.96 -664.03 -486.874,   207 209,                  stand,  0.0 0.0 0.0,           ,
2230.23 -567.918 -490.15,   208,                      stand,  0.0 0.0 0.0,           ,
1937.07 -1126.76 -442.744,  27 204 211 212 213,       stand,  0.0 0.0 0.0,           ,
2098.51 -1038.37 -445.586,  210,                      stand,  0.0 0.0 0.0,           ,
2142.94 -1183.81 -441.466,  210,                      stand,  0.0 0.0 0.0,           ,
1939.4 -1420.94 -444.248,   13 210 225,               stand,  0.0 0.0 0.0,           ,
2597.74 -727.682 -494.639,  190 206 215 216 250,      stand,  0.0 0.0 0.0,           ,
2728.85 -736.175 -496.058,  214,                      stand,  0.0 0.0 0.0,           ,
2602.72 -954.277 -445.644,  214 217,                  stand,  0.0 0.0 0.0,           ,
2627.06 -1442.89 -431.066,  216 218 224,              stand,  0.0 0.0 0.0,           ,
2827.15 -1512.9 -404.581,   217 219,                  stand,  0.0 0.0 0.0,           ,
2825.19 -1706.66 -323.364,  218 220,                  stand,  0.0 0.0 0.0,           ,
2733.71 -1770.66 -320.013,  219 221 222,              stand,  0.0 0.0 0.0,           ,
2668.8 -1652.11 -320.776,   220,                      stand,  0.0 0.0 0.0,           ,
2858.05 -1929.7 -319.05,    220 223,                  stand,  0.0 0.0 0.0,           ,
2861.15 -2114.11 -316.459,  222,                      stand,  0.0 0.0 0.0,           ,
2462.82 -1537.01 -396.014,  217 225 226,              stand,  0.0 0.0 0.0,           ,
2250.57 -1633.11 -397.875,  213 224 226,              stand,  0.0 0.0 0.0,           ,
2389.97 -1857.55 -334.875,  224 225 227 228,          stand,  0.0 0.0 0.0,           ,
2609.39 -2014.81 -297.875,  85 226,                   stand,  0.0 0.0 0.0,           ,
2333.63 -1945.34 -330.397,  226 229,                  stand,  0.0 0.0 0.0,           ,
2205.69 -2064.84 -288.426,  228 230 231,              stand,  0.0 0.0 0.0,           ,
2002.01 -2017.46 -284.119,  229,                      stand,  0.0 0.0 0.0,           ,
2193.87 -2338.21 -218.84,   83 229,                   stand,  0.0 0.0 0.0,           ,
3597.83 -230.645 -511.875,  180 233 234 235,          stand,  0.0 0.0 0.0,           ,
3597.74 -341.349 -512.42,   181 232,                  stand,  0.0 0.0 0.0,           ,
3562.2 -176.861 -511.875,   232,                      stand,  0.0 0.0 0.0,           ,
3637.46 -189.19 -511.875,   232,                      stand,  0.0 0.0 0.0,           ,
2988.85 -366.443 -518.077,  187 191,                  stand,  0.0 0.0 0.0,           ,
1101.57 -2601.84 -156.375,  52 238,                   stand,  0.0 0.0 0.0,           ,
1252.75 -2634.53 -149.875,  237,                      stand,  0.0 0.0 0.0,           ,
5000.3 -1243.08 -201.192,   119 240,                  stand,  0.0 0.0 0.0,           ,
5005.61 -978.634 -197.23,   120 239,                  stand,  0.0 0.0 0.0,           ,
4744.73 -1334.09 -252.35,   117 118 119 121 122,      stand,  0.0 0.0 0.0,           ,
4109.86 -2134.83 -254.99,   172 243,                  stand,  0.0 0.0 0.0,           ,
4394.22 -2134.6 -244.175,   116 242,                  stand,  0.0 0.0 0.0,           ,
1957.94 -546.414 -443.875,  27 201 204,               stand,  0.0 0.0 0.0,           ,
2750.75 -2967.63 -101.16,   64 65 246,                climb,  6.70715 89.5605 0.0,   ,
2750.75 -2947.12 40.1248,   101 245,                  climb,  -3.09265 88.9343 0.0,  ,
2394.17 -1100.4 -573.331,   248,                      stand,  0.0 0.0 0.0,           ,
2251.73 -913.893 -557.515,  247 249,                  stand,  0.0 0.0 0.0,           ,
2433.78 -908.946 -495.875,  248 250,                  stand,  0.0 0.0 0.0,           ,
2432.01 -820.385 -495.253,  206 214 249,              stand,  0.0 0.0 0.0,           ,
3122.58 -318.434 -520.619,  181 186 187,              stand,  0.0 0.0 0.0,           ,
3135.14 -2303.22 -146.199,  97 253,                   stand,  0.0 0.0 0.0,           ,
3135.09 -2364.81 -106.004,  252 254,                  stand,  0.0 0.0 0.0,           ,
3134.94 -2429.81 -59.875,   98 253,                   stand,  0.0 0.0 0.0,           ,
