351
-263.7 -4410.9 0.157547,      253,                          stand,  0.0 0.0 0.0,         ,
696.359 -3180.51 38.625,      51 53,                        stand,  0.0 0.0 0.0,         ,
515.029 -3280.91 37.2566,     52 54,                        stand,  0.0 0.0 0.0,         ,
511.248 -3502.26 1.12249,     11 53 55,                     stand,  0.0 0.0 0.0,         ,
547.555 -3660.07 6.625,       54 103 217 251,               stand,  0.0 0.0 0.0,         ,
2129.97 -3163.46 7.125,       57 58 292,                    stand,  0.0 0.0 0.0,         ,
2239.82 -3172.9 4.125,        56 141 142 240,               stand,  0.0 0.0 0.0,         ,
1940.51 -3421.18 7.125,       56 59 292,                    stand,  0.0 0.0 0.0,         ,
1824.16 -3421.13 4.125,       58 139 140 152,               stand,  0.0 0.0 0.0,         ,
2805.92 -3278.29 147.125,     ,                             stand,  0.0 0.0 0.0,         ,
2278.21 -2067.85 17.0912,     62 78,                        stand,  0.0 0.0 0.0,         ,
2182.45 -2067.06 15.2483,     61 63,                        stand,  0.0 0.0 0.0,         ,
2069.76 -1999.07 10.125,      4 62 64,                      stand,  0.0 0.0 0.0,         ,
1872.8 -2016.83 10.125,       63 65,                        stand,  0.0 0.0 0.0,         ,
1824.41 -2152.74 0.240116,    64 148 162,                   stand,  0.0 0.0 0.0,         ,
1948.24 -1808.82 12.4385,     4,                            stand,  0.0 0.0 0.0,         ,
2094.06 -1124.0 0.240116,     68 325 326,                   stand,  0.0 0.0 0.0,         ,
2096.72 -1008.22 0.240117,    67 71 72 73,                  stand,  0.0 0.0 0.0,         ,
1882.25 -498.155 0.240117,    28 70 186 344,                stand,  0.0 0.0 0.0,         ,
2145.1 -606.79 1.03934,       5 69 71,                      stand,  0.0 0.0 0.0,         ,
2287.73 -857.265 0.240115,    68 70 73 344,                 stand,  0.0 0.0 0.0,         ,
1796.28 -1018.01 0.240115,    68 180 189,                   stand,  0.0 0.0 0.0,         ,
2366.89 -1103.74 0.240115,    68 71 74 344,                 stand,  0.0 0.0 0.0,         ,
2371.83 -1341.36 0.240115,    73 75 342,                    stand,  0.0 0.0 0.0,         ,
2264.83 -1551.33 0.240115,    74 76 77,                     stand,  0.0 0.0 0.0,         ,
2417.38 -1732.31 0.240116,    75 341 342,                   stand,  0.0 0.0 0.0,         ,
1835.69 -1559.08 0.240117,    75 182 183,                   stand,  0.0 0.0 0.0,         ,
2409.09 -2120.76 4.01456,     61 79 341,                    stand,  0.0 0.0 0.0,         ,
2393.15 -2319.92 17.3565,     78 80 149,                    stand,  0.0 0.0 0.0,         ,
2388.05 -2515.26 6.33836,     79 143 150 287,               stand,  0.0 0.0 0.0,         ,
1091.11 -1122.9 23.4835,      82 83 84,                     stand,  0.0 0.0 0.0,         ,
1203.95 -1116.62 2.94338,     81 168 185 190 191,           stand,  0.0 0.0 0.0,         ,
939.013 -1061.95 4.125,       14 81,                        stand,  0.0 0.0 0.0,         ,
1024.56 -1291.59 9.125,       81 85 86,                     stand,  0.0 0.0 0.0,         ,
665.377 -1287.13 -0.875003,   84 90 172 173 286,            stand,  0.0 0.0 0.0,         ,
997.7 -1477.22 10.125,        84 87,                        stand,  0.0 0.0 0.0,         ,
867.809 -1487.46 21.125,      86 88 91,                     stand,  0.0 0.0 0.0,         ,
797.91 -1668.03 28.988,       87 89,                        stand,  0.0 0.0 0.0,         ,
788.957 -1735.59 15.7974,     88 90 169,                    stand,  0.0 0.0 0.0,         ,
640.023 -1729.14 -0.996532,   85 89 96 285,                 stand,  0.0 0.0 0.0,         ,
874.648 -1192.83 148.125,     87,                           stand,  0.0 0.0 0.0,         ,
1096.15 -2153.8 2.125,        13 93 94 97 165,              stand,  0.0 0.0 0.0,         ,
1228.99 -2159.6 6.625,        92 159 164 166 170 276,       stand,  0.0 0.0 0.0,         ,
984.189 -2075.76 2.125,       92 95,                        stand,  0.0 0.0 0.0,         ,
850.749 -2069.89 -0.875001,   94 96 98,                     stand,  0.0 0.0 0.0,         ,
627.647 -2002.31 -0.875001,   90 95 98,                     stand,  0.0 0.0 0.0,         ,
981.404 -2296.37 20.3211,     13 92 98,                     stand,  0.0 0.0 0.0,         ,
753.673 -2342.82 -0.958585,   95 96 97 99 160,              stand,  0.0 0.0 0.0,         ,
724.942 -2640.06 -0.874999,   50 98 100 161,                stand,  0.0 0.0 0.0,         ,
846.566 -2891.5 -0.952702,    99 101 161 212,               stand,  0.0 0.0 0.0,         ,
823.248 -3104.21 -0.952702,   51 100 105,                   stand,  0.0 0.0 0.0,         ,
835.81 -3624.56 0.47797,      103 104 105,                  stand,  0.0 0.0 0.0,         ,
671.002 -3676.34 -2.6601,     55 102,                       stand,  0.0 0.0 0.0,         ,
1085.88 -3641.3 -0.784715,    102 119,                      stand,  0.0 0.0 0.0,         ,
887.045 -3390.02 23.4972,     101 102 118 156,              stand,  0.0 0.0 0.0,         ,
-1194.54 -1463.68 43.9256,    31 237 299 301,               stand,  0.0 0.0 0.0,         ,
-1208.2 -1923.32 41.3171,     31 108 195 303,               stand,  0.0 0.0 0.0,         ,
-1304.12 -2171.46 39.1554,    35 107 109 303 304,           stand,  0.0 0.0 0.0,         ,
-1260.32 -2455.59 41.5032,    108 110 304 305,              stand,  0.0 0.0 0.0,         ,
-1195.22 -2682.57 41.9856,    109 111 282,                  stand,  0.0 0.0 0.0,         ,
-1254.17 -2980.92 44.125,     110 112 306 308,              stand,  0.0 0.0 0.0,         ,
-1266.97 -3276.77 44.125,     39 111 116 288,               stand,  0.0 0.0 0.0,         ,
-704.278 -3369.8 31.2066,     114 199 288,                  stand,  0.0 0.0 0.0,         ,
-475.477 -3509.3 -0.875001,   113 115 202 206 221 223,      stand,  0.0 0.0 0.0,         ,
-818.716 -3625.09 -0.875002,  114 117 221 337 339,          stand,  0.0 0.0 0.0,         ,
-1403.75 -3637.01 28.9506,    112 117 288 307 308,          stand,  0.0 0.0 0.0,         ,
-1254.3 -3855.96 -0.999946,   115 116 295 307 338,          stand,  0.0 0.0 0.0,         ,
1162.3 -3402.17 -0.879062,    105 119 156 157,              stand,  0.0 0.0 0.0,         ,
1275.62 -3647.88 -4.69397,    104 118 120 157 256 257,      stand,  0.0 0.0 0.0,         ,
1191.3 -3954.26 -3.04152,     119 246 256 257 277,          stand,  0.0 0.0 0.0,         ,
1654.59 -4314.65 -0.874999,   122 129 131,                  stand,  0.0 0.0 0.0,         ,
2006.75 -4304.52 4.125,       121 123 124 127,              stand,  0.0 0.0 0.0,         ,
2100.6 -4145.08 4.125,        122 124 125,                  stand,  0.0 0.0 0.0,         ,
1973.93 -4091.87 4.125,       3 122 123,                    stand,  0.0 0.0 0.0,         ,
2233.19 -4148.58 2.50429,     123 133 135 349,              stand,  0.0 0.0 0.0,         ,
1821.5 -4621.05 4.125,        127 128,                      stand,  0.0 0.0 0.0,         ,
2030.65 -4556.79 4.125,       122 126,                      stand,  0.0 0.0 0.0,         ,
1789.01 -4815.71 -0.875001,   2 126 129 134,                stand,  0.0 0.0 0.0,         ,
1675.84 -4800.75 -0.375001,   121 128 130,                  stand,  0.0 0.0 0.0,         ,
1437.86 -4868.29 -0.875111,   129 244,                      stand,  0.0 0.0 0.0,         ,
1665.73 -4003.08 1.98458,     121 133 256 258 259,          stand,  0.0 0.0 0.0,         ,
2090.38 -3894.04 3.8128,      133 138 259 348,              stand,  0.0 0.0 0.0,         ,
2144.05 -4004.22 4.24815,     125 131 132 349,              stand,  0.0 0.0 0.0,         ,
2191.64 -4747.84 -0.875,      2 128 135 135 350,            stand,  0.0 0.0 0.0,         ,
2244.76 -4447.9 -0.875,       125 134 134 350,              stand,  0.0 0.0 0.0,         ,
2441.85 -3629.74 4.125,       137 141 261 348,              stand,  0.0 0.0 0.0,         ,
2248.27 -3586.98 6.625,       136 138 141 261,              stand,  0.0 0.0 0.0,         ,
2033.69 -3639.92 4.125,       132 137 139 259,              stand,  0.0 0.0 0.0,         ,
1824.89 -3569.83 4.125,       59 138 140 259,               stand,  0.0 0.0 0.0,         ,
1606.26 -3356.05 4.125,       59 139 157 158 260,           stand,  0.0 0.0 0.0,         ,
2290.1 -3382.28 4.125,        57 136 137 261,               stand,  0.0 0.0 0.0,         ,
2452.4 -2973.22 4.125,        57 143 262,                   stand,  0.0 0.0 0.0,         ,
2375.22 -2735.37 4.125,       80 142 240 287,               stand,  0.0 0.0 0.0,         ,
1694.16 -2709.6 4.04047,      145 147 151 153,              stand,  0.0 0.0 0.0,         ,
1782.02 -2524.6 18.1096,      144 146 148 149 150 287,      stand,  0.0 0.0 0.0,         ,
1593.09 -2428.54 4.125,       145 147 159 164 276,          stand,  0.0 0.0 0.0,         ,
1608.19 -2635.42 4.125,       144 146 153,                  stand,  0.0 0.0 0.0,         ,
1777.68 -2330.55 5.00671,     65 145 149,                   stand,  0.0 0.0 0.0,         ,
1979.43 -2322.62 6.625,       79 145 148 150,               stand,  0.0 0.0 0.0,         ,
1990.66 -2476.6 6.72992,      80 145 149 287,               stand,  0.0 0.0 0.0,         ,
1821.84 -2932.54 4.75348,     144 152 240 287,              stand,  0.0 0.0 0.0,         ,
1801.96 -3182.06 6.75581,     59 151,                       stand,  0.0 0.0 0.0,         ,
1436.0 -2806.2 3.68804,       144 147 154 155 158,          stand,  0.0 0.0 0.0,         ,
1142.05 -2676.19 -0.875002,   153 155 159,                  stand,  0.0 0.0 0.0,         ,
1270.97 -3003.25 -3.65847,    153 154 156 157 158,          stand,  0.0 0.0 0.0,         ,
1170.22 -3200.69 -0.875001,   105 118 155 157,              stand,  0.0 0.0 0.0,         ,
1411.73 -3283.09 5.125,       118 119 140 155 156 158 260,  stand,  0.0 0.0 0.0,         ,
1454.35 -3072.7 1.54632,      140 153 155 157,              stand,  0.0 0.0 0.0,         ,
1254.16 -2437.49 -4.875,      93 146 154 160 276,           stand,  0.0 0.0 0.0,         ,
875.754 -2426.81 -0.921726,   98 159 161,                   stand,  0.0 0.0 0.0,         ,
856.958 -2624.97 -0.94673,    99 100 160,                   stand,  0.0 0.0 0.0,         ,
1746.33 -1964.27 0.240115,    65 163 183,                   stand,  0.0 0.0 0.0,         ,
1632.54 -1982.69 0.240117,    162 164 170,                  stand,  0.0 0.0 0.0,         ,
1469.45 -2108.44 -4.875,      93 146 163 166,               stand,  0.0 0.0 0.0,         ,
1116.4 -1952.53 2.125,        92 166,                       stand,  0.0 0.0 0.0,         ,
1237.28 -1876.24 -3.2926,     93 164 165 167 169 170,       stand,  0.0 0.0 0.0,         ,
1253.47 -1689.67 -3.50836,    166 168 169,                  stand,  0.0 0.0 0.0,         ,
1340.77 -1396.84 -3.2133,     82 167 171 181 182 185,       stand,  0.0 0.0 0.0,         ,
989.287 -1779.86 0.470542,    89 166 167,                   stand,  0.0 0.0 0.0,         ,
1501.95 -1838.71 -5.61122,    93 163 166 171,               stand,  0.0 0.0 0.0,         ,
1541.26 -1563.99 -3.62276,    168 170 181 182,              stand,  0.0 0.0 0.0,         ,
708.289 -931.369 -1.23393,    85 173 174 184,               stand,  0.0 0.0 0.0,         ,
452.0 -995.787 -1.35627,      85 172 234 264,               stand,  0.0 0.0 0.0,         ,
773.93 -662.621 -4.875,       172 175 179 184 263,          stand,  0.0 0.0 0.0,         ,
884.656 -417.578 8.52201,     174 176 269 346,              stand,  0.0 0.0 0.0,         ,
1113.09 -422.707 7.65608,     175 177 345,                  stand,  0.0 0.0 0.0,         ,
1399.36 -464.103 2.22216,     176 178 187 343 345,          stand,  0.0 0.0 0.0,         ,
1316.7 -685.965 -0.630135,    177 179 180 184 188 190,      stand,  0.0 0.0 0.0,         ,
1072.56 -647.307 -2.85535,    174 178 184,                  stand,  0.0 0.0 0.0,         ,
1516.86 -929.78 0.194785,     72 178 181 185 188 189 190,   stand,  0.0 0.0 0.0,         ,
1526.05 -1255.21 0.469092,    168 171 180 182 185,          stand,  0.0 0.0 0.0,         ,
1712.68 -1428.53 0.240116,    77 168 171 181,               stand,  0.0 0.0 0.0,         ,
1768.44 -1738.28 6.625,       77 162,                       stand,  0.0 0.0 0.0,         ,
1032.31 -849.499 -4.875,      172 174 178 179 191,          stand,  0.0 0.0 0.0,         ,
1361.83 -1098.98 5.125,       82 168 180 181 190 191,       stand,  0.0 0.0 0.0,         ,
1717.05 -557.321 0.240112,    28 69 187 189,                stand,  0.0 0.0 0.0,         ,
1582.88 -546.654 0.240112,    27 177 186 188 343,           stand,  0.0 0.0 0.0,         ,
1478.67 -715.862 0.240112,    178 180 187 190,              stand,  0.0 0.0 0.0,         ,
1717.33 -756.077 0.240116,    72 180 186,                   stand,  0.0 0.0 0.0,         ,
1331.6 -913.184 2.85839,      82 178 180 185 188 191,       stand,  0.0 0.0 0.0,         ,
1185.9 -929.985 -3.38934,     82 184 185 190,               stand,  0.0 0.0 0.0,         ,
192.39 -1925.45 0.800695,     42 193 284 285,               stand,  0.0 0.0 0.0,         ,
39.2144 -1935.56 -2.75506,    192 225 230 231 283,          stand,  0.0 0.0 0.0,         ,
-725.547 -1940.32 24.0065,    33 195 331 332,               stand,  0.0 0.0 0.0,         ,
-974.987 -1941.05 34.8793,    107 194,                      stand,  0.0 0.0 0.0,         ,
-735.199 -2700.49 42.5163,    197 198 228 282 336,          stand,  0.0 0.0 0.0,         ,
-698.415 -2370.85 24.7299,    33 196 227 228,               stand,  0.0 0.0 0.0,         ,
-693.193 -2910.09 42.4662,    196 199 201,                  stand,  0.0 0.0 0.0,         ,
-691.378 -3136.68 32.3504,    113 198 200 201 202,          stand,  0.0 0.0 0.0,         ,
-864.517 -3147.7 77.125,      9 199 335 336,                stand,  0.0 0.0 0.0,         ,
-450.007 -3078.57 8.31344,    198 199 202 203 206,          stand,  0.0 0.0 0.0,         ,
-468.427 -3288.44 6.28796,    114 199 201 206 223,          stand,  0.0 0.0 0.0,         ,
-293.47 -2892.26 -0.874802,   201 204 205 206,              stand,  0.0 0.0 0.0,         ,
-145.845 -2685.26 -1.52551,   203 205 207 208 224,          stand,  0.0 0.0 0.0,         ,
-323.825 -2669.67 -0.757368,  203 204 228 229,              stand,  0.0 0.0 0.0,         ,
-213.662 -3121.79 -4.39478,   114 201 202 203 207 223,      stand,  0.0 0.0 0.0,         ,
-53.0954 -2938.38 3.63343,    204 206 208,                  stand,  0.0 0.0 0.0,         ,
81.3959 -2644.73 -0.875001,   204 207 209 224 283,          stand,  0.0 0.0 0.0,         ,
245.267 -2679.97 -0.875002,   50 208 210 211,               stand,  0.0 0.0 0.0,         ,
397.692 -2876.09 -0.875002,   50 209 211 212,               stand,  0.0 0.0 0.0,         ,
218.743 -2949.67 -0.875002,   209 210 214,                  stand,  0.0 0.0 0.0,         ,
618.549 -2942.9 -0.875002,    100 210,                      stand,  0.0 0.0 0.0,         ,
425.765 -3080.97 -0.875002,   51 214,                       stand,  0.0 0.0 0.0,         ,
227.216 -3130.59 -0.938174,   211 213 215,                  stand,  0.0 0.0 0.0,         ,
156.936 -3395.43 -0.934992,   214 216 222 223,              stand,  0.0 0.0 0.0,         ,
184.013 -3668.1 -0.875002,    215 217 218 222 223,          stand,  0.0 0.0 0.0,         ,
387.941 -3817.52 -2.69997,    55 216 218 250 251,           stand,  0.0 0.0 0.0,         ,
31.8527 -3905.99 -3.91186,    216 217 219 220,              stand,  0.0 0.0 0.0,         ,
11.036 -4062.84 -0.874999,    218 220 248 249,              stand,  0.0 0.0 0.0,         ,
-214.791 -3869.02 1.47476,    218 219 221 222 255,          stand,  0.0 0.0 0.0,         ,
-428.573 -3720.38 -1.56094,   114 115 220 222 255,          stand,  0.0 0.0 0.0,         ,
-68.4167 -3668.75 1.77924,    215 216 220 221 223,          stand,  0.0 0.0 0.0,         ,
-154.352 -3427.89 -4.875,     114 202 206 215 216 222,      stand,  0.0 0.0 0.0,         ,
-110.666 -2418.56 5.125,      204 208 225 226,              stand,  0.0 0.0 0.0,         ,
-3.29483 -2197.41 -4.77497,   193 224 226 284,              stand,  0.0 0.0 0.0,         ,
-259.677 -2156.41 -3.69779,   224 225 227 229 230,          stand,  0.0 0.0 0.0,         ,
-464.939 -2245.41 3.11842,    33 197 226 228 229 332,       stand,  0.0 0.0 0.0,         ,
-562.484 -2532.89 7.39902,    196 197 205 227 229,          stand,  0.0 0.0 0.0,         ,
-383.028 -2498.58 6.69391,    205 226 227 228,              stand,  0.0 0.0 0.0,         ,
-193.655 -1901.24 -4.875,     193 226 231 280,              stand,  0.0 0.0 0.0,         ,
-62.4535 -1652.4 1.52764,     193 230 232 235,              stand,  0.0 0.0 0.0,         ,
-186.964 -1409.69 -4.875,     231 233 238,                  stand,  0.0 0.0 0.0,         ,
-4.21513 -1209.09 -4.875,     232 234 235 236,              stand,  0.0 0.0 0.0,         ,
147.761 -1048.04 -4.875,      173 233 236 264,              stand,  0.0 0.0 0.0,         ,
-0.699471 -1424.87 -4.875,    231 233 236,                  stand,  0.0 0.0 0.0,         ,
-231.705 -1120.75 -4.875,     233 234 235 238 239 266,      stand,  0.0 0.0 0.0,         ,
-965.478 -1396.73 42.2439,    106 275 281,                  stand,  0.0 0.0 0.0,         ,
-441.012 -1304.05 0.378878,   232 236 239 279,              stand,  0.0 0.0 0.0,         ,
-570.352 -1075.2 8.6901,      236 238 266 273 274 281,      stand,  0.0 0.0 0.0,         ,
2190.1 -2926.44 6.625,        57 143 151 287,               stand,  0.0 0.0 0.0,         ,
136.603 -4618.82 -0.380695,   1 248 253 340,                stand,  0.0 0.0 0.0,         ,
687.291 -4715.48 -0.875,      1 243 247 340,                stand,  0.0 0.0 0.0,         ,
959.55 -4737.43 5.76086,      242 244 245 247 278,          stand,  0.0 0.0 0.0,         ,
1232.72 -4675.61 -0.875002,   130 243 245 278,              stand,  0.0 0.0 0.0,         ,
996.591 -4417.35 1.425,       243 244 246 247 278,          stand,  0.0 0.0 0.0,         ,
1013.46 -4178.9 -4.875,       120 245 252,                  stand,  0.0 0.0 0.0,         ,
795.934 -4396.79 5.125,       242 243 245 252,              stand,  0.0 0.0 0.0,         ,
69.2588 -4338.89 12.125,      219 241 249 253,              stand,  0.0 0.0 0.0,         ,
308.836 -4288.01 5.125,       219 248 250,                  stand,  0.0 0.0 0.0,         ,
416.799 -4054.39 -4.875,      217 249 251,                  stand,  0.0 0.0 0.0,         ,
641.396 -3988.24 7.82881,     55 217 250 252,               stand,  0.0 0.0 0.0,         ,
835.019 -4156.41 -4.875,      246 247 251,                  stand,  0.0 0.0 0.0,         ,
-60.3462 -4506.0 -0.875,      0 21 241 248 254,             stand,  0.0 0.0 0.0,         ,
-366.169 -4489.58 -0.875002,  20 253 255,                   stand,  0.0 0.0 0.0,         ,
-379.991 -3996.21 -4.875,     220 221 254 339,              stand,  0.0 0.0 0.0,         ,
1430.15 -3976.8 -2.39305,     119 120 131 257 277,          stand,  0.0 0.0 0.0,         ,
1431.72 -3804.06 -4.85415,    119 120 256 258,              stand,  0.0 0.0 0.0,         ,
1568.33 -3760.44 2.86162,     131 257 259 260,              stand,  0.0 0.0 0.0,         ,
1755.62 -3774.7 4.125,        131 132 138 139 258,          stand,  0.0 0.0 0.0,         ,
1577.47 -3531.2 2.7251,       140 157 258,                  stand,  0.0 0.0 0.0,         ,
2484.75 -3379.83 4.125,       136 137 141 262,              stand,  0.0 0.0 0.0,         ,
2469.18 -3185.51 4.125,       142 261,                      stand,  0.0 0.0 0.0,         ,
488.3 -631.805 -0.999649,     174 264,                      stand,  0.0 0.0 0.0,         ,
195.066 -806.284 -4.875,      173 234 263 265,              stand,  0.0 0.0 0.0,         ,
-119.574 -683.761 8.73755,    264 266 267,                  stand,  0.0 0.0 0.0,         ,
-358.651 -795.839 1.41004,    236 239 265 273 274,          stand,  0.0 0.0 0.0,         ,
-85.6782 -527.091 12.3375,    265 268 270,                  stand,  0.0 0.0 0.0,         ,
237.254 -345.748 23.7404,     6 267 269 347,                stand,  0.0 0.0 0.0,         ,
542.118 -411.562 10.7783,     175 268 346 347,              stand,  0.0 0.0 0.0,         ,
-347.703 -314.192 19.5263,    7 267 271,                    stand,  0.0 0.0 0.0,         ,
-599.899 -128.353 17.0945,    7 270 272 296,                stand,  0.0 0.0 0.0,         ,
-787.938 -422.018 7.30892,    271 273 296 297,              stand,  0.0 0.0 0.0,         ,
-656.193 -707.637 -4.875,     239 266 272 274,              stand,  0.0 0.0 0.0,         ,
-827.665 -956.872 19.9355,    239 266 273 275 298,          stand,  0.0 0.0 0.0,         ,
-944.469 -1135.05 35.0966,    237 274 281 299,              stand,  0.0 0.0 0.0,         ,
1422.59 -2315.99 -0.749371,   93 146 159,                   stand,  0.0 0.0 0.0,         ,
1465.45 -4275.09 18.4798,     120 256 278,                  stand,  0.0 0.0 0.0,         ,
1237.39 -4424.96 -0.875002,   243 244 245 277,              stand,  0.0 0.0 0.0,         ,
-419.247 -1578.68 2.16571,    238 280 281 331,              stand,  0.0 0.0 0.0,         ,
-373.743 -1845.16 -0.797204,  230 279,                      stand,  0.0 0.0 0.0,         ,
-700.699 -1427.03 29.2364,    237 239 275 279 331,          stand,  0.0 0.0 0.0,         ,
-973.903 -2699.21 45.8916,    110 196,                      stand,  0.0 0.0 0.0,         ,
179.384 -2301.89 -0.875,      193 208 284,                  stand,  0.0 0.0 0.0,         ,
196.72 -2150.03 -0.875002,    192 225 283,                  stand,  0.0 0.0 0.0,         ,
354.571 -1685.17 7.51545,     42 90 192 286,                stand,  0.0 0.0 0.0,         ,
526.031 -1435.59 25.3436,     85 285,                       stand,  0.0 0.0 0.0,         ,
2026.09 -2703.66 22.1584,     80 143 145 150 151 240,       stand,  0.0 0.0 0.0,         ,
-1117.32 -3435.37 30.0788,    39 112 113 116,               stand,  0.0 0.0 0.0,         ,
336.211 -2247.17 124.125,     ,                             stand,  0.0 0.0 0.0,         ,
2141.3 -1294.0 -230.896,      321 322,                      stand,  0.0 0.0 0.0,         ,
-973.7 -1856.0 -204.252,      312 313,                      stand,  0.0 0.0 0.0,         ,
2153.3 -3481.9 7.2652,        56 58,                        stand,  0.0 0.0 0.0,         ,
1888.3 -1434.9 0.219312,      326 327 330,                  stand,  0.0 0.0 0.0,         ,
-1091.3 -1568.9 44.1639,      30 309 310,                   stand,  0.0 0.0 0.0,         ,
-1439.7 -3966.0 -0.137673,    117 307 338,                  stand,  0.0 0.0 0.0,         ,
-973.505 -245.963 7.32046,    271 272,                      stand,  0.0 0.0 0.0,         ,
-1201.99 -503.347 5.125,      272 298,                      stand,  0.0 0.0 0.0,         ,
-1232.18 -765.942 16.7109,    274 297,                      stand,  0.0 0.0 0.0,         ,
-1398.67 -996.836 30.2351,    106 275 301,                  stand,  0.0 0.0 0.0,         ,
-1339.83 -1821.23 43.1793,    31 301 302,                   stand,  0.0 0.0 0.0,         ,
-1504.8 -1545.25 83.6644,     106 299 300 302,              stand,  0.0 0.0 0.0,         ,
-1587.84 -1819.75 110.044,    300 301 303,                  stand,  0.0 0.0 0.0,         ,
-1585.04 -1980.16 101.488,    107 108 302 304,              stand,  0.0 0.0 0.0,         ,
-1617.36 -2142.25 106.726,    108 109 303 305,              stand,  0.0 0.0 0.0,         ,
-1698.72 -2495.66 119.219,    109 304 306,                  stand,  0.0 0.0 0.0,         ,
-1684.64 -2722.22 113.821,    111 305 308,                  stand,  0.0 0.0 0.0,         ,
-1403.37 -3916.25 -0.462993,  116 117 295,                  stand,  0.0 0.0 0.0,         ,
