470
176.544 -839.407 -40.8663,   50 53,                stand,  0.0 0.0 0.0,             ,
-1274.11 966.453 263.125,    145 147,              stand,  0.0 0.0 0.0,             ,
-1164.52 908.358 263.125,    146 148,              stand,  0.0 0.0 0.0,             ,
-1002.81 922.298 263.125,    147 149 154,          stand,  0.0 0.0 0.0,             ,
-834.274 930.31 263.125,     148 150,              stand,  0.0 0.0 0.0,             ,
-662.604 926.548 263.125,    149 151,              stand,  0.0 0.0 0.0,             ,
-532.547 835.89 263.125,     150 152 241,          stand,  0.0 0.0 0.0,             ,
-667.165 698.08 263.125,     151 153 155,          stand,  0.0 0.0 0.0,             ,
-838.97 696.224 263.125,     152 154,              stand,  0.0 0.0 0.0,             ,
-963.943 806.661 263.125,    148 153,              stand,  0.0 0.0 0.0,             ,
-611.087 683.453 263.125,    152 156,              stand,  0.0 0.0 0.0,             ,
-612.936 623.09 263.125,     155 157,              stand,  0.0 0.0 0.0,             ,
-596.612 558.429 263.125,    156 158 310,          stand,  0.0 0.0 0.0,             ,
-589.13 452.084 263.125,     157 159,              stand,  0.0 0.0 0.0,             ,
-585.924 348.379 263.125,    158 160,              stand,  0.0 0.0 0.0,             ,
-583.4 245.801 263.125,      159 161,              stand,  0.0 0.0 0.0,             ,
-582.89 140.892 263.125,     160 162,              stand,  0.0 0.0 0.0,             ,
-590.723 35.1496 263.125,    161 163,              stand,  0.0 0.0 0.0,             ,
-602.361 -66.8004 263.125,   162 164,              stand,  0.0 0.0 0.0,             ,
-614.329 -172.921 263.125,   163 165 313,          stand,  0.0 0.0 0.0,             ,
-625.393 -277.128 264.125,   164 166,              stand,  0.0 0.0 0.0,             ,
-624.999 -378.71 264.125,    165 167,              stand,  0.0 0.0 0.0,             ,
-583.437 -476.496 264.125,   166 168,              stand,  0.0 0.0 0.0,             ,
-779.598 -547.433 264.125,   167 169,              stand,  0.0 0.0 0.0,             ,
-949.624 -529.864 264.125,   168 170,              stand,  0.0 0.0 0.0,             ,
-1053.06 -511.325 265.125,   169 171,              stand,  0.0 0.0 0.0,             ,
-1154.74 -497.361 265.125,   170 172,              stand,  0.0 0.0 0.0,             ,
-1171.11 -561.785 265.125,   171 173,              stand,  0.0 0.0 0.0,             ,
-1167.51 -664.335 265.125,   172 174,              stand,  0.0 0.0 0.0,             ,
-1161.21 -769.232 265.125,   173 175,              stand,  0.0 0.0 0.0,             ,
-1155.82 -860.812 265.125,   174 176,              stand,  0.0 0.0 0.0,             ,
-1259.97 -908.379 265.125,   175 177,              stand,  0.0 0.0 0.0,             ,
-1373.75 -901.788 225.125,   176 178,              stand,  0.0 0.0 0.0,             ,
-1392.95 -958.095 215.662,   177 179,              stand,  0.0 0.0 0.0,             ,
-1394.32 -1011.14 177.775,   178 180,              stand,  0.0 0.0 0.0,             ,
-1397.83 -1130.96 95.125,    179 181,              stand,  0.0 0.0 0.0,             ,
-1396.77 -1320.26 79.0068,   71 180 328,           stand,  0.0 0.0 0.0,             ,
-1079.26 -1250.18 55.2669,   71 183,               stand,  0.0 0.0 0.0,             ,
-945.239 -1163.65 43.0463,   10 182,               stand,  0.0 0.0 0.0,             ,
-719.364 -916.907 -18.4772,  10 185 364,           stand,  0.0 0.0 0.0,             ,
-683.452 -751.104 -24.9031,  184 186 366,          stand,  0.0 0.0 0.0,             ,
-650.384 -585.441 -12.2278,  185 187,              stand,  0.0 0.0 0.0,             ,
-578.42 -437.819 17.3846,    186 188 366,          stand,  0.0 0.0 0.0,             ,
-413.929 -397.893 33.2091,   187 189 367,          stand,  0.0 0.0 0.0,             ,
-249.707 -394.844 69.0407,   188 190 242,          stand,  0.0 0.0 0.0,             ,
-141.953 -278.378 84.4473,   189 191 296,          stand,  0.0 0.0 0.0,             ,
-138.646 -105.897 103.688,   190 192 242 296 358,  stand,  0.0 0.0 0.0,             ,
-136.818 61.9036 111.037,    191 193,              stand,  0.0 0.0 0.0,             ,
-129.818 225.339 112.125,    192 194 390,          stand,  0.0 0.0 0.0,             ,
-120.544 397.612 111.125,    193 195,              stand,  0.0 0.0 0.0,             ,
-110.753 566.238 111.125,    194 196 244 356,      stand,  0.0 0.0 0.0,             ,
-100.862 736.572 111.125,    195 197,              stand,  0.0 0.0 0.0,             ,
-90.9424 907.474 111.125,    196 198 287,          stand,  0.0 0.0 0.0,             ,
-80.9259 1080.05 114.041,    197 199 249 360,      stand,  0.0 0.0 0.0,             ,
-71.1183 1249.04 114.01,     198 200 359 398,      stand,  0.0 0.0 0.0,             ,
-61.4931 1422.05 114.979,    199 201 397,          stand,  0.0 0.0 0.0,             ,
-66.1898 1590.31 112.736,    200 202 248 323,      stand,  0.0 0.0 0.0,             ,
69.1981 1587.06 112.328,     201 203 397 399,      stand,  0.0 0.0 0.0,             ,
240.832 1573.05 111.125,     202 396,              stand,  0.0 0.0 0.0,             ,
765.757 1695.64 120.11,      4 9,                  stand,  0.0 0.0 0.0,             ,
945.676 1590.4 71.323,       206 292 374,          stand,  0.0 0.0 0.0,             ,
1058.44 1656.54 48.625,      205 207,              stand,  0.0 0.0 0.0,             ,
1221.7 1705.09 48.625,       206 208,              stand,  0.0 0.0 0.0,             ,
1392.55 1735.36 48.625,      22 207 375,           stand,  0.0 0.0 0.0,             ,
553.009 1615.3 119.125,      9 210 373,            stand,  0.0 0.0 0.0,             ,
609.21 1440.36 119.125,      209 211 222,          stand,  0.0 0.0 0.0,             ,
662.74 1398.47 119.125,      210 212,              stand,  0.0 0.0 0.0,             ,
750.002 1339.65 119.125,     21 211 213,           stand,  0.0 0.0 0.0,             ,
767.302 1148.13 119.125,     21 212 214 380,       stand,  0.0 0.0 0.0,             ,
738.664 1054.08 119.125,     213 215 221,          stand,  0.0 0.0 0.0,             ,
763.16 990.568 119.125,      214 216,              stand,  0.0 0.0 0.0,             ,
788.514 833.68 119.125,      215 322,              stand,  0.0 0.0 0.0,             ,
603.196 733.933 119.125,     218 290 322,          stand,  0.0 0.0 0.0,             ,
600.201 628.692 110.669,     217 219,              stand,  0.0 0.0 0.0,             ,
601.05 569.537 71.4271,      218 220,              stand,  0.0 0.0 0.0,             ,
655.425 415.724 32.8844,     41 219,               stand,  0.0 0.0 0.0,             ,
528.859 1018.49 119.125,     214 322,              stand,  0.0 0.0 0.0,             ,
582.927 1319.17 119.125,     210 378 380,          stand,  0.0 0.0 0.0,             ,
385.633 1314.28 154.777,     378 379,              stand,  0.0 0.0 0.0,             ,
244.052 1268.73 191.125,     225 379,              stand,  0.0 0.0 0.0,             ,
250.705 1177.75 235.246,     224 226,              stand,  0.0 0.0 0.0,             ,
249.515 1083.88 263.125,     225 227,              stand,  0.0 0.0 0.0,             ,
264.494 1024.85 263.125,     226 228 237,          stand,  0.0 0.0 0.0,             ,
368.515 1025.5 263.125,      227 229,              stand,  0.0 0.0 0.0,             ,
471.519 1024.84 263.125,     228 230 236,          stand,  0.0 0.0 0.0,             ,
575.275 1023.21 263.125,     229 231,              stand,  0.0 0.0 0.0,             ,
682.24 1020.12 263.125,      230 232,              stand,  0.0 0.0 0.0,             ,
780.282 984.581 263.125,     231 233,              stand,  0.0 0.0 0.0,             ,
804.024 882.58 263.125,      232 234,              stand,  0.0 0.0 0.0,             ,
701.899 782.874 263.125,     233 235,              stand,  0.0 0.0 0.0,             ,
543.574 825.559 263.125,     234 236,              stand,  0.0 0.0 0.0,             ,
473.231 972.603 263.125,     229 235,              stand,  0.0 0.0 0.0,             ,
249.379 895.174 263.125,     227 238,              stand,  0.0 0.0 0.0,             ,
-38.8319 900.936 261.625,    237 239,              stand,  0.0 0.0 0.0,             ,
-306.656 906.723 263.125,    238 240 404,          stand,  0.0 0.0 0.0,             ,
-302.615 790.411 263.125,    239 241 245,          stand,  0.0 0.0 0.0,             ,
-451.866 793.89 263.125,     151 240,              stand,  0.0 0.0 0.0,             ,
-316.964 -180.913 75.5535,   189 191 388,          stand,  0.0 0.0 0.0,             ,
-317.011 134.65 63.125,      386 387,              stand,  0.0 0.0 0.0,             ,
-316.24 557.728 103.125,     195 245 382,          climb,  -5.07568 87.0007 0.0,    ,
-316.655 610.338 263.125,    240 244,              climb,  -5.72937 89.8682 0.0,    ,
-295.972 1129.69 163.799,    247 249,              stand,  0.0 0.0 0.0,             ,
-375.061 1172.22 158.443,    246 248 400,          stand,  0.0 0.0 0.0,             ,
-346.109 1570.65 116.333,    201 247,              stand,  0.0 0.0 0.0,             ,
-197.529 1137.54 126.788,    198 246,              stand,  0.0 0.0 0.0,             ,
-639.367 -1337.5 34.04,      5 10 251 363,         stand,  0.0 0.0 0.0,             ,
-422.421 -1282.53 40.7423,   59 250 365,           stand,  0.0 0.0 0.0,             ,
894.712 -436.456 56.125,     2 46 253,             stand,  0.0 0.0 0.0,             ,
887.725 -534.105 71.125,     252 254,              stand,  0.0 0.0 0.0,             ,
1016.02 -549.749 71.125,     253 255,              stand,  0.0 0.0 0.0,             ,
1009.02 -654.819 74.2835,    254 256,              stand,  0.0 0.0 0.0,             ,
1001.21 -936.847 240.125,    255 257,              stand,  0.0 0.0 0.0,             ,
979.983 -1068.82 239.125,    256 258,              stand,  0.0 0.0 0.0,             ,
566.169 -1057.4 239.125,     257 259 266,          stand,  0.0 0.0 0.0,             ,
556.622 -926.023 239.125,    258 260 265,          stand,  0.0 0.0 0.0,             ,
601.263 -884.197 239.125,    259 261,              stand,  0.0 0.0 0.0,             ,
703.564 -883.684 239.125,    260 262,              stand,  0.0 0.0 0.0,             ,
753.509 -845.461 239.125,    261 263,              stand,  0.0 0.0 0.0,             ,
744.585 -655.18 239.125,     262 264,              stand,  0.0 0.0 0.0,             ,
619.676 -632.773 239.125,    263 265,              stand,  0.0 0.0 0.0,             ,
578.05 -818.197 239.125,     259 264,              stand,  0.0 0.0 0.0,             ,
498.408 -1062.05 239.125,    258 267,              stand,  0.0 0.0 0.0,             ,
400.055 -1054.88 239.125,    266 268,              stand,  0.0 0.0 0.0,             ,
343.367 -1090.02 239.125,    267 269,              stand,  0.0 0.0 0.0,             ,
160.057 -1126.43 239.125,    268 270,              stand,  0.0 0.0 0.0,             ,
54.5426 -1138.23 239.125,    269 279 468 469,      stand,  0.0 0.0 0.0,             ,
-216.458 -1291.47 239.125,   272 276 286 468,      stand,  0.0 0.0 0.0,             ,
-315.15 -1309.74 239.125,    271 273,              stand,  0.0 0.0 0.0,             ,
-454.317 -1216.58 239.125,   272 274,              stand,  0.0 0.0 0.0,             ,
-471.426 -1051.85 239.125,   273 275,              stand,  0.0 0.0 0.0,             ,
-430.241 -883.177 239.125,   274 276 469,          stand,  0.0 0.0 0.0,             ,
-302.092 -770.697 239.125,   271 275 277,          stand,  0.0 0.0 0.0,             ,
-134.498 -742.716 239.125,   276 278 368,          stand,  0.0 0.0 0.0,             ,
12.9533 -825.011 239.125,    277 279,              stand,  0.0 0.0 0.0,             ,
60.786 -987.936 239.125,     270 278,              stand,  0.0 0.0 0.0,             ,
118.752 -1426.25 133.625,    281 467,              stand,  0.0 0.0 0.0,             ,
146.53 -1487.75 133.625,     280 282,              stand,  0.0 0.0 0.0,             ,
84.5883 -1546.03 133.625,    281 283,              stand,  0.0 0.0 0.0,             ,
-18.9739 -1542.3 66.1993,    282 284,              stand,  0.0 0.0 0.0,             ,
-107.019 -1539.96 4.125,     58 283 285,           stand,  0.0 0.0 0.0,             ,
-257.539 -1518.75 6.46112,   60 284,               stand,  0.0 0.0 0.0,             ,
-150.637 -1433.86 237.125,   271 466,              stand,  0.0 0.0 0.0,             ,
138.628 824.157 119.125,     197 288 360,          stand,  0.0 0.0 0.0,             ,
320.499 819.271 119.125,     287 289,              stand,  0.0 0.0 0.0,             ,
322.154 687.583 119.125,     288 290,              stand,  0.0 0.0 0.0,             ,
529.997 706.21 119.125,      217 289,              stand,  0.0 0.0 0.0,             ,
987.361 1141.07 64.0566,     35 39 292,            stand,  0.0 0.0 0.0,             ,
1002.51 1436.84 62.6186,     205 291,              stand,  0.0 0.0 0.0,             ,
1041.95 2111.2 192.717,      31 294,               stand,  0.0 0.0 0.0,             ,
911.586 2284.92 227.429,     293 295 341,          stand,  0.0 0.0 0.0,             ,
833.679 2401.19 223.575,     128 294,              stand,  0.0 0.0 0.0,             ,
70.2671 -176.136 92.4438,    190 191 370,          stand,  0.0 0.0 0.0,             ,
271.138 -353.968 23.125,     369 370,              stand,  0.0 0.0 0.0,             ,
-1166.12 -2129.29 63.125,    68 299 329,           stand,  0.0 0.0 0.0,             ,
-1269.6 -2112.21 121.125,    298 300,              stand,  0.0 0.0 0.0,             ,
-1684.42 -2079.15 119.125,   299 301,              stand,  0.0 0.0 0.0,             ,
-1686.32 -1942.68 119.125,   300 302,              stand,  0.0 0.0 0.0,             ,
-1684.9 -1861.91 87.125,     74 76 301,            stand,  0.0 0.0 0.0,             ,
-2118.59 -2050.36 79.125,    8 76,                 stand,  0.0 0.0 0.0,             ,
-2476.41 -1517.57 79.125,    77 325 327,           stand,  0.0 0.0 0.0,             ,
-2419.04 -1090.86 79.125,    326 327,              stand,  0.0 0.0 0.0,             ,
-1246.1 411.437 95.125,      90 307,               stand,  0.0 0.0 0.0,             ,
-1112.32 200.692 95.125,     306 308 314 317,      stand,  0.0 0.0 0.0,             ,
-904.572 194.481 183.125,    307 309 311,          stand,  0.0 0.0 0.0,             ,
-809.405 340.453 184.137,    308 310,              stand,  0.0 0.0 0.0,             ,
-796.536 529.304 263.125,    157 309,              stand,  0.0 0.0 0.0,             ,
-794.397 50.6086 183.125,    308 312,              stand,  0.0 0.0 0.0,             ,
-831.441 -127.216 264.125,   311 313,              stand,  0.0 0.0 0.0,             ,
-741.92 -197.796 263.125,    164 312,              stand,  0.0 0.0 0.0,             ,
-1257.61 -28.3386 95.125,    88 307,               stand,  0.0 0.0 0.0,             ,
-960.107 -105.865 95.125,    316 321,              stand,  0.0 0.0 0.0,             ,
-1273.86 -272.99 95.125,     86 315,               stand,  0.0 0.0 0.0,             ,
-1310.27 167.821 95.125,     89 307 320 321,       stand,  0.0 0.0 0.0,             ,
-919.898 512.169 95.125,     319 320,              stand,  0.0 0.0 0.0,             ,
-1276.34 669.831 95.125,     16 318,               stand,  0.0 0.0 0.0,             ,
-1064.39 343.953 95.125,     317 318,              stand,  0.0 0.0 0.0,             ,
-1041.56 36.0383 95.125,     315 317,              stand,  0.0 0.0 0.0,             ,
575.131 831.747 119.125,     216 217 221,          stand,  0.0 0.0 0.0,             ,
-157.247 1818.52 142.125,    136 137 201 399,      stand,  0.0 0.0 0.0,             ,
-373.513 1923.46 153.125,    394 395,              stand,  0.0 0.0 0.0,             ,
-2284.5 -1497.53 79.125,     304 326 331 333,      stand,  0.0 0.0 0.0,             ,
-2352.13 -1283.02 79.125,    305 325,              stand,  0.0 0.0 0.0,             ,
-2632.84 -1129.99 79.125,    304 305,              stand,  0.0 0.0 0.0,             ,
-1709.89 -1084.76 79.125,    78 181,               stand,  0.0 0.0 0.0,             ,
-1075.87 -2385.11 63.8174,   298 361,              stand,  0.0 0.0 0.0,             ,
-1791.44 -1442.66 79.125,    78 332,               stand,  0.0 0.0 0.0,             ,
-1980.66 -1718.03 79.125,    76 325,               stand,  0.0 0.0 0.0,             ,
-1724.66 -1590.61 79.125,    74 330,               stand,  0.0 0.0 0.0,             ,
-2153.67 -1343.16 79.125,    325 334,              stand,  0.0 0.0 0.0,             ,
-2097.47 -1075.56 79.125,    78 333,               stand,  0.0 0.0 0.0,             ,
570.7 2646.08 240.586,       128 336,              stand,  0.0 0.0 0.0,             ,
353.34 2698.05 311.074,      335 337,              stand,  0.0 0.0 0.0,             ,
-6.87582 2689.31 296.718,    336 338,              stand,  0.0 0.0 0.0,             ,
-132.657 2841.28 327.44,     116 337,              stand,  0.0 0.0 0.0,             ,
