314
1197.07 4717.61 -4.875,    1 107 283,             stand,  0.0 0.0 0.0,          ,
3300.68 2044.02 29.125,    56 58,                 stand,  0.0 0.0 0.0,          ,
3336.42 2211.7 29.125,     57 59 242,             stand,  0.0 0.0 0.0,          ,
3449.93 2331.83 29.125,    58 60,                 stand,  0.0 0.0 0.0,          ,
3550.63 2360.25 29.125,    59 61,                 stand,  0.0 0.0 0.0,          ,
3652.3 2384.68 29.125,     60 62,                 stand,  0.0 0.0 0.0,          ,
3753.98 2409.11 29.125,    61 63,                 stand,  0.0 0.0 0.0,          ,
3855.66 2433.55 29.125,    62 64,                 stand,  0.0 0.0 0.0,          ,
3957.33 2457.96 29.125,    63 65,                 stand,  0.0 0.0 0.0,          ,
4059.01 2482.17 29.125,    64 66,                 stand,  0.0 0.0 0.0,          ,
4161.96 2499.66 31.125,    65 67 251,             stand,  0.0 0.0 0.0,          ,
4266.35 2505.58 31.125,    66 68 249,             stand,  0.0 0.0 0.0,          ,
4370.37 2516.01 31.125,    67 69,                 stand,  0.0 0.0 0.0,          ,
4464.89 2560.85 31.125,    68 70,                 stand,  0.0 0.0 0.0,          ,
4534.67 2638.71 31.125,    69 71,                 stand,  0.0 0.0 0.0,          ,
4576.56 2734.41 31.125,    70 72,                 stand,  0.0 0.0 0.0,          ,
4590.72 2838.02 31.125,    71 73,                 stand,  0.0 0.0 0.0,          ,
4570.62 2940.86 31.125,    72 74 250 251,         stand,  0.0 0.0 0.0,          ,
4541.75 3041.35 31.125,    73 75 249,             stand,  0.0 0.0 0.0,          ,
4486.57 3130.31 31.125,    74 76,                 stand,  0.0 0.0 0.0,          ,
4403.11 3193.41 31.125,    75 77 253,             stand,  0.0 0.0 0.0,          ,
4300.54 3213.96 31.125,    76 78,                 stand,  0.0 0.0 0.0,          ,
4196.08 3218.74 31.125,    77 79 256,             stand,  0.0 0.0 0.0,          ,
4091.65 3226.4 31.125,     78 80,                 stand,  0.0 0.0 0.0,          ,
4002.69 3281.73 29.125,    79 81,                 stand,  0.0 0.0 0.0,          ,
3959.14 3376.71 31.125,    80 82 244,             stand,  0.0 0.0 0.0,          ,
3948.34 3480.6 29.625,     81 83 245,             stand,  0.0 0.0 0.0,          ,
3938.51 3584.65 29.625,    82 84,                 stand,  0.0 0.0 0.0,          ,
3925.21 3688.35 29.625,    83 85,                 stand,  0.0 0.0 0.0,          ,
3888.55 3786.38 29.625,    84 86,                 stand,  0.0 0.0 0.0,          ,
3821.75 3866.76 29.625,    85 87 258,             stand,  0.0 0.0 0.0,          ,
3733.64 3923.07 29.625,    86 88,                 stand,  0.0 0.0 0.0,          ,
3634.86 3957.18 29.625,    87 89,                 stand,  0.0 0.0 0.0,          ,
3530.83 3967.46 29.625,    88 90 259,             stand,  0.0 0.0 0.0,          ,
3426.27 3966.63 29.625,    89 91,                 stand,  0.0 0.0 0.0,          ,
3321.73 3964.53 29.625,    90 92,                 stand,  0.0 0.0 0.0,          ,
3217.46 3956.37 29.625,    91 93 265,             stand,  0.0 0.0 0.0,          ,
3120.78 3946.61 -4.875,    92 94,                 stand,  0.0 0.0 0.0,          ,
3016.72 3935.94 -4.875,    93 95,                 stand,  0.0 0.0 0.0,          ,
2912.99 3955.79 -4.875,    94 96 279,             stand,  0.0 0.0 0.0,          ,
2851.5 4117.52 -4.875,     95 97 279,             stand,  0.0 0.0 0.0,          ,
2700.21 4184.01 -6.375,    96 98 98 270,          stand,  0.0 0.0 0.0,          ,
2546.82 4115.97 -6.375,    97 97 99 191 271 285,  stand,  0.0 0.0 0.0,          ,
2403.76 4021.56 -4.875,    98 100 144,            stand,  0.0 0.0 0.0,          ,
2237.14 3983.97 -4.875,    99 101 272,            stand,  0.0 0.0 0.0,          ,
2069.6 4016.38 -4.875,     100 102 108 273,       stand,  0.0 0.0 0.0,          ,
1909.91 4078.75 -6.375,    101 103 273,           stand,  0.0 0.0 0.0,          ,
1742.69 4100.18 -6.375,    102 104 193 275,       stand,  0.0 0.0 0.0,          ,
1571.25 4095.34 -6.375,    103 105 200 303,       stand,  0.0 0.0 0.0,          ,
1422.23 4172.08 -6.375,    3 104 106,             stand,  0.0 0.0 0.0,          ,
1378.69 4336.99 -6.375,    2 105 107 198,         stand,  0.0 0.0 0.0,          ,
1359.37 4507.32 -4.875,    0 106,                 stand,  0.0 0.0 0.0,          ,
2102.42 3997.22 -4.875,    101 109,               stand,  0.0 0.0 0.0,          ,
2157.16 3746.34 27.125,    108 110,               stand,  0.0 0.0 0.0,          ,
2157.79 3648.43 43.125,    109 111,               stand,  0.0 0.0 0.0,          ,
2162.51 3559.09 99.125,    110 112,               stand,  0.0 0.0 0.0,          ,
2170.54 3457.38 107.125,   111 113,               stand,  0.0 0.0 0.0,          ,
2175.12 3352.87 107.125,   112 114,               stand,  0.0 0.0 0.0,          ,
2139.16 3254.37 107.125,   113 115 149,           stand,  0.0 0.0 0.0,          ,
2039.79 3222.17 107.125,   114 116,               stand,  0.0 0.0 0.0,          ,
1937.94 3246.17 107.125,   115 117,               stand,  0.0 0.0 0.0,          ,
1833.51 3254.96 107.125,   116 118,               stand,  0.0 0.0 0.0,          ,
1739.6 3208.3 111.125,     117 119 181,           stand,  0.0 0.0 0.0,          ,
1636.05 3192.17 115.125,   118 120,               stand,  0.0 0.0 0.0,          ,
1532.55 3207.69 115.125,   119 121 293,           stand,  0.0 0.0 0.0,          ,
1427.16 3199.41 115.125,   120 122 296,           stand,  0.0 0.0 0.0,          ,
1326.78 3184.33 115.125,   121 123 296,           stand,  0.0 0.0 0.0,          ,
1252.83 3029.37 115.125,   122 124,               stand,  0.0 0.0 0.0,          ,
1143.48 2903.17 115.125,   123 125 292,           stand,  0.0 0.0 0.0,          ,
984.506 2841.63 115.125,   124 126 291,           stand,  0.0 0.0 0.0,          ,
880.778 2829.66 111.125,   125 127 207 311,       stand,  0.0 0.0 0.0,          ,
800.477 2761.01 111.125,   126 128 140,           stand,  0.0 0.0 0.0,          ,
767.536 2660.55 111.125,   127 129 312,           stand,  0.0 0.0 0.0,          ,
757.246 2557.29 119.125,   128 130,               stand,  0.0 0.0 0.0,          ,
744.013 2466.23 159.125,   129 131,               stand,  0.0 0.0 0.0,          ,
728.797 2364.96 167.125,   130 132,               stand,  0.0 0.0 0.0,          ,
722.162 2260.65 167.125,   29 131 133,            stand,  0.0 0.0 0.0,          ,
729.212 2156.3 167.125,    132 134 136,           stand,  0.0 0.0 0.0,          ,
737.527 2052.12 167.125,   133 135,               stand,  0.0 0.0 0.0,          ,
745.732 1947.94 167.125,   33 134,                stand,  0.0 0.0 0.0,          ,
793.927 2184.02 167.125,   133 137,               stand,  0.0 0.0 0.0,          ,
960.925 2220.35 167.125,   136 138,               stand,  0.0 0.0 0.0,          ,
1123.58 2170.47 167.125,   137 139,               stand,  0.0 0.0 0.0,          ,
1248.77 2056.31 167.125,   39 138,                stand,  0.0 0.0 0.0,          ,
770.653 2815.51 111.125,   127 141 207,           stand,  0.0 0.0 0.0,          ,
662.996 2945.96 111.125,   140 142,               stand,  0.0 0.0 0.0,          ,
542.023 3067.64 111.125,   19 141 143,            stand,  0.0 0.0 0.0,          ,
412.945 3180.82 111.125,   17 18 142 206,         stand,  0.0 0.0 0.0,          ,
2381.17 3982.79 -4.875,    99 145 270,            stand,  0.0 0.0 0.0,          ,
2323.74 3823.97 -4.875,    144 146,               stand,  0.0 0.0 0.0,          ,
2308.36 3666.7 43.125,     145 147,               stand,  0.0 0.0 0.0,          ,
2298.98 3513.41 107.125,   146 148,               stand,  0.0 0.0 0.0,          ,
2279.57 3341.92 107.125,   147 149,               stand,  0.0 0.0 0.0,          ,
2429.3 3257.22 107.125,    114 148 150,           stand,  0.0 0.0 0.0,          ,
2574.38 3272.36 107.125,   149 151,               stand,  0.0 0.0 0.0,          ,
2711.5 3169.66 107.125,    150 152 182,           stand,  0.0 0.0 0.0,          ,
2856.08 3082.31 103.125,   151 153,               stand,  0.0 0.0 0.0,          ,
2953.18 2950.07 103.125,   152 154 248,           stand,  0.0 0.0 0.0,          ,
2899.33 2787.26 111.625,   153 155,               stand,  0.0 0.0 0.0,          ,
2873.61 2685.94 111.625,   154 156,               stand,  0.0 0.0 0.0,          ,
2848.0 2584.54 111.625,    155 157 240,           stand,  0.0 0.0 0.0,          ,
2826.22 2482.25 111.625,   156 158,               stand,  0.0 0.0 0.0,          ,
2814.93 2378.28 111.625,   157 159,               stand,  0.0 0.0 0.0,          ,
2822.57 2277.54 107.125,   158 160,               stand,  0.0 0.0 0.0,          ,
2867.33 2182.92 107.125,   159 161,               stand,  0.0 0.0 0.0,          ,
2789.16 2048.81 107.125,   160 162,               stand,  0.0 0.0 0.0,          ,
2626.32 2101.28 107.125,   161 163 231,           stand,  0.0 0.0 0.0,          ,
2463.61 2152.6 107.125,    162 164 190,           stand,  0.0 0.0 0.0,          ,
2292.18 2154.95 107.125,   163 165,               stand,  0.0 0.0 0.0,          ,
2123.2 2145.88 107.125,    164 166,               stand,  0.0 0.0 0.0,          ,
2020.6 2125.75 107.125,    165 167 171,           stand,  0.0 0.0 0.0,          ,
1922.34 2090.14 107.125,   166 168,               stand,  0.0 0.0 0.0,          ,
1835.42 2032.01 107.125,   167 169 214,           stand,  0.0 0.0 0.0,          ,
1759.03 1960.55 107.125,   168 170,               stand,  0.0 0.0 0.0,          ,
1686.08 1885.54 107.125,   42 169,                stand,  0.0 0.0 0.0,          ,
2024.87 2187.55 107.125,   166 172,               stand,  0.0 0.0 0.0,          ,
2097.47 2339.87 107.125,   171 173,               stand,  0.0 0.0 0.0,          ,
2067.85 2398.61 107.125,   172 174,               stand,  0.0 0.0 0.0,          ,
2062.09 2503.1 107.125,    173 175,               stand,  0.0 0.0 0.0,          ,
2091.42 2604.74 107.125,   174 176,               stand,  0.0 0.0 0.0,          ,
2118.67 2700.0 107.125,    175 177 186 187,       stand,  0.0 0.0 0.0,          ,
1987.98 2713.87 107.125,   176 178,               stand,  0.0 0.0 0.0,          ,
1820.03 2680.3 107.125,    177 179,               stand,  0.0 0.0 0.0,          ,
1762.41 2796.41 107.125,   178 180,               stand,  0.0 0.0 0.0,          ,
1778.31 2967.16 107.125,   179 181 235,           stand,  0.0 0.0 0.0,          ,
1760.09 3135.64 107.125,   118 180,               stand,  0.0 0.0 0.0,          ,
2688.67 3094.97 107.125,   151 183,               stand,  0.0 0.0 0.0,          ,
2684.46 2925.03 107.125,   182 184 239,           stand,  0.0 0.0 0.0,          ,
2725.88 2757.82 107.125,   183 185,               stand,  0.0 0.0 0.0,          ,
2588.18 2686.68 107.125,   184 186,               stand,  0.0 0.0 0.0,          ,
2415.41 2682.94 107.125,   176 185 187,           stand,  0.0 0.0 0.0,          ,
2322.36 2574.55 107.125,   176 186 188 232,       stand,  0.0 0.0 0.0,          ,
2333.57 2403.55 107.125,   187 189,               stand,  0.0 0.0 0.0,          ,
2359.17 2302.07 107.125,   188 190,               stand,  0.0 0.0 0.0,          ,
2416.64 2214.72 107.125,   163 189,               stand,  0.0 0.0 0.0,          ,
2356.41 4274.64 -4.375,    98 192,                stand,  0.0 0.0 0.0,          ,
2212.37 4326.62 -4.375,    191 193,               stand,  0.0 0.0 0.0,          ,
2021.59 4185.61 -4.375,    103 192,               stand,  0.0 0.0 0.0,          ,
1534.86 4292.74 -6.375,    195 198,               stand,  0.0 0.0 0.0,          ,
1737.77 4243.72 -6.375,    194 196,               stand,  0.0 0.0 0.0,          ,
1752.66 4481.83 -6.375,    195 197,               stand,  0.0 0.0 0.0,          ,
1561.61 4479.37 -6.375,    196 198,               stand,  0.0 0.0 0.0,          ,
1492.0 4374.58 -6.375,     106 194 197,           stand,  0.0 0.0 0.0,          ,
1124.82 3941.26 -4.875,    3 200,                 stand,  0.0 0.0 0.0,          ,
1466.17 3954.06 -4.875,    104 199,               stand,  0.0 0.0 0.0,          ,
924.963 4613.24 -4.875,    4 202,                 stand,  0.0 0.0 0.0,          ,
567.49 4645.2 -4.875,      7 201 203,             stand,  0.0 0.0 0.0,          ,
261.459 4646.76 -4.875,    8 202,                 stand,  0.0 0.0 0.0,          ,
890.678 3862.71 -3.875,    4 205,                 stand,  0.0 0.0 0.0,          ,
688.882 3858.27 -4.875,    6 7 12 204,            stand,  0.0 0.0 0.0,          ,
574.947 3288.05 111.125,   17 143 207 311,        stand,  0.0 0.0 0.0,          ,
922.474 3296.12 111.125,   126 140 206,           stand,  0.0 0.0 0.0,          ,
34.98 3265.68 111.125,     17 209 290,            stand,  0.0 0.0 0.0,          ,
-305.146 3207.06 111.125,  208 210,               stand,  0.0 0.0 0.0,          ,
-338.153 3017.35 111.125,  209 211 290,           stand,  0.0 0.0 0.0,          ,
-60.2136 3011.27 111.125,  20 210,                stand,  0.0 0.0 0.0,          ,
263.477 2857.9 141.863,    21 213,                stand,  0.0 0.0 0.0,          ,
446.43 2564.33 166.852,    29 212,                stand,  0.0 0.0 0.0,          ,
1939.27 1977.22 105.125,   168 215,               stand,  0.0 0.0 0.0,          ,
2012.28 1937.07 75.1062,   214 216 226,           stand,  0.0 0.0 0.0,          ,
2200.39 1917.51 67.9308,   215 217,               stand,  0.0 0.0 0.0,          ,
2262.28 1914.69 66.9487,   216 218,               stand,  0.0 0.0 0.0,          ,
2434.5 1840.92 67.7622,    217 219,               stand,  0.0 0.0 0.0,          ,
2534.07 1761.32 76.1832,   218 220 230,           stand,  0.0 0.0 0.0,          ,
2542.63 1643.29 75.958,    219 221,               stand,  0.0 0.0 0.0,          ,
2424.11 1501.83 73.0773,   220 222 229,           stand,  0.0 0.0 0.0,          ,
2309.59 1419.24 77.1958,   221 223,               stand,  0.0 0.0 0.0,          ,
2187.23 1403.44 81.5846,   222 224 228,           stand,  0.0 0.0 0.0,          ,
2084.15 1480.15 82.0431,   223 225 227,           stand,  0.0 0.0 0.0,          ,
2033.17 1655.08 60.1079,   224 226,               stand,  0.0 0.0 0.0,          ,
2032.19 1838.69 69.1643,   215 225,               stand,  0.0 0.0 0.0,          ,
1992.59 1404.7 105.125,    46 224,                stand,  0.0 0.0 0.0,          ,
2193.14 1281.68 107.125,   48 223,                stand,  0.0 0.0 0.0,          ,
2538.92 1428.26 107.125,   51 221,                stand,  0.0 0.0 0.0,          ,
2676.13 1742.87 107.125,   53 219 231,            stand,  0.0 0.0 0.0,          ,
2687.12 1884.36 107.125,   162 230,               stand,  0.0 0.0 0.0,          ,
2237.07 2773.52 109.125,   187 233,               stand,  0.0 0.0 0.0,          ,
2222.3 2894.71 59.125,     232 234 237,           stand,  0.0 0.0 0.0,          ,
1933.71 3006.84 59.125,    233 235 236,           stand,  0.0 0.0 0.0,          ,
1818.82 3014.39 107.125,   180 234,               stand,  0.0 0.0 0.0,          ,
2214.81 3090.86 59.125,    234 237,               stand,  0.0 0.0 0.0,          ,
2361.62 2967.64 59.125,    233 236 238,           stand,  0.0 0.0 0.0,          ,
2486.45 2976.93 68.625,    237 239,               stand,  0.0 0.0 0.0,          ,
2575.51 2980.16 100.125,   183 238,               stand,  0.0 0.0 0.0,          ,
2987.55 2534.26 111.625,   156 241,               stand,  0.0 0.0 0.0,          ,
3169.73 2525.03 29.125,    240 242,               stand,  0.0 0.0 0.0,          ,
3373.76 2535.61 29.125,    58 241 243,            stand,  0.0 0.0 0.0,          ,
3807.01 2661.92 29.125,    242 244,               stand,  0.0 0.0 0.0,          ,
3864.46 3055.16 29.125,    81 243 245 249,        stand,  0.0 0.0 0.0,          ,
3625.09 3104.99 29.5956,   82 244 246,            stand,  0.0 0.0 0.0,          ,
3434.55 3117.32 29.5594,   245 247,               stand,  0.0 0.0 0.0,          ,
3272.93 3101.39 103.125,   246 248,               stand,  0.0 0.0 0.0,          ,
3094.94 2889.63 103.125,   153 247,               stand,  0.0 0.0 0.0,          ,
4139.94 2996.6 31.125,     67 74 244,             stand,  0.0 0.0 0.0,          ,
4626.33 3223.76 31.125,    73 252,                stand,  0.0 0.0 0.0,          ,
4361.3 2717.92 31.125,     66 73,                 stand,  0.0 0.0 0.0,          ,
4630.87 3268.97 31.125,    250 253,               stand,  0.0 0.0 0.0,          ,
4512.87 3499.79 31.125,    76 252 254 260,        stand,  0.0 0.0 0.0,          ,
4372.95 3605.23 31.125,    253 255,               stand,  0.0 0.0 0.0,          ,
4200.41 3610.24 31.125,    254 257,               stand,  0.0 0.0 0.0,          ,
4141.66 3355.32 31.125,    78 257,                stand,  0.0 0.0 0.0,          ,
4104.1 3598.81 31.125,     255 256,               stand,  0.0 0.0 0.0,          ,
4060.29 4094.16 29.125,    86 259 263,            stand,  0.0 0.0 0.0,          ,
3701.36 4052.28 29.125,    89 258,                stand,  0.0 0.0 0.0,          ,
4514.89 3674.29 29.125,    253 261 264,           stand,  0.0 0.0 0.0,          ,
4205.87 3663.13 29.125,    260 262,               stand,  0.0 0.0 0.0,          ,
4207.48 4080.84 29.125,    261 263 264,           stand,  0.0 0.0 0.0,          ,
4085.95 4080.5 67.9319,    258 262,               stand,  0.0 0.0 0.0,          ,
4335.65 3736.61 29.125,    260 262,               stand,  0.0 0.0 0.0,          ,
3241.69 4058.77 29.125,    92 266,                stand,  0.0 0.0 0.0,          ,
3259.39 4299.64 147.125,   265 267,               stand,  0.0 0.0 0.0,          ,
3148.67 4396.37 147.125,   266 268,               stand,  0.0 0.0 0.0,          ,
2830.85 4404.63 147.125,   267 269 289,           stand,  0.0 0.0 0.0,          ,
2822.61 4155.66 147.125,   268 288 289,           stand,  0.0 0.0 0.0,          ,
2701.88 4098.93 -4.875,    97 144,                stand,  0.0 0.0 0.0,          ,
2631.3 3912.73 -4.875,     98 272,                stand,  0.0 0.0 0.0,          ,
2559.71 3831.63 -4.875,    100 271,               stand,  0.0 0.0 0.0,          ,
1875.7 3879.8 -4.875,      101 102 274,           stand,  0.0 0.0 0.0,          ,
1807.46 3852.32 42.125,    273 275,               stand,  0.0 0.0 0.0,          ,
1816.92 4003.59 43.125,    103 274,               stand,  0.0 0.0 0.0,          ,
2491.08 4535.94 -51.875,   277 280,               stand,  0.0 0.0 0.0,          ,
2841.75 4536.84 -51.875,   276 278,               stand,  0.0 0.0 0.0,          ,
2901.83 4423.41 -4.375,    277 279,               stand,  0.0 0.0 0.0,          ,
2974.81 4098.84 -4.875,    95 96 278,             stand,  0.0 0.0 0.0,          ,
2030.88 4514.13 -51.875,   276 281,               stand,  0.0 0.0 0.0,          ,
1541.03 4681.97 -51.875,   280 282,               stand,  0.0 0.0 0.0,          ,
1385.41 4731.03 -4.375,    281 283,               stand,  0.0 0.0 0.0,          ,
1083.36 4785.99 -4.875,    0 282 284,             stand,  0.0 0.0 0.0,          ,
1076.97 4432.48 -4.875,    3 283,                 stand,  0.0 0.0 0.0,          ,
2664.87 4033.05 -4.875,    98 286,                stand,  0.0 0.0 0.0,          ,
2727.49 4033.49 147.125,   285 287,               climb,  25.2728 11.3654 0.0,  ,
2730.39 4207.4 149.125,    286 288,               stand,  0.0 0.0 0.0,          ,
2753.46 4189.57 175.125,   269 287,               stand,  0.0 0.0 0.0,          ,
2964.05 4102.03 147.125,   268 269,               stand,  0.0 0.0 0.0,          ,
-60.2295 3152.22 111.125,  19 208 210,            stand,  0.0 0.0 0.0,          ,
1022.61 2767.56 115.125,   125 292,               stand,  0.0 0.0 0.0,          ,
1348.75 2871.97 115.125,   124 291 293,           stand,  0.0 0.0 0.0,          ,
1524.35 2983.82 115.125,   120 292,               stand,  0.0 0.0 0.0,          ,
1196.51 3566.36 115.125,   295 297,               stand,  0.0 0.0 0.0,          ,
1320.96 3582.16 115.125,   294 296 299,           stand,  0.0 0.0 0.0,          ,
1379.78 3325.72 115.125,   121 122 295 298,       stand,  0.0 0.0 0.0,          ,
1143.76 3391.59 115.625,   294 298,               stand,  0.0 0.0 0.0,          ,
1259.24 3458.13 115.625,   296 297,               stand,  0.0 0.0 0.0,          ,
1318.83 3601.63 145.125,   295 300,               stand,  0.0 0.0 0.0,          ,
1323.36 3674.75 88.125,    299 301 307,           stand,  0.0 0.0 0.0,          ,
1329.54 3777.98 89.125,    300 302,               stand,  0.0 0.0 0.0,          ,
1336.15 3882.17 43.125,    301 303,               stand,  0.0 0.0 0.0,          ,
1333.83 3997.75 -4.875,    4 104 302,             stand,  0.0 0.0 0.0,          ,
425.58 3738.1 -4.875,      13 305,                stand,  0.0 0.0 0.0,          ,
303.033 3896.07 -4.875,    10 304,                stand,  0.0 0.0 0.0,          ,
1052.42 3683.63 143.125,   307 308,               stand,  0.0 0.0 0.0,          ,
1200.16 3689.29 112.625,   300 306,               stand,  0.0 0.0 0.0,          ,
1002.38 3709.29 111.125,   306 309,               stand,  0.0 0.0 0.0,          ,
769.037 3696.15 111.125,   308 310,               stand,  0.0 0.0 0.0,          ,
804.627 3398.86 111.125,   309 311,               stand,  0.0 0.0 0.0,          ,
822.673 3229.72 111.125,   126 206 310,           stand,  0.0 0.0 0.0,          ,
632.515 2576.85 111.125,   128 313,               stand,  0.0 0.0 0.0,          ,
629.519 2433.83 167.125,   31 312,                stand,  0.0 0.0 0.0,          ,
