96
2949.16 2259.36 48.125,     69 70 73,     stand,  25.9814 -67.8705 0.0,  ,
1082.36 -3909.62 112.125,   89 94,        stand,  20.1587 -27.8949 0.0,  ,
1138.51 -4001.07 112.488,   93 95,        stand,  26.5417 -49.1699 0.0,  ,
1250.92 -4050.31 178.125,   94,           stand,  29.3433 43.6646 0.0,   ,
1269.7 -3929.59 250.125,    95,           stand,  27.4371 167.184 0.0,   ,
974.18 -3885.42 250.125,    ,             stand,  40.6537 167.744 0.0,   ,
1364.0 -3898.94 109.18,     93,           stand,  25.6464 177.187 0.0,   ,
1005.2 -4132.85 112.016,    ,             stand,  29.0082 -51.488 0.0,   ,
689.375 -4058.43 109.812,   89,           stand,  32.1448 85.885 0.0,    ,
263.88 -3955.5 109.603,     ,             stand,  23.7457 176.813 0.0,   ,
1408.3 -3661.13 126.171,    ,             stand,  27.8876 168.112 0.0,   ,
2596.56 -3982.41 -26.9893,  ,             stand,  24.8608 -85.3094 0.0,  ,
2719.98 -4848.06 -20.2375,  ,             stand,  21.1694 84.2371 0.0,   ,
3065.48 -5190.69 0.124999,  ,             stand,  25.6464 -61.4581 0.0,  ,
3234.53 -5493.17 -3.75597,  ,             stand,  28.6731 -77.8058 0.0,  ,
3314.72 -4659.27 84.557,    ,             stand,  18.9282 86.5881 0.0,   ,
3235.96 -6450.32 -17.5926,  ,             stand,  16.0168 -93.1152 0.0,  ,
3105.59 -7271.8 -11.07,     ,             stand,  11.5344 -96.4716 0.0,  ,
3172.03 -8810.49 255.232,   ,             stand,  16.5771 -102.075 0.0,  ,
3118.82 -9073.14 294.157,   ,             stand,  16.9122 -94.126 0.0,   ,
2481.92 -8820.22 313.311,   ,             stand,  18.2581 -1.58813 0.0,  ,
2802.9 -9189.43 333.357,    ,             stand,  34.8309 -17.6007 0.0,  ,
2900.34 -9401.95 333.448,   ,             stand,  21.5045 -73.5925 0.0,  ,
2916.87 -9100.39 309.406,   ,             stand,  16.1267 -129.886 0.0,  ,
3145.0 -8147.54 216.803,    ,             stand,  23.1854 119.954 0.0,   ,
3121.05 -7801.51 155.743,   ,             stand,  19.2633 -98.949 0.0,   ,
2577.15 -8109.02 244.037,   ,             stand,  32.4799 15.9515 0.0,   ,
1792.32 -8041.86 296.313,   ,             stand,  8.06274 -101.262 0.0,  ,
1671.39 -8643.38 376.851,   ,             stand,  15.1215 -93.1976 0.0,  ,
1958.06 -8666.33 356.843,   ,             stand,  26.9922 132.901 0.0,   ,
2946.46 -9470.48 347.779,   ,             stand,  34.6057 134.659 0.0,   ,
2526.73 -9786.1 575.515,    ,             stand,  42.4445 35.5127 0.0,   ,
2015.32 -9849.23 683.964,   ,             stand,  23.2953 89.1535 0.0,   ,
2131.38 -9017.32 653.847,   ,             stand,  31.5845 -69.5331 0.0,  ,
2837.29 -7744.17 241.606,   ,             stand,  48.4924 -50.6091 0.0,  ,
3314.07 -4607.83 87.5929,   ,             stand,  27.4371 -89.9512 0.0,  ,
3129.94 -4206.61 116.705,   ,             stand,  34.2706 93.3722 0.0,   ,
3049.9 -3978.79 107.435,    ,             stand,  19.0381 40.7367 0.0,   ,
2133.34 -4385.73 117.51,    ,             stand,  24.5258 -100.256 0.0,  ,
1275.61 -4528.81 116.033,   ,             stand,  26.9922 -162.741 0.0,  ,
1239.02 -4974.23 108.978,   ,             stand,  28.8928 -88.6053 0.0,  ,
1268.92 -5824.76 8.125,     ,             stand,  36.8469 -102.827 0.0,  ,
1296.54 -5249.3 108.862,    ,             stand,  57.2266 -73.8232 0.0,  ,
1667.19 -5209.34 110.125,   ,             stand,  37.0721 -154.304 0.0,  ,
1742.77 -5231.82 110.125,   ,             stand,  35.0562 -88.1219 0.0,  ,
1883.4 -5212.56 110.125,    ,             stand,  28.6731 -75.5756 0.0,  ,
1934.36 -5099.45 110.125,   ,             stand,  18.9282 19.9451 0.0,   ,
1867.49 -5010.51 110.125,   ,             stand,  35.3912 122.299 0.0,   ,
1846.92 -4935.88 108.915,   ,             stand,  34.7156 -84.09 0.0,    ,
931.041 -4255.3 114.063,    ,             stand,  19.0381 166.942 0.0,   ,
43.14 -4064.32 116.884,     ,             stand,  31.5845 153.506 0.0,   ,
482.77 -4759.94 117.741,    ,             stand,  16.0168 -160.17 0.0,   ,
-1202.12 -5614.03 122.692,  ,             stand,  26.5417 -163.862 0.0,  ,
-26.5453 -3126.65 120.438,  ,             stand,  11.5344 95.8331 0.0,   ,
-1230.39 -4605.74 151.463,  ,             stand,  16.0168 -177.825 0.0,  ,
2273.88 -4998.25 90.3222,   ,             stand,  39.4232 2.54822 0.0,   ,
2889.12 -3982.61 104.068,   ,             stand,  35.0562 -97.6086 0.0,  ,
5222.38 -2869.44 161.692,   ,             stand,  19.4885 -73.8068 0.0,  ,
-391.181 -3273.22 105.877,  ,             stand,  21.5045 -72.2357 0.0,  ,
-443.603 -3711.94 110.141,  ,             stand,  26.6571 111.719 0.0,   ,
-534.769 -2844.35 118.567,  ,             stand,  26.4319 -67.1985 0.0,  ,
-994.951 -1953.14 109.712,  ,             stand,  23.5205 120.904 0.0,   ,
-295.148 -1575.0 161.991,   ,             stand,  20.9442 -165.817 0.0,  ,
-534.742 -388.667 116.879,  ,             stand,  20.3839 -168.174 0.0,  ,
-620.704 355.08 87.4084,    ,             stand,  17.5824 121.052 0.0,   ,
-1165.38 37.001 90.6907,    ,             stand,  33.4851 -89.9292 0.0,  ,
-796.149 -892.684 126.725,  ,             stand,  21.9495 -0.12146 0.0,  ,
-659.059 -877.949 126.725,  ,             stand,  29.6783 3.57544 0.0,   ,
-716.44 -663.977 120.556,   ,             stand,  39.0881 -104.678 0.0,  ,
-1208.43 -463.325 120.614,  ,             stand,  12.0947 -26.9611 0.0,  ,
-1424.93 -1421.59 93.9544,  ,             stand,  21.0541 -104.233 0.0,  ,
-667.381 -1312.91 125.577,  ,             stand,  15.7916 96.7834 0.0,   ,
