157
-822.026 1464.92 -287.875,   1 99,                       stand,   0.0 0.0 0.0,             ,
-662.546 79.4598 -287.875,   22 24 25,                   stand,   0.0 0.0 0.0,             ,
-789.253 82.9664 -287.875,   21 23 96,                   stand,   0.0 0.0 0.0,             ,
-429.809 40.5011 -287.875,   23 26 27 28,                stand,   0.0 0.0 0.0,             ,
-490.843 -183.312 -287.875,  25 28 95,                   stand,   0.0 0.0 0.0,             ,
-370.469 339.632 -287.875,   17 25 30,                   stand,   0.0 0.0 0.0,             ,
-365.774 -61.9152 -286.875,  25 26 29,                   stand,   0.0 0.0 0.0,             ,
-84.0733 -50.8349 -287.875,  28 38 41,                   stand,   0.0 0.0 0.0,             ,
-86.1229 341.97 -286.875,    27 31 33 41,                stand,   0.0 0.0 0.0,             ,
-77.7785 505.018 -281.875,   30 32 73,                   stand,   0.0 0.0 0.0,             ,
128.436 515.361 -281.875,    31 33 72,                   stand,   0.0 0.0 0.0,             ,
131.953 343.54 -286.875,     30 32 72 153,               stand,   0.0 0.0 0.0,             ,
533.465 367.281 -287.875,    35 37 70 155 156,           stand,   0.0 0.0 0.0,             ,
794.653 430.852 -287.875,    34 36,                      stand,   0.0 0.0 0.0,             ,
798.088 -3.39992 -287.875,   35 37 42 60,                stand,   0.0 0.0 0.0,             ,
558.847 20.4708 -287.875,    34 36 38 40,                stand,   0.0 0.0 0.0,             ,
190.889 -73.634 -287.875,    29 37 39,                   stand,   0.0 0.0 0.0,             ,
168.666 -173.142 -287.875,   38,                         stand,   0.0 0.0 0.0,             ,
313.625 181.391 -287.875,    37 41 154 155,              stand,   0.0 0.0 0.0,             ,
-56.1528 118.003 -287.875,   29 30 40,                   stand,   0.0 0.0 0.0,             ,
912.637 32.2351 -287.875,    36 43 60 61,                stand,   0.0 0.0 0.0,             ,
1104.28 7.5762 -287.875,     42 44 50,                   stand,   0.0 0.0 0.0,             ,
1106.99 -61.6543 -287.875,   43 45 60,                   stand,   0.0 0.0 0.0,             ,
1375.07 -62.9017 -287.875,   44 46 48 49,                stand,   0.0 0.0 0.0,             ,
1761.68 -76.9641 -287.875,   45 47,                      stand,   0.0 0.0 0.0,             ,
1770.3 236.221 -287.875,     46,                         stand,   0.0 0.0 0.0,             ,
1389.55 11.1926 -287.875,    45,                         stand,   0.0 0.0 0.0,             ,
1352.95 -170.147 -287.875,   45,                         stand,   0.0 0.0 0.0,             ,
1398.28 19.3083 -119.875,    43 51,                      stand,   0.0 0.0 0.0,             ,
1402.31 186.216 -87.875,     50 52 59,                   stand,   0.0 0.0 0.0,             ,
1406.26 556.278 -87.875,     51 53 56 57,                stand,   0.0 0.0 0.0,             ,
1407.12 786.845 -87.875,     52 54 55 58,                stand,   0.0 0.0 0.0,             ,
1404.89 927.201 -87.875,     53,                         stand,   0.0 0.0 0.0,             ,
1263.7 777.867 -87.875,      53 56,                      stand,   0.0 0.0 0.0,             ,
1262.11 524.681 -87.875,     52 55,                      stand,   0.0 0.0 0.0,             ,
1584.45 563.578 -87.875,     52 58 59,                   stand,   0.0 0.0 0.0,             ,
1602.14 803.507 -87.875,     53 57,                      stand,   0.0 0.0 0.0,             ,
1594.99 244.26 -87.875,      51 57,                      stand,   0.0 0.0 0.0,             ,
922.266 -68.2416 -287.875,   36 42 44,                   stand,   0.0 0.0 0.0,             ,
921.03 394.481 -287.875,     42 62 63,                   stand,   0.0 0.0 0.0,             ,
1091.15 380.363 -287.875,    61,                         stand,   0.0 0.0 0.0,             ,
918.837 781.016 -287.875,    61 64 66,                   stand,   0.0 0.0 0.0,             ,
930.8 958.611 -287.875,      63 65,                      stand,   0.0 0.0 0.0,             ,
1108.1 958.624 -287.875,     64,                         stand,   0.0 0.0 0.0,             ,
754.225 780.571 -287.875,    63 67 68,                   stand,   0.0 0.0 0.0,             ,
727.501 930.129 -287.875,    66 76,                      stand,   0.0 0.0 0.0,             ,
754.518 686.766 -287.875,    66 69,                      stand,   0.0 0.0 0.0,             ,
520.347 702.355 -286.875,    68 70 75 76,                stand,   0.0 0.0 0.0,             ,
537.371 584.193 -287.875,    34 69 71,                   stand,   0.0 0.0 0.0,             ,
222.777 594.506 -286.875,    70 72 73 75,                stand,   0.0 0.0 0.0,             ,
222.779 466.427 -281.875,    32 33 71 153,               stand,   0.0 0.0 0.0,             ,
-80.4735 590.314 -286.875,   31 71 74,                   stand,   0.0 0.0 0.0,             ,
-34.9286 724.084 -286.875,   15 73 75,                   stand,   0.0 0.0 0.0,             ,
220.997 700.756 -286.875,    69 71 74,                   stand,   0.0 0.0 0.0,             ,
464.972 921.021 -287.875,    14 67 69,                   stand,   0.0 0.0 0.0,             ,
690.868 1568.34 -279.375,    126 127 128,                stand,   0.0 0.0 0.0,             ,
813.084 1490.26 -279.875,    79 124 125,                 stand,   0.0 0.0 0.0,             ,
944.774 1486.77 -287.875,    78 80 81,                   stand,   0.0 0.0 0.0,             ,
979.596 1235.68 -287.875,    79 89 131 132 133 135 136,  stand,   0.0 0.0 0.0,             ,
958.313 1594.94 -287.875,    79 147 150,                 stand,   0.0 0.0 0.0,             ,
1186.98 1731.85 -287.875,    146 151 152,                stand,   0.0 0.0 0.0,             ,
1515.39 1601.26 -287.875,    84 85 138 139 140 141,      stand,   0.0 0.0 0.0,             ,
1722.41 1589.57 -287.875,    83 85 86 90 141,            stand,   0.0 0.0 0.0,             ,
1492.46 1752.42 -287.875,    83 84 139 140 141,          stand,   0.0 0.0 0.0,             ,
1811.79 1464.34 -287.875,    84 87,                      stand,   0.0 0.0 0.0,             ,
1805.57 1117.71 -287.875,    86 88 138,                  stand,   0.0 0.0 0.0,             ,
1454.08 1148.82 -287.875,    87 134 137 138,             stand,   0.0 0.0 0.0,             ,
1040.99 1051.08 -287.875,    80 134 135 148,             stand,   0.0 0.0 0.0,             ,
1891.35 1591.54 -238.875,    84 142,                     stand,   0.0 0.0 0.0,             ,
1894.12 1801.08 -203.875,    92 93 94 142 144 145,       stand,   0.0 0.0 0.0,             ,
1611.59 2160.18 -203.875,    91 93 94 143 144,           stand,   0.0 0.0 0.0,             ,
1892.79 2481.04 -203.875,    91 92 94,                   stand,   0.0 0.0 0.0,             ,
2229.65 2209.06 -203.875,    91 92 93,                   stand,   0.0 0.0 0.0,             ,
-549.009 -211.935 -277.505,  26,                         crouch,  2.76733 32.8491 0.0,     ,
-787.779 -5.44992 -287.875,  24,                         crouch,  2.76733 70.8344 0.0,     ,
-937.875 817.035 -287.875,   19 20,                      crouch,  2.25098 39.4189 0.0,     ,
-919.56 1196.54 -287.875,    1,                          crouch,  4.49768 10.7556 0.0,     ,
-896.053 1470.49 -287.875,   0,                          crouch,  3.63525 -35.0024 0.0,    ,
-610.599 1490.87 -272.065,   3,                          crouch,  3.45947 -96.9873 0.0,    ,
-42.0148 1158.96 -287.875,   16,                         crouch,  0.872192 -140.328 0.0,   ,
-199.85 1398.21 -279.875,    5 6 8 108,                  stand,   13.3032 5.92163 0.0,     ,
-548.875 1303.13 -279.875,   5,                          crouch,  3.1134 23.5382 0.0,      ,
-319.197 1636.68 -279.875,   8,                          crouch,  0.526123 -93.3508 0.0,   ,
-487.24 1595.45 -279.875,    8 106,                      stand,   49.5636 -6.84998 0.0,    ,
-516.9 1596.7 -279.875,      105 107,                    stand,   49.5636 -2.53235 0.0,    ,
-535.13 1640.87 -279.875,    106,                        crouch,  1.04248 -55.3711 0.0,    ,
-206.539 1524.46 -279.875,   102,                        crouch,  4.3219 -94.2188 0.0,     ,
-134.875 1303.13 -279.875,   6,                          crouch,  0.180054 44.4342 0.0,    ,
-134.875 1611.07 -279.875,   7 111,                      crouch,  -0.336304 -31.1957 0.0,  ,
-33.0874 1624.78 -279.875,   7 110 112,                  stand,   14.5117 -33.4369 0.0,    ,
99.8169 1609.29 -279.875,    111 113 114,                stand,   20.9003 -79.1949 0.0,    ,
104.509 1499.26 -279.875,    7 9 112,                    stand,   24.5258 -17.8967 0.0,    ,
122.875 1625.38 -279.875,    112,                        crouch,  4.49768 -127.024 0.0,    ,
122.875 1303.13 -279.875,    116,                        crouch,  3.63525 89.5001 0.0,     ,
121.62 1405.7 -279.875,      6 7 9 115,                  stand,   73.5632 34.0741 0.0,     ,
161.125 1604.2 -279.875,     9,                          crouch,  4.3219 -59.8535 0.0,     ,
333.497 1362.26 -275.875,    9 12 119,                   stand,   12.9572 -29.1193 0.0,    ,
403.633 1484.38 -278.875,    10 11 118,                  stand,   44.8999 119.196 0.0,     ,
531.492 1047.03 -279.875,    12,                         crouch,  1.90491 78.4534 0.0,     ,
691.482 1167.78 -278.875,    12 122 124 130,             stand,   30.7385 -178.638 0.0,    ,
755.894 1107.58 -278.875,    121 123 129 130,            stand,   31.7767 87.7863 0.0,     ,
824.034 1206.57 -279.875,    122 124,                    stand,   30.7385 119.037 0.0,     ,
749.115 1296.97 -278.875,    78 121 123 126,             stand,   25.7343 -105.595 0.0,    ,
795.423 1607.08 -279.875,    78,                         crouch,  3.80554 -88.8519 0.0,    ,
699.139 1350.18 -279.875,    77 124,                     stand,   25.9045 94.1693 0.0,     ,
641.125 1620.88 -279.875,    77,                         crouch,  4.49768 -70.2026 0.0,    ,
732.875 1615.88 -279.875,    77,                         crouch,  3.1134 -111.473 0.0,     ,
827.875 1031.13 -279.875,    122 130,                    crouch,  2.42126 131.808 0.0,     ,
641.125 1031.13 -245.875,    121 122 129,                crouch,  7.60132 65.6763 0.0,     ,
895.816 1020.82 -163.875,    80 132,                     crouch,  20.2466 -101.118 0.0,    ,
929.689 1019.72 -163.875,    80 131 133,                 crouch,  22.6636 -93.6969 0.0,    ,
983.423 1018.35 -163.875,    80 132,                     crouch,  18.692 -125.634 0.0,     ,
1261.43 1131.81 -287.875,    88 89 135 137 138,          stand,   24.5642 179.451 0.0,     ,
1085.1 1134.05 -287.875,     80 89 134 136,              stand,   31.123 73.2623 0.0,      ,
1080.04 1290.27 -287.875,    80 135 137,                 stand,   28.0194 0.22522 0.0,     ,
1255.03 1285.83 -287.875,    88 134 136 138,             stand,   32.337 -97.3334 0.0,     ,
1457.23 1278.98 -287.875,    83 87 88 134 137 140 141,   stand,   30.6067 -26.8835 0.0,    ,
1390.5 1774.31 -287.875,     83 85 140,                  stand,   18.3459 -80.4034 0.0,    ,
1403.15 1610.3 -287.875,     83 85 138 139 149,          stand,   24.0479 -95.4218 0.0,    ,
1728.9 1649.52 -287.875,     83 84 85 138 142,           stand,   17.3132 -1.15356 0.0,    ,
1878.04 1649.34 -239.375,    90 91 141,                  stand,   36.1328 -68.6646 0.0,    ,
1552.99 1935.91 -203.875,    92 144,                     prone,   5.56885 -142.399 0.0,    ,
1624.2 1873.67 -203.875,     91 92 143 145,              prone,   6.0907 -139.812 0.0,     ,
1682.47 1810.47 -203.875,    91 144,                     prone,   7.46948 -148.101 0.0,    ,
1102.13 1795.88 -287.875,    82,                         crouch,  5.39856 -122.042 0.0,    ,
873.125 1659.88 -287.875,    81,                         crouch,  8.33191 -52.63 0.0,      ,
906.088 1031.92 -287.875,    89,                         crouch,  2.98157 -141.031 0.0,    ,
1256.4 1585.28 -287.875,     140 150 152,                stand,   30.2179 161.878 0.0,     ,
1135.89 1571.9 -287.875,     81 149 151,                 stand,   32.8052 95.0537 0.0,     ,
1132.12 1721.67 -287.875,    82 150,                     stand,   41.4404 1.64246 0.0,     ,
1252.75 1716.05 -287.875,    82 149,                     stand,   39.8859 -105.062 0.0,    ,
268.105 382.819 -281.875,    33 72 154 156,              stand,   31.7725 -92.9718 0.0,    ,
263.003 250.245 -286.875,    40 153 155,                 stand,   30.2179 4.06494 0.0,     ,
424.348 268.933 -285.875,    34 40 154 156,              stand,   28.3173 12.7002 0.0,     ,
418.899 395.865 -286.875,    34 153 155,                 stand,   32.2888 3.20251 0.0,     ,
