246
30.6565 -1430.94 552.125,   1 38 193,           stand,  0.0 0.0 0.0,  ,
1256.15 -561.296 552.125,   47 49,              stand,  0.0 0.0 0.0,  ,
1163.55 -465.275 552.125,   48 50,              stand,  0.0 0.0 0.0,  ,
1048.81 -354.317 552.125,   49 51 153,          stand,  0.0 0.0 0.0,  ,
1001.73 -301.559 552.125,   50 52,              stand,  0.0 0.0 0.0,  ,
989.028 -105.32 584.125,    51 53 187,          stand,  0.0 0.0 0.0,  ,
970.951 30.595 575.629,     52 54 239 240,      stand,  0.0 0.0 0.0,  ,
957.583 130.442 584.125,    53 55 185,          stand,  0.0 0.0 0.0,  ,
944.893 235.524 583.897,    54 56 240,          stand,  0.0 0.0 0.0,  ,
932.601 338.698 585.125,    55 57,              stand,  0.0 0.0 0.0,  ,
921.039 442.532 584.125,    56 58,              stand,  0.0 0.0 0.0,  ,
913.49 510.397 584.125,     57 59 184,          stand,  0.0 0.0 0.0,  ,
779.634 568.225 584.125,    58 60,              stand,  0.0 0.0 0.0,  ,
773.314 658.138 584.125,    59 61,              stand,  0.0 0.0 0.0,  ,
840.375 674.637 584.125,    60 62,              stand,  0.0 0.0 0.0,  ,
851.169 874.139 584.125,    61 63,              stand,  0.0 0.0 0.0,  ,
666.366 870.691 584.125,    62 64,              stand,  0.0 0.0 0.0,  ,
563.862 909.068 585.125,    63 65,              stand,  0.0 0.0 0.0,  ,
544.871 1012.87 584.304,    64 66,              stand,  0.0 0.0 0.0,  ,
523.579 1113.48 584.112,    65 67 113 182,      stand,  0.0 0.0 0.0,  ,
501.786 1216.51 583.777,    66 68,              stand,  0.0 0.0 0.0,  ,
480.238 1318.03 584.201,    67 69,              stand,  0.0 0.0 0.0,  ,
406.469 1433.87 616.125,    68 70,              stand,  0.0 0.0 0.0,  ,
260.405 1524.21 616.125,    69 71,              stand,  0.0 0.0 0.0,  ,
353.34 1675.14 616.125,     70 72,              stand,  0.0 0.0 0.0,  ,
439.094 1799.07 589.206,    71 73,              stand,  0.0 0.0 0.0,  ,
458.068 1957.37 576.125,    72 74 178 230,      stand,  0.0 0.0 0.0,  ,
477.488 2124.9 584.125,     73 75 231,          stand,  0.0 0.0 0.0,  ,
237.425 2158.39 584.125,    74 76 178,          stand,  0.0 0.0 0.0,  ,
80.7797 2165.49 584.125,    75 77,              stand,  0.0 0.0 0.0,  ,
-76.2258 2185.02 584.125,   76 78,              stand,  0.0 0.0 0.0,  ,
-174.857 2180.17 584.125,   77 79,              stand,  0.0 0.0 0.0,  ,
-180.053 1946.92 584.125,   78 80 178,          stand,  0.0 0.0 0.0,  ,
-202.841 1796.22 584.125,   79 81,              stand,  0.0 0.0 0.0,  ,
-259.419 1647.46 584.125,   80 82 177 179,      stand,  0.0 0.0 0.0,  ,
-320.257 1622.75 592.125,   81 83,              stand,  0.0 0.0 0.0,  ,
-453.743 1632.95 592.125,   82 84,              stand,  0.0 0.0 0.0,  ,
-612.671 1639.47 592.125,   83 85,              stand,  0.0 0.0 0.0,  ,
-755.656 1645.12 592.125,   84 86,              stand,  0.0 0.0 0.0,  ,
-776.925 1504.22 592.125,   85 87 218,          stand,  0.0 0.0 0.0,  ,
-785.463 1351.51 584.125,   86 88 180,          stand,  0.0 0.0 0.0,  ,
-793.755 1203.87 582.33,    87 89,              stand,  0.0 0.0 0.0,  ,
-810.789 1140.7 577.382,    88 90,              stand,  0.0 0.0 0.0,  ,
-874.965 1014.09 566.743,   89 91 120 218,      stand,  0.0 0.0 0.0,  ,
-951.693 876.805 560.522,   90 92 96 216 218,   stand,  0.0 0.0 0.0,  ,
-1006.52 781.265 562.125,   91 93,              stand,  0.0 0.0 0.0,  ,
-1058.64 690.883 562.125,   92 94,              stand,  0.0 0.0 0.0,  ,
-1071.86 549.888 562.125,   93 95,              stand,  0.0 0.0 0.0,  ,
-985.962 421.065 562.125,   94 96 217,          stand,  0.0 0.0 0.0,  ,
-898.094 291.254 560.674,   91 95 97,           stand,  0.0 0.0 0.0,  ,
-840.791 207.152 556.864,   96 98,              stand,  0.0 0.0 0.0,  ,
-708.046 191.448 557.02,    97 99 176,          stand,  0.0 0.0 0.0,  ,
-559.742 168.409 550.276,   98 100 174,         stand,  0.0 0.0 0.0,  ,
-407.063 166.905 561.62,    99 101,             stand,  0.0 0.0 0.0,  ,
-350.737 142.602 557.866,   100 102,            stand,  0.0 0.0 0.0,  ,
-277.547 68.2662 552.125,   101 103,            stand,  0.0 0.0 0.0,  ,
-225.036 14.8334 552.125,   102 104,            stand,  0.0 0.0 0.0,  ,
-26.9954 41.0102 552.125,   103 105,            stand,  0.0 0.0 0.0,  ,
104.73 109.67 552.125,      104 106 173,        stand,  0.0 0.0 0.0,  ,
229.441 243.013 584.108,    105 107,            stand,  0.0 0.0 0.0,  ,
330.061 268.284 583.624,    106 108 186 242,    stand,  0.0 0.0 0.0,  ,
429.13 292.893 576.669,     107 109 185,        stand,  0.0 0.0 0.0,  ,
425.946 487.578 575.186,    108 110 219,        stand,  0.0 0.0 0.0,  ,
393.334 640.313 575.714,    109 111,            stand,  0.0 0.0 0.0,  ,
362.21 793.691 575.982,     110 112 219 243,    stand,  0.0 0.0 0.0,  ,
326.299 948.027 573.93,     111 113 219,        stand,  0.0 0.0 0.0,  ,
247.12 1079.31 576.125,     66 112 114,         stand,  0.0 0.0 0.0,  ,
105.488 1146.71 576.125,    113 115 179 243,    stand,  0.0 0.0 0.0,  ,
-50.9131 1167.65 576.125,   114 116,            stand,  0.0 0.0 0.0,  ,
-191.031 1171.94 576.125,   115 117,            stand,  0.0 0.0 0.0,  ,
-293.389 1151.12 576.125,   116 118 177 244,    stand,  0.0 0.0 0.0,  ,
-391.831 1117.75 575.856,   117 119,            stand,  0.0 0.0 0.0,  ,
-477.079 1058.01 572.071,   118 120 180,        stand,  0.0 0.0 0.0,  ,
-543.186 941.527 566.907,   90 119 121,         stand,  0.0 0.0 0.0,  ,
-577.602 790.359 565.749,   120 122 244,        stand,  0.0 0.0 0.0,  ,
-548.07 636.221 565.995,    121 123 176,        stand,  0.0 0.0 0.0,  ,
-453.373 510.468 574.796,   122 124,            stand,  0.0 0.0 0.0,  ,
-415.585 396.633 572.189,   123 125,            stand,  0.0 0.0 0.0,  ,
-407.153 293.048 568.607,   124 126,            stand,  0.0 0.0 0.0,  ,
-380.206 56.4748 552.125,   125 127,            stand,  0.0 0.0 0.0,  ,
-350.553 -111.398 552.443,  126 128,            stand,  0.0 0.0 0.0,  ,
-320.481 -279.976 552.125,  127 129 174,        stand,  0.0 0.0 0.0,  ,
-325.347 -449.817 552.125,  128 130,            stand,  0.0 0.0 0.0,  ,
-479.748 -519.044 552.125,  129 131,            stand,  0.0 0.0 0.0,  ,
-647.133 -556.28 550.082,   130 132 174 212,    stand,  0.0 0.0 0.0,  ,
-800.225 -632.088 553.333,  131 133 175,        stand,  0.0 0.0 0.0,  ,
-801.388 -692.599 552.125,  132 134 215,        stand,  0.0 0.0 0.0,  ,
-761.302 -788.728 552.125,  133 135 212,        stand,  0.0 0.0 0.0,  ,
-715.811 -882.716 552.125,  134 136,            stand,  0.0 0.0 0.0,  ,
-657.92 -970.02 552.125,    135 137 214,        stand,  0.0 0.0 0.0,  ,
-495.933 -988.112 552.125,  136 138 214 233,    stand,  0.0 0.0 0.0,  ,
-356.486 -888.968 552.125,  137 139 213,        stand,  0.0 0.0 0.0,  ,
-271.406 -831.789 566.636,  138 140,            stand,  0.0 0.0 0.0,  ,
-189.595 -769.037 552.125,  139 141 210,        stand,  0.0 0.0 0.0,  ,
-95.2244 -651.027 552.125,  40 140 142,         stand,  0.0 0.0 0.0,  ,
11.8227 -537.586 552.125,   141 143 191,        stand,  0.0 0.0 0.0,  ,
131.639 -436.905 552.125,   142 144 173,        stand,  0.0 0.0 0.0,  ,
268.629 -358.25 552.125,    143 145,            stand,  0.0 0.0 0.0,  ,
421.929 -332.829 552.125,   144 146,            stand,  0.0 0.0 0.0,  ,
578.155 -362.541 552.125,   145 147,            stand,  0.0 0.0 0.0,  ,
713.148 -436.66 552.125,    146 148,            stand,  0.0 0.0 0.0,  ,
803.542 -524.947 552.125,   147 149,            stand,  0.0 0.0 0.0,  ,
848.608 -621.409 552.125,   148 150 153,        stand,  0.0 0.0 0.0,  ,
854.839 -724.374 552.125,   149 151 188,        stand,  0.0 0.0 0.0,  ,
835.707 -827.21 552.125,    150 152,            stand,  0.0 0.0 0.0,  ,
814.249 -928.148 552.125,   42 151,             stand,  0.0 0.0 0.0,  ,
864.574 -570.964 552.125,   50 149,             stand,  0.0 0.0 0.0,  ,
1215.45 -1181.46 552.125,   45 155,             stand,  0.0 0.0 0.0,  ,
1193.66 -1297.68 511.452,   154 156,            stand,  0.0 0.0 0.0,  ,
1163.8 -1490.54 504.125,    155 157 172,        stand,  0.0 0.0 0.0,  ,
1155.34 -1572.48 504.36,    156 158,            stand,  0.0 0.0 0.0,  ,
1125.35 -1627.4 505.901,    157 159,            stand,  0.0 0.0 0.0,  ,
1074.07 -1721.46 508.125,   158 160 220,        stand,  0.0 0.0 0.0,  ,
1024.87 -1811.71 508.125,   159 170,            stand,  0.0 0.0 0.0,  ,
905.812 -1843.28 508.125,   162 170,            stand,  0.0 0.0 0.0,  ,
886.783 -1907.88 508.125,   161 163,            stand,  0.0 0.0 0.0,  ,
885.875 -1967.17 480.028,   162 164,            stand,  0.0 0.0 0.0,  ,
884.913 -2009.59 456.125,   163 165,            stand,  0.0 0.0 0.0,  ,
884.913 -2162.19 456.125,   164 166,            stand,  0.0 0.0 0.0,  ,
792.995 -2168.36 448.125,   165 167 171,        stand,  0.0 0.0 0.0,  ,
780.895 -2299.75 448.125,   26 166,             stand,  0.0 0.0 0.0,  ,
761.913 -2495.45 448.125,   23 26 169 205,      stand,  0.0 0.0 0.0,  ,
741.434 -2637.33 448.125,   20 168 206,         stand,  0.0 0.0 0.0,  ,
947.213 -1839.13 508.125,   160 161 220,        stand,  0.0 0.0 0.0,  ,
785.046 -1786.18 489.583,   32 166 172,         stand,  0.0 0.0 0.0,  ,
988.335 -1486.52 496.125,   156 171 194,        stand,  0.0 0.0 0.0,  ,
79.7385 -105.035 552.125,   105 143,            stand,  0.0 0.0 0.0,  ,
-647.897 -242.411 551.657,  99 128 131 175,     stand,  0.0 0.0 0.0,  ,
-1036.09 -459.833 553.631,  132 174 215,        stand,  0.0 0.0 0.0,  ,
-696.055 561.498 563.747,   98 122,             stand,  0.0 0.0 0.0,  ,
-210.219 1508.94 576.125,   81 117 179 181,     stand,  0.0 0.0 0.0,  ,
82.7061 1994.67 576.125,    73 75 79 179,       stand,  0.0 0.0 0.0,  ,
60.0773 1513.31 576.125,    81 114 177 178,     stand,  0.0 0.0 0.0,  ,
-582.881 1281.3 584.125,    87 119 181,         stand,  0.0 0.0 0.0,  ,
-390.413 1476.34 584.458,   177 180,            stand,  0.0 0.0 0.0,  ,
1018.77 1156.29 584.706,    66 183 204,         stand,  0.0 0.0 0.0,  ,
1178.77 612.189 583.141,    182 184,            stand,  0.0 0.0 0.0,  ,
1024.49 576.995 585.125,    58 183,             stand,  0.0 0.0 0.0,  ,
612.135 161.935 583.967,    54 108 187,         stand,  0.0 0.0 0.0,  ,
449.079 -53.0249 584.675,   107 187,            stand,  0.0 0.0 0.0,  ,
757.972 -68.8579 583.136,   52 185 186,         stand,  0.0 0.0 0.0,  ,
672.275 -652.469 622.125,   150 189 192,        stand,  0.0 0.0 0.0,  ,
447.551 -526.59 622.125,    188 190,            stand,  0.0 0.0 0.0,  ,
259.326 -670.264 622.125,   189 191 192,        stand,  0.0 0.0 0.0,  ,
123.868 -672.563 552.125,   142 190,            stand,  0.0 0.0 0.0,  ,
461.773 -849.493 622.125,   188 190,            stand,  0.0 0.0 0.0,  ,
-290.239 -1414.58 552.243,  0 203 232,          stand,  0.0 0.0 0.0,  ,
824.353 -1384.94 496.125,   34 172,             stand,  0.0 0.0 0.0,  ,
406.419 -2699.8 448.125,    196 206,            stand,  0.0 0.0 0.0,  ,
372.538 -2802.17 448.125,   8 19 195,           stand,  0.0 0.0 0.0,  ,
-256.235 -2751.19 448.125,  8 198,              stand,  0.0 0.0 0.0,  ,
-566.02 -2718.43 447.18,    197 199,            stand,  0.0 0.0 0.0,  ,
-585.461 -2099.41 456.77,   198 200 201 207,    stand,  0.0 0.0 0.0,  ,
-314.387 -2059.54 457.196,  3 199,              stand,  0.0 0.0 0.0,  ,
-612.66 -1831.79 458.484,   199 202,            stand,  0.0 0.0 0.0,  ,
-609.543 -1648.55 552.125,  201 203,            stand,  0.0 0.0 0.0,  ,
-608.781 -1414.52 552.125,  193 202 208,        stand,  0.0 0.0 0.0,  ,
798.645 1043.1 584.482,     182,                stand,  0.0 0.0 0.0,  ,
639.961 -2537.4 456.125,    19 168,             stand,  0.0 0.0 0.0,  ,
378.939 -2622.23 456.125,   7 169 195,          stand,  0.0 0.0 0.0,  ,
-292.104 -2511.82 456.125,  6 199,              stand,  0.0 0.0 0.0,  ,
-628.88 -1335.78 552.125,   203 233,            stand,  0.0 0.0 0.0,  ,
212.936 -1535.77 552.125,   1 39,               stand,  0.0 0.0 0.0,  ,
-35.029 -1006.44 552.125,   40 140 211,         stand,  0.0 0.0 0.0,  ,
72.0609 -1168.89 552.125,   40 210,             stand,  0.0 0.0 0.0,  ,
-598.408 -712.576 552.125,  131 134 213,        stand,  0.0 0.0 0.0,  ,
-409.397 -715.231 552.125,  138 212,            stand,  0.0 0.0 0.0,  ,
-651.951 -1074.38 552.125,  136 137,            stand,  0.0 0.0 0.0,  ,
-999.555 -712.501 552.167,  133 175,            stand,  0.0 0.0 0.0,  ,
-814.302 862.274 561.87,    91 217,             stand,  0.0 0.0 0.0,  ,
-818.116 469.69 565.241,    95 216,             stand,  0.0 0.0 0.0,  ,
-947.983 1269.8 582.573,    86 90 91,           stand,  0.0 0.0 0.0,  ,
453.364 779.464 579.344,    109 111 112,        stand,  0.0 0.0 0.0,  ,
1109.29 -1910.58 508.125,   159 170,            stand,  0.0 0.0 0.0,  ,
78.6309 -3004.47 456.125,   8 10,               stand,  0.0 0.0 0.0,  ,
1544.02 1996.75 576.066,    224,                stand,  0.0 0.0 0.0,  ,
1536.06 1938.54 576.066,    225,                stand,  0.0 0.0 0.0,  ,
1490.33 2091.67 577.763,    222 225,            stand,  0.0 0.0 0.0,  ,
1384.9 2027.09 576.125,     223 224 226 227,    stand,  0.0 0.0 0.0,  ,
1225.19 1963.67 576.125,    225 228,            stand,  0.0 0.0 0.0,  ,
1216.95 2074.35 576.125,    225 228,            stand,  0.0 0.0 0.0,  ,
1010.75 1996.4 576.125,     226 227 231,        stand,  0.0 0.0 0.0,  ,
752.571 1784.72 584.125,    230 231,            stand,  0.0 0.0 0.0,  ,
546.523 1785.29 584.125,    73 229,             stand,  0.0 0.0 0.0,  ,
725.116 1982.92 576.125,    74 228 229,         stand,  0.0 0.0 0.0,  ,
-269.216 -1219.31 552.12,   193 233,            stand,  0.0 0.0 0.0,  ,
-431.101 -1129.14 552.125,  137 208 232,        stand,  0.0 0.0 0.0,  ,
1445.01 -771.183 602.22,    47 235,             stand,  0.0 0.0 0.0,  ,
1599.87 -602.062 608.125,   234 236,            stand,  0.0 0.0 0.0,  ,
1599.37 -362.787 608.125,   235 237,            stand,  0.0 0.0 0.0,  ,
1593.43 -258.782 584.125,   236 238 239,        stand,  0.0 0.0 0.0,  ,
1567.68 385.243 584.125,    237 239,            stand,  0.0 0.0 0.0,  ,
1241.24 77.958 576.125,     53 237 238 241,     stand,  0.0 0.0 0.0,  ,
1063.94 263.376 584.125,    53 55,              stand,  0.0 0.0 0.0,  ,
1202.79 514.102 584.125,    239,                stand,  0.0 0.0 0.0,  ,
264.035 537.212 587.117,    107 243,            stand,  0.0 0.0 0.0,  ,
171.32 914.84 584.014,      111 114 242,        stand,  0.0 0.0 0.0,  ,
-375.446 847.39 584.37,     117 121,            stand,  0.0 0.0 0.0,  ,
892.103 -3048.44 456.125,   15 18,              stand,  0.0 0.0 0.0,  ,
