78
-610.36 149.264 201.125,    1 45 46,                  stand,   0.0 0.0 0.0,           ,
195.783 399.768 195.54,     32 37 72 73,              stand,   0.0 0.0 0.0,           ,
436.087 429.827 192.077,    12 13 14 16 17 36 71 72,  stand,   0.0 0.0 0.0,           ,
48.5285 749.341 192.077,    17,                       stand,   0.0 0.0 0.0,           ,
-225.679 -294.882 192.376,  28 44 75,                 stand,   0.0 0.0 0.0,           ,
-407.436 -286.456 202.332,  25 41 74 75 76,           stand,   0.0 0.0 0.0,           ,
-518.125 -579.692 192.816,  2 3 4 40 76,              stand,   0.0 0.0 0.0,           ,
179.819 -613.838 193.623,   5 6 66,                   stand,   0.0 0.0 0.0,           ,
692.214 24.3686 201.125,    13 57 58,                 stand,   0.0 0.0 0.0,           ,
-204.915 -503.883 196.582,  4 39 74 77,               stand,   0.0 0.0 0.0,           ,
-578.858 181.763 201.125,   0,                        crouch,  2.93884 -117.368 0.0,  ,
-636.879 183.35 201.125,    0,                        crouch,  5.52612 -77.4818 0.0,  ,
-722.021 -81.8617 199.363,  1,                        crouch,  4.49341 -32.0753 0.0,  ,
-721.69 238.599 204.141,    22,                       crouch,  8.28918 38.2042 0.0,   ,
-717.375 735.805 198.102,   20,                       crouch,  1.90063 -38.1178 0.0,  ,
-330.922 454.055 196.082,   23 33 34 51 53,           stand,   30.2179 115.378 0.0,   ,
-493.749 442.764 197.047,   22 23 50 52 54,           stand,   32.4646 97.4205 0.0,   ,
-498.747 589.755 194.385,   51 53 54,                 stand,   38.5071 24.8998 0.0,   ,
-346.346 607.076 191.093,   19 33 34 50 52,           stand,   23.8293 -56.5968 0.0,  ,
-583.917 500.134 194.371,   21 51 52,                 stand,   67.6868 157.494 0.0,   ,
36.3219 592.414 192.077,    35,                       crouch,  2.59277 166.118 0.0,   ,
-337.125 279.908 193.033,   23,                       crouch,  5.00977 -108.425 0.0,  ,
700.875 -11.3434 201.125,   43,                       crouch,  4.31763 97.9039 0.0,   ,
659.415 -9.2406 201.125,    43,                       crouch,  5.35583 82.8801 0.0,   ,
382.319 -223.983 194.556,   10 26 61,                 stand,   58.3649 64.0551 0.0,   ,
569.422 -122.883 192.077,   9 10 61,                  stand,   32.6349 -120.521 0.0,  ,
469.804 -281.272 196.191,   26 59 60 62,              stand,   38.3368 -142.796 0.0,  ,
504.715 -329.334 192.895,   8 26 61,                  stand,   37.6447 -15.7167 0.0,  ,
338.343 -166.563 195.063,   10,                       crouch,  6.04797 66.115 0.0,    ,
694.694 -66.2913 195.291,   9,                        crouch,  1.55457 -135.039 0.0,  ,
692.494 -588.183 199.725,   7,                        crouch,  4.14734 144.673 0.0,   ,
43.8262 -609.968 194.975,   42,                       crouch,  4.83948 9.2992 0.0,    ,
-704.073 -616.875 199.833,  3,                        crouch,  4.31763 51.7668 0.0,   ,
298.875 219.875 201.125,    31,                       crouch,  3.80127 -169.921 0.0,  ,
298.875 156.125 201.125,    31,                       crouch,  6.04797 165.217 0.0,   ,
189.845 618.661 197.159,    17 18 71 73,              stand,   58.5352 -29.477 0.0,   ,
305.853 621.866 196.545,    17 37 70 72,              stand,   43.3411 -80.9315 0.0,  ,
311.076 471.698 192.934,    36 37 71 73,              stand,   26.5924 -164.675 0.0,  ,
184.428 475.797 193.257,    36 70 72,                 stand,   30.3882 -131.178 0.0,  ,
-338.321 -470.433 203.979,  40 44 75 76,              stand,   46.4447 71.5203 0.0,   ,
-336.137 -321.183 199.695,  39 40 74 76,              stand,   40.2319 31.8047 0.0,   ,
-403.26 -465.486 206.217,   40 41 74 75,              stand,   35.9143 -142.57 0.0,   ,
-81.807 -496.513 192.077,   44,                       crouch,  5.35034 168.387 0.0,   ,
