138
5558.07 276.867 2.125,      1 62 63 65 72,                   stand,  ,  ,
4110.77 1638.26 -19.8253,   12 13 24 28 29 37 39,            stand,  ,  ,
4302.83 1149.33 -19.6216,   11 12 13 36 37 49,               stand,  ,  ,
4727.02 1619.83 -19.1841,   10 11 23 28,                     stand,  ,  ,
5578.29 1092.88 9.28296,    2 7 34 43,                       stand,  ,  ,
5275.75 1056.48 -19.875,    33 35 45 121,                    stand,  ,  ,
4995.78 1056.89 -19.4405,   10 34 36 46 47 48,               stand,  ,  ,
4646.63 1077.0 -23.8799,    9 11 31 35 48 49,                stand,  ,  ,
4141.63 1110.25 -20.3435,   12 30 31 38 39 41,               stand,  ,  ,
4093.3 807.029 4.78185,     37 50,                           stand,  ,  ,
3901.64 1117.91 -16.952,    13 30 37 40 41,                  stand,  ,  ,
3592.3 1249.66 -8.72324,    13 18 39 41 52,                  stand,  ,  ,
3791.0 924.859 -19.6743,    37 39 40 50 51 52 90 111,        stand,  ,  ,
5567.96 659.527 10.3951,    1 43 44 125,                     stand,  ,  ,
5635.11 815.894 3.00686,    1 7 33 42 125,                   stand,  ,  ,
5347.74 491.984 4.77126,    42 45 62 125,                    stand,  ,  ,
5134.35 511.442 14.9986,    34 44 46,                        stand,  ,  ,
4928.24 549.177 15.6806,    35 45 47,                        stand,  ,  ,
4704.33 565.376 13.8062,    35 46 48,                        stand,  ,  ,
4493.4 599.398 8.73476,     35 36 47 49 50,                  stand,  ,  ,
4243.13 712.023 2.125,      31 36 48 50,                     stand,  ,  ,
4044.36 669.338 1.33979,    38 41 48 49 51 111,              stand,  ,  ,
3811.01 594.155 2.08176,    41 50 52 112,                    stand,  ,  ,
3550.32 574.02 -3.71126,    40 41 51 53 81 82 83 89 111,     stand,  ,  ,
3164.9 511.699 -25.875,     52 54 54 82 83 89 102,           stand,  ,  ,
2960.42 440.553 -29.4476,   53 53 55 56 82 90,               stand,  ,  ,
2786.06 281.708 -9.91485,   54 61,                           stand,  ,  ,
2703.28 419.807 -16.8775,   54 57,                           stand,  ,  ,
2474.41 325.547 -21.7963,   56 58 61 91 92 103,              stand,  ,  ,
2375.83 140.941 -14.3951,   57 59 61 92 118,                 stand,  ,  ,
2527.57 -108.49 -10.875,    58 60 132,                       stand,  ,  ,
2659.55 -307.962 -10.875,   59 117 132,                      stand,  ,  ,
2510.22 140.704 -9.875,     55 57 58,                        stand,  ,  ,
5513.6 423.741 4.94269,     0 1 44,                          stand,  ,  ,
5749.1 -48.3331 2.125,      0 64 72 116 120,                 stand,  ,  ,
5602.65 -185.062 2.61296,   63 65 120,                       stand,  ,  ,
5362.11 -171.912 3.27054,   0 64 66 73,                      stand,  ,  ,
5091.61 -108.611 7.98847,   65 73 135 136,                   stand,  ,  ,
4666.67 304.48 4.79337,     69 70 71 136,                    stand,  ,  ,
4230.56 346.799 -5.875,     70 74,                           stand,  ,  ,
4429.15 110.843 8.79389,    67 70,                           stand,  ,  ,
4473.2 382.562 -3.19582,    67 68 69 134,                    stand,  ,  ,
4964.26 251.848 2.125,      67 72,                           stand,  ,  ,
5326.96 195.105 2.125,      0 63 71 73 136,                  stand,  ,  ,
5274.92 18.7346 2.125,      65 66 72,                        stand,  ,  ,
4257.65 160.144 -5.875,     68 76 133,                       stand,  ,  ,
3704.24 71.5701 -5.875,     81 87 115,                       stand,  ,  ,
4076.38 149.302 -5.875,     74 80 113 115,                   stand,  ,  ,
4030.07 430.297 -5.875,     78 80 112,                       stand,  ,  ,
3729.62 353.561 -5.875,     77 79 81 112,                    stand,  ,  ,
3897.8 245.149 -5.875,      78 80,                           stand,  ,  ,
4066.67 264.761 -5.875,     76 77 79,                        stand,  ,  ,
3657.5 348.176 -5.875,      52 75 78 82 86,                  stand,  ,  ,
3287.67 202.36 -24.9096,    52 53 54 81 83 86 87,            stand,  ,  ,
3038.43 95.1295 -4.875,     52 53 82 84,                     stand,  ,  ,
2990.34 -116.183 -4.875,    83 85 88,                        stand,  ,  ,
3149.64 -64.1463 -6.03657,  84 86,                           stand,  ,  ,
3251.84 -129.359 -7.62666,  81 82 85 87,                     stand,  ,  ,
3537.48 25.1855 -19.0373,   75 82 86,                        stand,  ,  ,
2782.67 -62.0323 -4.875,    84 117,                          stand,  ,  ,
3298.87 713.53 -2.63942,    52 53 102 131,                   stand,  ,  ,
3204.63 1098.93 -16.6104,   16 41 54 102 110 131,            stand,  ,  ,
2590.37 820.262 -13.1661,   57 102 103 123,                  stand,  ,  ,
2128.43 466.744 -20.3148,   57 58 93 119,                    stand,  ,  ,
1935.69 864.953 -8.7576,    92 94 103,                       stand,  ,  ,
1886.39 1223.67 0.335981,   93 95 97 137,                    stand,  ,  ,
2229.52 1662.49 25.8322,    94 96 106 137,                   stand,  ,  ,
2539.16 1837.55 28.7122,    95 99 100 101 104 106,           stand,  ,  ,
2646.25 1187.37 -36.718,    94 98 102 103,                   stand,  ,  ,
2491.2 1344.71 -29.5165,    97 104 106,                      stand,  ,  ,
2850.19 1792.4 12.8276,     15 96 100 101,                   stand,  ,  ,
2902.15 2104.51 18.0232,    17 19 96 99,                     stand,  ,  ,
2842.73 1499.17 -33.3867,   15 17 96 99 102 105 130,         stand,  ,  ,
2865.25 1147.05 -41.478,    53 89 90 91 97 101 103 105 130,  stand,  ,  ,
2417.69 851.055 -17.3205,   57 91 93 97 102,                 stand,  ,  ,
2503.85 1528.37 -7.53396,   96 98 105 106,                   stand,  ,  ,
2699.29 1383.17 -30.1431,   101 102 104,                     stand,  ,  ,
2340.48 1562.51 2.39364,    95 96 98 104,                    stand,  ,  ,
3397.56 1325.67 8.85489,    16 108,                          stand,  ,  ,
3450.92 1336.74 26.7883,    107 109 124,                     stand,  ,  ,
3480.02 1096.83 28.4757,    108 110,                         stand,  ,  ,
3398.26 1084.8 1.63837,     16 90 109 111,                   stand,  ,  ,
3430.9 835.152 0.962953,    41 50 52 110,                    stand,  ,  ,
3837.77 415.322 -5.875,     51 77 78,                        stand,  ,  ,
4177.37 74.3954 -5.875,     76 114,                          stand,  ,  ,
3962.71 -6.51009 -5.875,    113 115,                         stand,  ,  ,
3912.69 96.0066 -5.875,     75 76 114,                       stand,  ,  ,
5860.41 85.4573 20.1207,    63 120,                          stand,  ,  ,
2806.9 -252.146 -4.875,     60 88,                           stand,  ,  ,
2123.71 -23.043 -23.4637,   58 119,                          stand,  ,  ,
1951.22 223.317 -23.7528,   92 118,                          stand,  ,  ,
5961.21 -208.901 6.81811,   63 64 116,                       stand,  ,  ,
5352.64 625.189 12.125,     34,                              stand,  ,  ,
6097.37 762.95 18.0332,     3 126,                           stand,  ,  ,
2865.68 821.906 -5.875,     91,                              stand,  ,  ,
3431.07 1440.51 25.8529,    108,                             stand,  ,  ,
5456.89 697.216 2.34447,    42 43 44,                        stand,  ,  ,
5972.86 886.585 37.5182,    3 122,                           stand,  ,  ,
5238.64 1730.39 -19.5558,   8 27,                            stand,  ,  ,
3909.55 2222.49 14.9434,    19 21,                           stand,  ,  ,
3151.85 1848.71 9.26341,    15 17,                           stand,  ,  ,
2914.46 1289.46 -37.9061,   101 102,                         stand,  ,  ,
3263.01 882.578 0.388421,   89 90,                           stand,  ,  ,
2570.72 3.43449 -10.3899,   59 60,                           stand,  ,  ,
4282.91 88.042 -5.875,      74,                              stand,  ,  ,
4323.0 470.824 -4.64444,    70,                              stand,  ,  ,
4868.71 -78.9016 16.0227,   66 136,                          stand,  ,  ,
4910.96 64.8592 2.125,      66 67 72 135,                    stand,  ,  ,
2280.99 1489.02 -4.16754,   94 95,                           stand,  ,  ,
