447
-3572.3 1041.86 -280.157,    1 6 234,                         stand,   0.0 0.0 0.0,            ,
1717.06 95.3206 60.7526,     26 127 157 323 325,              stand,   0.0 0.0 0.0,            ,
1589.05 -478.661 77.9703,    25 27 97 320 322,                stand,   0.0 0.0 0.0,            ,
1220.83 -920.017 110.491,    26 28 97 320,                    stand,   0.0 0.0 0.0,            ,
649.029 -886.866 82.6351,    27 29 89 96,                     stand,   0.0 0.0 0.0,            ,
256.168 -848.426 81.962,     28 30 89,                        stand,   0.0 0.0 0.0,            ,
-296.189 -756.159 57.6662,   29 31,                           stand,   0.0 0.0 0.0,            ,
-727.541 -678.236 43.125,    30 32 93 338 339,                stand,   0.0 0.0 0.0,            ,
-1086.67 -556.764 -5.07388,  31 359,                          stand,   0.0 0.0 0.0,            ,
-1056.51 -110.924 -70.5436,  351 352 353 357 358 359,         stand,   0.0 0.0 0.0,            ,
-1102.98 444.951 -150.117,   35 352 355 356,                  stand,   0.0 0.0 0.0,            ,
-1173.36 668.63 -259.928,    34 192 360,                      stand,   0.0 0.0 0.0,            ,
-1716.4 745.028 -312.904,    38 112 192 194 198 199,          stand,   0.0 0.0 0.0,            ,
-2120.24 410.583 -306.769,   38 49 198 199,                   stand,   0.0 0.0 0.0,            ,
-2083.65 161.225 -307.322,   36 37 39,                        stand,   0.0 0.0 0.0,            ,
-2288.45 108.713 -307.559,   38 40 49,                        stand,   0.0 0.0 0.0,            ,
-2759.06 -42.4535 -311.296,  2 4 39 384,                      stand,   0.0 0.0 0.0,            ,
-2533.73 844.096 -306.875,   5 48 199 201 367,                stand,   0.0 0.0 0.0,            ,
-2755.99 1160.79 -306.875,   43 367,                          stand,   0.0 0.0 0.0,            ,
-2550.6 1203.86 -171.875,    42 200 372,                      stand,   0.0 0.0 0.0,            ,
-2615.65 1035.13 -171.875,   200 373 374 377,                 stand,   0.0 0.0 0.0,            ,
-2440.11 572.099 -171.875,   377 381 383,                     stand,   0.0 0.0 0.0,            ,
-2354.16 211.249 -171.875,   47 381,                          stand,   0.0 0.0 0.0,            ,
-2510.49 181.262 -244.875,   46 48 382,                       stand,   0.0 0.0 0.0,            ,
-2536.83 307.599 -306.875,   41 47 49,                        stand,   0.0 0.0 0.0,            ,
-2341.31 337.694 -306.875,   37 39 48 364 365,                stand,   0.0 0.0 0.0,            ,
-2344.8 1377.55 -292.895,    51 186 187 199,                  stand,   0.0 0.0 0.0,            ,
-2674.33 1417.28 -308.093,   6 50 52 185 186 387,             stand,   0.0 0.0 0.0,            ,
-3030.78 1666.77 -311.548,   7 51 53 185 387 388 389,         stand,   0.0 0.0 0.0,            ,
-2863.1 2155.93 -305.766,    52 54 60 185 394,                stand,   0.0 0.0 0.0,            ,
-3350.65 2150.11 -326.972,   53 253 388 390,                  stand,   0.0 0.0 0.0,            ,
-3412.52 2547.15 -307.075,   252 253 258 259,                 stand,   0.0 0.0 0.0,            ,
-3201.19 3252.71 -307.075,   57 224 227 266,                  stand,   0.0 0.0 0.0,            ,
-3034.17 3239.46 -307.075,   56 58 59 261 262,                stand,   0.0 0.0 0.0,            ,
-2837.49 3521.78 -307.075,   57 225 262 264,                  stand,   0.0 0.0 0.0,            ,
-3001.04 2977.24 -319.12,    57 60 61 240 393,                stand,   0.0 0.0 0.0,            ,
-2897.2 2479.47 -312.678,    53 59 241,                       stand,   0.0 0.0 0.0,            ,
-2455.86 3135.03 -310.464,   12 59 62 240,                    stand,   0.0 0.0 0.0,            ,
-1942.89 3163.8 -283.328,    61 63 240,                       stand,   0.0 0.0 0.0,            ,
-1450.59 3294.85 -170.917,   62 64 209,                       stand,   0.0 0.0 0.0,            ,
-1073.79 3067.32 -122.123,   63 69 153 184 211,               stand,   0.0 0.0 0.0,            ,
-1045.17 2725.92 -123.875,   66 148 403 404,                  stand,   0.0 0.0 0.0,            ,
-983.274 2561.71 -123.875,   65 67 154 410,                   stand,   0.0 0.0 0.0,            ,
-744.236 2728.4 -116.189,    66 68 113 136 184,               stand,   0.0 0.0 0.0,            ,
-666.605 2999.18 -77.7266,   67 70 184,                       stand,   0.0 0.0 0.0,            ,
-788.394 3428.97 41.5158,    15 64 144 208,                   stand,   0.0 0.0 0.0,            ,
-535.504 2868.87 5.125,      68 143,                          stand,   0.0 0.0 0.0,            ,
449.299 3501.26 149.511,     72 73 80 142 215 287 290,        stand,   0.0 0.0 0.0,            ,
608.078 3891.35 178.567,     18 71 73 80 289 290 292,         stand,   0.0 0.0 0.0,            ,
883.332 3217.28 135.627,     71 72 74 80 216,                 stand,   0.0 0.0 0.0,            ,
1028.7 3173.58 138.477,      73 75 79 216 297 300,            stand,   0.0 0.0 0.0,            ,
1087.14 3436.08 146.125,     74 76 78 296,                    stand,   0.0 0.0 0.0,            ,
1323.0 3398.4 146.125,       21 75 77 296,                    stand,   0.0 0.0 0.0,            ,
1388.43 3834.28 146.125,     76,                              stand,   0.0 0.0 0.0,            ,
1141.86 3878.7 146.125,      75 233,                          stand,   0.0 0.0 0.0,            ,
1367.57 3130.41 144.301,     21 74 220 300,                   stand,   0.0 0.0 0.0,            ,
943.688 3644.17 146.125,     71 72 73 233 292,                stand,   0.0 0.0 0.0,            ,
534.768 1647.28 119.846,     22 82 137 170 196 214,           stand,   0.0 0.0 0.0,            ,
424.602 1409.94 190.125,     81 123 196 414,                  stand,   0.0 0.0 0.0,            ,
304.563 1051.07 190.125,     105 106 168 415 416 419 423,     stand,   0.0 0.0 0.0,            ,
-162.306 407.62 138.706,     85 167 174 177 332,              stand,   0.0 0.0 0.0,            ,
-93.5254 211.718 141.125,    84 86 118,                       stand,   0.0 0.0 0.0,            ,
-126.94 -78.3264 116.456,    85 87 327 328 329 332,           stand,   0.0 0.0 0.0,            ,
125.966 -131.805 117.988,    86 88 171 326 328 329,           stand,   0.0 0.0 0.0,            ,
455.085 -283.448 89.7639,    87 89 96 98 160 326 329,         stand,   0.0 0.0 0.0,            ,
297.017 -661.968 75.2611,    28 29 88 90 96 329,              stand,   0.0 0.0 0.0,            ,
89.4384 -610.712 75.625,     89 236 239 342,                  stand,   0.0 0.0 0.0,            ,
-474.335 -428.018 75.625,    92 237 238 340 341,              stand,   0.0 0.0 0.0,            ,
-631.616 -372.199 43.625,    91 93 333 334 335,               stand,   0.0 0.0 0.0,            ,
-662.354 -490.501 43.625,    31 92 94 337,                    stand,   0.0 0.0 0.0,            ,
-894.394 -438.041 -76.875,   93 95 343 344,                   stand,   0.0 0.0 0.0,            ,
-794.162 -181.335 -76.875,   94 344 345 346 353,              stand,   0.0 0.0 0.0,            ,
882.158 -574.439 73.717,     28 88 89 97 98,                  stand,   0.0 0.0 0.0,            ,
1312.84 -641.019 96.1126,    26 27 96 317 320,                stand,   0.0 0.0 0.0,            ,
980.984 -268.688 57.4901,    88 96 99 316 317 319 325,        stand,   0.0 0.0 0.0,            ,
1058.73 229.394 56.7352,     98 157 158 160 315 316 317 319,  stand,   0.0 0.0 0.0,            ,
837.024 691.546 46.125,      101 156 163,                     stand,   0.0 0.0 0.0,            ,
668.102 743.122 38.125,      100 102 103 162 440,             stand,   0.0 0.0 0.0,            ,
719.755 942.418 38.125,      101 441 442 443,                 stand,   0.0 0.0 0.0,            ,
440.573 632.065 38.125,      101 161,                         stand,   0.0 0.0 0.0,            ,
776.557 423.927 190.125,     163 165,                         stand,   0.0 0.0 0.0,            ,
659.234 925.064 190.125,     83 126 166 426 437,              stand,   0.0 0.0 0.0,            ,
393.149 943.145 190.125,     83 169 415,                      stand,   0.0 0.0 0.0,            ,
257.61 612.165 318.125,      108 109 169 181 429,             stand,   0.0 0.0 0.0,            ,
193.196 816.583 318.125,     107 427 428,                     stand,   0.0 0.0 0.0,            ,
244.375 481.741 318.125,     107 110 111,                     stand,   0.0 0.0 0.0,            ,
12.6075 564.653 318.125,     109 176,                         stand,   0.0 0.0 0.0,            ,
460.882 407.716 316.125,     109 180 430 431 432,             stand,   0.0 0.0 0.0,            ,
-1687.47 1042.33 -334.871,   36 192 193 202 203,              stand,   0.0 0.0 0.0,            ,
-592.348 2242.99 -106.455,   67 114 207 212,                  stand,   0.0 0.0 0.0,            ,
-487.486 1876.15 -122.095,   113 138 197 411,                 stand,   0.0 0.0 0.0,            ,
-915.703 1610.0 -389.383,    116 195 197,                     stand,   0.0 0.0 0.0,            ,
-803.222 1357.49 -316.096,   115 188 195 361,                 stand,   0.0 0.0 0.0,            ,
-626.951 506.101 31.1823,    174 189 330 331,                 stand,   0.0 0.0 0.0,            ,
275.643 129.628 149.125,     85 171 235 326,                  stand,   0.0 0.0 0.0,            ,
813.18 700.257 318.125,      178,                             stand,   0.0 0.0 0.0,            ,
663.604 1041.7 319.125,      183,                             stand,   0.0 0.0 0.0,            ,
857.715 854.53 319.125,      183,                             stand,   0.0 0.0 0.0,            ,
20.1549 1362.37 143.368,     196 411 412 413,                 stand,   0.0 0.0 0.0,            ,
646.048 1356.95 190.125,     82 124 308,                      stand,   0.0 0.0 0.0,            ,
594.942 1188.53 190.125,     123 307 309,                     stand,   0.0 0.0 0.0,            ,
951.636 1047.95 190.125,     126 309,                         stand,   0.0 0.0 0.0,            ,
873.109 825.168 190.125,     105 125,                         stand,   0.0 0.0 0.0,            ,
1787.69 427.881 69.5763,     25 158 324,                      stand,   0.0 0.0 0.0,            ,
-992.906 2487.88 6.125,      129 405 406 407 409,             stand,   15.8191 -121.104 0.0,   ,
-949.301 2680.4 6.125,       128 130,                         crouch,  18.0713 113.839 0.0,    ,
-1049.14 2856.16 6.125,      129 408,                         crouch,  9.99084 -113.941 0.0,   ,
-3020.93 3318.03 -139.075,   132 135 265 268,                 stand,   14.0833 33.809 0.0,     ,
-2695.5 3345.24 -134.744,    131 134 135 267,                 stand,   13.5724 9.04583 0.0,    ,
-2620.42 3692.2 -299.108,    134 226,                         climb,   -85.0 -80.2236 0.0,     ,
-2616.54 3696.47 -147.579,   132 133,                         climb,   56.6357 -82.4758 0.0,   ,
-2825.15 3495.13 -139.075,   131 132,                         stand,   14.7778 133.23 0.0,     ,
-429.464 2723.83 -51.5951,   67 141 212,                      stand,   20.5444 155.462 0.0,    ,
212.187 1865.31 58.5441,     81 138 139,                      stand,   35.744 149.584 0.0,     ,
-17.3177 1893.19 -28.9776,   114 137 212 413,                 stand,   30.564 174.622 0.0,     ,
59.2267 2074.14 -12.7304,    137 212,                         stand,   30.9045 146.14 0.0,     ,
204.867 2164.53 -30.1062,    170 212,                         stand,   26.2463 152.891 0.0,    ,
-170.528 2719.28 -24.7308,   136 212,                         stand,   5.69641 175.512 0.0,    ,
-103.323 3330.39 132.21,     16 71 143 146 284 286 288,       stand,   20.2039 -107.65 0.0,    ,
-318.887 2862.74 124.399,    70 142 284 286,                  stand,   42.4731 178.462 0.0,    ,
-576.724 3443.36 150.125,    69 145 281 282,                  stand,   25.2081 39.7925 0.0,    ,
-492.4 3576.93 150.125,      16 144 146 281,                  stand,   15.7104 -51.8829 0.0,   ,
-360.161 3393.13 150.125,    16 142 145 284,                  stand,   18.3032 -54.4756 0.0,   ,
-1204.42 2546.45 -123.875,   148 149 152,                     stand,   27.4548 -155.116 0.0,   ,
-1135.3 2715.78 -123.875,    65 147 152 404,                  stand,   37.4689 -39.2651 0.0,   ,
-1481.94 2435.57 -123.875,   147 152 400 401 402,             stand,   23.1372 -148.052 0.0,   ,
-1716.3 2294.77 -157.691,    151 205 206 398 400,             stand,   27.6733 28.7568 0.0,    ,
-1890.9 2025.33 -194.793,    150 204 242 395 396,             stand,   37.0007 -126.639 0.0,   ,
-1323.65 2754.94 -123.875,   147 148 149 153,                 stand,   28.8818 -44.2803 0.0,   ,
-1252.4 2893.34 -123.287,    64 152,                          stand,   22.4933 -132.319 0.0,   ,
-920.04 2307.04 -128.52,     66 207,                          stand,   24.2236 102.167 0.0,    ,
936.516 1052.93 69.4373,     156 159 312,                     stand,   19.0436 -30.9649 0.0,   ,
880.508 826.927 46.1596,     100 155 158 159 313,             stand,   32.1613 -104.343 0.0,   ,
1311.27 390.249 56.3201,     25 99 158,                       stand,   20.5927 177.446 0.0,    ,
1251.02 682.607 48.7285,     24 99 127 156 157 159 314,       stand,   26.8109 -126.09 0.0,    ,
1072.02 883.228 47.5929,     24 155 156 158 311 314,          stand,   14.5502 49.1749 0.0,    ,
759.178 246.529 60.7658,     88 99 319,                       stand,   11.9629 -115.345 0.0,   ,
561.205 509.76 38.125,       103 162 438 439,                 stand,   20.5927 -11.9091 0.0,   ,
705.765 542.063 38.125,      101 161 438,                     stand,   27.3273 155.577 0.0,    ,
806.781 563.862 124.497,     100 104,                         stand,   27.6733 -108.072 0.0,   ,
472.001 656.267 190.125,     166 235 436,                     stand,   28.7115 68.8953 0.0,    ,
629.82 565.832 190.125,      104 166 235,                     stand,   31.1285 -47.3016 0.0,   ,
640.869 773.815 190.125,     105 164 165 436,                 stand,   31.1285 -99.4427 0.0,   ,
183.013 474.979 182.125,     84 168 235 434,                  stand,   23.7018 78.5633 0.0,    ,
238.19 761.674 190.125,      83 167 419 423 433,              stand,   23.5315 76.9977 0.0,    ,
348.932 820.785 259.101,     106 107,                         stand,   18.5217 -104.282 0.0,   ,
436.637 1976.69 68.9292,     81 140,                          stand,   30.2661 136.752 0.0,    ,
194.701 82.0221 149.125,     87 118,                          stand,   34.5782 -102.892 0.0,   ,
-230.914 638.934 236.757,    173 175,                         climb,   12.9956 -13.98 0.0,     ,
-186.651 631.314 276.669,    172 176,                         stand,   26.2946 2.41708 0.0,    ,
-302.212 436.144 135.223,    84 117 175 330 331,              stand,   8.85376 76.1463 0.0,    ,
-243.129 640.771 236.411,    172 174,                         stand,   69.4598 -10.1898 0.0,   ,
-30.2238 612.657 285.981,    110 173,                         climb,   17.3132 -19.0063 0.0,   ,
-86.1974 580.06 148.051,     84,                              stand,   17.1429 -114.477 0.0,   ,
728.77 723.778 318.125,      119 182 183,                     stand,   34.5782 -113.956 0.0,   ,
472.606 729.946 318.125,     181 183,                         stand,   59.7919 73.8886 0.0,    ,
481.641 478.375 318.125,     111 181 182,                     stand,   30.4364 -106.529 0.0,   ,
444.642 568.836 318.125,     107 179 180 182,                 stand,   18.8678 86.847 0.0,     ,
593.597 531.34 318.125,      178 180 181,                     stand,   28.0194 162.301 0.0,    ,
625.876 925.924 318.125,     120 121 178 179,                 stand,   26.2946 41.7866 0.0,    ,
-891.315 3031.62 -113.316,   64 67 68,                        stand,   32.1613 169.882 0.0,    ,
-2671.2 1682.4 -321.224,     51 52 53 186 394,                stand,   21.8011 -1.22491 0.0,   ,
-2337.01 1649.14 -298.882,   50 51 185 242,                   stand,   27.3273 -95.147 0.0,    ,
-2093.33 1403.61 -267.293,   50 202,                          stand,   16.6211 -4.48236 0.0,   ,
-649.251 1105.55 -158.3,     116 189 190,                     stand,   59.0997 120.861 0.0,    ,
-615.778 852.271 -14.5345,   117 188,                         stand,   15.9344 -89.7857 0.0,   ,
-532.769 1307.32 -89.4927,   188 191,                         stand,   -3.40698 48.3509 0.0,   ,
-421.882 1418.75 -8.89233,   190 411,                         stand,   84.6539 175.43 0.0,     ,
-1331.51 685.425 -281.503,   35 36 112 194,                   stand,   52.3651 93.4113 0.0,    ,
-1444.58 1172.79 -398.214,   112 194 195 361 363,             stand,   8.3374 -140.713 0.0,    ,
-1267.54 908.726 -316.282,   36 192 193 360 361,              stand,   25.4321 -93.3892 0.0,   ,
-984.354 1457.58 -447.961,   115 116 193 361 362,             stand,   24.9103 28.8502 0.0,    ,
221.007 1497.76 131.385,     81 82 122,                       stand,   23.8776 31.4375 0.0,    ,
-678.581 1807.65 -231.455,   114 115,                         stand,   38.8959 -142.624 0.0,   ,
-2007.71 634.005 -334.23,    36 37,                           stand,   15.9344 -150.04 0.0,    ,
-2209.81 892.908 -281.567,   36 37 41 50 203,                 stand,   37.0007 -169.019 0.0,   ,
-2530.71 1134.64 -171.875,   43 44 373,                       stand,   30.4364 -85.8306 0.0,   ,
-2564.04 1107.0 -306.875,    41 366 367,                      stand,   26.4648 -88.9398 0.0,   ,
-1845.68 1430.3 -244.754,    112 187 203 204 206 363,         stand,   31.6449 -167.305 0.0,   ,
-2029.44 1083.61 -263.765,   112 199 202,                     stand,   18.3514 57.3322 0.0,    ,
-1939.78 1626.96 -245.3,     151 202 206 242,                 stand,   21.6309 -178.698 0.0,   ,
-1059.81 1962.27 -181.656,   150 206 207,                     stand,   16.2805 37.1613 0.0,    ,
-1470.91 1706.35 -248.32,    150 202 204 205 363,             stand,   14.726 34.0632 0.0,     ,
-890.218 2212.28 -134.681,   113 154 205,                     stand,   19.906 10.5799 0.0,     ,
-1020.91 3611.56 -56.6117,   15 69 209 211,                   stand,   10.7062 -73.1304 0.0,   ,
-1300.7 3464.62 -166.626,    13 63 208 211,                   stand,   9.3219 39.463 0.0,      ,
-2210.98 3677.14 -313.592,   12 13 274,                       stand,   40.0562 8.03658 0.0,    ,
-1053.53 3298.38 -92.4759,   64 208 209,                      stand,   38.3313 -94.4824 0.0,   ,
-154.018 2295.03 -54.2463,   113 136 138 139 140 141,         stand,   23.0096 124.656 0.0,    ,
1141.0 1710.26 147.14,       22 23 302 306,                   stand,   74.9377 -88.6596 0.0,   ,
788.794 1519.66 147.355,     22 23 81 306 308,                stand,   85.0 154.457 0.0,       ,
582.344 3225.05 146.46,      71 216,                          stand,   18.3514 -68.8458 0.0,   ,
728.928 2782.4 135.167,      73 74 215 217 297,               stand,   31.6449 93.8178 0.0,    ,
804.75 2336.76 176.237,      216 218 298,                     stand,   35.9625 -78.673 0.0,    ,
919.569 2138.6 148.702,      22 217 221 298 299 303,          stand,   25.2563 -71.076 0.0,    ,
1644.13 2744.91 148.576,     220 221 295 300 301,             stand,   26.8109 -133.753 0.0,   ,
1477.85 3090.18 149.555,     21 79 219 295,                   stand,   81.3745 -15.4852 0.0,   ,
1205.7 2300.44 179.66,       22 218 219 299 301,              stand,   24.2236 -124.766 0.0,   ,
-4041.69 3281.24 -307.075,   223 246 247 248 256,             stand,   20.3741 11.2153 0.0,    ,
-3531.58 3377.19 -307.075,   222 224 227,                     stand,   85.0 11.2208 0.0,       ,
-3545.19 3176.06 -307.075,   56 223 257 260,                  stand,   21.6309 2.58552 0.0,    ,
-2858.96 3733.43 -310.918,   58 226 227 269,                  stand,   26.9812 -77.351 0.0,    ,
-2627.58 3739.12 -305.669,   12 133 225,                      stand,   57.5452 -77.8674 0.0,   ,
-3325.24 3599.34 -312.13,    56 223 225 228 266 269 270,      stand,   28.0194 -117.22 0.0,    ,
-3850.04 3709.61 -314.894,   11 227 270 271,                  stand,   25.6024 -6.33538 0.0,   ,
1361.25 3920.19 6.18869,     230 231,                         stand,   18.1757 150.643 0.0,    ,
1114.24 4013.84 30.5003,     19 229,                          stand,   27.8436 -21.3097 0.0,   ,
1489.78 3836.57 30.9984,     20 229 293,                      stand,   27.157 -33.2079 0.0,    ,
922.758 3960.9 99.8542,      19 233,                          stand,   16.7969 -43.0517 0.0,   ,
1057.77 3898.64 146.125,     78 80 232,                       stand,   85.0 -11.9659 0.0,      ,
-3530.48 1229.58 -293.403,   0 7 386,                         stand,   26.1188 -122.129 0.0,   ,
410.636 450.973 182.125,     118 164 165 167 435,             stand,   83.2269 -5.76776 0.0,   ,
-88.2244 -648.965 75.625,    90 237,                          stand,   22.9669 164.317 0.0,    ,
-355.415 -573.87 75.625,     91 236,                          stand,   28.4875 162.763 0.0,    ,
-267.285 -402.528 75.625,    91 239,                          stand,   26.2463 163.455 0.0,    ,
-79.9568 -451.487 75.625,    90 238,                          stand,   29.5258 -13.6889 0.0,   ,
-2571.18 2846.18 -309.374,   59 61 62 241,                    stand,   15.8862 60.337 0.0,     ,
-2740.11 2611.78 -312.595,   60 240,                          stand,   36.2604 56.5522 0.0,    ,
-2174.27 1640.07 -284.861,   151 186 204 395,                 stand,   65.7861 -2.81244 0.0,   ,
-3089.09 2804.77 -307.075,   258 259,                         crouch,  1.60278 -127.425 0.0,   ,
-2993.03 2308.23 -307.075,   253 258,                         crouch,  3.15735 147.101 0.0,    ,
-3831.23 2146.05 -275.075,   254 255,                         crouch,  7.12891 50.592 0.0,     ,
-4264.22 3331.13 -307.075,   222 247,                         crouch,  3.33313 -34.1895 0.0,   ,
-4200.75 3180.94 -307.075,   222 246 248 256,                 stand,   11.2708 -52.8333 0.0,   ,
-4178.38 3021.5 -307.075,    10 222 247 249,                  stand,   20.2521 -169.733 0.0,   ,
-4140.45 2884.82 -307.075,   248 250,                         prone,   3.33313 13.6948 0.0,    ,
-3937.08 2913.78 -307.075,   249 251 255,                     stand,   18.1812 170.299 0.0,    ,
-3772.31 2851.4 -307.075,    250 252 256 446,                 stand,   13.3472 -73.6795 0.0,   ,
-3635.97 2567.95 -307.075,   55 251 254 255 445,              stand,   13.5175 -33.7936 0.0,   ,
-3369.08 2254.78 -307.075,   54 55 244,                       stand,   24.3939 89.8355 0.0,    ,
-3566.46 2224.93 -307.075,   245 252,                         stand,   16.6266 69.1043 0.0,    ,
-3876.12 2543.25 -307.075,   245 250 252,                     stand,   11.6168 -54.5248 0.0,   ,
-3844.94 3141.23 -307.075,   222 247 251 257,                 stand,   12.1387 118.301 0.0,    ,
-3691.68 3018.92 -307.075,   224 256 260 446,                 stand,   13.8635 -42.6211 0.0,   ,
-3057.73 2603.58 -307.075,   55 243 244,                      stand,   13.5175 -167.997 0.0,   ,
-3413.37 2710.89 -307.075,   55 243 445,                      stand,   16.7969 102.047 0.0,    ,
-3559.15 3030.31 -307.075,   224 257 444 446,                 stand,   14.726 -77.3489 0.0,    ,
-3192.48 3526.56 -307.075,   57,                              crouch,  1.25671 -36.6061 0.0,   ,
-2768.21 3226.38 -307.075,   57 58 263,                       stand,   16.4508 9.83859 0.0,    ,
-2535.26 3248.3 -307.075,    262 264,                         crouch,  6.26099 149.008 0.0,    ,
-2593.57 3488.53 -307.075,   58 263,                          stand,   7.12341 166.619 0.0,    ,
-3231.36 3476.25 -131.075,   131 266,                         climb,   85.0 -168.541 0.0,      ,
-3235.13 3475.29 -307.075,   56 227 265,                      climb,   -85.0 12.4039 0.0,      ,
-2537.54 3274.15 -139.075,   132,                             prone,   5.3021 9.53584 0.0,     ,
-3123.87 3123.55 -131.075,   131,                             prone,   13.9374 -110.644 0.0,   ,
-3040.72 3958.59 -295.235,   225 227 270 273,                 stand,   12.5531 169.068 0.0,    ,
-3702.44 3971.8 -308.754,    11 227 228 269 271,              stand,   11.6907 175.797 0.0,    ,
-4455.16 3826.48 -287.702,   11 228 270 272,                  stand,   12.207 -166.075 0.0,    ,
-5076.73 3780.72 -294.159,   10 11 271,                       crouch,  5.99424 -22.0718 0.0,   ,
-2888.99 4144.27 -304.827,   12 269 274,                      stand,   10.9985 12.2879 0.0,    ,
-2277.99 4143.23 -294.535,   210 273 275,                     stand,   10.3064 -14.9911 0.0,   ,
-1868.48 4113.01 -252.949,   13 274 276,                      stand,   2.88511 22.302 0.0,     ,
-1512.8 4008.71 -165.565,    13 14 275,                       stand,   5.13182 -33.9865 0.0,   ,
-514.962 4091.22 131.721,    278 279,                         crouch,  13.2452 -133.957 0.0,   ,
-700.44 3774.03 22.2682,     15 16 277,                       stand,   -7.82106 -6.70192 0.0,  ,
-381.897 4215.77 140.277,    17 277 280,                      stand,   12.0367 -25.516 0.0,    ,
-430.427 4437.16 154.692,    279,                             crouch,  2.70933 -82.8427 0.0,   ,
-612.255 3468.28 150.125,    144 145,                         prone,   20.8423 -178.671 0.0,   ,
-623.113 3308.19 135.626,    144 283,                         prone,   22.2211 -177.462 0.0,   ,
-573.723 3022.39 141.685,    282 284,                         prone,   24.6381 -142.235 0.0,   ,
-318.808 3067.32 131.176,    142 143 146 283 286,             stand,   13.5913 73.5861 0.0,    ,
-86.7619 2888.15 124.857,    286,                             crouch,  19.458 -120.663 0.0,    ,
-89.2338 3052.91 140.608,    142 143 284 285 287,             stand,   14.2779 174.413 0.0,    ,
134.956 3269.2 128.94,       71 286 288,                      stand,   9.9658 50.7785 0.0,     ,
225.74 3538.12 151.512,      142 287 289,                     stand,   20.1501 16.9351 0.0,    ,
317.42 3690.07 147.589,      72 288 290,                      stand,   23.4296 -21.5719 0.0,   ,
442.951 3608.29 148.375,     71 72 289,                       stand,   25.5005 -102.717 0.0,   ,
-5.14551 4282.28 127.029,    17 18,                           crouch,  4.43968 -69.7634 0.0,   ,
681.928 3894.72 184.476,     18 72 80,                        prone,   5.64817 -119.482 0.0,   ,
1572.2 3627.01 64.849,       20 21 231 294,                   stand,   13.7616 -58.3596 0.0,   ,
1913.65 3065.01 128.036,     20 21 293 295,                   crouch,  6.85667 -162.642 0.0,   ,
1635.43 2992.45 140.685,     219 220 294 300,                 stand,   12.3828 -173.013 0.0,   ,
1348.6 3297.24 178.125,      75 76,                           crouch,  10.238 142.613 0.0,     ,
968.484 2859.12 140.326,     74 216 298,                      stand,   14.5502 -107.392 0.0,   ,
938.865 2490.77 143.161,     217 218 297 299,                 stand,   13.3417 -90.3024 0.0,   ,
1168.32 2592.92 112.454,     218 221 298 300,                 stand,   10.0623 -116.038 0.0,   ,
1262.57 2933.65 133.697,     74 79 219 295 299,               stand,   17.489 82.6828 0.0,     ,
1380.18 2175.65 161.73,      219 221 302 305,                 stand,   13.6877 -130.216 0.0,   ,
1184.26 2004.2 157.045,      22 213 301 304 305,              stand,   14.726 -152.837 0.0,    ,
837.732 1997.22 152.869,     22 218,                          crouch,  3.32764 -109.474 0.0,   ,
