95
-398.0 -701.0 -103.875,      25 26 29,                   stand,  0.0 0.0 0.0,           ,
1074.1 -1377.31 -183.875,    48 49 51 92,                stand,  0.0 0.0 0.0,           ,
902.351 -1198.71 -183.935,   49 50 52 67,                stand,  0.0 0.0 0.0,           ,
867.537 -1135.27 -156.875,   51 64,                      stand,  0.0 0.0 0.0,           ,
1271.45 -1159.86 -183.875,   12 49,                      stand,  0.0 0.0 0.0,           ,
1206.39 -653.682 -183.875,   13 55,                      stand,  0.0 0.0 0.0,           ,
1132.67 -556.527 -183.875,   14 54 56,                   stand,  0.0 0.0 0.0,           ,
1080.99 -527.32 -183.875,    14 55 57,                   stand,  0.0 0.0 0.0,           ,
1069.82 -381.372 -183.875,   5 56 58,                    stand,  0.0 0.0 0.0,           ,
691.58 -391.733 -183.875,    5 57 59,                    stand,  0.0 0.0 0.0,           ,
654.724 -673.922 -183.875,   11 16 58 60 94,             stand,  0.0 0.0 0.0,           ,
575.406 -757.34 -183.875,    9 17 59 94,                 stand,  0.0 0.0 0.0,           ,
447.232 -1208.46 -183.875,   9 10 62 79,                 stand,  0.0 0.0 0.0,           ,
617.243 -1233.28 -183.875,   10 61 64 80 93,             stand,  0.0 0.0 0.0,           ,
38.7791 -1429.15 -183.875,   7 80 81,                    stand,  0.0 0.0 0.0,           ,
828.657 -1081.91 -183.875,   9 52 62 65 94,              stand,  0.0 0.0 0.0,           ,
852.604 -951.654 -183.875,   10 64 94,                   stand,  0.0 0.0 0.0,           ,
989.027 -919.282 -183.875,   14 67,                      stand,  0.0 0.0 0.0,           ,
1021.85 -1160.91 -183.875,   49 51 66 92,                stand,  0.0 0.0 0.0,           ,
764.396 -1446.18 -183.875,   49 80,                      stand,  0.0 0.0 0.0,           ,
239.438 -1083.74 -183.875,   9 22 70 77,                 stand,  0.0 0.0 0.0,           ,
114.332 -915.204 -183.875,   8 9 69 74 82,               stand,  0.0 0.0 0.0,           ,
-130.28 -1219.34 -183.875,   6 72,                       stand,  0.0 0.0 0.0,           ,
-70.1052 -1288.87 -183.875,  71 81,                      stand,  0.0 0.0 0.0,           ,
-74.155 -613.637 -183.875,   6 8 20 83,                  stand,  0.0 0.0 0.0,           ,
73.0478 -1134.2 -183.875,    70 75 76 81,                stand,  0.0 0.0 0.0,           ,
-64.5122 -1110.42 -183.875,  6 74,                       stand,  0.0 0.0 0.0,           ,
124.768 -1180.59 -151.875,   74 77,                      stand,  0.0 0.0 0.0,           ,
151.787 -1244.3 -183.875,    69 76 78,                   stand,  0.0 0.0 0.0,           ,
355.977 -1266.43 -183.875,   77 79 80,                   stand,  0.0 0.0 0.0,           ,
391.247 -1241.75 -151.875,   61 78,                      stand,  0.0 0.0 0.0,           ,
481.277 -1428.51 -183.875,   7 62 63 68 78,              stand,  0.0 0.0 0.0,           ,
34.0853 -1280.94 -183.875,   63 72 74,                   stand,  0.0 0.0 0.0,           ,
95.6816 -694.478 -183.875,   18 70 83,                   stand,  0.0 0.0 0.0,           ,
27.7237 -651.335 -159.875,   73 82,                      stand,  0.0 0.0 0.0,           ,
-306.703 -417.018 -103.875,  24 25 85,                   stand,  0.0 0.0 0.0,           ,
-360.875 -413.648 -103.875,  84 86,                      climb,  9.80408 -179.613 0.0,  ,
-366.493 -460.813 136.125,   85 87,                      climb,  64.7137 175.026 0.0,   ,
-273.125 -455.513 136.126,   86,                         stand,  0.0 0.0 0.0,           ,
1480.87 -1397.8 -103.875,    4 89,                       climb,  8.64502 4.46291 0.0,   ,
1497.78 -1347.72 136.125,    88 90,                      climb,  70.5994 2.57326 0.0,   ,
1393.13 -1350.19 136.125,    89,                         stand,  0.0 0.0 0.0,           ,
755.082 -1309.69 -159.875,   92 93,                      stand,  0.0 0.0 0.0,           ,
835.153 -1322.24 -183.875,   49 50 67 91,                stand,  0.0 0.0 0.0,           ,
677.523 -1296.63 -183.875,   62 91,                      stand,  0.0 0.0 0.0,           ,
771.477 -848.246 -183.875,   10 11 59 60 64 65,          stand,  0.0 0.0 0.0,           ,
