113
1733.58 233.16 136.125,      13 23 24,                  stand,  0.0 0.0 0.0,            ,
-337.133 81.1536 0.124998,   55 59 60 69 70 106,        stand,  0.0 0.0 0.0,            ,
90.4592 -73.2581 0.125002,   70 73 84,                  stand,  0.0 0.0 0.0,            ,
431.51 -67.6764 0.383909,    72 74 81 84,               stand,  0.0 0.0 0.0,            ,
367.224 -213.226 0.124999,   73 75 81,                  stand,  0.0 0.0 0.0,            ,
486.026 -311.535 0.124999,   74 76 81,                  stand,  0.0 0.0 0.0,            ,
484.432 -375.919 40.1477,    67 75,                     stand,  0.0 0.0 0.0,            ,
827.519 -426.026 10.125,     66 67 79,                  stand,  0.0 0.0 0.0,            ,
828.309 -305.505 0.124999,   79 80 100,                 stand,  0.0 0.0 0.0,            ,
825.257 -375.195 33.4722,    77 78,                     stand,  0.0 0.0 0.0,            ,
820.428 69.1938 1.125,       69 78 82 85 98,            stand,  0.0 0.0 0.0,            ,
598.283 -103.718 0.124999,   73 74 75 82 84,            stand,  0.0 0.0 0.0,            ,
613.617 56.6777 1.125,       80 81 83,                  stand,  0.0 0.0 0.0,            ,
283.634 60.791 0.125002,     82 84,                     stand,  0.0 0.0 0.0,            ,
295.97 -43.0754 0.125002,    72 73 81 83,               stand,  0.0 0.0 0.0,            ,
878.779 194.709 0.125,       80 86 109,                 stand,  0.0 0.0 0.0,            ,
1047.49 205.981 1.125,       85 87 109,                 stand,  0.0 0.0 0.0,            ,
1184.99 352.944 0.124999,    86 88,                     stand,  0.0 0.0 0.0,            ,
1558.39 343.08 0.125001,     87 89,                     stand,  0.0 0.0 0.0,            ,
1540.8 112.242 0.125001,     88 90 97,                  stand,  0.0 0.0 0.0,            ,
1689.13 50.6814 1.125,       89 91 94,                  stand,  0.0 0.0 0.0,            ,
2007.9 64.0222 0.124998,     90 92 93,                  stand,  0.0 0.0 0.0,            ,
2046.59 273.329 0.124998,    5 6 91,                    stand,  0.0 0.0 0.0,            ,
2068.54 -287.147 0.125,      18 91,                     stand,  0.0 0.0 0.0,            ,
1675.8 -180.166 0.125001,    1 90 95,                   stand,  0.0 0.0 0.0,            ,
1318.66 -61.636 0.125001,    1 94 96,                   stand,  0.0 0.0 0.0,            ,
1215.81 -22.4591 0.125,      95 97 101,                 stand,  0.0 0.0 0.0,            ,
1203.76 118.287 1.02737,     89 96 98,                  stand,  0.0 0.0 0.0,            ,
977.201 40.5211 0.125,       80 97 99,                  stand,  0.0 0.0 0.0,            ,
972.907 -210.071 0.125001,   98 100 101,                stand,  0.0 0.0 0.0,            ,
921.692 -266.244 0.125001,   78 99,                     stand,  0.0 0.0 0.0,            ,
1217.07 -241.919 1.125,      96 99,                     stand,  0.0 0.0 0.0,            ,
182.922 413.127 10.1504,     46 103,                    climb,  15.5994 -87.7222 0.0,   ,
185.194 390.797 140.125,     102 104,                   climb,  -2.07214 -90.1886 0.0,  ,
196.821 351.087 136.125,     103 105,                   stand,  0.0 0.0 0.0,            ,
341.216 341.414 136.125,     32 33 37 104,              stand,  0.0 0.0 0.0,            ,
-297.769 323.862 0.492422,   59 71 107,                 stand,  0.0 0.0 0.0,            ,
-221.815 375.917 39.737,     46 106,                    stand,  0.0 0.0 0.0,            ,
780.136 420.141 10.125,      46 110 111,                stand,  0.0 0.0 0.0,            ,
870.801 312.352 1.125,       85 86 110,                 stand,  0.0 0.0 0.0,            ,
802.575 375.584 35.8361,     108 109,                   stand,  0.0 0.0 0.0,            ,
1140.29 409.125 10.125,      108 112,                   climb,  18.4943 -90.086 0.0,    ,
1143.36 362.718 136.125,     25 28 29 36 111,           climb,  16.1761 -90.2344 0.0,   ,
