302
-1240.52 -529.098 7.51933,   1 267 268,                   stand,   0.0 0.0 0.0,             ,
851.26 470.567 168.125,      45 54 69,                    stand,   0.0 0.0 0.0,             ,
631.106 276.481 160.125,     53 55 68,                    stand,   0.0 0.0 0.0,             ,
531.762 -269.662 8.125,      54 56 223,                   stand,   0.0 0.0 0.0,             ,
188.18 -260.719 5.71641,     55 57 76 223 224 225,        stand,   0.0 0.0 0.0,             ,
164.838 -589.757 16.5713,    56 58 159,                   stand,   0.0 0.0 0.0,             ,
177.083 -768.073 4.125,      57 161 272,                  stand,   0.0 0.0 0.0,             ,
538.155 -759.45 143.884,     60 107 273,                  stand,   0.0 0.0 0.0,             ,
596.695 -1054.4 142.288,     59 61 163 164,               stand,   0.0 0.0 0.0,             ,
882.719 -1042.71 192.125,    60 62 164 281 282,           stand,   0.0 0.0 0.0,             ,
1227.85 -1125.7 192.125,     61 63 275,                   stand,   0.0 0.0 0.0,             ,
1259.01 -705.821 196.89,     62 276 278 280 281,          stand,   0.0 0.0 0.0,             ,
628.626 -658.399 312.125,    283 284 285 286 292,         stand,   0.0 0.0 0.0,             ,
135.362 -605.006 312.125,    289 290 291 292 293 295,     stand,   0.0 0.0 0.0,             ,
-321.679 -535.071 304.125,   144 290 291 295,             stand,   0.0 0.0 0.0,             ,
1138.84 -219.046 186.125,    68 69,                       stand,   0.0 0.0 0.0,             ,
775.013 -146.705 160.125,    54 67,                       stand,   0.0 0.0 0.0,             ,
1163.3 129.99 186.125,       53 67 70,                    stand,   0.0 0.0 0.0,             ,
1226.71 575.762 186.125,     46 69,                       stand,   0.0 0.0 0.0,             ,
-124.904 1257.04 149.4,      33 72 213,                   stand,   0.0 0.0 0.0,             ,
-97.1738 889.631 144.125,    71 73 80 149,                stand,   0.0 0.0 0.0,             ,
-29.3469 879.978 144.125,    72 74 121 221,               crouch,  0.0 0.0 0.0,             ,
322.994 701.747 79.5024,     73 75 121 221,               stand,   0.0 0.0 0.0,             ,
339.31 255.673 -3.23351,     74 76,                       stand,   0.0 0.0 0.0,             ,
319.74 54.5373 -5.875,       56 75 93 222 224,            stand,   0.0 0.0 0.0,             ,
-360.853 -311.497 6.04029,   78 100 225,                  stand,   0.0 0.0 0.0,             ,
-356.621 -41.1277 -4.83861,  77 93 224 226 228 229,       stand,   0.0 0.0 0.0,             ,
-346.525 300.079 -0.515981,  80 89 226,                   stand,   0.0 0.0 0.0,             ,
-306.815 872.832 142.543,    72 79 81 82 149,             stand,   0.0 0.0 0.0,             ,
-551.112 872.701 150.708,    80,                          stand,   0.0 0.0 0.0,             ,
-227.737 922.996 152.125,    80 216,                      stand,   0.0 0.0 0.0,             ,
-548.514 1167.19 152.125,    84 214 218,                  stand,   0.0 0.0 0.0,             ,
-685.505 1347.49 216.125,    83 85,                       stand,   0.0 0.0 0.0,             ,
-501.631 1339.58 288.125,    84 245 247 249,              stand,   0.0 0.0 0.0,             ,
-488.52 1053.18 288.125,     87 243 249,                  stand,   0.0 0.0 0.0,             ,
-289.236 1004.1 288.125,     86,                          stand,   0.0 0.0 0.0,             ,
-175.081 675.677 176.125,    89 90 148,                   stand,   0.0 0.0 0.0,             ,
-217.889 302.734 8.125,      79 88,                       stand,   0.0 0.0 0.0,             ,
137.77 497.325 176.125,      88 91,                       stand,   0.0 0.0 0.0,             ,
144.32 334.453 176.125,      90 92 129,                   stand,   0.0 0.0 0.0,             ,
-162.841 346.957 172.016,    91,                          stand,   0.0 0.0 0.0,             ,
20.1585 3.58696 -5.875,      76 78 224 227,               stand,   0.0 0.0 0.0,             ,
-891.876 -79.2678 -3.88292,  95 112 168 228 271,          stand,   0.0 0.0 0.0,             ,
-997.004 -415.365 48.125,    94 96 168,                   stand,   0.0 0.0 0.0,             ,
-735.036 -428.077 152.125,   95 97 140 167,               stand,   0.0 0.0 0.0,             ,
-715.048 -292.522 152.125,   96 98 140,                   stand,   0.0 0.0 0.0,             ,
-585.69 -310.413 152.125,    97 99,                       stand,   0.0 0.0 0.0,             ,
-615.618 -585.589 5.33779,   98 100 101 102 122 152 155,  stand,   0.0 0.0 0.0,             ,
-500.497 -295.622 6.46471,   77 99 228,                   stand,   0.0 0.0 0.0,             ,
-346.259 -997.119 8.125,     99 102 108 154 156,          stand,   0.0 0.0 0.0,             ,
-276.599 -582.434 32.125,    99 101 103 157,              stand,   0.0 0.0 0.0,             ,
-53.1829 -580.633 32.125,    102 104 159,                 stand,   0.0 0.0 0.0,             ,
-32.2503 -813.631 32.125,    103 105,                     stand,   0.0 0.0 0.0,             ,
-319.765 -827.924 168.125,   104 106 111,                 stand,   0.0 0.0 0.0,             ,
-55.7131 -613.097 168.125,   105 107,                     stand,   0.0 0.0 0.0,             ,
535.559 -599.349 168.125,    59 106 109,                  stand,   0.0 0.0 0.0,             ,
19.6417 -1161.54 6.97471,    101 160 161 300,             stand,   0.0 0.0 0.0,             ,
533.299 -458.734 168.125,    107 110,                     stand,   0.0 0.0 0.0,             ,
117.418 -425.481 168.125,    109 111,                     stand,   0.0 0.0 0.0,             ,
-287.447 -457.91 168.125,    105 110 141,                 stand,   0.0 0.0 0.0,             ,
-1021.45 168.565 8.53023,    3 94 113 116 175 270 271,    stand,   0.0 0.0 0.0,             ,
-830.973 166.067 8.125,      112 114,                     stand,   0.0 0.0 0.0,             ,
-838.465 385.601 144.125,    113 115,                     stand,   0.0 0.0 0.0,             ,
-607.727 266.96 144.125,     114 233 235,                 stand,   0.0 0.0 0.0,             ,
-913.986 552.485 8.22492,    4 112 117 175 176 177,       stand,   0.0 0.0 0.0,             ,
-873.648 975.801 18.2553,    116 118 177 178,             stand,   0.0 0.0 0.0,             ,
-915.729 1295.96 74.1487,    13 117 180,                  stand,   0.0 0.0 0.0,             ,
-773.077 1621.25 216.125,    13 120 181,                  stand,   0.0 0.0 0.0,             ,
-778.395 1960.84 288.125,    18 29 119,                   stand,   0.0 0.0 0.0,             ,
332.206 955.776 151.905,     73 74,                       stand,   0.0 0.0 0.0,             ,
-838.64 -866.114 28.7714,    99 152 153 154,              stand,   0.0 0.0 0.0,             ,
599.27 2287.16 283.356,      25 51 189,                   stand,   0.0 0.0 0.0,             ,
-667.913 488.062 334.066,    125 127 236 237,             stand,   30.1312 -49.7283 0.0,    ,
-638.204 774.611 333.165,    124 126 240,                 stand,   10.3833 -74.085 0.0,     ,
-423.277 789.283 335.955,    125 127,                     stand,   19.3866 38.0745 0.0,     ,
-434.578 486.86 334.726,     124 126 236,                 stand,   14.4757 131.277 0.0,     ,
-824.647 177.606 284.125,    238 239,                     stand,   25.9399 -129.044 0.0,    ,
-15.5529 423.866 182.729,    91 130,                      climb,   -85.0 86.4308 0.0,       ,
-13.553 417.794 321.898,     129 131,                     climb,   85.0 88.683 0.0,         ,
90.3364 387.426 312.125,     130 132 133,                 stand,   12.7484 141.325 0.0,     ,
-1.46094 241.202 312.125,    131,                         stand,   22.0648 -90.8548 0.0,    ,
91.3406 587.838 308.125,     131 134,                     stand,   23.905 89.8758 0.0,      ,
-20.263 605.111 308.125,     133 135 137,                 stand,   18.5822 90.3866 0.0,     ,
-20.3276 979.276 298.125,    134 136,                     stand,   18.5822 90.3866 0.0,     ,
352.451 1013.05 298.125,     135,                         stand,   24.3115 6.15994 0.0,     ,
-210.978 502.617 320.125,    134,                         stand,   20.0159 -99.4297 0.0,    ,
647.547 494.654 322.781,     44,                          stand,   27.179 -122.759 0.0,     ,
840.325 757.287 188.823,     44 45,                       climb,   -29.8236 179.651 0.0,    ,
-947.93 -228.222 152.125,    96 97 165 166,               stand,   12.2376 94.8086 0.0,     ,
-423.72 -581.423 168.125,    111 142 296,                 stand,   48.0585 -90.6296 0.0,    ,
-405.125 -679.777 172.572,   141 143,                     climb,   -85.0 5.36892 0.0,       ,
-405.125 -679.753 301.559,   142 144,                     climb,   84.1815 2.70474 0.0,     ,
-340.332 -673.8 304.125,     66 143 145 147,              stand,   20.4224 -86.9437 0.0,    ,
-336.689 -848.896 304.125,   144 146,                     stand,   22.8778 4.01211 0.0,     ,
-182.755 -844.006 324.125,   145 147,                     stand,   28.6127 2.37515 0.0,     ,
-172.373 -708.748 308.125,   144 146 294 295,             stand,   21.4496 89.3649 0.0,     ,
-141.607 705.247 176.125,    88 149,                      climb,   24.8224 89.9911 0.0,     ,
-123.818 760.283 143.458,    72 80 148 221,               climb,   -0.248394 -109.032 0.0,  ,
886.028 1282.69 344.125,     42 205,                      stand,   18.3789 79.653 0.0,      ,
895.788 905.19 344.125,      43,                          stand,   19.6039 8.63186 0.0,     ,
-945.021 -507.246 6.63659,   99 122 153,                  crouch,  -1.90063 -41.2207 0.0,   ,
-960.875 -946.525 26.1671,   122 152 154,                 crouch,  2.93335 41.4899 0.0,     ,
-662.28 -980.764 25.1948,    101 122 153,                 stand,   12.085 -7.89368 0.0,     ,
-421.049 -445.848 5.97774,   99 156,                      stand,   5.18005 -164.493 0.0,    ,
-453.884 -884.014 14.5135,   101 155,                     stand,   15.0238 -79.0247 0.0,    ,
-269.907 -447.273 32.125,    102 158,                     stand,   9.49768 -0.466919 0.0,   ,
42.2499 -442.158 32.125,     157 159,                     stand,   8.80554 -83.0017 0.0,    ,
54.102 -598.364 32.125,      57 103 158,                  stand,   15.8862 -168.3 0.0,      ,
464.875 -1208.87 6.88402,    108 162 301,                 crouch,  1.55457 132.303 0.0,     ,
110.705 -995.664 6.125,      58 108 300,                  stand,   17.7869 72.2186 0.0,     ,
464.875 -815.125 10.3349,    160 272 301,                 crouch,  0.516357 -130.303 0.0,   ,
530.027 -1160.59 143.125,    60 164,                      stand,   2.58728 7.65747 0.0,     ,
726.947 -1155.04 175.721,    60 61 163 274,               stand,   3.97156 21.297 0.0,      ,
-1016.49 -348.656 152.125,   140,                         crouch,  6.04248 3.8562 0.0,      ,
-980.316 -162.563 152.125,   140,                         crouch,  7.08069 -45.6976 0.0,    ,
-677.438 -500.264 152.125,   96,                          crouch,  -4.48792 127.831 0.0,    ,
-876.497 -270.902 16.125,    94 95,                       crouch,  2.41699 101.585 0.0,     ,
-1491.71 52.1321 8.125,      170 171 174,                 stand,   31.4264 -91.9611 0.0,    ,
-1518.52 -125.808 8.125,     2 169 174 266,               stand,   27.2791 -130.468 0.0,    ,
-1552.02 112.47 8.125,       169 172,                     stand,   24.8621 103.315 0.0,     ,
-1535.88 217.541 8.125,      3 171 173,                   stand,   23.1372 85.0122 0.0,     ,
-1539.84 320.318 8.125,      172 265,                     stand,   12.085 -2.70264 0.0,     ,
-1405.87 43.7763 8.125,      2 3 169 170,                 stand,   13.6395 88.9838 0.0,     ,
-1210.08 348.807 2.31727,    3 4 112 116,                 stand,   10.5304 38.2269 0.0,     ,
-798.901 489.64 8.94861,     116 177,                     stand,   10.1898 114.549 0.0,     ,
-771.509 697.192 5.89832,    116 117 176,                 stand,   8.63525 88.9893 0.0,     ,
-1012.49 820.061 2.50967,    4 6 117,                     stand,   8.1134 71.7242 0.0,      ,
-730.125 981.954 37.1335,    180,                         stand,   5.35034 91.7523 0.0,     ,
-750.446 1321.52 84.1906,    118 179,                     stand,   12.7771 179.808 0.0,     ,
-782.539 1426.7 240.143,     119,                         prone,   7.94312 -96.9653 0.0,    ,
-1188.13 2242.84 281.694,    17 18 183 184,               stand,   8.63525 69.137 0.0,      ,
-1050.58 2386.28 283.921,    17 18 19 182 185,            stand,   16.9189 -14.2603 0.0,    ,
-1241.16 2138.68 266.237,    16 17 182,                   stand,   17.9572 -138.065 0.0,    ,
-1141.47 2566.84 280.859,    20 183,                      stand,   12.6068 75.0037 0.0,     ,
-1073.84 2966.58 281.292,    20,                          stand,   8.45947 -49.4879 0.0,    ,
-65.6549 2589.27 352.125,    22 23 27,                    stand,   30.7343 -61.2268 0.0,    ,
325.137 2542.45 240.625,     189 190,                     prone,   2.2467 0.068922 0.0,     ,
548.212 2542.5 241.102,      24 123 188 192,              prone,   0.0 178.529 0.0,         ,
193.664 2541.74 240.625,     188 191,                     stand,   7.42676 88.7433 0.0,     ,
194.318 2751.52 288.125,     23 24 190,                   stand,   21.7584 -71.3165 0.0,    ,
723.438 2538.29 240.625,     189 193,                     stand,   14.848 2.06118 0.0,      ,
876.804 2547.57 240.625,     51 52 192,                   stand,   -0.346069 96.1591 0.0,   ,
952.875 2891.37 293.426,     52,                          crouch,  2.93335 -127.089 0.0,    ,
1034.37 1847.19 191.221,     50 196,                      stand,   20.3741 -104.297 0.0,    ,
1214.51 1833.35 195.663,     195 197,                     stand,   8.98132 1.89639 0.0,     ,
1459.74 1823.88 183.629,     196 198,                     stand,   9.84375 -128.813 0.0,    ,
1453.24 1654.75 182.897,     197 199 200,                 stand,   9.3219 -102.397 0.0,     ,
1422.63 1426.32 184.018,     198 200 201 298 299,         stand,   9.3219 -122.079 0.0,     ,
1234.02 1591.66 189.846,     49 198 199,                  stand,   7.94312 -165.936 0.0,    ,
1433.68 1188.34 189.819,     48 199 297 299,              stand,   12.7771 -3.10241 0.0,    ,
975.125 1175.13 192.125,     204,                         crouch,  0.862427 49.3848 0.0,    ,
941.891 1415.68 220.125,     40 204,                      stand,   15.1941 -1.88293 0.0,    ,
1084.02 1288.44 187.035,     49 202 203 297 298,          stand,   10.7062 160.072 0.0,     ,
727.125 1320.88 344.125,     42 150,                      crouch,  -0.516357 -38.5004 0.0,  ,
936.875 1071.13 344.125,     42,                          crouch,  2.07092 151.766 0.0,     ,
38.8736 1558.13 312.125,     210,                         crouch,  3.80127 104.794 0.0,     ,
-196.028 1838.89 344.125,    210,                         crouch,  1.90063 -22.4603 0.0,    ,
-164.747 1574.55 312.125,    210,                         stand,   18.3032 -83.9288 0.0,    ,
-9.38508 1801.61 312.125,    37 38 207 208 209,           stand,   33.4973 89.4354 0.0,     ,
-524.875 1434.49 160.125,    32,                          crouch,  3.10913 1.53384 0.0,     ,
-286.842 1363.25 152.125,    213,                         crouch,  3.4552 -82.5555 0.0,     ,
-267.291 1237.94 152.125,    71 212 214,                  stand,   12.2607 -156.109 0.0,    ,
-462.734 1191.08 152.125,    83 213 215,                  stand,   17.7869 83.2007 0.0,     ,
-476.051 1344.54 152.125,    214,                         crouch,  -1.2085 -87.2247 0.0,    ,
-230.319 1032.22 152.125,    82 217,                      stand,   5.35034 171.767 0.0,     ,
-436.408 1016.1 152.125,     216 218 219,                 stand,   13.2935 124.284 0.0,     ,
-486.48 1114.43 152.125,     83 217,                      stand,   20.8905 96.1426 0.0,     ,
-433.289 926.733 152.125,    217 220,                     stand,   25.0378 92.5116 0.0,     ,
-500.472 914.59 152.125,     219,                         crouch,  4.48792 16.5412 0.0,     ,
0.554004 778.418 144.125,    73 74 149,                   stand,   85.0 138.781 0.0,        ,
475.603 149.147 -5.32087,    76 223,                      stand,   10.5841 -128.341 0.0,    ,
480.432 -196.515 -4.72952,   55 56 222,                   stand,   10.4138 -92.6025 0.0,    ,
10.4231 -168.475 -5.875,     56 76 78 93 225,             stand,   10.9302 -178.252 0.0,    ,
-20.7937 -289.301 3.71985,   56 77 224,                   stand,   9.5459 -164.437 0.0,     ,
-356.314 149.883 -3.81802,   78 79 227 229,               stand,   12.309 2.86318 0.0,      ,
-195.266 133.668 -5.875,     93 226,                      stand,   14.3799 -12.1552 0.0,    ,
-565.81 -44.2284 -0.370109,  78 94 100 229,               stand,   9.89197 -142.519 0.0,    ,
-546.664 51.5886 3.12901,    78 226 228 230,              stand,   27.3328 -94.3439 0.0,    ,
-694.623 33.6269 106.125,    229 231 234,                 stand,   19.7357 -178.087 0.0,    ,
-690.262 90.0655 146.125,    230 232,                     stand,   17.489 -0.76782 0.0,     ,
-574.038 92.3013 146.125,    231 233,                     stand,   19.3896 91.0944 0.0,     ,
-574.077 190.364 145.225,    115 232,                     stand,   19.3896 91.0944 0.0,     ,
-810.079 19.088 106.125,     230,                         prone,   10.238 179.526 0.0,      ,
-588.408 400.875 144.125,    115 236,                     climb,   -85.0 89.9085 0.0,       ,
-588.95 403.858 338.125,     124 127 235,                 climb,   85.0 -87.4109 0.0,       ,
-662.437 346.249 282.125,    124 239,                     climb,   14.2096 -179.273 0.0,    ,
-845.367 352.351 282.125,    128,                         climb,   29.2334 -93.1183 0.0,    ,
-664.161 162.816 282.125,    128 237,                     stand,   13.0011 56.7517 0.0,     ,
-689.88 824.453 336.125,     125,                         prone,   12.8308 129.608 0.0,     ,
-609.305 1063.99 288.125,    242,                         stand,   15.5884 -29.0735 0.0,    ,
-564.475 937.934 288.125,    241 243 244,                 stand,   16.2805 7.87355 0.0,     ,
-477.398 963.285 288.125,    86 242,                      stand,   20.5981 95.0665 0.0,     ,
-657.292 903.627 292.125,    242,                         crouch,  1.77858 31.3623 0.0,     ,
-321.561 1370.82 288.125,    85 246 247 249,              stand,   13.8635 93.6933 0.0,     ,
-230.244 1360.68 288.125,    245,                         stand,   16.9727 4.07777 0.0,     ,
-315.239 1281.15 288.125,    85 245 248 249,              stand,   19.0436 -78.457 0.0,     ,
-210.534 1151.4 320.125,     247,                         crouch,  7.65076 142.549 0.0,     ,
-490.711 1184.59 288.125,    85 86 245 247,               stand,   14.5557 92.1277 0.0,     ,
-1492.88 1423.03 161.934,    12 251,                      crouch,  -0.984478 42.2003 0.0,   ,
-1492.88 1608.88 161.465,    12 250,                      crouch,  0.916157 -40.1642 0.0,   ,
-1528.88 1175.03 184.125,    10 253,                      crouch,  -0.638409 33.9002 0.0,   ,
-1528.88 1376.78 184.125,    11 252,                      crouch,  1.08644 -31.5399 0.0,    ,
-1063.13 1268.19 184.125,    10,                          stand,   22.6691 1.09499 0.0,     ,
-1082.57 1376.78 184.125,    10,                          crouch,  1.26223 -142.386 0.0,    ,
-1071.13 927.025 185.125,    9 257 258,                   crouch,  0.394306 129.207 0.0,    ,
-1243.24 933.363 184.125,    9 256 258,                   stand,   10.9302 -90.4156 0.0,    ,
-1261.44 1065.75 185.125,    8 9 256 257,                 stand,   15.072 31.8347 0.0,      ,
-1409.01 914.91 184.125,     8 260,                       prone,   6.95862 -75.5621 0.0,    ,
-1528.88 1128.78 220.125,    8 259,                       crouch,  3.33315 -64.5154 0.0,    ,
-2016.88 872.875 8.09611,    5 262,                       crouch,  0.05373 -18.2519 0.0,    ,
-2016.87 711.125 8.05506,    5 261,                       crouch,  2.12465 29.231 0.0,      ,
-1572.02 872.875 8.125,      5 264,                       crouch,  2.47072 -46.2231 0.0,    ,
-1626.43 798.507 8.125,      4 5 263,                     stand,   11.6223 -0.294785 0.0,   ,
-1592.88 344.875 8.125,      173,                         crouch,  0.224018 -54.0014 0.0,   ,
-1579.46 -250.59 8.125,      170,                         crouch,  -1.16026 46.1444 0.0,    ,
-1375.1 -554.634 0.658983,   0,                           crouch,  0.740376 60.13 0.0,      ,
-1171.86 -605.444 3.65374,   0,                           crouch,  -3.40147 93.6273 0.0,    ,
-1262.16 -123.463 0.689826,  1 270,                       stand,   2.8113 -112.18 0.0,      ,
-1199.18 73.7638 2.65801,    112 269,                     stand,   9.5459 41.1347 0.0,      ,
-1023.75 -35.1051 1.38635,   1 94 112,                    stand,   5.57434 -107.357 0.0,    ,
299.278 -889.697 8.125,      58 162 273,                  stand,   9.02954 94.4843 0.0,     ,
332.807 -747.427 11.1972,    59 272,                      stand,   18.8733 -101.666 0.0,    ,
776.875 -1208.88 188.765,    164,                         crouch,  8.51318 144.186 0.0,     ,
1223.74 -1239.13 192.125,    62,                          crouch,  2.64101 107.058 0.0,     ,
1287.58 -445.926 208.264,    63 278 280,                  crouch,  2.98708 -167.298 0.0,    ,
807.125 -308.149 198.688,    278 279,                     crouch,  3.50344 -51.6119 0.0,    ,
1015.12 -467.046 192.125,    63 276 277 280,              stand,   6.95862 143.494 0.0,     ,
824.767 -583.359 200.125,    277 280 283,                 stand,   7.65076 -86.8396 0.0,    ,
1078.6 -674.472 186.125,     63 276 278 279 281,          stand,   26.6406 -104.967 0.0,    ,
1000.93 -801.724 194.541,    61 63 280 282,               stand,   18.6975 142.28 0.0,      ,
861.623 -729.947 194.916,    61 281 283,                  stand,   24.9158 105.679 0.0,     ,
854.608 -666.817 198.326,    64 279 282,                  stand,   35.6219 -96.156 0.0,     ,
771.145 -564.011 312.125,    64,                          prone,   15.5884 -8.10606 0.0,    ,
544.167 -491.333 310.125,    64 286 288,                  stand,   11.2762 162.133 0.0,     ,
626.67 -464.653 312.125,     64 285 287,                  stand,   14.0393 -97.8918 0.0,    ,
633.186 -312.654 312.125,    286,                         prone,   7.82105 93.7537 0.0,     ,
408.888 -462.09 312.125,     285 289 292,                 stand,   13.6932 -179.734 0.0,    ,
236.766 -434.937 296.825,    65 288 290,                  stand,   13.1714 -168.512 0.0,    ,
-59.6205 -443.047 299.465,   65 66 289 291,               stand,   10.0677 -179.734 0.0,    ,
-304.66 -427.181 296.213,    65 66 290,                   stand,   13.3472 -120.342 0.0,    ,
387.649 -617.57 312.125,     64 65 288,                   stand,   14.3799 -104.973 0.0,    ,
124.352 -828.191 312.125,    65 294,                      stand,   13.6932 -166.946 0.0,    ,
5.32583 -810.442 304.125,    147 293 295,                 stand,   15.9344 96.8793 0.0,     ,
-40.5904 -572.222 304.125,   65 66 147 294,               stand,   12.1387 -92.8931 0.0,    ,
-413.486 -450.189 168.125,   141,                         prone,   12.1387 94.7754 0.0,     ,
1260.48 1208.55 187.402,     46 201 204,                  stand,   24.516 153.397 0.0,      ,
1239.23 1371.53 184.125,     199 204 299,                 stand,   15.7104 25.7965 0.0,     ,
1350.56 1311.27 187.047,     199 201 298,                 stand,   12.2607 -37.9187 0.0,    ,
176.167 -1052.77 2.125,      108 161 301,                 stand,   11.2225 -28.9319 0.0,    ,
387.089 -1098.47 2.125,      160 162 300,                 stand,   9.49768 80.8875 0.0,     ,
