364
-647.097 -1790.15 208.125,   65 263 274,        stand,  0.0 0.0 0.0,           ,
1686.76 1173.12 204.712,     96 98,             stand,  0.0 0.0 0.0,           ,
1582.29 1297.7 204.125,      7 97 99,           stand,  0.0 0.0 0.0,           ,
1500.98 1357.03 204.563,     98 100,            stand,  0.0 0.0 0.0,           ,
1377.57 1456.83 209.68,      16 99 101 149,     stand,  0.0 0.0 0.0,           ,
1276.78 1581.7 247.774,      100 102,           stand,  0.0 0.0 0.0,           ,
1154.69 1681.78 274.289,     101 103,           stand,  0.0 0.0 0.0,           ,
998.146 1719.98 278.58,      102 104 151,       stand,  0.0 0.0 0.0,           ,
836.603 1725.76 277.952,     103 105 123 124,   stand,  0.0 0.0 0.0,           ,
673.099 1723.24 279.074,     8 37 104,          stand,  0.0 0.0 0.0,           ,
-415.752 2616.03 360.303,    27 107,            stand,  0.0 0.0 0.0,           ,
-312.583 2596.72 352.021,    106 108,           stand,  0.0 0.0 0.0,           ,
-291.135 2644.59 349.065,    107 109,           stand,  0.0 0.0 0.0,           ,
-287.774 2708.16 349.021,    27 108 110,        stand,  0.0 0.0 0.0,           ,
-92.5843 2681.54 322.403,    109 111,           stand,  0.0 0.0 0.0,           ,
102.016 2677.92 291.721,     29 110 112,        stand,  0.0 0.0 0.0,           ,
280.622 2587.11 283.125,     32 111,            stand,  0.0 0.0 0.0,           ,
583.806 2569.64 283.125,     33 114 118,        stand,  0.0 0.0 0.0,           ,
607.534 2799.53 283.125,     113 115,           stand,  0.0 0.0 0.0,           ,
605.985 2925.83 283.125,     114 116,           stand,  0.0 0.0 0.0,           ,
357.127 2926.77 283.125,     115 117,           stand,  0.0 0.0 0.0,           ,
163.772 2928.85 287.468,     29 116,            stand,  0.0 0.0 0.0,           ,
696.18 2185.87 283.125,      8 34 113 119,      stand,  0.0 0.0 0.0,           ,
757.158 2194.32 314.125,     118 120,           stand,  0.0 0.0 0.0,           ,
991.733 2223.55 314.125,     119 121,           stand,  0.0 0.0 0.0,           ,
991.964 2005.81 314.125,     120 122,           stand,  0.0 0.0 0.0,           ,
850.918 1921.78 314.125,     121 123,           stand,  0.0 0.0 0.0,           ,
852.853 1856.16 283.001,     17 104 122,        stand,  0.0 0.0 0.0,           ,
938.701 1368.24 283.125,     104 125,           stand,  0.0 0.0 0.0,           ,
1067.79 1260.6 282.125,      12 124 126,        stand,  0.0 0.0 0.0,           ,
1067.35 1061.36 282.125,     125 127 134,       stand,  0.0 0.0 0.0,           ,
1159.89 1053.04 282.125,     126 128,           stand,  0.0 0.0 0.0,           ,
1153.95 870.407 282.125,     127 129,           stand,  0.0 0.0 0.0,           ,
1050.67 872.788 282.125,     128 130 133,       stand,  0.0 0.0 0.0,           ,
1046.72 711.431 282.125,     129 132,           stand,  0.0 0.0 0.0,           ,
1070.53 625.527 39.5701,     132 145,           climb,  -6.18652 85.7153 0.0,  ,
1078.53 641.22 298.125,      130 131,           climb,  27.6898 90.2252 0.0,   ,
929.657 859.865 282.125,     129 134,           stand,  0.0 0.0 0.0,           ,
883.794 957.813 282.125,     126 133,           stand,  0.0 0.0 0.0,           ,
893.81 1227.96 282.125,      12 136,            stand,  0.0 0.0 0.0,           ,
776.011 1239.92 283.125,     135 137,           stand,  0.0 0.0 0.0,           ,
634.07 1181.98 234.99,       136 138,           stand,  0.0 0.0 0.0,           ,
623.096 1128.73 199.938,     137 139,           stand,  0.0 0.0 0.0,           ,
550.708 984.888 128.304,     138 140,           stand,  0.0 0.0 0.0,           ,
462.252 837.096 89.284,      139 141 311 312,   stand,  0.0 0.0 0.0,           ,
608.652 725.203 66.155,      140 142,           stand,  0.0 0.0 0.0,           ,
718.578 606.722 48.9,        141 143,           stand,  0.0 0.0 0.0,           ,
860.166 532.993 38.7876,     142 144 219 316,   stand,  0.0 0.0 0.0,           ,
1031.16 513.695 39.331,      143 145 316 317,   stand,  0.0 0.0 0.0,           ,
1183.96 554.916 37.125,      131 144 146,       stand,  0.0 0.0 0.0,           ,
1301.64 668.519 37.125,      145 317 319,       stand,  0.0 0.0 0.0,           ,
1363.33 1047.71 202.779,     148 320,           stand,  0.0 0.0 0.0,           ,
1370.32 1210.13 203.946,     22 147 149 161,    stand,  0.0 0.0 0.0,           ,
1373.52 1374.96 205.166,     22 100 148,        stand,  0.0 0.0 0.0,           ,
1334.35 1805.04 266.918,     16 151,            stand,  0.0 0.0 0.0,           ,
1159.71 1835.61 279.918,     103 150,           stand,  0.0 0.0 0.0,           ,
1950.94 1096.54 208.125,     7 96 153,          stand,  0.0 0.0 0.0,           ,
2130.48 989.618 208.197,     152 154,           stand,  0.0 0.0 0.0,           ,
2214.45 958.76 208.125,      20 153,            stand,  0.0 0.0 0.0,           ,
1547.65 1529.93 218.607,     7 16,              stand,  0.0 0.0 0.0,           ,
1857.66 708.198 205.038,     90 96 157,         stand,  0.0 0.0 0.0,           ,
1759.35 561.561 208.883,     91 156 158,        stand,  0.0 0.0 0.0,           ,
1662.09 551.705 215.125,     157 159 160,       stand,  0.0 0.0 0.0,           ,
1467.62 491.798 215.125,     158 160,           stand,  0.0 0.0 0.0,           ,
1538.78 395.045 215.125,     158 159,           stand,  0.0 0.0 0.0,           ,
1482.24 1084.0 209.547,      21 148,            stand,  0.0 0.0 0.0,           ,
166.738 1725.02 270.382,     23 164,            stand,  0.0 0.0 0.0,           ,
322.133 1841.87 280.72,      17 164,            stand,  0.0 0.0 0.0,           ,
266.772 1752.37 274.299,     40 162 163,        stand,  0.0 0.0 0.0,           ,
-155.518 1045.68 141.141,    44 166,            stand,  0.0 0.0 0.0,           ,
-225.138 1039.28 168.125,    165 167,           stand,  0.0 0.0 0.0,           ,
-407.689 1030.69 168.125,    166 168,           stand,  0.0 0.0 0.0,           ,
-601.216 907.705 168.125,    9 167 175,         stand,  0.0 0.0 0.0,           ,
-679.657 1133.07 240.125,    9 170,             stand,  0.0 0.0 0.0,           ,
-626.142 1200.66 240.125,    169 171,           stand,  0.0 0.0 0.0,           ,
-516.669 1201.26 311.125,    170 172,           stand,  0.0 0.0 0.0,           ,
-372.958 1192.74 311.125,    171 173 174,       stand,  0.0 0.0 0.0,           ,
-360.152 950.647 311.125,    172 174,           stand,  0.0 0.0 0.0,           ,
-490.254 966.269 311.125,    172 173,           stand,  0.0 0.0 0.0,           ,
-632.419 814.683 147.551,    168 176,           stand,  0.0 0.0 0.0,           ,
-641.838 783.146 141.559,    175 177,           stand,  0.0 0.0 0.0,           ,
-688.741 530.856 115.551,    176 178,           stand,  0.0 0.0 0.0,           ,
-770.968 391.417 123.377,    177 179,           stand,  0.0 0.0 0.0,           ,
-883.213 278.029 138.5,      178 180,           stand,  0.0 0.0 0.0,           ,
-995.499 157.975 143.772,    179 181,           stand,  0.0 0.0 0.0,           ,
-1093.92 30.3019 157.788,    180 182,           stand,  0.0 0.0 0.0,           ,
-1173.32 -109.078 179.485,   181 183,           stand,  0.0 0.0 0.0,           ,
-1239.96 -258.55 202.63,     182 184,           stand,  0.0 0.0 0.0,           ,
-1297.81 -409.949 203.125,   26 183 185,        stand,  0.0 0.0 0.0,           ,
-1145.35 -627.129 201.861,   184 186,           stand,  0.0 0.0 0.0,           ,
-991.256 -674.462 189.181,   185 187,           stand,  0.0 0.0 0.0,           ,
-934.75 -877.045 192.898,    186 188,           stand,  0.0 0.0 0.0,           ,
-855.844 -998.022 271.625,   187 189,           stand,  0.0 0.0 0.0,           ,
-806.786 -1055.67 287.125,   188 190,           stand,  0.0 0.0 0.0,           ,
-760.542 -1009.54 287.125,   189 191,           stand,  0.0 0.0 0.0,           ,
-713.468 -968.363 287.125,   190 192 194,       stand,  0.0 0.0 0.0,           ,
-615.116 -969.299 287.125,   191 193,           stand,  0.0 0.0 0.0,           ,
-514.049 -916.571 287.125,   192 194,           stand,  0.0 0.0 0.0,           ,
-639.703 -891.501 287.125,   191 193,           stand,  0.0 0.0 0.0,           ,
51.1188 -885.244 128.146,    196 197 222 223,   stand,  0.0 0.0 0.0,           ,
-72.8703 -1058.28 138.747,   195 201,           stand,  0.0 0.0 0.0,           ,
400.358 -855.848 120.895,    195 198 222,       stand,  0.0 0.0 0.0,           ,
436.685 -959.432 122.912,    197 200 297,       stand,  0.0 0.0 0.0,           ,
199.197 -1073.15 131.744,    200 222,           stand,  0.0 0.0 0.0,           ,
311.099 -966.314 126.356,    198 199,           stand,  0.0 0.0 0.0,           ,
-235.99 -1059.35 145.693,    196 202 223 227,   stand,  0.0 0.0 0.0,           ,
-337.856 -1261.78 178.986,   65 201 203 273,    stand,  0.0 0.0 0.0,           ,
-443.294 -1168.29 175.16,    202 223,           stand,  0.0 0.0 0.0,           ,
1846.03 -788.693 104.125,    15 205,            stand,  0.0 0.0 0.0,           ,
1940.79 -777.734 143.125,    204 206,           stand,  0.0 0.0 0.0,           ,
1996.12 -729.645 143.125,    205 207,           stand,  0.0 0.0 0.0,           ,
1987.6 -565.821 239.125,     206 208 310,       stand,  0.0 0.0 0.0,           ,
1988.46 -370.142 239.125,    207 209 212,       stand,  0.0 0.0 0.0,           ,
1832.63 -274.742 239.125,    208 210,           stand,  0.0 0.0 0.0,           ,
1707.26 -602.456 239.125,    209 211,           stand,  0.0 0.0 0.0,           ,
1849.3 -620.016 239.125,     210 212,           stand,  0.0 0.0 0.0,           ,
1863.46 -447.692 239.125,    208 211,           stand,  0.0 0.0 0.0,           ,
1257.42 -323.371 104.125,    83 214,            stand,  0.0 0.0 0.0,           ,
1236.49 -247.632 79.1588,    213 215,           stand,  0.0 0.0 0.0,           ,
1110.93 -141.132 78.125,     214 216,           stand,  0.0 0.0 0.0,           ,
1042.63 -137.952 78.125,     215 217,           stand,  0.0 0.0 0.0,           ,
944.132 -136.492 30.125,     216 218 315,       stand,  0.0 0.0 0.0,           ,
693.749 -122.957 52.7571,    217 219 220,       stand,  0.0 0.0 0.0,           ,
787.651 76.0796 25.125,      143 218,           stand,  0.0 0.0 0.0,           ,
490.541 -236.042 83.6913,    218 221 295 296,   stand,  0.0 0.0 0.0,           ,
370.945 -392.056 111.296,    220 222 298,       stand,  0.0 0.0 0.0,           ,
352.718 -710.79 115.69,      195 197 199 221,   stand,  0.0 0.0 0.0,           ,
-219.477 -897.97 135.604,    195 201 203 224,   stand,  0.0 0.0 0.0,           ,
-330.86 -726.504 143.117,    223 225,           stand,  0.0 0.0 0.0,           ,
-507.43 -486.76 148.643,     56 224 277,        stand,  0.0 0.0 0.0,           ,
-648.803 -627.772 152.519,   10 227,            stand,  0.0 0.0 0.0,           ,
-450.997 -798.162 149.904,   201 226,           stand,  0.0 0.0 0.0,           ,
-496.092 -2394.01 204.125,   229 263,           stand,  0.0 0.0 0.0,           ,
-617.717 -2376.06 204.125,   228 230 272,       stand,  0.0 0.0 0.0,           ,
-768.352 -2353.49 203.528,   229 231 347,       stand,  0.0 0.0 0.0,           ,
-946.327 -2308.92 148.229,   230 232,           stand,  0.0 0.0 0.0,           ,
-1078.73 -2239.09 97.6007,   231 233,           stand,  0.0 0.0 0.0,           ,
-1188.45 -2130.92 53.2811,   232 234,           stand,  0.0 0.0 0.0,           ,
-1311.02 -1992.86 4.52489,   233 235 348,       stand,  0.0 0.0 0.0,           ,
-1419.69 -1811.48 -38.7846,  234 342,           stand,  0.0 0.0 0.0,           ,
-1445.08 -1145.26 -119.875,  237 341,           stand,  0.0 0.0 0.0,           ,
-1483.63 -1067.08 -119.875,  236 238 331,       stand,  0.0 0.0 0.0,           ,
-1653.3 -949.117 -121.692,   237 239,           stand,  0.0 0.0 0.0,           ,
-1778.5 -866.819 -121.566,   238 240,           stand,  0.0 0.0 0.0,           ,
-1906.07 -792.841 -120.316,  239 241,           stand,  0.0 0.0 0.0,           ,
-2035.57 -715.95 -119.875,   240 242,           stand,  0.0 0.0 0.0,           ,
-2174.99 -663.116 -119.875,  241 243 333,       stand,  0.0 0.0 0.0,           ,
-2310.58 -601.795 -119.875,  242 244,           stand,  0.0 0.0 0.0,           ,
-2405.32 -489.304 -120.526,  243 245,           stand,  0.0 0.0 0.0,           ,
-2452.94 -348.264 -121.477,  244 246,           stand,  0.0 0.0 0.0,           ,
-2415.08 -207.949 -121.918,  245 247,           stand,  0.0 0.0 0.0,           ,
-2412.63 -56.4889 -121.918,  246 248,           stand,  0.0 0.0 0.0,           ,
-2353.14 83.2362 -121.918,   247 249,           stand,  0.0 0.0 0.0,           ,
-2237.83 179.009 -121.918,   248 250,           stand,  0.0 0.0 0.0,           ,
-2110.08 243.901 -121.918,   249 251,           stand,  0.0 0.0 0.0,           ,
-1965.18 288.571 -121.918,   250 252,           stand,  0.0 0.0 0.0,           ,
-1846.4 335.833 -121.918,    251 253,           stand,  0.0 0.0 0.0,           ,
-1766.61 393.141 -121.918,   252 254,           stand,  0.0 0.0 0.0,           ,
-1665.65 469.475 -121.908,   253 255,           stand,  0.0 0.0 0.0,           ,
-1545.34 561.303 -121.883,   254 256,           stand,  0.0 0.0 0.0,           ,
-1453.0 630.942 -121.883,    255 257,           stand,  0.0 0.0 0.0,           ,
-1368.58 682.859 -121.883,   256 258 262,       stand,  0.0 0.0 0.0,           ,
-1257.0 801.703 -121.883,    257 259,           stand,  0.0 0.0 0.0,           ,
-1147.63 920.581 -120.693,   258 260,           stand,  0.0 0.0 0.0,           ,
-1100.61 1077.39 -119.875,   259 261,           stand,  0.0 0.0 0.0,           ,
-1074.19 783.743 -128.16,    260 262,           stand,  0.0 0.0 0.0,           ,
-1088.51 685.533 -138.595,   257 261,           stand,  0.0 0.0 0.0,           ,
-528.953 -1985.46 204.125,   0 228 272 349,     stand,  0.0 0.0 0.0,           ,
497.285 -1774.07 117.171,    18 265,            stand,  0.0 0.0 0.0,           ,
296.284 -1880.06 119.125,    264 266,           stand,  0.0 0.0 0.0,           ,
-4.59315 -1982.23 107.731,   265 267,           stand,  0.0 0.0 0.0,           ,
-62.398 -2100.29 101.634,    266 268,           climb,  10.0085 -93.0597 0.0,  ,
-62.7088 -2126.52 242.625,   267 269,           climb,  14.5184 -92.0709 0.0,  ,
-66.2968 -2263.82 242.625,   268 270,           stand,  0.0 0.0 0.0,           ,
-407.985 -2263.04 242.625,   269 271,           stand,  0.0 0.0 0.0,           ,
-458.902 -2261.89 204.125,   270 272,           stand,  0.0 0.0 0.0,           ,
-604.07 -2269.45 204.125,    229 263 271,       stand,  0.0 0.0 0.0,           ,
-170.353 -1440.07 205.493,   67 202,            stand,  0.0 0.0 0.0,           ,
-740.197 -1727.81 208.125,   0 25,              stand,  0.0 0.0 0.0,           ,
-324.158 -452.994 215.125,   276 277,           stand,  0.0 0.0 0.0,           ,
-165.567 -468.642 215.125,   275 278 281,       stand,  0.0 0.0 0.0,           ,
-458.314 -433.285 149.285,   225 275,           stand,  0.0 0.0 0.0,           ,
-150.507 -608.315 215.125,   276 279,           stand,  0.0 0.0 0.0,           ,
121.868 -639.178 215.125,    278 280,           stand,  0.0 0.0 0.0,           ,
170.582 -339.595 215.125,    279 281,           stand,  0.0 0.0 0.0,           ,
-61.1609 -283.487 215.125,   276 280,           stand,  0.0 0.0 0.0,           ,
-223.96 233.374 71.125,      51 283,            stand,  0.0 0.0 0.0,           ,
-224.388 342.471 119.125,    282 284,           stand,  0.0 0.0 0.0,           ,
-225.22 552.368 119.125,     47 283,            stand,  0.0 0.0 0.0,           ,
147.225 704.51 116.53,       46 286,            stand,  0.0 0.0 0.0,           ,
259.855 710.428 152.125,     285 287,           stand,  0.0 0.0 0.0,           ,
235.291 523.772 151.125,     286 288,           stand,  0.0 0.0 0.0,           ,
575.295 462.632 151.125,     287 289,           stand,  0.0 0.0 0.0,           ,
523.241 336.534 151.125,     288 290,           stand,  0.0 0.0 0.0,           ,
530.479 253.6 152.125,       289 291,           stand,  0.0 0.0 0.0,           ,
378.215 256.474 152.125,     290 292,           stand,  0.0 0.0 0.0,           ,
376.949 425.023 153.125,     291 337,           stand,  0.0 0.0 0.0,           ,
93.9268 418.771 106.011,     47 337,            stand,  0.0 0.0 0.0,           ,
647.755 -362.263 121.125,    13 295,            stand,  0.0 0.0 0.0,           ,
650.45 -263.884 77.1284,     220 294,           stand,  0.0 0.0 0.0,           ,
528.466 -415.138 113.475,    220 297,           stand,  0.0 0.0 0.0,           ,
525.502 -640.463 117.172,    13 198 296,        stand,  0.0 0.0 0.0,           ,
277.134 -224.294 101.913,    221 299,           climb,  -6.15234 104.409 0.0,  ,
284.398 -193.458 155.125,    298 300,           climb,  33.8818 95.9381 0.0,   ,
275.349 -124.594 155.125,    299 313,           stand,  0.0 0.0 0.0,           ,
19.6235 -159.123 127.625,    302 314,           stand,  0.0 0.0 0.0,           ,
-133.709 -156.056 117.625,   301 303,           stand,  0.0 0.0 0.0,           ,
-117.417 -92.4979 99.125,    302 304,           stand,  0.0 0.0 0.0,           ,
-117.255 -17.7086 61.5555,   50 303,            stand,  0.0 0.0 0.0,           ,
-406.389 35.4822 73.4025,    50 52,             stand,  0.0 0.0 0.0,           ,
2150.32 236.975 234.125,     92 307,            stand,  0.0 0.0 0.0,           ,
2150.48 -160.801 234.125,    306 308 361,       stand,  0.0 0.0 0.0,           ,
2158.46 -542.571 234.125,    307 309,           stand,  0.0 0.0 0.0,           ,
2062.3 -556.841 237.625,     308 310,           stand,  0.0 0.0 0.0,           ,
2027.97 -559.516 273.125,    207 309,           stand,  0.0 0.0 0.0,           ,
296.464 845.477 107.947,     11 45 140,         stand,  0.0 0.0 0.0,           ,
363.369 1062.92 106.125,     11 140,            stand,  0.0 0.0 0.0,           ,
215.769 -141.959 144.618,    300 314,           stand,  0.0 0.0 0.0,           ,
181.283 -154.616 127.625,    301 313,           stand,  0.0 0.0 0.0,           ,
821.529 -35.4322 29.0442,    217 316,           stand,  0.0 0.0 0.0,           ,
876.984 466.256 37.7132,     143 144 315,       stand,  0.0 0.0 0.0,           ,
1207.46 465.674 38.3082,     144 146,           stand,  0.0 0.0 0.0,           ,
1349.37 841.144 149.625,     319 320,           stand,  0.0 0.0 0.0,           ,
1361.85 742.843 85.625,      146 318,           stand,  0.0 0.0 0.0,           ,
1359.42 933.262 213.625,     147 318,           stand,  0.0 0.0 0.0,           ,
1508.4 1808.13 274.699,      16 322,            stand,  0.0 0.0 0.0,           ,
1526.7 1948.55 336.696,      321 323,           stand,  0.0 0.0 0.0,           ,
1467.45 2083.04 411.697,     322 324,           stand,  0.0 0.0 0.0,           ,
1448.94 2172.6 437.125,      323 325,           stand,  0.0 0.0 0.0,           ,
1443.07 2272.47 437.125,     324 326,           stand,  0.0 0.0 0.0,           ,
1434.16 2433.44 437.125,     325 327,           stand,  0.0 0.0 0.0,           ,
1429.61 2595.06 437.125,     326 328,           stand,  0.0 0.0 0.0,           ,
1468.02 2732.59 492.824,     327 329 329 330,   stand,  0.0 0.0 0.0,           ,
1586.95 2814.93 541.125,     328 328 330,       stand,  0.0 0.0 0.0,           ,
1626.83 2752.37 548.96,      328 329,           stand,  0.0 0.0 0.0,           ,
-1521.75 -902.243 -119.875,  237 332,           stand,  0.0 0.0 0.0,           ,
-1720.28 -790.803 -119.875,  331 333 340,       stand,  0.0 0.0 0.0,           ,
-1948.55 -685.077 -119.875,  242 332,           stand,  0.0 0.0 0.0,           ,
-1309.15 -1097.78 -23.6453,  362 363,           climb,  4.11438 18.0835 0.0,   ,
-1299.85 -1092.96 255.125,   336 362,           climb,  -12.9749 36.958 0.0,   ,
-1245.61 -1058.42 255.125,   1 335,             stand,  0.0 0.0 0.0,           ,
135.271 426.149 148.125,     292 293,           stand,  0.0 0.0 0.0,           ,
-1328.11 -968.947 -51.6938,  339 363,           stand,  0.0 0.0 0.0,           ,
-1418.22 -848.632 -77.8812,  338 340,           stand,  0.0 0.0 0.0,           ,
-1585.47 -759.227 -119.875,  332 339,           stand,  0.0 0.0 0.0,           ,
