198
-331.287 915.787 -61.875,   24 167,              stand,  0.0 0.0 0.0,           ,
430.066 -87.585 -61.875,    52 54 161,           stand,  0.0 0.0 0.0,           ,
534.568 -84.5885 -61.875,   53 55,               stand,  0.0 0.0 0.0,           ,
639.037 -89.2198 -61.875,   54 56 191,           stand,  0.0 0.0 0.0,           ,
743.392 -95.3646 -61.875,   55 57,               stand,  0.0 0.0 0.0,           ,
847.883 -97.7271 -61.875,   56 58,               stand,  0.0 0.0 0.0,           ,
951.844 -86.8398 -61.875,   57 59,               stand,  0.0 0.0 0.0,           ,
1053.43 -62.1317 -61.875,   3 58 60,             stand,  0.0 0.0 0.0,           ,
1154.09 -33.8412 -61.875,   3 59 61,             stand,  0.0 0.0 0.0,           ,
1254.75 -5.55075 -61.875,   60 62 81,            stand,  0.0 0.0 0.0,           ,
1355.41 22.7397 -61.875,    61 63,               stand,  0.0 0.0 0.0,           ,
1455.9 51.6685 -61.875,     62 64 80,            stand,  0.0 0.0 0.0,           ,
1555.6 83.2347 -61.875,     63 65,               stand,  0.0 0.0 0.0,           ,
1655.24 115.015 -61.875,    64 66,               stand,  0.0 0.0 0.0,           ,
1759.56 124.443 -61.875,    65 67,               stand,  0.0 0.0 0.0,           ,
1861.85 102.431 -61.875,    66 68,               stand,  0.0 0.0 0.0,           ,
1965.98 81.2498 -61.875,    10 67 69,            stand,  0.0 0.0 0.0,           ,
2024.09 170.098 -61.875,    68 70,               stand,  0.0 0.0 0.0,           ,
1968.39 330.948 -61.875,    10 69 71,            stand,  0.0 0.0 0.0,           ,
1874.09 376.557 -61.875,    70 72,               stand,  0.0 0.0 0.0,           ,
1769.5 380.718 -61.875,     71 73,               stand,  0.0 0.0 0.0,           ,
1675.84 428.619 -61.875,    72 74 80,            stand,  0.0 0.0 0.0,           ,
1652.1 598.255 -61.875,     73 75 153,           stand,  0.0 0.0 0.0,           ,
1656.41 758.227 -61.875,    12 74,               stand,  0.0 0.0 0.0,           ,
1501.4 1116.0 -61.875,      77 79,               stand,  0.0 0.0 0.0,           ,
1405.1 1124.28 -61.875,     76 78,               stand,  0.0 0.0 0.0,           ,
1310.87 1100.81 -61.875,    5 77,                stand,  0.0 0.0 0.0,           ,
1634.37 1063.6 -61.875,     12 76,               stand,  0.0 0.0 0.0,           ,
1416.25 421.925 -61.875,    63 73,               stand,  0.0 0.0 0.0,           ,
1206.36 246.379 -61.875,    9 61 82,             stand,  0.0 0.0 0.0,           ,
1174.79 487.917 -61.875,    81 84,               stand,  0.0 0.0 0.0,           ,
1145.44 718.658 -61.875,    15 84 85,            stand,  0.0 0.0 0.0,           ,
1094.6 523.61 -61.875,      82 83,               stand,  0.0 0.0 0.0,           ,
985.283 683.335 -55.875,    83 86 88 89,         stand,  0.0 0.0 0.0,           ,
985.256 464.239 -55.875,    85 87 88,            stand,  0.0 0.0 0.0,           ,
1018.03 275.411 -55.875,    9 86 174,            stand,  0.0 0.0 0.0,           ,
809.514 669.862 -55.875,    4 85 86,             stand,  0.0 0.0 0.0,           ,
802.723 529.078 -55.875,    4 85 90,             stand,  0.0 0.0 0.0,           ,
580.969 485.099 -61.875,    89 91,               stand,  0.0 0.0 0.0,           ,
376.481 454.321 -61.875,    90 92 162,           stand,  0.0 0.0 0.0,           ,
183.932 355.108 -74.375,    91 93,               stand,  0.0 0.0 0.0,           ,
164.645 351.368 -41.875,    92 94 97,            stand,  0.0 0.0 0.0,           ,
35.6286 325.673 -41.875,    93 95 97,            stand,  0.0 0.0 0.0,           ,
-26.356 313.703 -74.375,    94 98 101,           stand,  0.0 0.0 0.0,           ,
84.7032 475.305 -41.875,    97 164,              stand,  0.0 0.0 0.0,           ,
96.2298 398.866 -41.875,    93 94 96,            stand,  0.0 0.0 0.0,           ,
7.56153 152.156 -74.375,    95 99,               stand,  0.0 0.0 0.0,           ,
55.3162 -147.326 -74.375,   98 100,              stand,  0.0 0.0 0.0,           ,
95.6372 -366.23 -74.375,    44 49 99,            stand,  0.0 0.0 0.0,           ,
-219.723 335.244 -74.375,   95 102 186 187,      stand,  0.0 0.0 0.0,           ,
-457.225 389.046 -61.875,   101 103,             stand,  0.0 0.0 0.0,           ,
-647.856 413.102 -55.875,   102 104 110,         stand,  0.0 0.0 0.0,           ,
-853.571 488.839 -55.875,   2 103 105 107,       stand,  0.0 0.0 0.0,           ,
-1021.6 366.487 -57.875,    104 109,             stand,  0.0 0.0 0.0,           ,
-1013.32 686.874 -57.875,   31 107 108,          stand,  0.0 0.0 0.0,           ,
-882.403 604.443 -55.875,   2 104 106,           stand,  0.0 0.0 0.0,           ,
-1137.98 510.421 -57.875,   106 109,             stand,  0.0 0.0 0.0,           ,
-1211.98 275.632 -57.875,   35 105 108 128 137,  stand,  0.0 0.0 0.0,           ,
-653.474 249.554 -55.875,   103 111,             stand,  0.0 0.0 0.0,           ,
-571.567 522.408 -55.875,   110 112,             stand,  0.0 0.0 0.0,           ,
-660.46 579.835 -16.0418,   111 113,             stand,  0.0 0.0 0.0,           ,
-764.495 645.7 57.7021,     112 114,             stand,  0.0 0.0 0.0,           ,
-862.318 697.382 74.125,    113 115 121,         stand,  0.0 0.0 0.0,           ,
-908.589 555.95 80.125,     7 114 120,           stand,  0.0 0.0 0.0,           ,
-829.77 397.656 80.125,     7 117,               stand,  0.0 0.0 0.0,           ,
-699.172 359.405 80.125,    116 118 119,         stand,  0.0 0.0 0.0,           ,
-582.977 295.023 80.125,    117 119,             stand,  0.0 0.0 0.0,           ,
-527.663 425.792 80.125,    117 118,             stand,  0.0 0.0 0.0,           ,
-994.005 563.194 80.125,    115 121,             stand,  0.0 0.0 0.0,           ,
-923.522 609.838 80.125,    114 120,             stand,  0.0 0.0 0.0,           ,
-1030.06 681.773 80.125,    123 124 197,         stand,  0.0 0.0 0.0,           ,
-1068.94 545.849 80.125,    122 197,             stand,  0.0 0.0 0.0,           ,
-1112.25 788.16 80.125,     122 125,             stand,  0.0 0.0 0.0,           ,
-1149.27 723.096 80.125,    124 126,             stand,  0.0 0.0 0.0,           ,
-1192.61 638.229 15.721,    125 127,             stand,  0.0 0.0 0.0,           ,
-1260.82 515.247 -57.875,   126 128,             stand,  0.0 0.0 0.0,           ,
-1330.2 392.194 -57.875,    34 109 127,          stand,  0.0 0.0 0.0,           ,
-1574.97 332.2 -61.875,     33 34 130,           stand,  0.0 0.0 0.0,           ,
-1682.69 375.763 -61.875,   1 129 136,           stand,  0.0 0.0 0.0,           ,
-1900.4 327.704 -61.375,    1 132,               stand,  0.0 0.0 0.0,           ,
-1942.16 266.669 -61.375,   131 133,             stand,  0.0 0.0 0.0,           ,
-1979.7 440.054 -61.375,    132 134,             stand,  0.0 0.0 0.0,           ,
-1839.97 527.821 -61.375,   133 135,             stand,  0.0 0.0 0.0,           ,
-1784.1 632.627 -61.375,    134 136,             stand,  0.0 0.0 0.0,           ,
-1620.83 537.992 -61.875,   130 135,             stand,  0.0 0.0 0.0,           ,
-1067.7 148.18 -55.875,     109 138 141,         stand,  0.0 0.0 0.0,           ,
-920.131 57.3151 -55.875,   6 137 141,           stand,  0.0 0.0 0.0,           ,
-769.97 134.262 -55.875,    6 140 141 178,       stand,  0.0 0.0 0.0,           ,
-920.5 299.702 -55.875,     139 141,             stand,  0.0 0.0 0.0,           ,
-953.551 146.202 -55.875,   137 138 139 140,     stand,  0.0 0.0 0.0,           ,
1289.25 500.558 -55.875,    143 153,             stand,  0.0 0.0 0.0,           ,
1305.84 419.329 -1.07396,   142 152,             stand,  0.0 0.0 0.0,           ,
1330.15 248.543 80.125,     145 152,             stand,  0.0 0.0 0.0,           ,
1253.13 240.819 80.125,     144 146,             stand,  0.0 0.0 0.0,           ,
1068.51 226.321 80.125,     145 147 156 163,     stand,  0.0 0.0 0.0,           ,
949.794 257.86 80.125,      146 148 163,         stand,  0.0 0.0 0.0,           ,
818.602 247.404 80.125,     8 147 151 154,       stand,  0.0 0.0 0.0,           ,
624.327 153.414 80.125,     150 154,             stand,  0.0 0.0 0.0,           ,
624.258 271.87 80.125,      149 151,             stand,  0.0 0.0 0.0,           ,
708.787 210.964 80.125,     148 150 155,         stand,  0.0 0.0 0.0,           ,
1331.4 295.884 80.125,      143 144,             stand,  0.0 0.0 0.0,           ,
1356.71 704.59 -61.875,     13 74 142,           stand,  0.0 0.0 0.0,           ,
696.804 99.4425 80.125,     148 149,             stand,  0.0 0.0 0.0,           ,
765.863 268.541 80.125,     8 151,               stand,  0.0 0.0 0.0,           ,
1067.93 112.553 74.125,     146 157,             stand,  0.0 0.0 0.0,           ,
989.511 97.8199 60.9774,    156 158,             stand,  0.0 0.0 0.0,           ,
894.302 87.6899 3.27996,    157 159,             stand,  0.0 0.0 0.0,           ,
789.722 76.9725 -55.875,    158 160 172,         stand,  0.0 0.0 0.0,           ,
616.789 119.321 -55.875,    159 161 175,         stand,  0.0 0.0 0.0,           ,
467.93 124.021 -60.875,     53 160 162,          stand,  0.0 0.0 0.0,           ,
410.989 244.585 -67.875,    91 161,              stand,  0.0 0.0 0.0,           ,
895.003 363.195 80.125,     146 147,             stand,  0.0 0.0 0.0,           ,
65.0048 554.897 -41.875,    96 165,              stand,  0.0 0.0 0.0,           ,
43.6342 638.758 -61.875,    164 166 167 170,     stand,  0.0 0.0 0.0,           ,
121.689 779.469 -61.875,    21 165,              stand,  0.0 0.0 0.0,           ,
-91.1707 630.499 -61.875,   0 165 169,           stand,  0.0 0.0 0.0,           ,
-320.341 640.24 -61.875,    24 169,              stand,  0.0 0.0 0.0,           ,
-199.545 677.777 -61.875,   167 168,             stand,  0.0 0.0 0.0,           ,
305.698 697.514 -61.875,    19 165,              stand,  0.0 0.0 0.0,           ,
624.796 284.977 -55.875,    172 175,             stand,  0.0 0.0 0.0,           ,
644.48 217.899 -55.875,     159 171 173,         stand,  0.0 0.0 0.0,           ,
761.118 244.312 -55.875,    172 174,             stand,  0.0 0.0 0.0,           ,
917.168 280.022 -55.875,    87 173,              stand,  0.0 0.0 0.0,           ,
653.201 128.013 -55.875,    160 171,             stand,  0.0 0.0 0.0,           ,
-667.915 -193.416 -61.875,  11 40,               stand,  0.0 0.0 0.0,           ,
-494.408 36.5524 -59.875,   41 178,              stand,  0.0 0.0 0.0,           ,
-620.478 65.3857 -59.875,   139 177 179,         stand,  0.0 0.0 0.0,           ,
-596.946 151.077 -59.875,   178 184,             climb,  0.86792 70.8014 0.0,   ,
-575.241 194.504 -24.375,   181 184,             climb,  13.3716 62.3969 0.0,   ,
-568.237 208.873 94.625,    180 182 183,         climb,  24.5282 63.2703 0.0,   ,
-455.549 417.698 94.625,    181 183,             stand,  0.0 0.0 0.0,           ,
-481.982 327.508 94.625,    181 182,             stand,  0.0 0.0 0.0,           ,
-589.002 159.386 -24.375,   179 180,             climb,  25.105 67.1814 0.0,    ,
-434.867 574.549 -61.875,   26 186,              stand,  0.0 0.0 0.0,           ,
-348.669 501.062 -61.875,   101 185,             stand,  0.0 0.0 0.0,           ,
-246.239 181.498 -74.375,   43 101,              stand,  0.0 0.0 0.0,           ,
-1381.96 1164.46 -61.875,   189 190,             stand,  0.0 0.0 0.0,           ,
-1519.46 993.593 -61.875,   31 188,              stand,  0.0 0.0 0.0,           ,
-1432.68 1032.37 -61.875,   30 188,              stand,  0.0 0.0 0.0,           ,
629.089 -20.5591 -61.875,   55 192,              climb,  -1.69067 105.897 0.0,  ,
625.594 -4.93395 -24.3752,  191 196,             climb,  49.3024 104.013 0.0,   ,
551.953 181.972 80.125,     194 195,             stand,  0.0 0.0 0.0,           ,
530.953 99.3111 80.125,     193 195,             stand,  0.0 0.0 0.0,           ,
582.13 83.5609 80.125,      193 194 196,         stand,  0.0 0.0 0.0,           ,
601.173 14.447 80.125,      192 195,             climb,  2.94983 113.011 0.0,   ,
-1137.83 533.524 80.125,    122 123,             stand,  0.0 0.0 0.0,           ,
