316
-1340.6 -468.5 -428.875,     116,                        stand,  0.0 0.0 0.0,             ,
1460.14 -132.978 -470.668,   62 64 168 185,              stand,  0.0 0.0 0.0,             ,
1688.14 -184.978 -469.788,   63 185 186 188,             stand,  0.0 0.0 0.0,             ,
2218.69 -497.213 -469.379,   188 189 193,                stand,  0.0 0.0 0.0,             ,
2450.69 -1190.79 -468.85,    67 189 226 309,             stand,  0.0 0.0 0.0,             ,
2402.92 -1452.24 -471.875,   66 308 309,                 stand,  0.0 0.0 0.0,             ,
1487.9 -2158.0 -476.07,      306,                        stand,  0.0 0.0 0.0,             ,
879.9 -2166.0 -479.81,       156 161,                    stand,  0.0 0.0 0.0,             ,
279.9 -2278.0 -467.801,      292,                        stand,  0.0 0.0 0.0,             ,
-294.119 -1879.0 -493.728,   106 107 151,                stand,  0.0 0.0 0.0,             ,
-464.1 -1482.0 -447.718,     86 87,                      stand,  0.0 0.0 0.0,             ,
-456.1 -1814.0 -449.218,     88,                         stand,  0.0 0.0 0.0,             ,
1300.88 -1231.76 -479.461,   130,                        stand,  0.0 0.0 0.0,             ,
1050.92 -1255.76 -482.862,   126,                        stand,  0.0 0.0 0.0,             ,
920.878 -743.765 -483.78,    135,                        stand,  0.0 0.0 0.0,             ,
1190.69 -653.213 -486.875,   134,                        stand,  0.0 0.0 0.0,             ,
1270.92 -816.235 -486.246,   134,                        stand,  0.0 0.0 0.0,             ,
-775.72 -1513.87 -433.675,   5 80,                       stand,  0.0 0.0 0.0,             ,
-582.52 -1507.33 -257.675,   79 81,                      stand,  0.0 0.0 0.0,             ,
-542.189 -1537.23 -258.175,  80 82,                      stand,  0.0 0.0 0.0,             ,
-559.505 -2002.97 -257.701,  81,                         stand,  0.0 0.0 0.0,             ,
-815.027 -1739.48 -437.437,  5 84 90 109,                stand,  0.0 0.0 0.0,             ,
-680.776 -1650.01 -442.574,  5 83 85 87,                 stand,  0.0 0.0 0.0,             ,
-593.641 -1346.71 -442.956,  84 86 112,                  stand,  0.0 0.0 0.0,             ,
-429.41 -1345.98 -454.222,   72 85 87 121,               stand,  0.0 0.0 0.0,             ,
-410.408 -1604.83 -453.438,  72 84 86 88,                stand,  0.0 0.0 0.0,             ,
-418.469 -2050.43 -454.869,  73 87 89 107,               stand,  0.0 0.0 0.0,             ,
-424.135 -2518.45 -442.624,  88 91 103,                  stand,  0.0 0.0 0.0,             ,
-772.413 -2073.9 -441.67,    6 83 91 92,                 stand,  0.0 0.0 0.0,             ,
-596.181 -2488.46 -438.951,  89 90 92,                   stand,  0.0 0.0 0.0,             ,
-767.021 -2418.25 -440.915,  90 91 93 95,                stand,  0.0 0.0 0.0,             ,
-764.219 -2686.42 -430.219,  92 94,                      stand,  0.0 0.0 0.0,             ,
-633.147 -2691.44 -438.765,  93 97,                      stand,  0.0 0.0 0.0,             ,
-943.643 -2429.68 -440.76,   7 92 96,                    stand,  0.0 0.0 0.0,             ,
-961.951 -2813.38 -435.195,  8 95 97,                    stand,  0.0 0.0 0.0,             ,
-608.269 -2893.27 -441.788,  94 96 98,                   stand,  0.0 0.0 0.0,             ,
-396.784 -2944.63 -435.083,  9 97 99 100,                stand,  0.0 0.0 0.0,             ,
-154.717 -2899.63 -435.875,  98 100 101,                 stand,  0.0 0.0 0.0,             ,
45.7944 -3009.58 -435.99,    98 99 283,                  stand,  0.0 0.0 0.0,             ,
-159.4 -2736.54 -498.263,    10 12 99 102 105,           stand,  0.0 0.0 0.0,             ,
-220.452 -2550.71 -491.875,  11 101 103 104,             stand,  0.0 0.0 0.0,             ,
-352.402 -2539.84 -435.875,  89 102,                     stand,  0.0 0.0 0.0,             ,
-37.8013 -2409.61 -491.875,  11 102 105 106,             stand,  0.0 0.0 0.0,             ,
15.7759 -2629.69 -491.745,   12 101 104 289 290,         stand,  0.0 0.0 0.0,             ,
-14.6201 -2066.69 -495.891,  71 104 107 108,             stand,  0.0 0.0 0.0,             ,
-217.827 -2056.83 -493.388,  13 71 88 106,               stand,  0.0 0.0 0.0,             ,
146.418 -2079.45 -496.358,   106 155 293,                stand,  0.0 0.0 0.0,             ,
-990.674 -1714.53 -433.675,  83 110,                     stand,  0.0 0.0 0.0,             ,
-1242.97 -1623.36 -437.721,  3 109 111,                  stand,  0.0 0.0 0.0,             ,
-1242.05 -1400.38 -445.522,  4 110 112 113,              stand,  0.0 0.0 0.0,             ,
-775.263 -1342.89 -442.181,  14 85 111 113,              stand,  0.0 0.0 0.0,             ,
-1005.27 -1193.85 -439.346,  111 112 114,                stand,  0.0 0.0 0.0,             ,
-968.048 -768.503 -443.678,  16 113 115 117 118,         stand,  0.0 0.0 0.0,             ,
-1174.1 -746.263 -443.438,   2 114 116,                  stand,  0.0 0.0 0.0,             ,
-1172.47 -471.184 -436.875,  0 1 115 117,                stand,  0.0 0.0 0.0,             ,
-986.121 -417.749 -441.166,  114 116 118,                stand,  0.0 0.0 0.0,             ,
-751.579 -434.99 -441.875,   17 114 117 122 123,         stand,  0.0 0.0 0.0,             ,
-686.987 -1025.72 -436.247,  14 15 16,                   stand,  0.0 0.0 0.0,             ,
-427.482 -778.547 -445.853,  16 121 122,                 stand,  0.0 0.0 0.0,             ,
-428.462 -905.6 -452.807,    86 120 148,                 stand,  0.0 0.0 0.0,             ,
-424.964 -615.112 -494.283,  17 18 19 118 120 123,       stand,  0.0 0.0 0.0,             ,
-221.072 -370.092 -469.322,  18 118 122 136 137,         stand,  0.0 0.0 0.0,             ,
658.399 -1056.25 -485.812,   125 153 154 164,            stand,  0.0 0.0 0.0,             ,
803.653 -1088.41 -486.875,   124 126 127,                stand,  0.0 0.0 0.0,             ,
898.288 -1279.58 -486.875,   75 125 130,                 stand,  0.0 0.0 0.0,             ,
1427.53 -1024.41 -479.875,   125 128 129,                stand,  0.0 0.0 0.0,             ,
1605.0 -1098.59 -486.875,    127 132 187,                stand,  0.0 0.0 0.0,             ,
1606.52 -937.522 -486.875,   127 133 186,                stand,  0.0 0.0 0.0,             ,
1237.33 -1363.53 -486.875,   74 126 131 132,             stand,  0.0 0.0 0.0,             ,
1191.0 -1454.68 -486.875,    130,                        stand,  0.0 0.0 0.0,             ,
1560.12 -1223.95 -486.875,   128 130,                    stand,  0.0 0.0 0.0,             ,
1476.06 -758.913 -486.875,   129 134,                    stand,  0.0 0.0 0.0,             ,
1212.09 -734.982 -486.875,   77 78 133 135,              stand,  0.0 0.0 0.0,             ,
857.171 -885.6 -485.786,     76 134 164,                 stand,  0.0 0.0 0.0,             ,
-1.70279 -467.696 -488.022,  123 147 149,                stand,  0.0 0.0 0.0,             ,
-118.13 -141.923 -465.765,   58 123 138,                 stand,  0.0 0.0 0.0,             ,
88.3676 55.8685 -460.345,    137 139 145,                stand,  0.0 0.0 0.0,             ,
-134.201 435.058 -474.879,   57 58 138 140,              stand,  0.0 0.0 0.0,             ,
-205.469 817.021 -464.903,   57 139 141,                 stand,  0.0 0.0 0.0,             ,
51.2269 992.041 -464.037,    59 140 142,                 stand,  0.0 0.0 0.0,             ,
236.743 1117.78 -452.833,    141 143,                    stand,  0.0 0.0 0.0,             ,
498.416 1112.16 -450.817,    56 142 144,                 stand,  0.0 0.0 0.0,             ,
642.084 727.202 -456.306,    143 170,                    stand,  0.0 0.0 0.0,             ,
275.113 -64.2323 -445.069,   138 146 147,                stand,  0.0 0.0 0.0,             ,
396.916 -62.4866 -441.367,   145 167,                    stand,  0.0 0.0 0.0,             ,
298.299 -465.972 -479.984,   136 145 163 165,            stand,  0.0 0.0 0.0,             ,
-343.419 -917.795 -441.875,  121 149,                    stand,  0.0 0.0 0.0,             ,
-197.448 -952.275 -480.82,   136 148 150 151,            stand,  0.0 0.0 0.0,             ,
18.9777 -1302.79 -492.974,   149 151 152 153,            stand,  0.0 0.0 0.0,             ,
-228.84 -1590.16 -495.883,   71 149 150 152,             stand,  0.0 0.0 0.0,             ,
218.849 -1597.39 -503.942,   150 151 153 154 155,        stand,  0.0 0.0 0.0,             ,
370.383 -1194.18 -488.054,   124 150 152 154 164,        stand,  0.0 0.0 0.0,             ,
666.076 -1427.27 -479.731,   124 152 153 158,            stand,  0.0 0.0 0.0,             ,
349.276 -1931.96 -491.337,   108 152 156 294,            stand,  0.0 0.0 0.0,             ,
588.542 -2012.99 -481.674,   69 155 157 294 295 312,     stand,  0.0 0.0 0.0,             ,
696.331 -1824.69 -559.891,   156 158,                    stand,  0.0 0.0 0.0,             ,
805.948 -1613.17 -479.875,   154 157 159 162,            stand,  0.0 0.0 0.0,             ,
1014.37 -1859.4 -479.875,    158 160 161,                stand,  0.0 0.0 0.0,             ,
1372.78 -1842.06 -476.97,    159 162 306 307 310,        stand,  0.0 0.0 0.0,             ,
1033.76 -2227.57 -479.503,   69 159 295 296 297,         stand,  0.0 0.0 0.0,             ,
1360.02 -1630.43 -476.997,   158 160 307 310,            stand,  0.0 0.0 0.0,             ,
673.891 -693.437 -481.427,   61 147 164 165 168,         stand,  0.0 0.0 0.0,             ,
670.827 -845.006 -484.995,   124 135 153 163,            stand,  0.0 0.0 0.0,             ,
616.019 -248.219 -479.875,   61 147 163 166 167 168,     stand,  0.0 0.0 0.0,             ,
710.385 16.0441 -477.292,    165 167 169 172,            stand,  0.0 0.0 0.0,             ,
517.346 -60.2889 -461.456,   146 165 166 169,            stand,  0.0 0.0 0.0,             ,
1015.77 -460.538 -479.591,   61 62 63 163 165 185,       stand,  0.0 0.0 0.0,             ,
627.887 331.18 -468.019,     55 166 167,                 stand,  0.0 0.0 0.0,             ,
817.701 589.368 -452.861,    144 171,                    stand,  0.0 0.0 0.0,             ,
926.481 456.229 -463.692,    170 172 173,                stand,  0.0 0.0 0.0,             ,
1046.46 170.121 -475.95,     166 171 175,                stand,  0.0 0.0 0.0,             ,
1188.71 472.286 -467.513,    54 171 174,                 stand,  0.0 0.0 0.0,             ,
1582.09 415.053 -461.827,    173 175 176 177,            stand,  0.0 0.0 0.0,             ,
1484.15 128.841 -468.536,    172 174 178,                stand,  0.0 0.0 0.0,             ,
1732.48 765.868 -451.545,    52 53 174 177 179,          stand,  0.0 0.0 0.0,             ,
1879.89 414.601 -455.796,    174 176 178 181,            stand,  0.0 0.0 0.0,             ,
1771.5 51.2804 -464.726,     175 177 182,                stand,  0.0 0.0 0.0,             ,
1969.66 661.701 -441.258,    176 180 181,                stand,  0.0 0.0 0.0,             ,
2109.41 815.91 -444.762,     179 183,                    stand,  0.0 0.0 0.0,             ,
2162.02 276.662 -456.481,    177 179 182 184,            stand,  0.0 0.0 0.0,             ,
2018.97 -60.2855 -468.6,     178 181 188 192 193,        stand,  0.0 0.0 0.0,             ,
2533.35 440.018 -448.295,    180 184 198,                stand,  0.0 0.0 0.0,             ,
2360.06 319.097 -466.785,    181 183 199,                stand,  0.0 0.0 0.0,             ,
1436.44 -515.917 -478.946,   62 63 64 168 186 188,       stand,  0.0 0.0 0.0,             ,
1792.69 -847.1 -484.753,     64 129 185 187 188 189,     stand,  0.0 0.0 0.0,             ,
1804.96 -1130.91 -486.038,   128 186 309 310,            stand,  0.0 0.0 0.0,             ,
1920.28 -307.693 -479.319,   64 65 182 185 186 189 193,  stand,  0.0 0.0 0.0,             ,
2243.8 -812.46 -491.75,      65 66 186 188 190 226,      stand,  0.0 0.0 0.0,             ,
2520.03 -589.461 -423.375,   189 191,                    stand,  0.0 0.0 0.0,             ,
2472.49 -416.667 -423.375,   190 192 196,                stand,  0.0 0.0 0.0,             ,
2247.67 -167.705 -479.717,   182 191 193 194,            stand,  0.0 0.0 0.0,             ,
2129.99 -291.624 -476.743,   65 182 188 192,             stand,  0.0 0.0 0.0,             ,
2354.34 -53.899 -488.076,    192 195,                    stand,  0.0 0.0 0.0,             ,
2565.27 -116.18 -461.361,    194 196 197,                stand,  0.0 0.0 0.0,             ,
2668.34 -357.273 -415.875,   47 191 195 211 212 225,     stand,  0.0 0.0 0.0,             ,
2719.11 8.32322 -447.611,    51 195 199 200,             stand,  0.0 0.0 0.0,             ,
2618.18 314.58 -461.19,      183 199 200,                stand,  0.0 0.0 0.0,             ,
2588.61 144.306 -475.755,    184 197 198,                stand,  0.0 0.0 0.0,             ,
2853.22 289.069 -478.475,    197 198 201 202,            stand,  0.0 0.0 0.0,             ,
3109.86 328.762 -438.571,    50 200 202 205,             stand,  0.0 0.0 0.0,             ,
2923.37 439.171 -455.705,    200 201 203,                stand,  0.0 0.0 0.0,             ,
2733.91 604.454 -467.364,    202 204,                    stand,  0.0 0.0 0.0,             ,
2724.33 895.435 -402.593,    203,                        stand,  0.0 0.0 0.0,             ,
3206.21 227.46 -404.018,     201 206 207,                stand,  0.0 0.0 0.0,             ,
3400.23 213.7 -418.061,      205 207 208,                stand,  0.0 0.0 0.0,             ,
3283.53 41.2353 -420.238,    205 206 210 211 215,        stand,  0.0 0.0 0.0,             ,
3746.41 192.379 -412.02,     206 209,                    stand,  0.0 0.0 0.0,             ,
3720.03 -24.7444 -420.559,   49 208 210,                 stand,  0.0 0.0 0.0,             ,
3380.14 -215.386 -416.546,   207 209 211 215 216,        stand,  0.0 0.0 0.0,             ,
3008.88 -280.515 -408.716,   47 196 207 210 212 215,     stand,  0.0 0.0 0.0,             ,
2809.84 -409.29 -415.877,    44 196 211,                 stand,  0.0 0.0 0.0,             ,
3030.46 -824.587 -415.875,   43 46 223,                  stand,  0.0 0.0 0.0,             ,
3392.45 -813.691 -418.848,   46 48 216 219,              stand,  0.0 0.0 0.0,             ,
3281.07 -383.829 -415.875,   45 46 207 210 211 216,      stand,  0.0 0.0 0.0,             ,
3386.45 -568.84 -415.875,    210 214 215,                stand,  0.0 0.0 0.0,             ,
3714.59 -974.013 -424.875,   38 48 219,                  stand,  0.0 0.0 0.0,             ,
3911.85 -1202.71 -470.977,   37 38 39 230 231,           stand,  0.0 0.0 0.0,             ,
3396.92 -943.503 -424.875,   214 217 220 315,            stand,  0.0 0.0 0.0,             ,
3242.93 -899.167 -424.875,   219 221,                    stand,  0.0 0.0 0.0,             ,
2968.26 -978.248 -424.875,   220 222,                    stand,  0.0 0.0 0.0,             ,
2781.84 -977.354 -424.875,   221 223 226 227,            stand,  0.0 0.0 0.0,             ,
2787.55 -832.766 -416.209,   213 222 224,                stand,  0.0 0.0 0.0,             ,
2732.19 -812.521 -416.997,   223 225,                    stand,  0.0 0.0 0.0,             ,
2646.66 -574.274 -417.003,   196 224,                    stand,  0.0 0.0 0.0,             ,
2532.12 -1073.55 -456.875,   66 189 222,                 stand,  0.0 0.0 0.0,             ,
2832.56 -1169.27 -464.058,   42 222 228 233,             stand,  0.0 0.0 0.0,             ,
3257.42 -1301.31 -467.875,   41 227 229 230 311,         stand,  0.0 0.0 0.0,             ,
3077.12 -1443.83 -467.16,    228 232 233,                stand,  0.0 0.0 0.0,             ,
3509.87 -1307.7 -460.875,    40 218 228 231 311,         stand,  0.0 0.0 0.0,             ,
3737.11 -1585.03 -429.97,    36 218 230 237,             stand,  0.0 0.0 0.0,             ,
3115.1 -1711.65 -403.875,    35 229 236,                 stand,  0.0 0.0 0.0,             ,
2855.17 -1557.31 -457.875,   227 229 234,                stand,  0.0 0.0 0.0,             ,
2643.68 -1860.7 -479.912,    233 235 244 245 246,        stand,  0.0 0.0 0.0,             ,
2914.66 -1829.74 -404.223,   234 236,                    stand,  0.0 0.0 0.0,             ,
3118.81 -1935.53 -406.154,   33 232 235 241,             stand,  0.0 0.0 0.0,             ,
3746.71 -1720.61 -403.875,   34 231 238,                 stand,  0.0 0.0 0.0,             ,
3716.53 -2165.19 -415.875,   237 239 240,                stand,  0.0 0.0 0.0,             ,
3433.16 -2223.8 -415.875,    31 32 33 238 240 241,       stand,  0.0 0.0 0.0,             ,
3692.71 -2592.68 -415.875,   30 238 239 248,             stand,  0.0 0.0 0.0,             ,
3178.85 -2268.86 -373.181,   33 236 239 242,             stand,  0.0 0.0 0.0,             ,
3141.57 -2449.74 -408.108,   241 243,                    stand,  0.0 0.0 0.0,             ,
3002.99 -2627.61 -470.99,    242 244 247,                stand,  0.0 0.0 0.0,             ,
2638.77 -2203.03 -463.173,   234 243 245 246,            stand,  0.0 0.0 0.0,             ,
2434.15 -2267.26 -422.188,   234 244 246 303,            stand,  0.0 0.0 0.0,             ,
2408.28 -1870.26 -479.564,   234 244 245 308,            stand,  0.0 0.0 0.0,             ,
3351.4 -2962.9 -448.13,      243 248 249,                stand,  0.0 0.0 0.0,             ,
3524.62 -2741.9 -407.929,    240 247,                    stand,  0.0 0.0 0.0,             ,
3068.64 -3275.48 -415.875,   27 28 247 250,              stand,  0.0 0.0 0.0,             ,
2670.7 -3253.62 -444.326,    26 29 249 251,              stand,  0.0 0.0 0.0,             ,
2448.18 -3165.31 -452.112,   25 250 252 268 269,         stand,  0.0 0.0 0.0,             ,
2466.99 -2812.3 -423.985,    251 253 254,                stand,  0.0 0.0 0.0,             ,
2336.63 -2828.82 -443.282,   252 268,                    stand,  0.0 0.0 0.0,             ,
2538.68 -2863.46 -405.375,   252 255,                    stand,  0.0 0.0 0.0,             ,
2638.11 -2965.15 -287.875,   254 256,                    stand,  0.0 0.0 0.0,             ,
2694.23 -2967.54 -287.875,   255 257,                    stand,  0.0 0.0 0.0,             ,
2710.95 -2911.79 -287.875,   256 258,                    stand,  0.0 0.0 0.0,             ,
2594.97 -2802.75 -191.875,   257 259,                    stand,  0.0 0.0 0.0,             ,
2546.92 -2731.19 -191.875,   258 260,                    stand,  0.0 0.0 0.0,             ,
2667.15 -2606.44 -147.875,   259 261,                    stand,  0.0 0.0 0.0,             ,
2289.97 -2218.56 -145.341,   260 262,                    stand,  0.0 0.0 0.0,             ,
2185.48 -2261.55 -139.065,   261 263,                    stand,  0.0 0.0 0.0,             ,
2069.97 -2237.94 -136.084,   262 264,                    stand,  0.0 0.0 0.0,             ,
2000.55 -2153.07 -136.307,   263 265,                    stand,  0.0 0.0 0.0,             ,
1973.27 -2030.06 -140.793,   264 266,                    stand,  0.0 0.0 0.0,             ,
1604.44 -2024.56 -147.875,   265 267,                    stand,  0.0 0.0 0.0,             ,
1242.28 -2023.58 -152.375,   266 313,                    stand,  0.0 0.0 0.0,             ,
2202.76 -2962.29 -447.488,   251 253 269 272 302,        stand,  0.0 0.0 0.0,             ,
2223.72 -3240.8 -423.875,    25 251 268 270,             stand,  0.0 0.0 0.0,             ,
1834.71 -3224.76 -426.81,    24 269 271 272 273,         stand,  0.0 0.0 0.0,             ,
1931.31 -3483.56 -411.135,   23 270,                     stand,  0.0 0.0 0.0,             ,
1873.16 -3051.77 -424.405,   268 270 302,                stand,  0.0 0.0 0.0,             ,
1552.95 -3149.52 -423.879,   270 274 288 300,            stand,  0.0 0.0 0.0,             ,
1337.08 -3319.46 -425.916,   273 275 279 286 288,        stand,  0.0 0.0 0.0,             ,
1586.38 -3318.11 -426.188,   24 274 276,                 stand,  0.0 0.0 0.0,             ,
1602.69 -3749.96 -401.875,   23 275 277,                 stand,  0.0 0.0 0.0,             ,
1414.83 -3825.17 -406.755,   276 278,                    stand,  0.0 0.0 0.0,             ,
1168.93 -3814.9 -424.145,    277 279 280,                stand,  0.0 0.0 0.0,             ,
1085.19 -3403.5 -425.523,    274 278 280 286,            stand,  0.0 0.0 0.0,             ,
727.736 -3524.88 -425.995,   22 278 279 281 286,         stand,  0.0 0.0 0.0,             ,
267.688 -3302.73 -418.317,   20 280 282,                 stand,  0.0 0.0 0.0,             ,
299.572 -3015.65 -423.974,   21 281 283 284 285,         stand,  0.0 0.0 0.0,             ,
132.572 -2999.57 -443.875,   100 282 284,                stand,  0.0 0.0 0.0,             ,
196.1 -2812.74 -443.875,     282 283 289,                stand,  0.0 0.0 0.0,             ,
543.518 -3150.28 -426.927,   282 286,                    stand,  0.0 0.0 0.0,             ,
811.145 -3181.45 -425.875,   274 279 280 285 287,        stand,  0.0 0.0 0.0,             ,
855.426 -2908.7 -444.583,    286 297 299,                stand,  0.0 0.0 0.0,             ,
1328.93 -3030.96 -429.799,   273 274 298 299 300,        stand,  0.0 0.0 0.0,             ,
211.244 -2709.25 -467.47,    105 284 290 291,            stand,  0.0 0.0 0.0,             ,
173.673 -2573.54 -477.647,   105 289 292,                stand,  0.0 0.0 0.0,             ,
433.683 -2592.23 -469.891,   289 292 296,                stand,  0.0 0.0 0.0,             ,
242.578 -2407.56 -471.527,   70 290 291 293 294,         stand,  0.0 0.0 0.0,             ,
164.485 -2237.73 -465.875,   108 292,                    stand,  0.0 0.0 0.0,             ,
444.044 -2181.13 -466.061,   155 156 292 295,            stand,  0.0 0.0 0.0,             ,
672.517 -2316.97 -463.875,   156 161 294 296 297 312,    stand,  0.0 0.0 0.0,             ,
650.36 -2615.12 -463.875,    161 291 295 297,            stand,  0.0 0.0 0.0,             ,
995.735 -2661.58 -478.325,   161 287 295 296 298 299,    stand,  0.0 0.0 0.0,             ,
1355.5 -2653.86 -480.243,    288 297 300 301 305 306,    stand,  0.0 0.0 0.0,             ,
1051.32 -2811.95 -463.245,   287 288 297,                stand,  0.0 0.0 0.0,             ,
1585.87 -2907.45 -443.545,   273 288 298 301,            stand,  0.0 0.0 0.0,             ,
1777.09 -2633.02 -469.875,   298 300 302 303 305 306,    stand,  0.0 0.0 0.0,             ,
2039.34 -2722.67 -460.308,   268 272 301 303 305,        stand,  0.0 0.0 0.0,             ,
2281.19 -2440.82 -421.884,   245 301 302 304 305,        stand,  0.0 0.0 0.0,             ,
2158.18 -2360.82 -430.467,   303,                        stand,  0.0 0.0 0.0,             ,
1784.46 -2337.21 -470.27,    298 301 302 303 306 307,    stand,  0.0 0.0 0.0,             ,
1374.47 -2191.85 -478.377,   68 160 298 301 305,         stand,  0.0 0.0 0.0,             ,
1787.72 -1858.08 -479.658,   160 162 305 308 309 310,    stand,  0.0 0.0 0.0,             ,
2258.49 -1583.24 -477.231,   67 246 307 309,             stand,  0.0 0.0 0.0,             ,
2012.69 -1438.9 -482.516,    66 67 187 307 308 310,      stand,  0.0 0.0 0.0,             ,
1679.27 -1492.4 -480.724,    160 162 187 307 309,        stand,  0.0 0.0 0.0,             ,
3368.6 -1173.79 -464.993,    228 230 314,                stand,  0.0 0.0 0.0,             ,
798.873 -2022.76 -472.839,   156 295 313,                climb,  3.3728 -0.0695658 0.0,   ,
821.333 -2021.54 -145.875,   267 312,                    climb,  -2.30164 -0.816636 0.0,  ,
3380.49 -1015.2 -462.017,    311 315,                    climb,  2.91138 92.5135 0.0,     ,
3380.49 -999.198 -424.875,   219 314,                    climb,  0.444946 92.7552 0.0,    ,
