653
2250.5 -347.5 508.625,      77 80 561,                    stand,  ,  ,
-1466.66 329.656 260.625,   119 121 515 626,              stand,  ,  ,
-1352.26 444.256 281.299,   120 122,                      stand,  ,  ,
-1257.62 465.398 304.625,   20 121 123,                   stand,  ,  ,
-1158.79 463.532 319.722,   122 124,                      stand,  ,  ,
-1064.12 456.257 375.125,   123 125,                      stand,  ,  ,
-963.205 481.098 375.125,   124 126 491,                  stand,  ,  ,
-878.686 541.813 375.125,   125 127 476,                  stand,  ,  ,
-786.475 589.189 375.125,   126 128,                      stand,  ,  ,
-683.766 597.176 375.125,   127 129 475,                  stand,  ,  ,
-580.332 602.387 375.125,   128 130 474,                  stand,  ,  ,
-474.149 624.597 375.125,   129 131,                      stand,  ,  ,
-377.104 653.572 375.125,   130 132 520,                  stand,  ,  ,
-275.437 686.244 375.125,   131 133 485,                  stand,  ,  ,
-175.131 715.779 377.131,   132 134 520,                  stand,  ,  ,
-80.3767 726.794 416.971,   133 135,                      stand,  ,  ,
16.0914 728.222 460.625,    134 136 517,                  stand,  ,  ,
118.442 728.296 460.625,    135 137 335 518,              stand,  ,  ,
226.363 728.367 460.625,    136 138,                      stand,  ,  ,
352.506 677.906 460.625,    137 139 383,                  stand,  ,  ,
409.653 645.106 460.625,    138 140,                      stand,  ,  ,
499.469 673.499 460.625,    29 139 141,                   stand,  ,  ,
500.869 611.303 460.625,    140 142 299,                  stand,  ,  ,
700.843 638.417 460.625,    27 30 141 143 313 319,        stand,  ,  ,
858.912 644.073 505.125,    142 316,                      stand,  ,  ,
1100.66 620.999 508.625,    145 315 316 405 525,          stand,  ,  ,
1088.04 489.49 508.625,     144 146,                      stand,  ,  ,
1062.03 320.479 508.625,    145 147 279 279 402 403,      stand,  ,  ,
1039.96 148.989 508.625,    146 148 220 277 279 540,      stand,  ,  ,
1023.97 -21.4867 508.625,   147 149 218 219 321 323,      stand,  ,  ,
1012.12 -192.517 508.625,   148 322 558 560,              stand,  ,  ,
1220.75 -345.706 526.625,   151 325,                      stand,  ,  ,
1306.32 -219.634 544.625,   88 150 152,                   stand,  ,  ,
1475.63 -209.864 544.625,   87 151 153,                   stand,  ,  ,
1647.69 -222.518 544.625,   152 154,                      stand,  ,  ,
1776.1 -317.71 526.625,     85 153 155 400,               stand,  ,  ,
1806.84 -421.7 526.625,     154 156,                      stand,  ,  ,
1919.94 -439.132 508.625,   155 157 409,                  stand,  ,  ,
2019.9 -402.442 508.625,    81 156 158 398,               stand,  ,  ,
2121.2 -393.471 508.625,    157 159 210,                  stand,  ,  ,
2344.49 -314.771 508.625,   158 160 561,                  stand,  ,  ,
2518.1 -324.733 508.625,    76 78 159 161,                stand,  ,  ,
2683.29 -299.027 508.625,   73 160 162,                   stand,  ,  ,
2845.71 -280.725 508.625,   161 163,                      stand,  ,  ,
2990.42 -343.771 508.625,   23 162 164,                   stand,  ,  ,
3082.54 -390.154 508.625,   72 75 163 165,                stand,  ,  ,
3176.85 -344.747 508.625,   70 164 166 444,               stand,  ,  ,
3187.28 -240.855 508.625,   165 167 191 444,              stand,  ,  ,
3093.52 -31.1796 508.625,   14 166 168,                   stand,  ,  ,
3028.49 125.419 508.625,    167 169 193,                  stand,  ,  ,
3017.15 295.373 508.625,    168 170 238 455,              stand,  ,  ,
3070.96 388.2 508.625,      14 169 171 455,               stand,  ,  ,
3166.82 427.963 508.625,    170 172,                      stand,  ,  ,
3271.72 416.001 508.625,    171 173 237 452,              stand,  ,  ,
3372.73 389.954 508.625,    172 174 451 454,              stand,  ,  ,
3473.49 360.099 508.625,    173 175 192 453,              stand,  ,  ,
3577.4 339.723 508.625,     174 176 450,                  stand,  ,  ,
3680.28 351.814 508.625,    175 177 548 567,              stand,  ,  ,
3778.74 382.078 508.625,    51 176 178 187 450,           stand,  ,  ,
3883.95 395.373 508.625,    52 53 177 179 566 568,        stand,  ,  ,
3974.76 342.025 508.625,    55 178 180,                   stand,  ,  ,
4038.33 259.364 508.625,    179 181,                      stand,  ,  ,
4104.43 182.166 514.625,    180 182,                      stand,  ,  ,
4048.33 39.8807 508.625,    181 183,                      stand,  ,  ,
3970.52 -30.8821 508.625,   60 182 184,                   stand,  ,  ,
3920.28 -123.542 508.625,   183 185 187,                  stand,  ,  ,
3819.55 -147.252 508.625,   64 184 186 569,               stand,  ,  ,
3744.32 -74.4392 508.625,   185 187 448 449,              stand,  ,  ,
3733.46 79.8167 508.625,    177 184 186 188 449 450 549,  stand,  ,  ,
3522.48 82.7786 503.625,    187 189 450 570,              stand,  ,  ,
3377.73 -12.9213 508.625,   188 190 192 241,              stand,  ,  ,
3243.96 -110.024 508.625,   15 189 191 457,               stand,  ,  ,
3214.96 -176.999 508.625,   166 190 545,                  stand,  ,  ,
3446.6 158.804 503.625,     174 189 450 452 453,          stand,  ,  ,
2983.85 153.951 508.625,    5 168 194 546,                stand,  ,  ,
2914.87 155.711 508.625,    1 193 195,                    stand,  ,  ,
2811.57 159.578 508.625,    194 196 437 440,              stand,  ,  ,
2659.31 195.398 508.625,    195 440 441,                  stand,  ,  ,
2561.59 233.63 508.625,     198 203 273,                  stand,  ,  ,
2529.08 305.374 508.625,    197 199,                      stand,  ,  ,
2550.52 365.984 508.625,    198 200,                      stand,  ,  ,
2488.97 445.532 508.625,    199 201,                      stand,  ,  ,
2330.36 416.386 508.625,    200 551,                      stand,  ,  ,
2288.52 251.563 508.625,    203 207 529 543 551,          stand,  ,  ,
2497.11 176.87 508.625,     197 202 204 529,              stand,  ,  ,
2555.84 32.8832 508.625,    203 205 430 440 531,          stand,  ,  ,
2428.61 -59.6558 508.625,   204 530 532,                  stand,  ,  ,
2303.55 27.4928 508.625,    207 242 553,                  stand,  ,  ,
2244.78 114.399 508.625,    202 206 208 273,              stand,  ,  ,
2166.13 139.099 508.625,    207 209,                      stand,  ,  ,
2168.09 70.4704 508.625,    208 535,                      stand,  ,  ,
2038.88 -220.262 508.625,   158 211 542,                  stand,  ,  ,
1877.58 -242.08 508.625,    210 212 399,                  stand,  ,  ,
1754.19 -126.81 508.625,    211 213 274 409,              stand,  ,  ,
1648.88 -100.922 508.625,   212 214 275,                  stand,  ,  ,
1549.0 -123.298 508.625,    213 215 275 536,              stand,  ,  ,
1449.66 -127.834 508.625,   24 214 216 536,               stand,  ,  ,
1305.98 -76.8239 508.625,   215 217 402,                  stand,  ,  ,
1223.04 -138.557 508.625,   216 218 276,                  stand,  ,  ,
1128.68 -171.295 508.625,   4 148 217 219 322 459,        stand,  ,  ,
1111.92 57.7555 508.625,    148 218 220 277 459 459,      stand,  ,  ,
1148.69 224.228 508.625,    147 219 221 278,              stand,  ,  ,
1278.49 324.765 508.625,    220 222 404,                  stand,  ,  ,
1438.9 356.066 508.625,     221 223 278 314,              stand,  ,  ,
1607.82 364.046 508.625,    13 222 224,                   stand,  ,  ,
1765.56 403.947 508.625,    26 223 225 393 406 407,       stand,  ,  ,
1799.68 571.308 508.625,    224 226 422,                  stand,  ,  ,
1944.63 657.655 508.625,    21 225 227 394,               stand,  ,  ,
2111.25 674.555 508.625,    22 39 41 226 228 407 645,     stand,  ,  ,
2286.0 668.163 508.625,     41 227 229 587,               stand,  ,  ,
2367.68 612.314 508.625,    228 230 533,                  stand,  ,  ,
2471.73 580.651 508.625,    43 229 231,                   stand,  ,  ,
2575.59 576.609 508.625,    230 232,                      stand,  ,  ,
2678.89 572.925 508.625,    44 231 233 442 524 533,       stand,  ,  ,
2785.07 581.491 508.625,    45 232 234 524,               stand,  ,  ,
2889.05 593.483 508.625,    233 235,                      stand,  ,  ,
2951.64 599.321 508.625,    46 234 550,                   stand,  ,  ,
3100.66 659.355 508.625,    237 550,                      stand,  ,  ,
3182.83 513.896 508.625,    16 172 236 238,               stand,  ,  ,
3160.86 348.134 508.625,    5 169 237 239 454,            stand,  ,  ,
3185.51 180.849 503.625,    14 238 240 453 644,           stand,  ,  ,
3244.44 27.6322 503.625,    239 241 545,                  stand,  ,  ,
3306.04 2.74262 508.625,    189 240,                      stand,  ,  ,
2311.76 -149.124 508.625,   9 206 530 553 556 652,        stand,  ,  ,
2651.62 -179.92 634.125,    244 651,                      stand,  ,  ,
2648.69 -113.422 634.125,   243 245,                      stand,  ,  ,
2639.51 -35.0071 634.125,   244 246 272,                  stand,  ,  ,
2700.29 -10.411 634.125,    245 247,                      stand,  ,  ,
2765.47 -24.9027 634.125,   246 248,                      stand,  ,  ,
2864.92 -39.7351 634.125,   247 249 649,                  stand,  ,  ,
2871.96 208.356 634.125,    248 250 255 649,              stand,  ,  ,
2810.83 387.884 634.125,    249 251,                      stand,  ,  ,
2875.28 401.75 634.125,     250 252 458,                  stand,  ,  ,
2843.92 454.373 634.125,    251 253,                      stand,  ,  ,
2737.3 335.217 634.125,     252 254,                      stand,  ,  ,
2751.93 230.021 634.125,    253 255,                      stand,  ,  ,
2752.61 125.149 634.125,    249 254 256,                  stand,  ,  ,
2729.35 23.9804 634.125,    255 257,                      stand,  ,  ,
2613.33 7.51357 634.125,    256 258,                      stand,  ,  ,
2587.55 112.214 634.125,    257 259 647,                  stand,  ,  ,
2508.44 175.18 634.125,     258 260,                      stand,  ,  ,
2402.97 199.17 634.125,     259 261 270 647 648,          stand,  ,  ,
2301.08 176.264 634.125,    260 262,                      stand,  ,  ,
2205.82 200.521 644.625,    261 263,                      stand,  ,  ,
2119.2 173.261 644.625,     262 264,                      stand,  ,  ,
2118.3 66.635 644.625,      263 265,                      stand,  ,  ,
2134.8 -36.5709 644.625,    264 266 268 646,              stand,  ,  ,
2227.37 -71.8066 644.625,   265 267,                      stand,  ,  ,
2227.37 33.8026 644.625,    266 268,                      stand,  ,  ,
2254.55 113.855 644.625,    265 267 269,                  stand,  ,  ,
2305.71 76.2656 634.125,    268 270,                      stand,  ,  ,
2395.72 18.0253 634.125,    260 269 271,                  stand,  ,  ,
2497.86 -5.05234 634.125,   270 272 648,                  stand,  ,  ,
2532.34 -9.5989 634.125,    245 271,                      stand,  ,  ,
2403.99 235.917 508.625,    197 207 554,                  stand,  ,  ,
1787.8 -53.1862 508.625,    212 275 390 398,              stand,  ,  ,
1572.98 -47.1336 508.625,   213 214 274 276 389 590,      stand,  ,  ,
1323.63 -30.0252 508.625,   217 275 277,                  stand,  ,  ,
1246.93 115.225 508.625,    147 219 276 278 320,          stand,  ,  ,
1351.67 266.79 508.625,     220 222 277 315 320,          stand,  ,  ,
950.045 248.17 518.425,     146 146 147 280 539,          stand,  ,  ,
839.911 252.999 518.425,    279 281 289,                  stand,  ,  ,
746.902 252.42 518.425,     280 282,                      stand,  ,  ,
729.584 219.423 518.425,    281 283 375 579,              stand,  ,  ,
726.941 146.909 518.425,    282 284 540,                  stand,  ,  ,
717.694 55.9163 518.425,    283 285 288,                  stand,  ,  ,
696.113 -80.3646 518.425,   284 304,                      stand,  ,  ,
752.585 -139.359 518.425,   304 305,                      stand,  ,  ,
809.997 -90.512 518.425,    288 305,                      stand,  ,  ,
816.247 -10.178 518.425,    284 287 289,                  stand,  ,  ,
830.183 157.453 518.425,    280 288 526,                  stand,  ,  ,
557.797 -70.0697 473.096,   291 304 306,                  stand,  ,  ,
479.593 -101.829 460.625,   290 303 384 388,              stand,  ,  ,
346.508 -156.843 460.625,   293 388 576 578,              stand,  ,  ,
266.958 -40.6413 460.625,   292 294 578,                  stand,  ,  ,
255.587 73.3496 460.625,    293 295 307 310 388,          stand,  ,  ,
275.209 214.548 460.625,    10 294 308 575,               stand,  ,  ,
308.937 299.906 460.625,    300 381,                      stand,  ,  ,
350.491 388.294 460.625,    10 298 300 381 634,           stand,  ,  ,
401.021 478.46 460.625,     297 299 637,                  stand,  ,  ,
442.781 563.452 460.625,    27 141 298,                   stand,  ,  ,
341.715 240.835 460.625,    296 297 301 307 380,          stand,  ,  ,
416.653 215.357 460.625,    300 303,                      stand,  ,  ,
456.334 191.18 460.625,     384 385,                      stand,  ,  ,
452.334 58.4216 460.625,    291 301 307 380,              stand,  ,  ,
658.188 -127.985 518.425,   285 286 290 577,              stand,  ,  ,
835.474 -159.77 518.425,    286 287,                      stand,  ,  ,
396.242 -81.0593 460.625,   290 307,                      stand,  ,  ,
346.457 43.9956 460.625,    294 300 303 306 527,          stand,  ,  ,
210.552 140.734 460.625,    295 309,                      stand,  ,  ,
76.2375 191.116 460.625,    2 308 310 463,                stand,  ,  ,
91.4111 80.3935 460.625,    294 309 333 376 387 464,      stand,  ,  ,
-193.901 71.0394 387.323,   17 461 464,                   stand,  ,  ,
-200.698 181.047 386.125,   462 463 463,                  stand,  ,  ,
724.285 562.09 460.625,     29 142,                       stand,  ,  ,
1313.33 536.386 508.625,    25 222,                       stand,  ,  ,
1325.0 491.716 508.625,     144 278 425,                  stand,  ,  ,
1038.7 721.374 508.625,     25 143 144 317,               stand,  ,  ,
873.024 721.375 505.125,    7 316 318,                    stand,  ,  ,
765.864 703.012 468.815,    317 319,                      stand,  ,  ,
663.364 690.499 460.625,    29 142 318 418,               stand,  ,  ,
1347.76 117.135 508.625,    24 277 278 402 459,           stand,  ,  ,
968.406 -86.4864 508.625,   148 322 559,                  stand,  ,  ,
956.343 -138.206 508.625,   149 218 321,                  stand,  ,  ,
940.445 -273.275 508.625,   148 324 559,                  stand,  ,  ,
910.478 -393.736 508.625,   323 327 560,                  stand,  ,  ,
1195.31 -432.046 526.625,   4 150,                        stand,  ,  ,
703.662 -385.5 468.625,     327 328,                      stand,  ,  ,
791.396 -380.826 508.625,   93 324 326,                   stand,  ,  ,
658.864 -340.421 468.625,   3 96 326 330,                 stand,  ,  ,
345.078 -336.429 468.625,   100 330,                      stand,  ,  ,
463.459 -330.644 468.625,   3 328 329 513,                stand,  ,  ,
101.088 -303.617 460.625,   101 377 378,                  stand,  ,  ,
65.3624 -119.541 460.625,   6 376 377 378 379 583,        stand,  ,  ,
54.3182 286.892 460.625,    2 310 334,                    stand,  ,  ,
72.1922 438.049 460.625,    333 335 336 460 521,          stand,  ,  ,
89.7432 571.235 460.625,    136 334 460,                  stand,  ,  ,
173.975 464.279 460.625,    334 337 517,                  stand,  ,  ,
208.111 466.108 608.425,    336 338,                      stand,  ,  ,
168.88 388.633 606.425,     337 339 358,                  stand,  ,  ,
263.695 315.136 606.425,    338 340,                      stand,  ,  ,
340.948 395.564 606.425,    339 341,                      stand,  ,  ,
426.038 446.396 606.425,    340 342,                      stand,  ,  ,
497.328 249.739 606.425,    341 343,                      stand,  ,  ,
330.783 218.267 606.425,    342 344,                      stand,  ,  ,
239.286 266.475 606.425,    343 345,                      stand,  ,  ,
165.769 200.454 606.425,    344 346,                      stand,  ,  ,
174.304 94.7337 606.425,    345 347 355,                  stand,  ,  ,
227.167 3.49892 606.425,    346 348,                      stand,  ,  ,
328.195 4.92306 606.425,    347 349 359,                  stand,  ,  ,
416.851 58.4725 606.425,    348 350,                      stand,  ,  ,
514.545 -64.8715 606.425,   349 351,                      stand,  ,  ,
315.203 -102.575 606.425,   350 352,                      stand,  ,  ,
223.762 -50.5108 606.425,   351 353,                      stand,  ,  ,
159.84 -133.807 606.425,    352 354,                      stand,  ,  ,
98.3265 -180.817 606.425,   353 355,                      stand,  ,  ,
71.9127 54.5188 606.425,    346 354 356,                  stand,  ,  ,
71.6837 158.078 606.425,    355 357,                      stand,  ,  ,
88.5405 260.632 606.425,    356 358,                      stand,  ,  ,
96.8034 291.556 606.425,    338 357,                      stand,  ,  ,
479.803 -45.8112 606.425,   348 360,                      stand,  ,  ,
615.147 -45.9478 652.727,   359 361,                      stand,  ,  ,
708.778 -46.0358 676.425,   360 362 369,                  stand,  ,  ,
817.035 -43.0665 676.425,   361 363,                      stand,  ,  ,
907.162 7.48458 676.425,    362 364,                      stand,  ,  ,
955.002 100.476 676.425,    363 365,                      stand,  ,  ,
943.079 202.978 676.425,    364 366 370,                  stand,  ,  ,
796.208 292.02 676.425,     365 367,                      stand,  ,  ,
806.536 88.3524 676.425,    366 368,                      stand,  ,  ,
700.895 55.0542 676.425,    367 369,                      stand,  ,  ,
688.37 -3.97245 676.425,    361 368,                      stand,  ,  ,
888.131 282.72 676.425,     365 371 581,                  stand,  ,  ,
885.146 352.618 676.425,    370 372,                      stand,  ,  ,
831.779 437.472 676.425,    371 373,                      stand,  ,  ,
771.469 471.27 612.942,     372 374 580 581,              stand,  ,  ,
699.977 387.153 571.425,    373 375,                      stand,  ,  ,
708.746 299.057 518.611,    282 374,                      stand,  ,  ,
22.4853 3.73887 461.125,    6 310 332 583,                stand,  ,  ,
46.3846 -191.189 460.625,   331 332 379 582,              stand,  ,  ,
126.285 -217.788 460.625,   331 332,                      stand,  ,  ,
121.65 -128.237 460.625,    332 377,                      stand,  ,  ,
411.505 146.551 460.625,    300 303 384,                  stand,  ,  ,
283.694 436.888 460.625,    296 297 382,                  stand,  ,  ,
434.566 445.565 460.625,    381 383,                      stand,  ,  ,
397.239 587.567 460.625,    138 382 523,                  stand,  ,  ,
508.066 118.56 460.625,     291 302 380,                  stand,  ,  ,
411.177 265.763 460.625,    302 386,                      stand,  ,  ,
239.879 260.378 460.625,    385 387,                      stand,  ,  ,
231.739 186.321 460.625,    310 386,                      stand,  ,  ,
348.595 -69.9699 460.625,   291 292 294,                  stand,  ,  ,
1588.07 6.08169 508.625,    24 28 275 390 589,            stand,  ,  ,
1794.53 -16.9366 508.625,   274 389 391,                  stand,  ,  ,
1811.54 45.7755 508.625,    390 392 542 590,              stand,  ,  ,
1812.23 138.061 508.625,    26 391 528,                   stand,  ,  ,
1927.32 355.331 508.625,    224 394 397 591,              stand,  ,  ,
2008.99 492.924 508.625,    226 393 396,                  stand,  ,  ,
2057.38 524.881 508.625,    19 22 421,                    stand,  ,  ,
2048.89 409.481 508.625,    19 394 397,                   stand,  ,  ,
2037.66 237.305 508.625,    393 396 528 557 585 588,      stand,  ,  ,
1915.98 -110.919 508.625,   11 157 274 421,               stand,  ,  ,
1875.39 -394.177 508.625,   8 211 400,                    stand,  ,  ,
1772.1 -382.832 526.625,    154 399,                      stand,  ,  ,
2084.33 -278.385 508.625,   8 11 81,                      stand,  ,  ,
1232.91 208.024 508.625,    146 216 320,                  stand,  ,  ,
974.503 398.882 508.625,    146 404,                      stand,  ,  ,
1150.75 390.629 508.625,    25 221 403 405 525 539,       stand,  ,  ,
1352.1 384.447 508.625,     144 404 406 538 539,          stand,  ,  ,
1543.58 401.992 508.625,    224 405 538,                  stand,  ,  ,
1916.03 447.294 508.625,    224 227,                      stand,  ,  ,
1574.78 176.106 508.625,    13 28 589,                    stand,  ,  ,
1937.29 -207.122 508.625,   156 212,                      stand,  ,  ,
1723.29 336.643 508.625,    13 21 541,                    stand,  ,  ,
2008.54 848.462 504.625,    39 412 645,                   stand,  ,  ,
1869.65 821.175 504.625,    38 411 420,                   stand,  ,  ,
1523.75 826.043 442.625,    35 414 419,                   stand,  ,  ,
1343.18 819.615 444.625,    33 413,                       stand,  ,  ,
1135.79 808.932 444.625,    35 416,                       stand,  ,  ,
1057.98 805.279 444.625,    33 415 417,                   stand,  ,  ,
934.235 800.227 442.625,    416 418,                      stand,  ,  ,
662.346 896.374 442.625,    319 417,                      stand,  ,  ,
1562.15 781.625 442.625,    413 420,                      stand,  ,  ,
1686.58 792.691 504.625,    412 419,                      stand,  ,  ,
1981.33 266.453 508.625,    395 398,                      stand,  ,  ,
1760.2 503.008 508.625,     225 423,                      stand,  ,  ,
1725.63 501.365 508.625,    422 429,                      stand,  ,  ,
1620.51 490.353 540.625,    428 429,                      stand,  ,  ,
1399.37 492.685 508.625,    25 315 426,                   stand,  ,  ,
1458.6 496.474 566.625,     425 427,                      stand,  ,  ,
1503.8 559.554 540.625,     426 428,                      stand,  ,  ,
1577.92 567.664 540.625,    424 427,                      stand,  ,  ,
1686.28 500.246 566.625,    423 424,                      stand,  ,  ,
2673.6 14.4618 508.625,     204 439 440,                  stand,  ,  ,
2652.78 -71.1304 508.625,   432 439,                      stand,  ,  ,
2665.44 -152.284 508.625,   431 433,                      stand,  ,  ,
2723.21 -209.374 508.625,   432 434,                      stand,  ,  ,
2801.93 -181.517 508.625,   433 435,                      stand,  ,  ,
