360
1792.0 -1502.0 396.125,     1 13 231 232 233,                 stand,     0.0 0.0 0.0,            ,
2175.99 -2648.5 600.125,    24 26 38 197,                     stand,     0.0 0.0 0.0,            ,
2194.18 -2339.43 600.125,   10 25 27,                         stand,     0.0 0.0 0.0,            ,
2285.01 -2235.21 600.125,   10 26 28,                         stand,     0.0 0.0 0.0,            ,
2465.16 -2275.24 600.125,   27 29 223 324,                    stand,     0.0 0.0 0.0,            ,
2497.88 -2322.26 600.125,   28 30 36 223,                     stand,     0.0 0.0 0.0,            ,
2636.16 -2311.91 706.546,   29 31,                            stand,     0.0 0.0 0.0,            ,
2720.23 -2308.6 748.125,    30 32 326,                        stand,     0.0 0.0 0.0,            ,
2726.8 -2465.26 748.125,    31 33,                            stand,     0.0 0.0 0.0,            ,
2535.5 -2452.59 748.125,    32 34 35 224,                     stand,     0.0 0.0 0.0,            ,
2429.53 -2280.4 748.125,    33 35 325,                        stand,     0.0 0.0 0.0,            ,
2436.15 -2464.55 748.125,   33 34,                            stand,     0.0 0.0 0.0,            ,
2493.96 -2526.74 600.125,   29 37 220 221 222 223 323,        stand,     0.0 0.0 0.0,            ,
2548.33 -2774.32 600.125,   36 38 39,                         stand,     0.0 0.0 0.0,            ,
2275.58 -2798.27 600.125,   25 37 197 199,                    stand,     0.0 0.0 0.0,            ,
2719.81 -2920.12 600.125,   37 40 49 219,                     stand,     0.0 0.0 0.0,            ,
2837.51 -3172.06 600.125,   39 41,                            stand,     0.0 0.0 0.0,            ,
2801.22 -3443.91 600.125,   40 42 215 218,                    stand,     0.0 0.0 0.0,            ,
2544.44 -3547.83 600.125,   41 43 47 48 216,                  stand,     0.0 0.0 0.0,            ,
2312.97 -3389.07 600.125,   42 44,                            stand,     0.0 0.0 0.0,            ,
2066.0 -3378.02 600.125,    43 45 46 51,                      stand,     0.0 0.0 0.0,            ,
1916.15 -3394.39 600.125,   23 44 46 209 217,                 stand,     0.0 0.0 0.0,            ,
2114.5 -3596.52 600.125,    44 45 47 52,                      stand,     0.0 0.0 0.0,            ,
2352.02 -3660.61 600.125,   42 46 52 216,                     stand,     0.0 0.0 0.0,            ,
2598.35 -3349.75 604.125,   42 49 215,                        stand,     0.0 0.0 0.0,            ,
2453.8 -3221.72 548.125,    39 48 50 200,                     stand,     0.0 0.0 0.0,            ,
2203.7 -3159.93 568.424,    49 51 200 210,                    stand,     0.0 0.0 0.0,            ,
2117.31 -3304.88 596.125,   44 50 209 210,                    stand,     0.0 0.0 0.0,            ,
2286.83 -3787.3 600.125,    46 47 53 54,                      stand,     0.0 0.0 0.0,            ,
2281.1 -3954.56 600.125,    52 54 56 247 322,                 stand,     0.0 0.0 0.0,            ,
2329.82 -3859.72 600.125,   52 53 55,                         stand,     0.0 0.0 0.0,            ,
2492.48 -3841.63 600.125,   54 216 320 321,                   stand,     0.0 0.0 0.0,            ,
1936.64 -3945.23 600.125,   53 57 248,                        stand,     0.0 0.0 0.0,            ,
1631.97 -3969.31 600.125,   56 58 245,                        stand,     0.0 0.0 0.0,            ,
1526.97 -4128.75 600.125,   57 59 246,                        stand,     0.0 0.0 0.0,            ,
1328.49 -4123.41 600.125,   58 60 61 206 315,                 stand,     0.0 0.0 0.0,            ,
1388.05 -3962.99 600.125,   59 61 316,                        stand,     0.0 0.0 0.0,            ,
1241.31 -3970.32 600.125,   59 60 317,                        stand,     0.0 0.0 0.0,            ,
1050.06 -4134.55 600.125,   63 206,                           stand,     0.0 0.0 0.0,            ,
834.337 -4174.04 600.125,   62 64 179 201,                    stand,     0.0 0.0 0.0,            ,
824.181 -3891.12 600.125,   63 65 203 204,                    stand,     0.0 0.0 0.0,            ,
785.631 -3547.3 600.125,    64 66 318 319,                    stand,     0.0 0.0 0.0,            ,
767.999 -3294.3 600.125,    65 67 71,                         stand,     0.0 0.0 0.0,            ,
1015.71 -3303.99 600.125,   66 68,                            stand,     0.0 0.0 0.0,            ,
1040.69 -3128.87 567.859,   67 69 74 207 208,                 stand,     0.0 0.0 0.0,            ,
1068.89 -2921.59 546.127,   68 70 74 208 291 292,             stand,     0.0 0.0 0.0,            ,
1290.84 -2787.75 498.778,   19 20 69 291,                     stand,     0.0 0.0 0.0,            ,
720.422 -3221.71 600.125,   66 72,                            stand,     0.0 0.0 0.0,            ,
710.04 -3156.37 580.125,    71 73 207 293,                    stand,     0.0 0.0 0.0,            ,
675.698 -3007.73 583.104,   72 74 75,                         stand,     0.0 0.0 0.0,            ,
935.503 -2949.8 549.837,    68 69 73 207 290,                 stand,     0.0 0.0 0.0,            ,
476.598 -2995.75 630.295,   73 76 289 293,                    stand,     0.0 0.0 0.0,            ,
169.707 -2956.9 648.125,    75 77 80 181 288 289,             stand,     0.0 0.0 0.0,            ,
5.1708 -3226.48 648.125,    76 78 80 92 160 181,              stand,     0.0 0.0 0.0,            ,
-323.782 -3287.32 648.125,  77 79 160 161 185 186,            stand,     0.0 0.0 0.0,            ,
-704.224 -3274.19 656.125,  78 150 151 159 185,               stand,     0.0 0.0 0.0,            ,
-41.4132 -2876.71 648.125,  76 77 81 92 357,                  stand,     0.0 0.0 0.0,            ,
-24.4557 -2722.14 656.125,  80 82 90 288 356,                 stand,     0.0 0.0 0.0,            ,
68.3282 -2497.87 672.125,   81 83 285,                        stand,     0.0 0.0 0.0,            ,
337.694 -2477.78 672.125,   82 84 187 285 286,                stand,     0.0 0.0 0.0,            ,
319.321 -2243.43 672.125,   83 85 280,                        stand,     0.0 0.0 0.0,            ,
85.0285 -2260.66 672.125,   84 213 278 280,                   stand,     0.0 0.0 0.0,            ,
-3.43617 -1995.5 672.125,   87 98 213,                        stand,     0.0 0.0 0.0,            ,
3.26474 -1898.58 672.125,   86 88 276 277 342,                stand,     0.0 0.0 0.0,            ,
-211.198 -1892.97 672.125,  87 89 93 97 274 275,              stand,     0.0 0.0 0.0,            ,
-200.259 -2140.11 672.125,  88 90,                            stand,     0.0 0.0 0.0,            ,
-152.539 -2471.41 672.125,  81 89 91,                         stand,     0.0 0.0 0.0,            ,
-193.415 -2669.73 672.125,  90 92 299,                        stand,     0.0 0.0 0.0,            ,
-124.906 -2919.59 648.125,  77 80 91 160 299,                 stand,     0.0 0.0 0.0,            ,
-390.097 -1810.32 672.125,  88 94,                            stand,     0.0 0.0 0.0,            ,
-602.653 -1811.79 672.125,  93 95 110,                        stand,     0.0 0.0 0.0,            ,
-625.616 -1519.54 672.125,  94 96 109,                        stand,     0.0 0.0 0.0,            ,
-296.927 -1527.86 672.125,  95 97 272 273,                    stand,     0.0 0.0 0.0,            ,
-235.92 -1677.26 672.125,   88 96,                            stand,     0.0 0.0 0.0,            ,
103.314 -1968.27 730.125,   86 99,                            stand,     0.0 0.0 0.0,            ,
201.671 -1973.39 820.125,   98 100,                           stand,     0.0 0.0 0.0,            ,
258.23 -2085.12 820.125,    99 107 195 339,                   stand,     0.0 0.0 0.0,            ,
160.659 -2370.72 820.125,   102 108 194 195 282,              stand,     0.0 0.0 0.0,            ,
59.0798 -2445.12 816.125,   101 103 282,                      stand,     0.0 0.0 0.0,            ,
-115.146 -2413.86 816.125,  102 104 359,                      stand,     0.0 0.0 0.0,            ,
-121.042 -2049.55 816.125,  103 105,                          stand,     0.0 0.0 0.0,            ,
-101.743 -1871.23 816.125,  104 106 281,                      stand,     0.0 0.0 0.0,            ,
6.95732 -1877.13 820.125,   105 107,                          stand,     0.0 0.0 0.0,            ,
29.008 -2132.14 820.125,    100 106 108 195,                  stand,     0.0 0.0 0.0,            ,
105.468 -2254.81 820.125,   101 107 195 341,                  stand,     0.0 0.0 0.0,            ,
-875.845 -1531.56 672.125,  95 110 112,                       stand,     0.0 0.0 0.0,            ,
-899.503 -1816.0 672.125,   94 109 111,                       stand,     0.0 0.0 0.0,            ,
-1190.95 -1827.48 674.125,  110 118 119,                      stand,     0.0 0.0 0.0,            ,
-1104.1 -1510.17 672.125,   109 113,                          stand,     0.0 0.0 0.0,            ,
-1413.97 -1516.42 672.125,  112 114,                          stand,     0.0 0.0 0.0,            ,
-1547.65 -1503.46 672.125,  113 115,                          stand,     0.0 0.0 0.0,            ,
-1544.31 -1657.09 672.125,  114 116 266,                      stand,     0.0 0.0 0.0,            ,
-1803.83 -1712.77 672.125,  115 117 120 265,                  stand,     0.0 0.0 0.0,            ,
-1691.69 -1911.63 672.125,  116 118 120 127 300 303,          stand,     0.0 0.0 0.0,            ,
-1443.04 -1823.96 674.125,  111 117 119 266 267 303,          stand,     0.0 0.0 0.0,            ,
-1244.09 -1775.11 674.125,  111 118 266 267,                  stand,     0.0 0.0 0.0,            ,
-1912.31 -2014.05 672.125,  116 117 121 127,                  stand,     0.0 0.0 0.0,            ,
-2063.24 -2154.15 680.125,  120 122 129,                      stand,     0.0 0.0 0.0,            ,
-2292.55 -2253.82 672.125,  121 123 124 125 129 263,          stand,     0.0 0.0 0.0,            ,
-2531.05 -2333.99 672.125,  122 124 212 262,                  stand,     0.0 0.0 0.0,            ,
-2429.74 -2538.04 680.125,  122 123 125 125 262,              stand,     0.0 0.0 0.0,            ,
-2159.86 -2530.59 680.125,  122 124 124 126 129,              stand,     0.0 0.0 0.0,            ,
-1920.15 -2529.05 672.125,  125 127 129 130,                  stand,     0.0 0.0 0.0,            ,
-1744.97 -2311.61 672.125,  117 120 126 128 129 156 300 301,  stand,     0.0 0.0 0.0,            ,
-1419.98 -2318.55 672.125,  127 155 156 269 301,              stand,     0.0 0.0 0.0,            ,
-1997.38 -2375.07 672.125,  121 122 125 126 127,              stand,     0.0 0.0 0.0,            ,
-1790.54 -2762.41 672.125,  126 131 153 154 271,              stand,     0.0 0.0 0.0,            ,
-1848.82 -3019.3 672.125,   130 132 135 257 304,              stand,     0.0 0.0 0.0,            ,
-1628.23 -3124.85 672.125,  131 133 135 256,                  stand,     0.0 0.0 0.0,            ,
-1492.61 -3255.53 672.125,  132 134 135 259,                  stand,     0.0 0.0 0.0,            ,
-1597.34 -3382.79 672.125,  133 135 258,                      stand,     0.0 0.0 0.0,            ,
-1663.96 -3225.36 672.125,  131 132 133 134 136 257,          stand,     0.0 0.0 0.0,            ,
-1700.49 -3290.27 672.125,  135 137,                          stand,     0.0 0.0 0.0,            ,
-1700.59 -3575.91 768.125,  136 138,                          stand,     0.0 0.0 0.0,            ,
-1434.05 -3564.78 848.125,  137 139 145 305,                  stand,     0.0 0.0 0.0,            ,
-1427.55 -3245.58 848.125,  138 140 143,                      stand,     0.0 0.0 0.0,            ,
-1453.61 -3084.21 848.125,  139 141 143 253,                  stand,     0.0 0.0 0.0,            ,
-1663.24 -3015.14 848.125,  140 142 144,                      stand,     0.0 0.0 0.0,            ,
-1799.45 -3127.89 848.125,  141 143 144 254 255,              stand,     0.0 0.0 0.0,            ,
-1523.33 -3145.58 848.125,  139 140 142 144,                  stand,     0.0 0.0 0.0,            ,
-1607.63 -3075.42 848.125,  141 142 143,                      stand,     0.0 0.0 0.0,            ,
-1210.42 -3567.31 848.125,  138 146,                          stand,     0.0 0.0 0.0,            ,
-949.185 -3554.69 848.125,  145 147 306,                      stand,     0.0 0.0 0.0,            ,
-913.717 -3913.75 848.125,  146 148 250 251 252 307,          stand,     0.0 0.0 0.0,            ,
-744.895 -3909.98 848.125,  147 149 163 167,                  stand,     0.0 0.0 0.0,            ,
-744.161 -3686.61 848.125,  148 150 163,                      stand,     0.0 0.0 0.0,            ,
-751.357 -3454.98 717.165,  79 149,                           stand,     0.0 0.0 0.0,            ,
-837.164 -3065.87 648.125,  79 152 162,                       stand,     0.0 0.0 0.0,            ,
-1046.48 -2929.86 672.125,  151 153,                          stand,     0.0 0.0 0.0,            ,
-1379.22 -2851.52 672.125,  130 152 154 157 270 271,          stand,     0.0 0.0 0.0,            ,
-1483.01 -2724.07 672.125,  130 153 155 270,                  stand,     0.0 0.0 0.0,            ,
-1412.29 -2575.7 672.125,   128 154 156,                      stand,     0.0 0.0 0.0,            ,
-1526.61 -2434.08 672.125,  127 128 155 301,                  stand,     0.0 0.0 0.0,            ,
-1228.41 -2971.67 672.125,  153 158 270,                      stand,     0.0 0.0 0.0,            ,
-1190.28 -3284.47 672.125,  157 159,                          stand,     0.0 0.0 0.0,            ,
-952.456 -3279.8 654.361,   79 158,                           stand,     0.0 0.0 0.0,            ,
-129.279 -3164.67 648.125,  77 78 92,                         stand,     0.0 0.0 0.0,            ,
-481.559 -3113.7 648.125,   78 162 297,                       stand,     0.0 0.0 0.0,            ,
-657.836 -2991.0 648.125,   151 161 297 349,                  stand,     0.0 0.0 0.0,            ,
-656.99 -3787.21 848.125,   148 149 164,                      stand,     0.0 0.0 0.0,            ,
-305.117 -3803.53 848.125,  163 165 172 308,                  stand,     0.0 0.0 0.0,            ,
-208.183 -3867.16 848.125,  164 166 172,                      stand,     0.0 0.0 0.0,            ,
-257.514 -3964.4 848.125,   165 167 168,                      stand,     0.0 0.0 0.0,            ,
-516.407 -3992.94 848.125,  148 166,                          stand,     0.0 0.0 0.0,            ,
44.5606 -3993.61 848.125,   166 169,                          stand,     0.0 0.0 0.0,            ,
304.455 -3953.61 848.125,   168 170 309,                      stand,     0.0 0.0 0.0,            ,
319.984 -3776.98 848.125,   169 171 173 310,                  stand,     0.0 0.0 0.0,            ,
125.963 -3741.79 848.125,   170 172,                          stand,     0.0 0.0 0.0,            ,
-97.8248 -3777.36 848.125,  164 165 171 350 351,              stand,     0.0 0.0 0.0,            ,
462.23 -3768.59 848.125,    170 174 176 177,                  stand,     0.0 0.0 0.0,            ,
528.628 -3632.39 848.125,   173 175 176 249 312,              stand,     0.0 0.0 0.0,            ,
542.455 -3498.99 848.125,   174 249,                          stand,     0.0 0.0 0.0,            ,
600.797 -3771.72 848.125,   173 174,                          stand,     0.0 0.0 0.0,            ,
478.982 -3951.81 848.125,   173 178 311,                      stand,     0.0 0.0 0.0,            ,
485.575 -4193.42 744.125,   177 179 313,                      stand,     0.0 0.0 0.0,            ,
677.884 -4174.61 654.125,   63 178,                           stand,     0.0 0.0 0.0,            ,
189.057 -3522.71 656.125,   181 182,                          stand,     0.0 0.0 0.0,            ,
193.138 -3255.16 656.125,   76 77 180,                        stand,     0.0 0.0 0.0,            ,
15.6129 -3619.41 656.125,   180 183 186,                      stand,     0.0 0.0 0.0,            ,
-257.297 -3630.86 656.125,  182 184 186,                      stand,     0.0 0.0 0.0,            ,
-537.797 -3612.75 656.125,  183 185,                          stand,     0.0 0.0 0.0,            ,
-535.844 -3391.38 648.125,  78 79 184,                        stand,     0.0 0.0 0.0,            ,
-212.468 -3465.4 648.125,   78 182 183,                       stand,     0.0 0.0 0.0,            ,
549.783 -2487.36 672.125,   83 188 284 286,                   stand,     0.0 0.0 0.0,            ,
793.299 -2314.31 672.125,   187 189 196 287 345,              stand,     0.0 0.0 0.0,            ,
858.418 -2131.92 672.125,   6 188 190 196,                    stand,     0.0 0.0 0.0,            ,
778.241 -2078.06 672.125,   189 191,                          stand,     0.0 0.0 0.0,            ,
587.201 -2081.97 760.125,   190 192,                          stand,     0.0 0.0 0.0,            ,
449.818 -2081.57 760.125,   191 193 337,                      stand,     0.0 0.0 0.0,            ,
468.815 -2299.7 820.125,    192 194 338,                      stand,     0.0 0.0 0.0,            ,
258.406 -2294.15 820.125,   101 193 195,                      stand,     0.0 0.0 0.0,            ,
198.297 -2251.03 820.125,   100 101 107 108 194,              stand,     0.0 0.0 0.0,            ,
1028.97 -2308.28 672.125,   6 188 189 211,                    stand,     0.0 0.0 0.0,            ,
2065.38 -2779.47 600.125,   25 38 198 225,                    stand,     0.0 0.0 0.0,            ,
1941.09 -2863.57 600.125,   23 24 197 353,                    stand,     0.0 0.0 0.0,            ,
2352.8 -2920.26 606.125,    38 200,                           stand,     0.0 0.0 0.0,            ,
2367.39 -3033.6 553.158,    49 50 199 295 296,                stand,     0.0 0.0 0.0,            ,
755.267 -4085.82 600.125,   63 202,                           stand,     0.0 0.0 0.0,            ,
625.639 -4071.79 600.125,   201 203,                          stand,     0.0 0.0 0.0,            ,
635.355 -3914.63 600.125,   64 202 314,                       stand,     0.0 0.0 0.0,            ,
1019.97 -3940.4 600.125,    64 205,                           stand,     0.0 0.0 0.0,            ,
1153.11 -3954.57 600.125,   204 206,                          stand,     0.0 0.0 0.0,            ,
1143.23 -4121.9 600.125,    59 62 205,                        stand,     0.0 0.0 0.0,            ,
830.964 -3102.24 571.231,   68 72 74,                         stand,     0.0 0.0 0.0,            ,
1225.22 -3058.65 542.435,   21 68 69,                         stand,     0.0 0.0 0.0,            ,
1924.07 -3153.5 600.125,    23 45 51 210 294 354,             stand,     0.0 0.0 0.0,            ,
2131.32 -3171.11 568.355,   50 51 209,                        stand,     0.0 0.0 0.0,            ,
1150.98 -2416.18 672.125,   6 196 283,                        stand,     0.0 0.0 0.0,            ,
-2816.51 -2339.18 672.125,  123 262 264,                      stand,     0.0 0.0 0.0,            ,
26.8604 -2091.36 672.125,   85 86 214,                        stand,     0.0 0.0 0.0,            ,
303.446 -2094.74 672.125,   213 279,                          stand,     0.0 0.0 0.0,            ,
2679.15 -3355.58 572.125,   41 48,                            crouch,    4.83398 142.877 0.0,    ,
2480.36 -3636.37 600.125,   42 47 55,                         stand,     19.1656 -92.4664 0.0,   ,
1853.23 -3595.88 600.125,   45,                               crouch,    5.35034 42.561 0.0,     ,
2813.87 -3587.43 600.125,   41,                               crouch,    6.04248 144.086 0.0,    ,
2857.0 -2762.13 600.125,    39,                               crouch,    2.58728 -136.313 0.0,   ,
2687.09 -2402.1 600.125,    36,                               crouch,    8.80554 -148.409 0.0,   ,
2703.39 -2577.48 600.125,   36,                               crouch,    5.18005 149.777 0.0,    ,
2383.13 -2589.74 600.125,   36,                               crouch,    9.66797 27.1857 0.0,    ,
2378.89 -2374.18 600.125,   28 29 36,                         stand,     15.3699 89.5166 0.0,    ,
2359.49 -2554.8 748.125,    33,                               crouch,    4.83398 16.6553 0.0,    ,
1937.07 -2545.58 600.125,   24 197,                           stand,     20.5444 93.3289 0.0,    ,
1776.18 -1912.3 558.125,    228 329,                          stand,     23.3075 -179.467 0.0,   ,
1381.15 -1921.35 558.125,   228 333,                          stand,     34.0137 105.941 0.0,    ,
1600.92 -1927.18 558.125,   226 227 331,                      stand,     27.1088 -8.53638 0.0,   ,
1740.95 -2112.2 592.125,    8 9 330,                          stand,     24.3457 21.8408 0.0,    ,
1534.04 -1289.38 384.125,   1,                                prone,     0.516357 -87.9675 0.0,  ,
1883.72 -1379.21 396.125,   0,                                crouch,    2.93335 -143.383 0.0,   ,
1562.19 -1745.93 384.125,   0 1 233 235,                      stand,     22.099 -87.9565 0.0,    ,
1684.76 -1820.55 384.125,   0 232 234 335,                    stand,     29.5258 -125.596 0.0,   ,
1566.24 -1923.69 389.625,   14 233 235,                       stand,     27.2791 -179.127 0.0,   ,
1454.55 -1804.32 384.125,   232 234 236 336,                  stand,     16.4026 136.154 0.0,    ,
1292.55 -1956.87 396.125,   235 237,                          crouch,    1.72485 23.7579 0.0,    ,
1268.5 -1547.18 396.125,    236,                              crouch,    3.97156 -42.8906 0.0,   ,
1379.13 -2191.64 399.104,   14 18 244,                        crouch,    -2.41699 -56.1786 0.0,  ,
1929.86 -2202.42 412.125,   15 16,                            prone,     2.2467 -146.31 0.0,     ,
2024.87 -2445.74 420.698,   241,                              crouch,    3.27942 170.53 0.0,     ,
1912.83 -2420.03 424.044,   16 240 242,                       stand,     12.2607 152.919 0.0,    ,
1629.49 -2427.14 428.822,   241 243,                          stand,     13.4692 -2.64771 0.0,   ,
1550.18 -2431.77 417.511,   18 19 242 244,                    stand,     17.9572 -3.51013 0.0,   ,
1418.28 -2387.69 419.699,   18 19 238 243,                    stand,     10.3601 -91.0492 0.0,   ,
1479.13 -3922.13 600.125,   57,                               crouch,    1.37878 -40.8032 0.0,   ,
1640.88 -4177.38 606.125,   58,                               crouch,    3.4552 144.283 0.0,     ,
2183.13 -3814.13 600.125,   53,                               crouch,    0.692139 -41.8469 0.0,  ,
1867.13 -4052.88 600.125,   56,                               crouch,    3.79578 33.0963 0.0,    ,
424.664 -3566.85 848.125,   174 175 352,                      stand,     8.63525 177.61 0.0,     ,
-984.875 -4032.88 848.125,  147,                              crouch,    4.6637 55.1733 0.0,     ,
-839.125 -4032.88 848.125,  147,                              crouch,    3.27942 118.021 0.0,    ,
-839.125 -3671.13 848.125,  147,                              crouch,    3.10913 -115.593 0.0,   ,
-1415.34 -3000.94 848.125,  140,                              crouch,    5.35034 -121.47 0.0,    ,
-1828.3 -3256.88 848.125,   142,                              crouch,    4.14185 35.6506 0.0,    ,
-1843.21 -3004.69 864.597,  142,                              crouch,    7.08069 -32.558 0.0,    ,
-1559.63 -2961.28 672.125,  132,                              crouch,    4.14185 -104.381 0.0,   ,
-1942.87 -3252.83 698.125,  131 135,                          crouch,    6.04248 51.3501 0.0,    ,
-1577.19 -3466.37 672.125,  134,                              prone,     3.27942 89.5056 0.0,    ,
-1455.13 -3388.88 672.125,  133,                              crouch,    2.07092 131.633 0.0,    ,
-2864.87 -2662.25 680.125,  262,                              crouch,    6.90491 41.8414 0.0,    ,
-2864.88 -2095.13 680.125,  264,                              crouch,    3.27942 -37.2382 0.0,   ,
-2682.42 -2520.0 672.125,   123 124 212 260,                  stand,     14.6777 -28.2623 0.0,   ,
-2485.23 -2190.6 680.125,   122 264,                          stand,     12.2607 179.116 0.0,    ,
-2783.71 -2190.78 680.125,  212 261 263,                      stand,     13.6395 178.77 0.0,     ,
-2084.6 -1641.93 680.125,   116,                              crouch,    2.41699 -39.9957 0.0,   ,
-1454.56 -1661.94 674.125,  115 118 119 267,                  stand,     26.4166 172.557 0.0,    ,
-1228.61 -1702.28 674.125,  118 119 266,                      stand,     23.3075 1.61499 0.0,    ,
-1136.03 -1936.99 672.125,  269 302,                          crouch,    1.37878 -140.312 0.0,   ,
-1132.61 -2338.15 672.125,  128 268 270,                      stand,     10.8765 -90.0659 0.0,   ,
-1142.37 -2749.74 672.125,  153 154 157 269,                  stand,     9.84375 -98.5254 0.0,   ,
-1697.25 -2897.05 680.125,  130 153,                          stand,     10.014 175.325 0.0,     ,
-191.125 -1473.96 672.125,  96,                               crouch,    2.93335 -133.742 0.0,   ,
-367.875 -1665.88 672.125,  96,                               crouch,    4.6637 48.2465 0.0,     ,
-79.1251 -1773.08 672.125,  88,                               crouch,    6.04248 -134.951 0.0,   ,
-400.875 -1964.88 672.125,  88,                               crouch,    1.2085 42.0282 0.0,     ,
115.619 -1871.91 672.125,   87,                               crouch,    0.0 -173.974 0.0,       ,
-40.8749 -1837.13 672.125,  87,                               crouch,    1.55457 -43.786 0.0,    ,
-40.875 -2322.88 672.125,   85,                               crouch,    0.862427 55.8435 0.0,   ,
353.967 -2092.08 672.125,   214,                              prone,     -1.03821 179.467 0.0,   ,
245.247 -2331.41 672.125,   84 85 343,                        stand,     3.27942 148.909 0.0,    ,
-104.028 -1777.38 816.125,  105,                              prone,     -4.48792 -92.8235 0.0,  ,
230.416 -2421.33 816.125,   101 102 340 358,                  stand,     15.1941 -39.4684 0.0,   ,
1049.81 -2554.88 672.125,   211,                              crouch,    1.2085 65.8521 0.0,     ,
740.264 -2544.88 672.125,   187,                              crouch,    5.18005 128.353 0.0,    ,
217.823 -2586.62 672.125,   82 83 286 344,                    stand,     19.682 16.1279 0.0,     ,
443.676 -2567.43 672.125,   83 187 285 346,                   stand,     17.9572 0.76355 0.0,    ,
647.749 -2163.02 672.125,   188,                              crouch,    0.0 -40.1605 0.0,       ,
223.287 -2715.27 666.186,   76 81 289,                        stand,     15.0238 179.486 0.0,    ,
443.502 -2751.67 647.065,   75 76 288 290,                    stand,     16.4026 -0.777832 0.0,  ,
754.842 -2779.62 579.49,    74 289 292,                       stand,     18.4735 -18.3889 0.0,   ,
938.193 -2677.33 535.813,   69 70 292,                        stand,     5.00977 -119.392 0.0,   ,
926.982 -2829.88 539.256,   69 290 291 348,                   stand,     5.52612 -167.913 0.0,   ,
324.455 -3165.51 648.125,   72 75,                            crouch,    2.93335 21.8485 0.0,    ,
2105.04 -3054.86 568.199,   209 295,                          stand,     22.6208 36.1802 0.0,    ,
2227.19 -3034.16 568.234,   200 294,                          stand,     21.4124 4.578 0.0,      ,
2572.29 -3013.9 548.125,    200,                              prone,     1.72485 -160.486 0.0,   ,
-396.123 -2925.3 656.125,   161 162 298,                      stand,     22.099 63.6126 0.0,     ,
-345.52 -2796.16 652.125,   297 299,                          stand,     21.0663 39.2614 0.0,    ,
-211.352 -2775.51 650.031,  91 92 298,                        stand,     13.4692 -41.5431 0.0,   ,
-1613.33 -2085.3 672.125,   117 127 301 303,                  stand,     18.6975 17.6897 0.0,    ,
-1459.15 -2151.17 672.125,  127 128 156 300 302,              stand,     23.1854 41.173 0.0,     ,
-1371.53 -2043.92 672.125,  268 301 303,                      stand,     28.5413 133.892 0.0,    ,
-1497.31 -1957.65 672.125,  117 118 300 302,                  stand,     24.3939 -179.658 0.0,   ,
-1803.95 -2986.69 672.125,  131,                              claymore,  22.099 120.52 0.0,      ,
-1448.15 -3588.47 848.125,  138,                              claymore,  28.3173 166.448 0.0,    ,
-950.474 -3651.95 848.125,  146,                              claymore,  19.1656 90.6427 0.0,    ,
-870.737 -3869.23 848.125,  147,                              claymore,  16.9189 -41.4459 0.0,   ,
-261.338 -3778.2 848.125,   164,                              grenade,   -10.5304 39.0179 0.0,   ,
314.157 -3877.86 848.125,   169,                              claymore,  18.6493 -121.564 0.0,   ,
318.804 -3811.89 848.125,   170,                              claymore,  24.516 134.149 0.0,     ,
