90
-702.0 704.0 84.9297,       16 17,                   stand,  ,                       ,
-254.065 -476.624 88.125,   4 64 66 86 87,           stand,  ,                       ,
-477.311 -284.557 88.125,   5 65 72,                 stand,  ,                       ,
-137.719 -925.278 78.8145,  4 68 84 87,              stand,  ,                       ,
-687.244 -937.036 81.6729,  67 69 70,                stand,  ,                       ,
-732.39 -533.795 78.9812,   68 71,                   stand,  ,                       ,
-525.708 -840.797 73.7037,  68,                      stand,  ,                       ,
-758.082 -144.316 90.125,   5 19 69,                 stand,  ,                       ,
-496.516 84.3424 87.2397,   18 20 66,                stand,  ,                       ,
211.933 -33.4212 98.9256,   7 47 51,                 stand,  ,                       ,
443.087 -564.003 79.8848,   62 75 82 88,             stand,  ,                       ,
693.605 -561.854 79.2972,   53 74 77,                stand,  ,                       ,
948.149 -284.222 77.8342,   55 77,                   stand,  ,                       ,
944.561 -613.519 70.4504,   75 76 78,                stand,  ,                       ,
954.813 -883.168 78.195,    77 79,                   stand,  ,                       ,
908.968 -960.372 80.1306,   78 80,                   stand,  ,                       ,
794.388 -962.048 78.7688,   79 81,                   stand,  ,                       ,
580.881 -949.299 75.7058,   80 82,                   stand,  ,                       ,
554.915 -797.361 74.1453,   74 81 83 88,             stand,  ,                       ,
260.649 -791.349 86.4588,   82 85,                   stand,  ,                       ,
9.0629 -905.235 84.125,     3 67,                    stand,  ,                       ,
106.852 -805.374 84.125,    3 83,                    stand,  ,                       ,
156.427 -658.026 78.5281,   63 65 87 88,             stand,  ,                       ,
-93.737 -639.642 78.7605,   65 67 86,                stand,  ,                       ,
234.928 -690.602 80.372,    74 82 86 89,             stand,  ,                       ,
231.381 -624.893 78.7069,   30 88,                   stand,  ,                       ,
