259
-3066.8 -2720.6 267.132,     6 107 108 109,                 stand,  0.0 0.0 0.0,  ,
-215.91 -101.575 -10.9223,   11 26 28,                      stand,  0.0 0.0 0.0,  ,
-276.385 -115.003 12.349,    27 29,                         stand,  0.0 0.0 0.0,  ,
-234.732 -348.532 9.27086,   28 30 31,                      stand,  0.0 0.0 0.0,  ,
-209.873 -489.28 7.41633,    29,                            stand,  0.0 0.0 0.0,  ,
-104.949 -321.638 -20.2075,  25 29 178,                     stand,  0.0 0.0 0.0,  ,
408.744 -80.7818 -17.6432,   24,                            stand,  0.0 0.0 0.0,  ,
-381.799 -5.90487 -14.9644,  26 34 194,                     stand,  0.0 0.0 0.0,  ,
-595.585 -42.7424 -18.7846,  12 33 35 38 194,               stand,  0.0 0.0 0.0,  ,
-615.685 -310.095 -21.037,   34 45 183 184 185 194,         stand,  0.0 0.0 0.0,  ,
-872.357 325.115 -10.0773,   12 37 38 39,                   stand,  0.0 0.0 0.0,  ,
-815.794 467.477 -17.8676,   36 38,                         stand,  0.0 0.0 0.0,  ,
-782.762 32.4926 -19.6936,   12 34 36 37,                   stand,  0.0 0.0 0.0,  ,
-1063.71 332.629 -19.8684,   36 40 41 44 45,                stand,  0.0 0.0 0.0,  ,
-1228.56 334.402 -26.6508,   13 39 41 42 44,                stand,  0.0 0.0 0.0,  ,
-1250.53 474.044 -28.3809,   39 40 42 43 44,                stand,  0.0 0.0 0.0,  ,
-1447.67 472.138 -17.8835,   40 41 43,                      stand,  0.0 0.0 0.0,  ,
-1454.56 337.205 -17.895,    13 41 42 48,                   stand,  0.0 0.0 0.0,  ,
-1091.04 472.462 -14.8059,   39 40 41,                      stand,  0.0 0.0 0.0,  ,
-1077.55 -280.269 -17.875,   35 39 46 187 191,              stand,  0.0 0.0 0.0,  ,
-1272.68 -282.62 -30.0113,   45 47 187 191 193,             stand,  0.0 0.0 0.0,  ,
-1436.94 -309.35 -27.011,    46 48 53 191 193,              stand,  0.0 0.0 0.0,  ,
-1458.41 -17.2085 -17.8791,  43 47 49,                      stand,  0.0 0.0 0.0,  ,
-1682.94 -20.3896 -14.9937,  14 15 48 50 51 52,             stand,  0.0 0.0 0.0,  ,
-1685.97 252.591 -15.9103,   14 49 51,                      stand,  0.0 0.0 0.0,  ,
-1781.54 -11.4972 -18.0536,  49 50 52,                      stand,  0.0 0.0 0.0,  ,
-1711.64 -181.122 -16.1082,  15 49 51 53,                   stand,  0.0 0.0 0.0,  ,
-1713.34 -323.202 -17.7682,  47 52 54,                      stand,  0.0 0.0 0.0,  ,
-1720.35 -454.513 -29.0374,  53 55 56,                      stand,  0.0 0.0 0.0,  ,
-1972.46 -467.291 -29.9599,  7 54 59 60 61,                 stand,  0.0 0.0 0.0,  ,
-1633.94 -456.713 -31.0857,  54 57,                         stand,  0.0 0.0 0.0,  ,
-1660.17 -681.463 -17.0167,  56 58 59 219,                  stand,  0.0 0.0 0.0,  ,
-1368.68 -678.504 -17.875,   57 191 192 193 206 217,        stand,  0.0 0.0 0.0,  ,
-1907.86 -674.552 -20.9663,  55 57 60 61 219,               stand,  0.0 0.0 0.0,  ,
-2007.84 -716.181 -33.4399,  55 59 61 68 69 241,            stand,  0.0 0.0 0.0,  ,
-2139.85 -470.579 -30.3306,  55 59 60 62 68 69 70 89,       stand,  0.0 0.0 0.0,  ,
-2183.88 -119.28 -27.1397,   61 63 65 66,                   stand,  0.0 0.0 0.0,  ,
-2183.97 -48.255 -24.5248,   62 64,                         stand,  0.0 0.0 0.0,  ,
-1972.04 -57.519 -25.875,    7 63,                          stand,  0.0 0.0 0.0,  ,
-2371.78 -226.654 -15.0571,  62 66 67,                      stand,  0.0 0.0 0.0,  ,
-2462.41 -84.7976 -19.8125,  62 65 67,                      stand,  0.0 0.0 0.0,  ,
-2397.2 -317.83 -17.6266,    65 66 68 71 89,                stand,  0.0 0.0 0.0,  ,
-2398.72 -516.108 -29.1826,  60 61 67 70 86 87 89,          stand,  0.0 0.0 0.0,  ,
-2181.11 -723.698 -17.5403,  60 61 70,                      stand,  0.0 0.0 0.0,  ,
-2410.71 -707.838 -17.875,   61 68 69 86 87 87 236,         stand,  0.0 0.0 0.0,  ,
-3027.51 -308.479 -18.0914,  8 67 72 78,                    stand,  0.0 0.0 0.0,  ,
-3297.74 -403.414 -30.3068,  71 73 76 77 78,                stand,  0.0 0.0 0.0,  ,
-3509.06 -445.633 -29.381,   72 74 75 76 77,                stand,  0.0 0.0 0.0,  ,
-3470.04 -695.395 -18.2005,  73 75 76,                      stand,  0.0 0.0 0.0,  ,
-3329.36 -751.149 -17.4092,  73 74 76 79 83 84,             stand,  0.0 0.0 0.0,  ,
-3361.03 -544.782 -29.0299,  72 73 74 75,                   stand,  0.0 0.0 0.0,  ,
-3557.67 -348.155 -17.8785,  72 73,                         stand,  0.0 0.0 0.0,  ,
-3071.11 -529.068 -29.6437,  8 71 72 79 85 88,              stand,  0.0 0.0 0.0,  ,
-3052.51 -723.845 -14.2156,  75 78 83 84 85 88 90,          stand,  0.0 0.0 0.0,  ,
-3330.62 -1058.53 1.2484,    81 82 83 84,                   stand,  0.0 0.0 0.0,  ,
-3074.97 -1004.74 41.6466,   80 83 84 90 91 92,             stand,  0.0 0.0 0.0,  ,
-3545.49 -1069.6 2.125,      3 80,                          stand,  0.0 0.0 0.0,  ,
-3067.26 -872.39 10.1626,    75 79 80 81 84 88 90,          stand,  0.0 0.0 0.0,  ,
-3294.11 -906.406 -4.69691,  75 79 80 81 83,                stand,  0.0 0.0 0.0,  ,
-2837.75 -578.256 -29.1977,  78 79 86 87 88,                stand,  0.0 0.0 0.0,  ,
-2564.02 -552.037 -28.1641,  68 70 85 87 88,                stand,  0.0 0.0 0.0,  ,
-2543.39 -694.173 -13.9769,  68 70 70 85 86 88 235 236,     stand,  0.0 0.0 0.0,  ,
-2832.8 -739.695 10.6964,    78 79 83 85 86 87 90 234 235,  stand,  0.0 0.0 0.0,  ,
-2319.87 -459.068 -30.0401,  61 67 68,                      stand,  0.0 0.0 0.0,  ,
-2846.04 -901.731 50.2241,   79 81 83 88 91 92 234,         stand,  0.0 0.0 0.0,  ,
-2869.15 -1192.13 87.1049,   81 90 92 97 119 228 234,       stand,  0.0 0.0 0.0,  ,
-3089.38 -1218.21 91.0596,   81 90 91 93,                   stand,  0.0 0.0 0.0,  ,
-3292.43 -1397.42 120.578,   92,                            stand,  0.0 0.0 0.0,  ,
-2865.16 -1584.2 133.703,    95 96 97 98,                   stand,  0.0 0.0 0.0,  ,
-2862.6 -1743.49 151.519,    94 99 105 227,                 stand,  0.0 0.0 0.0,  ,
-3211.95 -1633.72 128.772,   94 97 98,                      stand,  0.0 0.0 0.0,  ,
-2865.3 -1481.42 119.149,    91 94 96 98 119,               stand,  0.0 0.0 0.0,  ,
-3114.04 -1532.27 115.347,   94 96 97,                      stand,  0.0 0.0 0.0,  ,
-3159.97 -1835.59 155.161,   95 100,                        stand,  0.0 0.0 0.0,  ,
-3423.62 -1852.02 151.134,   4 99 104,                      stand,  0.0 0.0 0.0,  ,
-3559.52 -2057.26 160.771,   4 102 104,                     stand,  0.0 0.0 0.0,  ,
-3666.13 -2054.75 166.597,   101 103,                       stand,  0.0 0.0 0.0,  ,
-3677.86 -1846.39 152.894,   102 104,                       stand,  0.0 0.0 0.0,  ,
-3565.09 -1839.96 146.445,   100 101 103,                   stand,  0.0 0.0 0.0,  ,
-2865.32 -2239.43 208.861,   5 95 109 110,                  stand,  0.0 0.0 0.0,  ,
-3175.99 -2345.44 218.316,   5 107,                         stand,  0.0 0.0 0.0,  ,
-3125.99 -2637.81 247.217,   0 106 109,                     stand,  0.0 0.0 0.0,  ,
-3146.16 -2800.05 263.56,    0 6,                           stand,  0.0 0.0 0.0,  ,
-2907.57 -2634.4 261.423,    0 6 105 107 110 111,           stand,  0.0 0.0 0.0,  ,
-2799.87 -2550.02 261.529,   105 109 111,                   stand,  0.0 0.0 0.0,  ,
-2615.17 -2744.74 272.483,   109 110 112,                   stand,  0.0 0.0 0.0,  ,
-2376.88 -2849.4 254.98,     111 113,                       stand,  0.0 0.0 0.0,  ,
-2027.95 -2904.82 212.754,   21 112 114 115,                stand,  0.0 0.0 0.0,  ,
-1935.46 -2814.8 201.856,    21 113 116,                    stand,  0.0 0.0 0.0,  ,
-1920.58 -3011.72 196.886,   21 113 118,                    stand,  0.0 0.0 0.0,  ,
-1704.45 -2800.19 188.629,   114 117,                       stand,  0.0 0.0 0.0,  ,
-1475.77 -2801.2 156.358,    116 118 122,                   stand,  0.0 0.0 0.0,  ,
-1464.09 -2982.75 149.953,   115 117 122,                   stand,  0.0 0.0 0.0,  ,
-2960.84 -1375.76 90.0123,   91 97,                         stand,  0.0 0.0 0.0,  ,
-1103.87 -2881.32 103.546,   121 122,                       stand,  0.0 0.0 0.0,  ,
-636.17 -2895.47 49.8025,    120 123 137,                   stand,  0.0 0.0 0.0,  ,
-1350.03 -2889.56 144.846,   117 118 120,                   stand,  0.0 0.0 0.0,  ,
-424.128 -2588.25 -15.186,   121 124 137,                   stand,  0.0 0.0 0.0,  ,
-350.774 -2308.73 -18.2568,  123 142 143,                   stand,  0.0 0.0 0.0,  ,
-90.3329 -2787.78 -30.7063,  126 135 136 138 139,           stand,  0.0 0.0 0.0,  ,
173.172 -2805.42 -15.875,    10 125 127,                    stand,  0.0 0.0 0.0,  ,
363.511 -2838.04 -15.875,    126 128,                       stand,  0.0 0.0 0.0,  ,
373.135 -2525.2 -15.875,     127 129 130,                   stand,  0.0 0.0 0.0,  ,
410.264 -2258.38 -17.875,    128 131 157,                   stand,  0.0 0.0 0.0,  ,
191.152 -2510.6 -15.875,     128 131 134,                   stand,  0.0 0.0 0.0,  ,
200.143 -2263.41 -22.6292,   129 130 132 133,               stand,  0.0 0.0 0.0,  ,
163.442 -2198.46 -17.875,    20 131 144,                    stand,  0.0 0.0 0.0,  ,
12.0251 -2267.91 -17.7919,   131 134 140,                   stand,  0.0 0.0 0.0,  ,
29.1881 -2502.73 -18.1334,   130 133 135 138 139,           stand,  0.0 0.0 0.0,  ,
13.9704 -2740.2 -17.875,     125 134,                       stand,  0.0 0.0 0.0,  ,
-103.478 -2898.12 -32.3827,  125 137,                       stand,  0.0 0.0 0.0,  ,
-327.306 -2914.92 -19.8552,  121 123 136,                   stand,  0.0 0.0 0.0,  ,
-98.8834 -2493.86 -27.8951,  125 134 139 140,               stand,  0.0 0.0 0.0,  ,
-56.4867 -2614.79 -27.2101,  125 134 138,                   stand,  0.0 0.0 0.0,  ,
-102.683 -2320.32 -29.643,   133 138 141 142,               stand,  0.0 0.0 0.0,  ,
-66.2944 -2110.66 -30.7974,  140 142 143 146 151,           stand,  0.0 0.0 0.0,  ,
-244.097 -2290.12 -28.1415,  124 140 141 143,               stand,  0.0 0.0 0.0,  ,
-314.206 -2165.36 -14.0603,  124 141 142 148,               stand,  0.0 0.0 0.0,  ,
153.97 -1872.78 -17.9016,    20 132 145 146,                stand,  0.0 0.0 0.0,  ,
157.708 -1595.73 -17.875,    144 156 159,                   stand,  0.0 0.0 0.0,  ,
-67.5615 -1858.93 -28.7436,  141 144 147 149 150 151,       stand,  0.0 0.0 0.0,  ,
-244.784 -1844.58 -30.2937,  146 148 149 150 151 152,       stand,  0.0 0.0 0.0,  ,
-383.807 -1824.68 -17.875,   143 147 150 152 215,           stand,  0.0 0.0 0.0,  ,
-110.712 -1716.94 -31.0265,  146 147 150,                   stand,  0.0 0.0 0.0,  ,
-222.992 -1690.66 -32.4489,  146 147 148 149 152 153 154,   stand,  0.0 0.0 0.0,  ,
-134.604 -1952.48 -31.3996,  141 146 147,                   stand,  0.0 0.0 0.0,  ,
-372.148 -1671.21 -17.875,   147 148 150 153 154,           stand,  0.0 0.0 0.0,  ,
-378.788 -1260.77 -17.875,   150 152 154 181 182 204,       stand,  0.0 0.0 0.0,  ,
-226.287 -1316.32 -33.875,   150 152 153 155 169 181 182,   stand,  0.0 0.0 0.0,  ,
34.5121 -1278.7 -17.875,     154 156 164 168 169 182,       stand,  0.0 0.0 0.0,  ,
48.4484 -1465.17 -17.875,    145 155,                       stand,  0.0 0.0 0.0,  ,
624.161 -2251.94 -17.1426,   19 129,                        stand,  0.0 0.0 0.0,  ,
659.188 -1567.18 -9.77228,   18 19 159 160,                 stand,  0.0 0.0 0.0,  ,
350.133 -1591.12 -17.0732,   18 145 158,                    stand,  0.0 0.0 0.0,  ,
769.67 -1454.63 -7.49009,    158 161,                       stand,  0.0 0.0 0.0,  ,
766.786 -1302.64 -13.082,    17 160 162,                    stand,  0.0 0.0 0.0,  ,
629.732 -1302.49 -14.875,    161 163 165,                   stand,  0.0 0.0 0.0,  ,
291.671 -1284.11 -14.875,    162 164,                       stand,  0.0 0.0 0.0,  ,
158.359 -1279.99 -17.875,    155 163 167 168 169,           stand,  0.0 0.0 0.0,  ,
630.249 -1078.07 -14.875,    162 166 170,                   stand,  0.0 0.0 0.0,  ,
459.728 -1080.83 -14.875,    165 167,                       stand,  0.0 0.0 0.0,  ,
272.469 -1086.75 -17.875,    164 166 168,                   stand,  0.0 0.0 0.0,  ,
147.976 -1106.49 -17.875,    155 164 167 169 173,           stand,  0.0 0.0 0.0,  ,
22.3939 -1087.84 -17.875,    154 155 164 168 173 182,       stand,  0.0 0.0 0.0,  ,
628.915 -834.726 -14.875,    16 165 171,                    stand,  0.0 0.0 0.0,  ,
498.943 -815.051 -14.875,    16 170 172 174,                stand,  0.0 0.0 0.0,  ,
379.129 -695.613 -14.875,    171 174,                       stand,  0.0 0.0 0.0,  ,
153.111 -828.325 -14.875,    168 169 174 175,               stand,  0.0 0.0 0.0,  ,
292.572 -823.494 -14.875,    171 172 173,                   stand,  0.0 0.0 0.0,  ,
142.467 -553.348 -30.8715,   25 173 176 177 178,            stand,  0.0 0.0 0.0,  ,
457.237 -535.375 -31.2648,   25 175 177,                    stand,  0.0 0.0 0.0,  ,
465.101 -319.49 -21.2963,    25 175 176,                    stand,  0.0 0.0 0.0,  ,
-70.4431 -555.451 -28.1603,  31 175 179 180 183,            stand,  0.0 0.0 0.0,  ,
-102.763 -703.999 -28.7217,  178 180 182 183,               stand,  0.0 0.0 0.0,  ,
-379.768 -703.297 -17.875,   178 179 181 183 185 190,       stand,  0.0 0.0 0.0,  ,
-374.574 -1057.6 -17.875,    153 154 180 182,               stand,  0.0 0.0 0.0,  ,
-95.3653 -1037.8 -32.5939,   153 154 155 169 179 181,       stand,  0.0 0.0 0.0,  ,
-384.292 -549.811 -32.4702,  35 178 179 180 184 185 190,    stand,  0.0 0.0 0.0,  ,
-399.878 -315.539 -18.1568,  35 183 185,                    stand,  0.0 0.0 0.0,  ,
-583.53 -544.521 -31.3529,   35 180 183 184 186 189 190,    stand,  0.0 0.0 0.0,  ,
-830.211 -536.526 -30.7307,  185 187 188 189 190,           stand,  0.0 0.0 0.0,  ,
-1017.93 -524.97 -26.5504,   45 46 186 188 189 191 192,     stand,  0.0 0.0 0.0,  ,
-1027.18 -692.954 -17.875,   186 187 189 191 192 195,       stand,  0.0 0.0 0.0,  ,
-834.97 -660.18 -18.527,     185 186 187 188 190,           stand,  0.0 0.0 0.0,  ,
-600.821 -666.072 -18.2781,  180 183 185 186 189,           stand,  0.0 0.0 0.0,  ,
-1235.73 -526.513 -26.141,   45 46 47 58 187 188 192 193,   stand,  0.0 0.0 0.0,  ,
-1252.1 -659.257 -18.3997,   58 187 188 191 193,            stand,  0.0 0.0 0.0,  ,
-1396.72 -444.658 -30.5253,  46 47 58 191 192,              stand,  0.0 0.0 0.0,  ,
-495.164 -166.469 -12.8818,  33 34 35,                      stand,  0.0 0.0 0.0,  ,
-1027.08 -929.907 -17.8556,  188 196 205 206,               stand,  0.0 0.0 0.0,  ,
-1029.34 -1086.12 2.125,     195 197 203,                   stand,  0.0 0.0 0.0,  ,
-1197.57 -1101.41 2.125,     196 198,                       stand,  0.0 0.0 0.0,  ,
-1199.88 -1259.14 2.125,     197 199 207,                   stand,  0.0 0.0 0.0,  ,
-1181.58 -1412.08 2.125,     198 200,                       stand,  0.0 0.0 0.0,  ,
-1035.51 -1419.59 2.125,     199 201 211,                   stand,  0.0 0.0 0.0,  ,
-867.147 -1416.29 2.125,     200 202,                       stand,  0.0 0.0 0.0,  ,
-862.63 -1254.09 2.125,      201 203 204,                   stand,  0.0 0.0 0.0,  ,
-867.743 -1086.29 2.125,     196 202,                       stand,  0.0 0.0 0.0,  ,
-628.748 -1257.64 -15.4368,  153 202 205 213 214,           stand,  0.0 0.0 0.0,  ,
-644.092 -936.496 -16.0421,  195 204,                       stand,  0.0 0.0 0.0,  ,
-1389.18 -935.067 -17.2662,  58 195 207 217,                stand,  0.0 0.0 0.0,  ,
-1435.28 -1245.14 -23.4246,  198 206 208 209 210 217,       stand,  0.0 0.0 0.0,  ,
-1664.66 -1284.27 -17.4425,  207 209 210 218 242,           stand,  0.0 0.0 0.0,  ,
-1419.15 -1565.45 -16.3861,  207 208 210 211,               stand,  0.0 0.0 0.0,  ,
-1682.56 -1574.53 -17.875,   207 208 209 222,               stand,  0.0 0.0 0.0,  ,
-1034.7 -1635.93 -17.875,    200 209 212 216,               stand,  0.0 0.0 0.0,  ,
-769.475 -1667.25 -20.596,   211 213 214 215,               stand,  0.0 0.0 0.0,  ,
-592.186 -1644.78 -17.4319,  204 212 215,                   stand,  0.0 0.0 0.0,  ,
-801.234 -1553.11 -19.0562,  204 212,                       stand,  0.0 0.0 0.0,  ,
-725.262 -1830.31 -18.8277,  148 212 213 216,               stand,  0.0 0.0 0.0,  ,
-1022.94 -1881.44 -17.875,   211 215 221,                   stand,  0.0 0.0 0.0,  ,
-1511.32 -1007.97 -13.7012,  58 206 207,                    stand,  0.0 0.0 0.0,  ,
-1669.92 -989.135 -14.0566,  208 219,                       stand,  0.0 0.0 0.0,  ,
-1709.67 -771.653 -13.2663,  57 59 218,                     stand,  0.0 0.0 0.0,  ,
-1664.02 -2071.53 -17.875,   221 225 258,                   stand,  0.0 0.0 0.0,  ,
-1666.82 -1893.1 -17.875,    216 220 222,                   stand,  0.0 0.0 0.0,  ,
-1693.63 -1802.87 -17.875,   210 221 223,                   stand,  0.0 0.0 0.0,  ,
-2074.2 -1806.02 -19.656,    222 224 225,                   stand,  0.0 0.0 0.0,  ,
-2415.12 -1809.05 -2.38037,  23 223 225 226 227,            stand,  0.0 0.0 0.0,  ,
-2087.24 -1985.18 -9.84472,  220 223 224,                   stand,  0.0 0.0 0.0,  ,
-2401.21 -1716.11 -9.97044,  224 227 230 231 257,           stand,  0.0 0.0 0.0,  ,
-2741.63 -1745.57 148.125,   95 224 226 257,                stand,  0.0 0.0 0.0,  ,
-2707.81 -1245.37 81.5599,   91 229 230 231 232 233,        stand,  0.0 0.0 0.0,  ,
-2449.74 -1280.75 -12.7753,  228 230 231 232 233 238,       stand,  0.0 0.0 0.0,  ,
-2386.2 -1518.22 -11.3656,   226 228 229 231 257,           stand,  0.0 0.0 0.0,  ,
-2628.84 -1473.71 75.9572,   226 228 229 230 257,           stand,  0.0 0.0 0.0,  ,
-2406.79 -1039.99 -21.0257,  2 228 229 233 237,             stand,  0.0 0.0 0.0,  ,
-2647.67 -1000.7 48.6675,    228 229 232 234 235,           stand,  0.0 0.0 0.0,  ,
-2785.66 -985.123 60.0674,   88 90 91 233,                  stand,  0.0 0.0 0.0,  ,
-2610.71 -799.133 15.1886,   87 88 233 236,                 stand,  0.0 0.0 0.0,  ,
-2529.13 -798.181 -15.0073,  70 87 235 237,                 stand,  0.0 0.0 0.0,  ,
-2519.85 -964.873 -4.22033,  232 236,                       stand,  0.0 0.0 0.0,  ,
-2246.44 -1283.94 12.125,    229 243,                       stand,  0.0 0.0 0.0,  ,
-1928.82 -1153.04 12.125,    240 244,                       stand,  0.0 0.0 0.0,  ,
-1913.97 -946.705 -9.875,    239 241,                       stand,  0.0 0.0 0.0,  ,
-2017.22 -939.359 -9.875,    1 60 240,                      stand,  0.0 0.0 0.0,  ,
-1778.59 -1286.0 12.125,     208 243,                       stand,  0.0 0.0 0.0,  ,
-1920.77 -1297.26 12.125,    238 242 244,                   stand,  0.0 0.0 0.0,  ,
-1907.6 -1206.96 12.125,     239 243 245,                   stand,  0.0 0.0 0.0,  ,
-2191.25 -1199.14 150.125,   244 246,                       stand,  0.0 0.0 0.0,  ,
-2185.76 -1369.81 150.125,   245 247,                       stand,  0.0 0.0 0.0,  ,
-2063.13 -1368.42 150.125,   246 248 251,                   stand,  0.0 0.0 0.0,  ,
-1826.83 -1366.02 150.125,   247 249,                       stand,  0.0 0.0 0.0,  ,
-1831.02 -1202.09 150.125,   248 250,                       stand,  0.0 0.0 0.0,  ,
-1935.58 -1202.07 150.125,   249,                           stand,  0.0 0.0 0.0,  ,
-2066.63 -1538.47 152.578,   247 252 253 254 255,           stand,  0.0 0.0 0.0,  ,
-2197.94 -1700.34 150.125,   251,                           stand,  0.0 0.0 0.0,  ,
-2187.88 -1495.38 150.125,   251,                           stand,  0.0 0.0 0.0,  ,
-1965.69 -1686.62 169.125,   251,                           stand,  0.0 0.0 0.0,  ,
-1865.29 -1540.06 150.125,   9 251 256,                     stand,  0.0 0.0 0.0,  ,
-1872.96 -1669.87 150.125,   255,                           stand,  0.0 0.0 0.0,  ,
-2647.5 -1652.94 80.2043,    226 227 230 231,               stand,  0.0 0.0 0.0,  ,
-1680.36 -2420.6 7.68624,    22 220,                        stand,  0.0 0.0 0.0,  ,
