164
940.508 880.767 48.0929,    1 2 3 22 23 30 40,     stand,  15.0073 -29.2261 0.0,  ,
999.766 2037.93 54.1398,    35 37 41 44,           stand,  38.1885 145.945 0.0,   ,
913.925 1842.21 48.125,     30 37 43 44,           stand,  22.7362 93.7274 0.0,   ,
972.677 1370.66 48.125,     0 30 77,               stand,  18.479 89.4702 0.0,    ,
1119.44 1525.13 53.702,     30 38 42,              stand,  21.7255 -87.135 0.0,   ,
1240.17 1511.99 51.2968,    17 41 43,              stand,  18.3691 -76.6101 0.0,  ,
1376.11 1496.38 51.5982,    39 42 44,              stand,  24.8621 56.5442 0.0,   ,
1230.33 1951.65 48.125,     30 38 39 43 48 49 50,  stand,  32.8162 -46.969 0.0,   ,
1116.17 2778.0 48.125,      36 46 48,              stand,  26.8781 12.6099 0.0,   ,
1327.08 2902.11 48.125,     45 47 57,              stand,  25.0873 -75.9674 0.0,  ,
1392.32 2718.22 47.5522,    46,                    stand,  43.3411 -111.354 0.0,  ,
1339.58 2122.5 47.6274,     44 45 49,              stand,  25.8728 80.3296 0.0,   ,
1771.68 2261.72 48.125,     44 48 50 51 52 57,     stand,  20.6104 -168.247 0.0,  ,
1972.07 2281.92 48.125,     44 49 51 52 76,        stand,  26.8781 12.3846 0.0,   ,
1795.85 2121.93 48.125,     49 50,                 stand,  23.9667 -124.873 0.0,  ,
1870.22 2511.31 48.0436,    49 50 53 60,           stand,  30.2386 158.75 0.0,    ,
1978.08 2550.03 48.0105,    52 54 55 56,           stand,  30.5737 -68.0188 0.0,  ,
2083.77 2302.45 48.0437,    53 55 61 74 76,        stand,  16.9122 101.528 0.0,   ,
2016.39 2614.82 48.125,     53 54 56,              stand,  23.6304 100.517 0.0,   ,
2065.56 2560.36 48.125,     53 55,                 stand,  22.1747 9.9237 0.0,    ,
1529.93 2933.45 48.0652,    46 49 58 59 60,        stand,  19.0381 -74.3689 0.0,  ,
1933.98 3247.37 48.125,     57 59,                 stand,  25.4211 -78.0658 0.0,  ,
2068.0 2821.63 48.125,      57 58 60 61,           stand,  14.5612 108.652 0.0,   ,
1833.51 2605.94 48.125,     52 57 59,              stand,  21.1639 -15.0921 0.0,  ,
2337.31 2486.12 48.125,     54 59 62 73,           stand,  17.4725 126.011 0.0,   ,
2612.32 2711.64 48.125,     61 63 66 71,           stand,  22.9547 -151.938 0.0,  ,
2541.78 3040.65 48.125,     62 64 65 66,           stand,  20.4938 32.5775 0.0,   ,
2394.58 3476.95 52.125,     63,                    stand,  17.0221 -132.344 0.0,  ,
2903.07 3170.42 48.125,     63 66,                 stand,  26.6516 -134.585 0.0,  ,
3016.86 2879.65 48.125,     62 63 65 67,           stand,  24.5258 -170.34 0.0,   ,
3321.84 2961.21 49.9897,    66,                    stand,  31.4691 -2.58421 0.0,  ,
2949.16 2259.36 48.125,     69 70 73,              stand,  25.9814 -67.8705 0.0,  ,
2961.99 2110.25 52.5314,    68,                    stand,  36.9568 -159.145 0.0,  ,
2775.12 2601.84 48.125,     68 71 72,              stand,  30.3485 -143.797 0.0,  ,
2747.53 2658.45 46.709,     62 70,                 stand,  42.5543 -144.357 0.0,  ,
2562.95 2506.42 48.125,     70 73,                 stand,  26.8768 20.8166 0.0,   ,
2451.8 2271.77 48.125,      61 68 72 74,           stand,  15.1215 21.0089 0.0,   ,
2502.45 1769.74 43.86,      54 73 75,              stand,  17.8076 104.516 0.0,   ,
2765.6 1896.98 50.4937,     74,                    stand,  14.3359 119.853 0.0,   ,
2020.77 2291.53 66.125,     50 54,                 stand,  26.5417 -164.105 0.0,  ,
740.585 1413.99 48.139,     31 40,                 stand,  27.7722 166.887 0.0,   ,
977.234 -1573.98 146.956,   79 83 87,              stand,  12.5452 -95.0873 0.0,  ,
1038.34 -2610.37 145.855,   78 80,                 stand,  26.9922 -89.4897 0.0,  ,
888.95 -3281.18 114.317,    79 81 89,              stand,  19.9335 -108.639 0.0,  ,
176.717 -2665.07 119.509,   80 82,                 stand,  15.0061 136.576 0.0,   ,
289.269 -1902.36 227.923,   81 83,                 stand,  26.0968 75.2118 0.0,   ,
624.298 -1773.02 162.205,   78 82 84,              stand,  19.4885 85.061 0.0,    ,
-61.2289 -687.117 111.903,  83 85,                 stand,  19.2633 122.689 0.0,   ,
833.707 -301.68 63.7866,    84 86 87,              stand,  32.8149 56.9196 0.0,   ,
851.62 -71.1252 74.4891,    85 88,                 stand,  30.3485 67.3346 0.0,   ,
1068.79 -725.434 107.233,   78 85 88,              stand,  17.9175 82.5671 0.0,   ,
1145.89 -132.767 51.9655,   86 87,                 stand,  13.2153 -129.535 0.0,  ,
750.953 -3734.92 107.006,   80 90 93 100,          stand,  16.4618 5.66833 0.0,   ,
1166.41 -3599.17 104.839,   89 91,                 stand,  26.6571 61.3251 0.0,   ,
1243.58 -3472.18 107.875,   90 92,                 stand,  30.3485 -71.2689 0.0,  ,
1344.6 -3618.11 111.477,    91,                    stand,  20.0488 -36.217 0.0,   ,
1082.36 -3909.62 112.125,   89 94 98,              stand,  20.1587 -27.8949 0.0,  ,
1138.51 -4001.07 112.488,   93 95,                 stand,  26.5417 -49.1699 0.0,  ,
1250.92 -4050.31 178.125,   94 96,                 stand,  29.3433 43.6646 0.0,   ,
1269.7 -3929.59 250.125,    95 97,                 stand,  27.4371 167.184 0.0,   ,
974.18 -3885.42 250.125,    96,                    stand,  40.6537 167.744 0.0,   ,
1364.0 -3898.94 109.18,     93 102 103,            stand,  25.6464 177.187 0.0,   ,
1005.2 -4132.85 112.016,    100,                   stand,  29.0082 -51.488 0.0,   ,
689.375 -4058.43 109.812,   89 99 101,             stand,  32.1448 85.885 0.0,    ,
263.88 -3955.5 109.603,     100,                   stand,  23.7457 176.813 0.0,   ,
1408.3 -3661.13 126.171,    98,                    stand,  27.8876 168.112 0.0,   ,
2596.56 -3982.41 -26.9893,  98 104,                stand,  24.8608 -85.3094 0.0,  ,
2719.98 -4848.06 -20.2375,  103 105,               stand,  21.1694 84.2371 0.0,   ,
3065.48 -5190.69 0.124999,  104 106,               stand,  25.6464 -61.4581 0.0,  ,
3234.53 -5493.17 -3.75597,  105 107 108,           stand,  28.6731 -77.8058 0.0,  ,
3314.72 -4659.27 84.557,    106 127,               stand,  18.9282 86.5881 0.0,   ,
3235.96 -6450.32 -17.5926,  106 109,               stand,  16.0168 -93.1152 0.0,  ,
3105.59 -7271.8 -11.07,     108 117,               stand,  11.5344 -96.4716 0.0,  ,
3172.03 -8810.49 255.232,   111 112 115 116,       stand,  16.5771 -102.075 0.0,  ,
3118.82 -9073.14 294.157,   110,                   stand,  16.9122 -94.126 0.0,   ,
2481.92 -8820.22 313.311,   110 113 121,           stand,  18.2581 -1.58813 0.0,  ,
2802.9 -9189.43 333.357,    112 114,               stand,  34.8309 -17.6007 0.0,  ,
2900.34 -9401.95 333.448,   113 115 122,           stand,  21.5045 -73.5925 0.0,  ,
2916.87 -9100.39 309.406,   110 114,               stand,  16.1267 -129.886 0.0,  ,
3145.0 -8147.54 216.803,    110 117 118 126,       stand,  23.1854 119.954 0.0,   ,
3121.05 -7801.51 155.743,   109 116,               stand,  19.2633 -98.949 0.0,   ,
2577.15 -8109.02 244.037,   116 119 121,           stand,  32.4799 15.9515 0.0,   ,
1792.32 -8041.86 296.313,   118 120 126,           stand,  8.06274 -101.262 0.0,  ,
1671.39 -8643.38 376.851,   119 121,               stand,  15.1215 -93.1976 0.0,  ,
1958.06 -8666.33 356.843,   112 118 120,           stand,  26.9922 132.901 0.0,   ,
2946.46 -9470.48 347.779,   114 123,               stand,  34.6057 134.659 0.0,   ,
2526.73 -9786.1 575.515,    122 124,               stand,  42.4445 35.5127 0.0,   ,
2015.32 -9849.23 683.964,   123 125,               stand,  23.2953 89.1535 0.0,   ,
2131.38 -9017.32 653.847,   124,                   stand,  31.5845 -69.5331 0.0,  ,
2837.29 -7744.17 241.606,   116 119,               stand,  48.4924 -50.6091 0.0,  ,
3314.07 -4607.83 87.5929,   107 128,               stand,  27.4371 -89.9512 0.0,  ,
3129.94 -4206.61 116.705,   127 129 130 148,       stand,  34.2706 93.3722 0.0,   ,
3049.9 -3978.79 107.435,    128 149,               stand,  19.0381 40.7367 0.0,   ,
2133.34 -4385.73 117.51,    128 131 140 147,       stand,  24.5258 -100.256 0.0,  ,
1275.61 -4528.81 116.033,   130 132 140 141 143,   stand,  26.9922 -162.741 0.0,  ,
1239.02 -4974.23 108.978,   131 134,               stand,  28.8928 -88.6053 0.0,  ,
1268.92 -5824.76 8.125,     134,                   stand,  36.8469 -102.827 0.0,  ,
1296.54 -5249.3 108.862,    132 133 135,           stand,  57.2266 -73.8232 0.0,  ,
1667.19 -5209.34 110.125,   134 136 139,           stand,  37.0721 -154.304 0.0,  ,
1742.77 -5231.82 110.125,   135 137,               stand,  35.0562 -88.1219 0.0,  ,
1883.4 -5212.56 110.125,    136 138,               stand,  28.6731 -75.5756 0.0,  ,
1934.36 -5099.45 110.125,   137 139,               stand,  18.9282 19.9451 0.0,   ,
1867.49 -5010.51 110.125,   135 138 140,           stand,  35.3912 122.299 0.0,   ,
1846.92 -4935.88 108.915,   130 131 139 147,       stand,  34.7156 -84.09 0.0,    ,
931.041 -4255.3 114.063,    131 142,               stand,  19.0381 166.942 0.0,   ,
43.14 -4064.32 116.884,     141 145 146,           stand,  31.5845 153.506 0.0,   ,
482.77 -4759.94 117.741,    131 144,               stand,  16.0168 -160.17 0.0,   ,
-1202.12 -5614.03 122.692,  143,                   stand,  26.5417 -163.862 0.0,  ,
-26.5453 -3126.65 120.438,  142 150 153 154,       stand,  11.5344 95.8331 0.0,   ,
-1230.39 -4605.74 151.463,  142,                   stand,  16.0168 -177.825 0.0,  ,
2273.88 -4998.25 90.3222,   130 140 148,           stand,  39.4232 2.54822 0.0,   ,
2889.12 -3982.61 104.068,   128 147,               stand,  35.0562 -97.6086 0.0,  ,
5222.38 -2869.44 161.692,   129,                   stand,  19.4885 -73.8068 0.0,  ,
-391.181 -3273.22 105.877,  145 151 152,           stand,  21.5045 -72.2357 0.0,  ,
-443.603 -3711.94 110.141,  150,                   stand,  26.6571 111.719 0.0,   ,
-534.769 -2844.35 118.567,  150 153,               stand,  26.4319 -67.1985 0.0,  ,
-994.951 -1953.14 109.712,  145 152,               stand,  23.5205 120.904 0.0,   ,
-295.148 -1575.0 161.991,   145 155,               stand,  20.9442 -165.817 0.0,  ,
-534.742 -388.667 116.879,  154 156 160,           stand,  20.3839 -168.174 0.0,  ,
-620.704 355.08 87.4084,    155 157,               stand,  17.5824 121.052 0.0,   ,
-1165.38 37.001 90.6907,    156,                   stand,  33.4851 -89.9292 0.0,  ,
-796.149 -892.684 126.725,  159 160,               stand,  21.9495 -0.12146 0.0,  ,
-659.059 -877.949 126.725,  158,                   stand,  29.6783 3.57544 0.0,   ,
-716.44 -663.977 120.556,   155 158 161,           stand,  39.0881 -104.678 0.0,  ,
-1208.43 -463.325 120.614,  160 162,               stand,  12.0947 -26.9611 0.0,  ,
-1424.93 -1421.59 93.9544,  161 163,               stand,  21.0541 -104.233 0.0,  ,
-667.381 -1312.91 125.577,  162,                   stand,  15.7916 96.7834 0.0,   ,
