161
-3572.96 1234.16 -192.875,   25 27 27 28 123 124 126 147,      stand,  0.0 0.0 0.0,           ,
-3239.26 1084.36 -47.875,    142 144,                          stand,  0.0 0.0 0.0,           ,
-3242.09 1120.44 -15.875,    143 145,                          stand,  0.0 0.0 0.0,           ,
-3246.42 1160.69 -85.875,    144 146,                          stand,  0.0 0.0 0.0,           ,
-3260.1 1203.05 -126.375,    145 147,                          stand,  0.0 0.0 0.0,           ,
-3260.17 1263.66 -192.875,   0 24 25 26 27 28 146,             stand,  0.0 0.0 0.0,           ,
-1004.07 3525.51 -192.875,   6 9 10 46 149,                    stand,  0.0 0.0 0.0,           ,
-932.219 3520.01 -126.375,   148 150,                          stand,  0.0 0.0 0.0,           ,
-906.278 3490.28 -85.875,    149 151,                          stand,  0.0 0.0 0.0,           ,
-867.478 3473.37 -16.075,    150 152,                          stand,  0.0 0.0 0.0,           ,
-767.132 3482.46 -48.075,    151 153,                          stand,  0.0 0.0 0.0,           ,
-717.58 3338.34 -64.075,     152 154 156 157,                  stand,  0.0 0.0 0.0,           ,
-757.08 3031.39 -64.075,     153 155,                          stand,  0.0 0.0 0.0,           ,
-601.04 2734.96 -64.075,     154 156 157,                      stand,  0.0 0.0 0.0,           ,
-510.908 3138.49 -64.075,    153 155 157,                      stand,  0.0 0.0 0.0,           ,
-520.291 3341.49 -64.075,    153 155 156 159,                  stand,  0.0 0.0 0.0,           ,
-380.375 3358.97 -192.875,   80 159 160,                       climb,  17.0496 -179.757 0.0,  ,
-408.614 3351.37 -49.875,    157 158,                          climb,  2.85522 -174.395 0.0,  ,
-338.733 3508.69 -192.875,   80 88 158,                        stand,  0.0 0.0 0.0,           ,
