287
-2240.22 2708.06 -66.4859,  1 5,                                 stand,  0.0 0.0 0.0,          ,
-1789.55 1135.27 -36.4876,  69 83 85 259,                        stand,  0.0 0.0 0.0,          ,
-1729.93 1558.04 -32.875,   69 72 83,                            stand,  0.0 0.0 0.0,          ,
-1560.51 1658.31 -32.875,   71 73 77 84,                         stand,  0.0 0.0 0.0,          ,
-1553.83 1991.79 -32.875,   49 50 51 52 72 74 77,                stand,  0.0 0.0 0.0,          ,
-1192.67 2059.63 -39.875,   48 49 73 75,                         stand,  0.0 0.0 0.0,          ,
-977.099 2118.18 -39.875,   47 74 76,                            stand,  0.0 0.0 0.0,          ,
-1059.15 1632.91 -39.875,   75 77 78 79 81 84,                   stand,  0.0 0.0 0.0,          ,
-1300.13 1716.11 -40.2093,  72 73 76 78 81,                      stand,  0.0 0.0 0.0,          ,
-778.466 1949.17 -32.875,   76 77 91 92 103,                     stand,  0.0 0.0 0.0,          ,
-886.96 1364.3 -39.875,     76 80,                               stand,  0.0 0.0 0.0,          ,
-1180.8 1170.95 -31.875,    79 81 82,                            stand,  0.0 0.0 0.0,          ,
-1325.21 1374.96 -39.875,   76 77 80 84,                         stand,  0.0 0.0 0.0,          ,
-1503.9 1033.29 -31.875,    80 83 85 142,                        stand,  0.0 0.0 0.0,          ,
-1563.19 1290.45 -39.875,   70 71 82 84 85,                      stand,  0.0 0.0 0.0,          ,
-1425.41 1418.2 -39.875,    72 76 81 83,                         stand,  0.0 0.0 0.0,          ,
-1663.52 1053.04 -39.2251,  70 82 83 86 142,                     stand,  0.0 0.0 0.0,          ,
-1698.38 866.134 -41.7029,  85 87,                               stand,  0.0 0.0 0.0,          ,
-1582.17 605.426 -13.2054,  86 88 89,                            stand,  0.0 0.0 0.0,          ,
-1375.09 247.627 81.0253,   87,                                  stand,  0.0 0.0 0.0,          ,
-1482.07 619.946 -2.04297,  87 90,                               stand,  0.0 0.0 0.0,          ,
-1348.02 408.933 144.125,   89 236,                              stand,  0.0 0.0 0.0,          ,
-500.507 2213.33 -39.875,   47 78 92 94,                         stand,  0.0 0.0 0.0,          ,
-478.989 1912.65 -38.6049,  78 91 93 103,                        stand,  0.0 0.0 0.0,          ,
-11.157 2038.9 -33.5339,    92 94 95 96 97 98 104 117,           stand,  0.0 0.0 0.0,          ,
-334.086 2358.26 -39.875,   42 91 93 96,                         stand,  0.0 0.0 0.0,          ,
246.643 2323.25 -30.884,    93 96 97 98,                         stand,  0.0 0.0 0.0,          ,
30.5506 2619.87 -35.4907,   93 94 95,                            stand,  0.0 0.0 0.0,          ,
377.382 1983.49 -30.9015,   93 95 98 99 105,                     stand,  0.0 0.0 0.0,          ,
431.949 2167.62 -27.9914,   93 95 97 99,                         stand,  0.0 0.0 0.0,          ,
710.592 1821.12 -41.5232,   97 98 100,                           stand,  0.0 0.0 0.0,          ,
868.539 1628.48 -48.5933,   99 101,                              stand,  0.0 0.0 0.0,          ,
981.37 1429.91 -52.8354,    100 102,                             stand,  0.0 0.0 0.0,          ,
1005.41 1203.93 -56.8899,   101,                                 stand,  0.0 0.0 0.0,          ,
-698.127 1747.4 -36.7202,   78 92,                               stand,  0.0 0.0 0.0,          ,
51.6535 1847.98 -31.875,    93 105 114 116 117,                  stand,  0.0 0.0 0.0,          ,
354.391 1814.2 -31.875,     97 104 106 108 117 118,              stand,  0.0 0.0 0.0,          ,
578.141 1688.19 -31.875,    105 107 118,                         stand,  0.0 0.0 0.0,          ,
779.551 1443.56 -31.875,    106 108 118,                         stand,  0.0 0.0 0.0,          ,
546.477 1291.47 -31.875,    105 107 109 119,                     stand,  0.0 0.0 0.0,          ,
421.505 1218.18 -31.875,    108 110 111 119 120,                 stand,  0.0 0.0 0.0,          ,
245.646 1115.57 -31.875,    109 111 118,                         stand,  0.0 0.0 0.0,          ,
94.7053 1245.2 -31.875,     109 110 112 113 117 118,             stand,  0.0 0.0 0.0,          ,
-23.97 1177.01 -31.875,     111 113 117 198 251,                 stand,  0.0 0.0 0.0,          ,
-167.119 1320.93 -31.875,   111 112 117 278,                     stand,  0.0 0.0 0.0,          ,
-314.813 1530.17 -31.875,   104 115 117 276 277 279,             stand,  0.0 0.0 0.0,          ,
-426.312 1704.23 -31.875,   114 116,                             stand,  0.0 0.0 0.0,          ,
-257.493 1824.55 -31.875,   104 115 117,                         stand,  0.0 0.0 0.0,          ,
-7.32605 1617.65 -31.875,   93 104 105 111 112 113 114 116 118,  stand,  0.0 0.0 0.0,          ,
333.528 1511.43 -31.875,    105 106 107 110 111 117,             stand,  0.0 0.0 0.0,          ,
695.324 1009.19 -31.875,    108 109 199,                         stand,  0.0 0.0 0.0,          ,
430.903 1146.27 -31.875,    109 121,                             stand,  0.0 0.0 0.0,          ,
542.758 944.0 136.125,      120 122 124 125,                     stand,  0.0 0.0 0.0,          ,
610.414 759.725 136.125,    121 123 124,                         stand,  0.0 0.0 0.0,          ,
791.934 860.432 136.125,    122 211,                             stand,  0.0 0.0 0.0,          ,
399.186 952.416 136.125,    121 122 245,                         stand,  0.0 0.0 0.0,          ,
718.277 1040.18 136.125,    121 126,                             stand,  0.0 0.0 0.0,          ,
624.433 1260.19 136.125,    125 127,                             stand,  0.0 0.0 0.0,          ,
648.451 1510.05 136.125,    126 128,                             stand,  0.0 0.0 0.0,          ,
419.072 1745.41 136.125,    127 129,                             stand,  0.0 0.0 0.0,          ,
117.794 1829.01 136.125,    128 130,                             stand,  0.0 0.0 0.0,          ,
-178.63 1791.47 136.125,    129 131,                             stand,  0.0 0.0 0.0,          ,
-328.763 1692.84 136.125,   130 132,                             stand,  0.0 0.0 0.0,          ,
-382.466 1505.53 136.125,   131 133,                             stand,  0.0 0.0 0.0,          ,
-562.059 1353.61 136.125,   132 134,                             stand,  0.0 0.0 0.0,          ,
-478.313 1168.5 136.125,    133 135 242 243,                     stand,  0.0 0.0 0.0,          ,
-398.32 1234.44 136.125,    134 278,                             stand,  0.0 0.0 0.0,          ,
-553.185 1393.28 -31.875,   137 279,                             stand,  0.0 0.0 0.0,          ,
-622.252 1159.76 -31.875,   136 138,                             stand,  0.0 0.0 0.0,          ,
-781.518 1072.09 -31.875,   137 139 274,                         stand,  0.0 0.0 0.0,          ,
-987.503 1128.15 -31.875,   138 140 274,                         stand,  0.0 0.0 0.0,          ,
-1123.08 1083.32 -31.875,   139 141 145,                         stand,  0.0 0.0 0.0,          ,
-1329.42 953.237 -31.875,   140 142 143,                         stand,  0.0 0.0 0.0,          ,
-1467.91 894.023 -31.875,   82 85 141 143,                       stand,  0.0 0.0 0.0,          ,
-1286.12 811.252 -31.875,   141 142 144,                         stand,  0.0 0.0 0.0,          ,
-1184.62 692.356 -31.875,   143 145 146,                         stand,  0.0 0.0 0.0,          ,
-963.259 816.023 -31.875,   140 144,                             stand,  0.0 0.0 0.0,          ,
-1020.98 427.159 -31.875,   144 147 148,                         stand,  0.0 0.0 0.0,          ,
-762.652 8.54422 -31.875,   146 166 252,                         stand,  0.0 0.0 0.0,          ,
-1160.11 357.276 -31.875,   146 149,                             stand,  0.0 0.0 0.0,          ,
-1125.75 207.23 -31.875,    148 150 275,                         stand,  0.0 0.0 0.0,          ,
-1240.08 -58.6438 -31.875,  149 151 275,                         stand,  0.0 0.0 0.0,          ,
-1168.87 -167.778 -31.875,  150 152 156,                         stand,  0.0 0.0 0.0,          ,
-1022.59 -363.847 -31.875,  151 153 155,                         stand,  0.0 0.0 0.0,          ,
-887.979 -678.747 -31.875,  152 154 157,                         stand,  0.0 0.0 0.0,          ,
-677.652 -571.768 -31.875,  153 155,                             stand,  0.0 0.0 0.0,          ,
-867.412 -325.036 -31.875,  152 154 156,                         stand,  0.0 0.0 0.0,          ,
-983.514 -75.549 -31.875,   151 155,                             stand,  0.0 0.0 0.0,          ,
-826.768 -790.414 -31.875,  153 158 164,                         stand,  0.0 0.0 0.0,          ,
-732.798 -962.964 -31.875,  157 159 163,                         stand,  0.0 0.0 0.0,          ,
-602.797 -1190.22 -31.875,  158 160,                             stand,  0.0 0.0 0.0,          ,
-344.879 -1045.54 -31.875,  159 161 163,                         stand,  0.0 0.0 0.0,          ,
-156.098 -888.868 -31.875,  160 162,                             stand,  0.0 0.0 0.0,          ,
-281.382 -611.919 -31.875,  161 165 167,                         stand,  0.0 0.0 0.0,          ,
-457.996 -854.741 -31.875,  158 160 164,                         stand,  0.0 0.0 0.0,          ,
-589.806 -640.346 -31.875,  157 163,                             stand,  0.0 0.0 0.0,          ,
-489.741 -338.002 -31.875,  162 166 169,                         stand,  0.0 0.0 0.0,          ,
-605.168 -171.992 -31.875,  147 165 171,                         stand,  0.0 0.0 0.0,          ,
-50.503 -449.643 -31.875,   162 168 175 177,                     stand,  0.0 0.0 0.0,          ,
-150.491 -320.202 -31.875,  167 169 175,                         stand,  0.0 0.0 0.0,          ,
-340.628 -228.892 -31.875,  165 168 170 171,                     stand,  0.0 0.0 0.0,          ,
-147.771 -14.2499 -31.875,  169 171 174 175 179,                 stand,  0.0 0.0 0.0,          ,
-395.571 101.317 -31.875,   166 169 170 252,                     stand,  0.0 0.0 0.0,          ,
-102.113 396.953 -31.875,   173 174 194 196 252,                 stand,  0.0 0.0 0.0,          ,
-251.622 692.004 -31.875,   172 196 251,                         stand,  0.0 0.0 0.0,          ,
-48.0465 68.4093 -31.875,   170 172 179 190,                     stand,  0.0 0.0 0.0,          ,
-58.5935 -248.269 -31.875,  167 168 170 176,                     stand,  0.0 0.0 0.0,          ,
148.013 -194.832 -31.875,   175 177 179,                         stand,  0.0 0.0 0.0,          ,
187.337 -384.67 -31.875,    167 176 178 220,                     stand,  0.0 0.0 0.0,          ,
540.211 -228.906 -31.875,   177 181 182,                         stand,  0.0 0.0 0.0,          ,
109.07 -83.6064 -31.875,    170 174 176 180 180,                 stand,  0.0 0.0 0.0,          ,
267.8 -87.6008 -31.875,     179 179 181 190 191,                 stand,  0.0 0.0 0.0,          ,
447.752 -59.1907 -31.875,   178 180 186 187,                     stand,  0.0 0.0 0.0,          ,
741.867 -106.408 -31.875,   178 183 187,                         stand,  0.0 0.0 0.0,          ,
888.0 31.7502 -31.875,      182 184 201,                         stand,  0.0 0.0 0.0,          ,
777.225 208.843 -31.875,    183 188 200,                         stand,  0.0 0.0 0.0,          ,
523.66 236.36 -31.875,      186 188 189 193,                     stand,  0.0 0.0 0.0,          ,
463.984 115.464 -31.875,    181 185,                             stand,  0.0 0.0 0.0,          ,
654.213 55.5459 -31.875,    181 182 188,                         stand,  0.0 0.0 0.0,          ,
690.349 271.302 -31.875,    184 185 187 193 200,                 stand,  0.0 0.0 0.0,          ,
360.998 157.887 -31.875,    185 191 192,                         stand,  0.0 0.0 0.0,          ,
102.912 178.659 -31.875,    174 180 192,                         stand,  0.0 0.0 0.0,          ,
280.546 69.6268 -31.875,    180 189,                             stand,  0.0 0.0 0.0,          ,
250.056 336.025 -31.875,    189 190 193 194,                     stand,  0.0 0.0 0.0,          ,
418.999 424.967 -31.875,    185 188 192,                         stand,  0.0 0.0 0.0,          ,
195.617 481.755 -31.875,    172 192 195 197 197 198 199,         stand,  0.0 0.0 0.0,          ,
78.9388 664.787 -31.875,    194 196,                             stand,  0.0 0.0 0.0,          ,
-58.977 625.602 -31.875,    172 173 195,                         stand,  0.0 0.0 0.0,          ,
404.004 658.262 -31.875,    194 194 198 199 200,                 stand,  0.0 0.0 0.0,          ,
280.6 712.084 -31.875,      112 194 197 199 251,                 stand,  0.0 0.0 0.0,          ,
399.525 825.286 -31.875,    119 194 197 198 200,                 stand,  0.0 0.0 0.0,          ,
605.577 490.377 -31.875,    184 188 197 199,                     stand,  0.0 0.0 0.0,          ,
996.911 60.8123 -31.875,    183 202,                             stand,  0.0 0.0 0.0,          ,
1134.7 -180.416 -31.875,    201 203 204 206,                     stand,  0.0 0.0 0.0,          ,
1206.91 -341.456 -31.875,   202 204 206 207,                     stand,  0.0 0.0 0.0,          ,
1345.38 -327.438 -31.875,   202 203 205 206 208,                 stand,  0.0 0.0 0.0,          ,
1410.07 -476.207 -31.875,   204 207 208,                         stand,  0.0 0.0 0.0,          ,
1257.42 -61.0214 -31.875,   202 203 204,                         stand,  0.0 0.0 0.0,          ,
1318.91 -557.084 -31.875,   203 205 213,                         stand,  0.0 0.0 0.0,          ,
1414.47 -296.001 -31.875,   204 205 209,                         stand,  0.0 0.0 0.0,          ,
1303.16 -92.9152 128.125,   208 210,                             stand,  0.0 0.0 0.0,          ,
1135.58 179.841 136.125,    209 212 272,                         stand,  0.0 0.0 0.0,          ,
961.462 613.933 136.125,    123 212 273,                         stand,  0.0 0.0 0.0,          ,
964.237 408.805 136.125,    210 211 273,                         stand,  0.0 0.0 0.0,          ,
1212.21 -721.054 -31.875,   207 214 270,                         stand,  0.0 0.0 0.0,          ,
921.44 -479.994 -31.4789,   213 271,                             stand,  0.0 0.0 0.0,          ,
463.778 -705.834 -31.875,   216 219 265 266,                     stand,  0.0 0.0 0.0,          ,
442.094 -931.677 -31.875,   215 217 265,                         stand,  0.0 0.0 0.0,          ,
524.922 -1027.36 -31.875,   216 218,                             stand,  0.0 0.0 0.0,          ,
655.246 -1045.06 -31.875,   217,                                 stand,  0.0 0.0 0.0,          ,
351.347 -507.861 -31.875,   215 220,                             stand,  0.0 0.0 0.0,          ,
256.527 -551.634 -31.875,   177 219 221,                         stand,  0.0 0.0 0.0,          ,
134.12 -597.539 -31.875,    220 222 264,                         stand,  0.0 0.0 0.0,          ,
-18.9703 -658.024 48.125,   221 263,                             stand,  0.0 0.0 0.0,          ,
219.413 -735.839 136.125,   224 263,                             stand,  0.0 0.0 0.0,          ,
130.354 -592.428 136.125,   223 225,                             stand,  0.0 0.0 0.0,          ,
-3.16197 -658.653 184.125,  224 226,                             stand,  0.0 0.0 0.0,          ,
-287.8 -854.298 184.125,    225 227,                             stand,  0.0 0.0 0.0,          ,
-594.525 -833.844 184.125,  226 228 262,                         stand,  0.0 0.0 0.0,          ,
-680.605 -482.779 184.125,  227 229 233,                         stand,  0.0 0.0 0.0,          ,
-874.553 -122.575 184.125,  228 230 231,                         stand,  0.0 0.0 0.0,          ,
-981.319 330.84 184.125,    229 231 235,                         stand,  0.0 0.0 0.0,          ,
-1064.86 3.70886 184.125,   229 230 232 260 261,                 stand,  0.0 0.0 0.0,          ,
-1135.42 -276.829 184.125,  231 233,                             stand,  0.0 0.0 0.0,          ,
-934.416 -625.971 184.125,  228 232 262,                         stand,  0.0 0.0 0.0,          ,
-1352.33 147.658 184.125,   260 261,                             stand,  0.0 0.0 0.0,          ,
-1109.95 568.613 144.125,   230 236 239,                         stand,  0.0 0.0 0.0,          ,
-1265.83 464.042 144.125,   90 235 237,                          stand,  0.0 0.0 0.0,          ,
-1499.04 825.098 144.125,   236 238 239,                         stand,  0.0 0.0 0.0,          ,
-1140.74 1009.04 136.125,   237 239 240 284,                     stand,  0.0 0.0 0.0,          ,
-1215.46 777.217 144.125,   235 237 238 284,                     stand,  0.0 0.0 0.0,          ,
-961.014 1157.05 136.125,   238 241,                             stand,  0.0 0.0 0.0,          ,
-712.73 1065.36 136.125,    240 242,                             stand,  0.0 0.0 0.0,          ,
-660.116 994.868 136.125,   134 241 243 246,                     stand,  0.0 0.0 0.0,          ,
-280.722 1144.29 136.125,   134 242 244,                         stand,  0.0 0.0 0.0,          ,
-16.0033 1226.22 136.125,   243 245,                             stand,  0.0 0.0 0.0,          ,
230.56 1145.07 136.125,     124 244,                             stand,  0.0 0.0 0.0,          ,
-594.859 895.918 136.125,   242 247 250,                         stand,  0.0 0.0 0.0,          ,
-473.384 870.716 136.125,   246 248,                             stand,  0.0 0.0 0.0,          ,
-357.811 637.466 136.125,   247 249 280,                         stand,  0.0 0.0 0.0,          ,
-505.482 569.571 136.125,   248 250,                             stand,  0.0 0.0 0.0,          ,
-634.798 802.673 136.125,   246 249,                             stand,  0.0 0.0 0.0,          ,
-9.60226 923.164 -31.875,   112 173 198,                         stand,  0.0 0.0 0.0,          ,
-483.388 182.371 -31.875,   147 171 172,                         stand,  0.0 0.0 0.0,          ,
-2103.93 2300.88 -61.9828,  254 255 256,                         stand,  0.0 0.0 0.0,          ,
-2106.18 2463.72 -61.5952,  253 255 256,                         stand,  0.0 0.0 0.0,          ,
-1936.48 2455.65 -67.0835,  2 50 51 253 254 256,                 stand,  0.0 0.0 0.0,          ,
-1955.88 2295.56 -69.8544,  50 51 53 253 254 255,                stand,  0.0 0.0 0.0,          ,
35.4539 3056.4 -33.2081,    39 40,                               stand,  0.0 0.0 0.0,          ,
-1782.39 3712.51 -52.0804,  8 13 14,                             stand,  0.0 0.0 0.0,          ,
-1959.86 1209.25 -41.4216,  69 70,                               stand,  0.0 0.0 0.0,          ,
-1159.0 218.532 184.125,    231 234,                             stand,  0.0 0.0 0.0,          ,
-1259.02 -78.3209 184.125,  231 234,                             stand,  0.0 0.0 0.0,          ,
-793.322 -785.297 184.125,  227 233,                             stand,  0.0 0.0 0.0,          ,
67.739 -812.621 48.125,     222 223,                             stand,  0.0 0.0 0.0,          ,
138.06 -708.123 -31.875,    221,                                 stand,  0.0 0.0 0.0,          ,
555.085 -810.335 -31.875,   215 216 266 267,                     stand,  0.0 0.0 0.0,          ,
589.513 -686.105 -31.875,   215 265 267 271,                     stand,  0.0 0.0 0.0,          ,
844.249 -984.041 -31.875,   265 266 268 270,                     stand,  0.0 0.0 0.0,          ,
777.384 -1154.33 -31.875,   267 269,                             stand,  0.0 0.0 0.0,          ,
642.865 -1236.35 -31.875,   268,                                 stand,  0.0 0.0 0.0,          ,
1001.34 -877.882 -31.875,   213 267,                             stand,  0.0 0.0 0.0,          ,
692.966 -595.821 -31.875,   214 266,                             stand,  0.0 0.0 0.0,          ,
1177.07 302.353 136.125,    210 273,                             stand,  0.0 0.0 0.0,          ,
1065.9 515.986 136.125,     211 212 272,                         stand,  0.0 0.0 0.0,          ,
-931.442 1199.36 -31.875,   138 139,                             stand,  0.0 0.0 0.0,          ,
-1307.74 127.392 -31.875,   149 150,                             stand,  0.0 0.0 0.0,          ,
-418.169 1321.85 -31.875,   114 277 279,                         stand,  0.0 0.0 0.0,          ,
-276.883 1453.4 -31.875,    114 276 278 279,                     stand,  0.0 0.0 0.0,          ,
-215.475 1363.32 -31.875,   113 135 277,                         stand,  0.0 0.0 0.0,          ,
-492.304 1455.55 -31.875,   114 136 276 277,                     stand,  0.0 0.0 0.0,          ,
-330.795 564.405 136.125,   248 281 283,                         stand,  0.0 0.0 0.0,          ,
-247.25 435.218 136.125,    280 282,                             stand,  0.0 0.0 0.0,          ,
-371.128 354.205 136.125,   281 283,                             stand,  0.0 0.0 0.0,          ,
-444.952 475.432 136.125,   280 282,                             stand,  0.0 0.0 0.0,          ,
-1081.54 880.383 136.125,   238 239,                             stand,  0.0 0.0 0.0,          ,
-1140.5 3010.35 -30.6326,   33 34 286,                           climb,  8.68469 119.004 0.0,  ,
-1160.38 3044.0 146.025,    30 285,                              climb,  47.9816 121.349 0.0,  ,
