137
926.252 1164.99 395.125,   1 131,                          stand,  ,                     ,
-500.58 621.164 136.125,   28,                             stand,  ,                     ,
-488.748 408.252 136.125,  31,                             stand,  ,                     ,
-318.847 992.58 227.125,   39 40 103 130,                  stand,  ,                     ,
-361.536 845.069 136.125,  38 40 41,                       stand,  ,                     ,
-194.563 835.456 136.125,  38 39 42 43 44,                 stand,  ,                     ,
-367.719 720.81 150.117,   28 39 42,                       stand,  ,                     ,
-194.375 720.8 137.615,    40 41 43,                       stand,  ,                     ,
-27.3952 665.578 140.125,  40 42 57 58,                    stand,  ,                     ,
-71.097 828.867 138.125,   40,                             stand,  ,                     ,
162.42 327.88 138.125,     55 123,                         stand,  ,                     ,
641.875 521.246 136.125,   47 48 49 53 123 126,            stand,  ,                     ,
634.757 714.195 136.125,   46 50 51 52,                    stand,  ,                     ,
586.786 416.412 136.125,   46,                             stand,  ,                     ,
587.323 604.521 136.125,   46,                             stand,  ,                     ,
729.617 760.198 136.125,   47,                             stand,  ,                     ,
722.25 677.486 136.125,    47,                             stand,  ,                     ,
464.287 722.069 136.125,   47 60 128,                      stand,  ,                     ,
818.389 504.89 167.415,    46 54 126,                      stand,  ,                     ,
847.452 820.008 227.125,   53 68 73,                       stand,  ,                     ,
164.474 441.519 139.399,   45 56 57 58,                    stand,  ,                     ,
-72.6756 439.132 136.125,  27 55 58,                       stand,  ,                     ,
163.323 663.776 136.125,   43 55 58 59,                    stand,  ,                     ,
36.7914 548.852 138.125,   43 55 56 57,                    stand,  ,                     ,
160.077 735.098 136.125,   57 60 61,                       stand,  ,                     ,
276.056 734.701 136.125,   52 59 62,                       stand,  ,                     ,
172.27 831.865 136.125,    59 62,                          stand,  ,                     ,
278.247 841.543 136.125,   60 61 63 128,                   stand,  ,                     ,
275.955 993.841 227.125,   62 98 127,                      stand,  ,                     ,
1062.25 1177.7 226.125,    65,                             stand,  ,                     ,
988.47 1177.82 228.579,    64 66,                          stand,  ,                     ,
973.754 999.098 228.26,    65 67 68 135,                   stand,  ,                     ,
1057.06 852.343 226.125,   66 135,                         stand,  ,                     ,
809.512 1001.47 236.036,   54 66 69 73,                    stand,  ,                     ,
722.995 1170.14 231.171,   68 70 73,                       stand,  ,                     ,
728.188 1388.16 233.741,   7 69 71,                        stand,  ,                     ,
321.249 1395.49 226.125,   13 70 74 75 97,                 stand,  ,                     ,
835.659 1700.16 226.125,   7 113,                          stand,  ,                     ,
537.282 1112.99 226.125,   54 68 69 97 127,                stand,  ,                     ,
328.607 1526.82 226.125,   13 71 114,                      stand,  ,                     ,
38.4245 1499.15 243.764,   13 71 76,                       stand,  ,                     ,
-56.4706 1340.49 226.125,  75 96 97 99 103,                stand,  ,                     ,
-240.738 2043.12 223.3,    78 79 83 86,                    stand,  ,                     ,
-171.437 2045.12 219.092,  77,                             stand,  ,                     ,
-191.018 1894.05 226.125,  77,                             stand,  ,                     ,
335.35 2077.94 226.125,    81 116 118 120,                 stand,  ,                     ,
128.716 2244.1 226.125,    80 82 83,                       stand,  ,                     ,
87.4023 2151.49 220.314,   81,                             stand,  ,                     ,
-190.265 2232.4 224.735,   77 81 84 86,                    stand,  ,                     ,
-384.008 2222.1 226.125,   83 85 86 88,                    stand,  ,                     ,
-359.151 2337.77 226.125,  84,                             stand,  ,                     ,
-324.606 2124.78 226.125,  77 83 84 87,                    stand,  ,                     ,
-403.874 2042.29 226.125,  26 86 89 90,                    stand,  ,                     ,
-607.51 2209.89 226.125,   26 84,                          stand,  ,                     ,
-523.411 1853.23 226.125,  26 87 90 91,                    stand,  ,                     ,
-328.966 1862.85 226.125,  18 87 89,                       stand,  ,                     ,
-452.161 1738.97 226.125,  18 89 92 93 94,                 stand,  ,                     ,
-693.517 1695.32 226.125,  19 91,                          stand,  ,                     ,
-441.914 1573.26 229.589,  91 94 95,                       stand,  ,                     ,
-628.072 1416.11 226.125,  19 91 93 108,                   stand,  ,                     ,
-266.483 1528.54 226.125,  17 93 96,                       stand,  ,                     ,
-136.112 1402.17 226.125,  17 76 95 103,                   stand,  ,                     ,
302.539 1261.87 227.465,   71 73 76 98 127,                stand,  ,                     ,
241.401 1178.14 226.125,   63 97 99 127,                   stand,  ,                     ,
0.636559 1195.11 226.125,  76 98 100 103,                  stand,  ,                     ,
32.3835 1037.42 226.125,   99 101 102 103,                 stand,  ,                     ,
111.263 914.092 226.125,   100,                            stand,  ,                     ,
-28.3638 916.088 226.125,  100,                            stand,  ,                     ,
-217.482 1182.5 226.125,   38 76 96 99 100 130,            stand,  ,                     ,
-828.673 1017.41 229.344,  33 105 107 108,                 stand,  ,                     ,
-1115.52 1038.53 226.125,  22 104,                         stand,  ,                     ,
-487.596 855.899 226.125,  130,                            stand,  ,                     ,
-816.377 1290.55 226.125,  104,                            stand,  ,                     ,
-636.013 1085.33 232.753,  33 94 104 130,                  stand,  ,                     ,
461.208 2304.67 226.125,   110 118 119,                    stand,  ,                     ,
814.719 2298.06 226.125,   12 109 119,                     stand,  ,                     ,
819.415 1902.1 226.125,    12 112 119,                     stand,  ,                     ,
687.368 1905.21 226.125,   12 111 113 115 118 119 120,     stand,  ,                     ,
701.716 1696.4 226.125,    7 72 112 114 115 120,           stand,  ,                     ,
519.047 1632.85 226.125,   7 74 113 115,                   stand,  ,                     ,
450.287 1741.0 226.125,    15 112 113 114 116 120,         stand,  ,                     ,
293.309 1894.31 226.125,   15 80 115 117 118 120,          stand,  ,                     ,
219.955 1895.38 226.203,   116,                            stand,  ,                     ,
460.027 2113.73 239.458,   80 109 112 116 119 120,         stand,  ,                     ,
631.298 2121.38 235.91,    12 109 110 111 112 118 120,     stand,  ,                     ,
460.54 1900.45 226.125,    15 80 112 113 115 116 118 119,  stand,  ,                     ,
-619.2 309.58 136.125,     29 30 129,                      stand,  ,                     ,
-424.764 343.623 138.125,  27 129,                         stand,  ,                     ,
631.598 339.74 140.125,    45 46 126,                      stand,  ,                     ,
215.077 1776.0 226.125,    14 15 125,                      stand,  ,                     ,
187.166 1791.77 232.608,   124,                            stand,  ,                     ,
752.257 395.281 138.995,   46 53 123,                      stand,  ,                     ,
416.655 986.482 227.125,   63 73 97 98 128,                stand,  ,                     ,
429.8 836.278 136.125,     52 62 127,                      stand,  ,                     ,
-526.039 353.403 136.125,  30 31 121 122,                  stand,  ,                     ,
-473.628 1104.58 226.125,  38 103 106 108,                 stand,  ,                     ,
1037.14 1164.79 392.125,   0 6 136,                        stand,  ,                     ,
1038.34 1597.86 222.183,   7 9 133,                        stand,  ,                     ,
1185.84 1564.06 226.125,   132 134,                        stand,  ,                     ,
1188.4 1280.18 392.125,    5 6 133,                        stand,  ,                     ,
1039.93 1078.88 226.125,   66 67 136,                      climb,  5.58105 89.1421 0.0,  ,
1039.95 1095.4 400.125,    131 135,                        climb,  2.71912 89.3618 0.0,  ,
