224
4769.0 -1037.0 -358.757,     71 72 75 157 158,            stand,  ,                         ,
-338.243 2154.42 -358.087,   30 32 221,                   stand,  ,                         ,
-64.5282 2254.93 -359.599,   15 31 33 36,                 stand,  ,                         ,
-78.7327 1943.84 -358.746,   15 32 34 221,                stand,  ,                         ,
46.2215 1781.25 -360.876,    33 35 220 221,               stand,  ,                         ,
414.965 1802.21 -359.374,    14 34 37,                    stand,  ,                         ,
226.357 2272.48 -354.155,    14 32,                       stand,  ,                         ,
397.287 1542.98 -359.674,    35 38 117,                   stand,  ,                         ,
567.014 1397.14 -358.658,    13 37 39 62 117,             stand,  ,                         ,
707.595 1040.53 -352.148,    13 38 40 114 116,            stand,  ,                         ,
1150.11 967.163 -354.867,    39 41 116 175,               stand,  ,                         ,
1520.37 970.516 -357.77,     40 42 171,                   stand,  ,                         ,
1759.37 959.826 -355.723,    9 41 43,                     stand,  ,                         ,
1887.85 726.925 -360.533,    42 130 140,                  stand,  ,                         ,
2946.7 750.026 -352.179,     45 91 141,                   stand,  ,                         ,
3149.15 756.351 -352.094,    44 46 47,                    stand,  ,                         ,
3368.01 1105.92 -351.924,    3 45 47 54,                  stand,  ,                         ,
3377.31 796.203 -356.61,     45 46 48,                    stand,  ,                         ,
3691.26 676.52 -351.802,     47 49 93 94,                 stand,  ,                         ,
4139.94 652.518 -358.499,    2 48 50,                     stand,  ,                         ,
4552.43 690.228 -362.123,    2 49 51 68,                  stand,  ,                         ,
4582.05 1097.3 -354.386,     50 52 68,                    stand,  ,                         ,
4327.0 1220.3 -359.944,      51 53,                       stand,  ,                         ,
3850.34 1219.08 -359.78,     3 52 54,                     stand,  ,                         ,
3325.19 1264.81 -356.164,    3 46 53 55,                  stand,  ,                         ,
3115.36 1370.25 -351.588,    54 56,                       stand,  ,                         ,
3089.1 1458.64 -353.8,       55 57 63,                    stand,  ,                         ,
2573.09 1399.79 -359.523,    56 58,                       stand,  ,                         ,
1965.66 1380.2 -346.57,      9 57 59,                     stand,  ,                         ,
1768.38 1536.9 -361.769,     58 60 61,                    stand,  ,                         ,
1778.53 1283.52 -351.909,    9 59,                        stand,  ,                         ,
1360.01 1533.89 -351.825,    59 62,                       stand,  ,                         ,
869.802 1509.81 -356.959,    38 61,                       stand,  ,                         ,
3206.82 1453.33 -355.103,    56 64,                       climb,  -0.357056 -0.543823 0.0,  ,
3225.68 1453.99 -107.875,    63 65 67,                    climb,  6.21155 0.0878906 0.0,    ,
3210.17 1418.85 -111.875,    64 66,                       stand,  ,                         ,
3169.13 1479.34 -111.875,    65 67,                       stand,  ,                         ,
3220.9 1498.87 -111.875,     64 66,                       stand,  ,                         ,
4763.73 577.29 -355.886,     50 51 69 70,                 stand,  ,                         ,
4450.71 468.576 -355.228,    2 68,                        stand,  ,                         ,
4788.52 159.472 -357.287,    1 68,                        stand,  ,                         ,
4760.43 -549.897 -355.245,   0 1 157,                     stand,  ,                         ,
4531.66 -1254.52 -358.562,   0 73 74 75 158,              stand,  ,                         ,
4357.6 -1420.59 -357.63,     72 74 145,                   stand,  ,                         ,
4284.55 -1253.66 -359.417,   72 73 81 145 158,            stand,  ,                         ,
4685.14 -1297.19 -360.702,   0 72 76,                     stand,  ,                         ,
4702.53 -1428.88 -358.473,   75 77,                       climb,  0.256958 -89.0167 0.0,    ,
4702.52 -1448.77 -107.875,   76 78 80,                    climb,  2.0697 -90.4614 0.0,      ,
4653.13 -1427.47 -111.875,   77 79,                       stand,  ,                         ,
4697.07 -1391.13 -111.875,   78 80,                       stand,  ,                         ,
4746.88 -1425.51 -111.875,   77 79,                       stand,  ,                         ,
4086.16 -1162.52 -352.922,   74 82 145,                   stand,  ,                         ,
4003.04 -861.341 -348.787,   81 83 96 156,                stand,  ,                         ,
3953.72 -506.772 -351.026,   82 84 149 152 156,           stand,  ,                         ,
3939.98 -5.01918 -360.695,   83 85 86 159 160,            stand,  ,                         ,
4127.45 261.3 -343.875,      2 84 86 160,                 stand,  ,                         ,
3776.95 225.761 -352.042,    84 85 87 93 94,              stand,  ,                         ,
3569.28 191.039 -358.531,    86 88 92 93 147,             stand,  ,                         ,
3310.34 191.196 -351.502,    4 87 89 91 93,               stand,  ,                         ,
2948.58 249.994 -355.56,     88 90 91 92,                 stand,  ,                         ,
2731.61 181.373 -355.938,    8 89 137 142,                stand,  ,                         ,
2917.32 432.324 -354.884,    44 88 89 92 141,             stand,  ,                         ,
3203.23 404.482 -354.406,    87 89 91 93,                 stand,  ,                         ,
3561.72 421.621 -351.806,    48 86 87 88 92 94,           stand,  ,                         ,
3779.64 453.634 -359.644,    48 86 93,                    stand,  ,                         ,
3292.98 -388.731 -358.499,   4 5,                         stand,  ,                         ,
3802.78 -886.316 -344.644,   82 97 98,                    stand,  ,                         ,
3571.01 -900.477 -351.369,   96 143 148,                  stand,  ,                         ,
3686.61 -1150.85 -347.128,   28 96 143 144 145,           stand,  ,                         ,
3288.73 -1512.44 -351.872,   28 100,                      stand,  ,                         ,
3000.37 -1388.64 -363.215,   99 101 144 146,              stand,  ,                         ,
2721.0 -1519.09 -350.886,    100 102,                     stand,  ,                         ,
2483.82 -1506.0 -352.983,    6 101 103,                   stand,  ,                         ,
2093.28 -1504.64 -354.934,   102 104,                     stand,  ,                         ,
1614.9 -1489.73 -354.424,    103 105,                     stand,  ,                         ,
1129.82 -1400.07 -359.441,   104 106,                     stand,  ,                         ,
1117.83 -1204.66 -354.958,   105 107,                     stand,  ,                         ,
1158.43 -779.275 -351.891,   106 108 223,                 stand,  ,                         ,
774.635 -696.541 -358.109,   107 109 125 223,             stand,  ,                         ,
631.448 -494.312 -351.468,   12 108,                      stand,  ,                         ,
625.392 108.527 -353.21,     12 111 123,                  stand,  ,                         ,
608.347 284.472 -354.796,    110 112 118 120 123 128,     stand,  ,                         ,
568.39 520.821 -354.208,     111 114 115 118 128 176,     stand,  ,                         ,
114.998 661.608 -355.971,    176 188 189,                 stand,  ,                         ,
440.356 886.737 -355.221,    39 112 115 116 117 176,      stand,  ,                         ,
606.821 730.275 -355.848,    112 114 116 118 176,         stand,  ,                         ,
666.664 876.77 -354.709,     39 40 114 115,               stand,  ,                         ,
391.893 1249.4 -357.192,     37 38 114,                   stand,  ,                         ,
800.065 403.049 -357.837,    111 112 115 119 120 123,     stand,  ,                         ,
1161.53 365.056 -354.53,     118 120 123 174,             stand,  ,                         ,
1147.73 158.04 -352.587,     111 118 119 121 123 124,     stand,  ,                         ,
1023.34 -58.0144 -349.875,   120 122,                     stand,  ,                         ,
843.939 -66.4266 -349.875,   121 123,                     stand,  ,                         ,
806.374 146.104 -353.608,    110 111 118 119 120 122,     stand,  ,                         ,
1453.19 -28.1782 -357.669,   27 120 131 223,              stand,  ,                         ,
437.815 -762.587 -352.953,   108 126,                     stand,  ,                         ,
222.11 -681.588 -346.75,     125 127,                     stand,  ,                         ,
200.876 -206.091 -351.262,   126 128,                     stand,  ,                         ,
261.885 288.724 -348.474,    111 112 127,                 stand,  ,                         ,
1837.96 209.087 -357.532,    27 130,                      stand,  ,                         ,
1865.32 556.602 -362.005,    43 129 140,                  stand,  ,                         ,
1548.18 -178.188 -356.927,   11 124 132 223,              stand,  ,                         ,
1891.32 -228.771 -351.889,   27 131 133,                  stand,  ,                         ,
1884.46 -626.019 -351.889,   26 132,                      stand,  ,                         ,
2229.16 -729.393 -350.391,   26 135,                      stand,  ,                         ,
2492.41 -763.551 -353.709,   6 134 136 138,               stand,  ,                         ,
2559.73 -458.882 -369.28,    7 135 137 138,               stand,  ,                         ,
2613.19 -22.7556 -359.545,   7 8 90 136,                  stand,  ,                         ,
2758.83 -916.915 -354.69,    135 136 143 144 146,         stand,  ,                         ,
2374.25 631.508 -358.501,    140 141 142,                 stand,  ,                         ,
2059.17 643.852 -351.884,    43 130 139,                  stand,  ,                         ,
2597.59 626.448 -358.046,    44 91 139 142,               stand,  ,                         ,
2575.94 443.904 -354.055,    8 90 139 141,                stand,  ,                         ,
3315.77 -895.971 -347.912,   5 28 97 98 138 144,          stand,  ,                         ,
3131.57 -1203.89 -371.159,   98 100 138 143 146,          stand,  ,                         ,
3973.25 -1347.93 -350.575,   28 73 74 81 98,              stand,  ,                         ,
2783.0 -1216.37 -361.316,    6 100 138 144,               stand,  ,                         ,
3562.79 80.6373 -327.871,    24 87 151,                   stand,  ,                         ,
3578.83 -828.009 -327.875,   25 97 149,                   stand,  ,                         ,
3693.42 -675.815 -326.634,   83 148 150,                  stand,  ,                         ,
3642.76 -503.516 -327.108,   149 151 152 153,             stand,  ,                         ,
3639.9 -296.114 -327.875,    24 147 150 152,              stand,  ,                         ,
3719.02 -404.237 -327.875,   83 150 151,                  stand,  ,                         ,
3519.78 -495.969 -327.875,   150 154 155,                 stand,  ,                         ,
3449.91 -641.541 -327.877,   153 155,                     stand,  ,                         ,
3451.17 -371.365 -316.797,   153 154,                     stand,  ,                         ,
4144.49 -507.328 -354.082,   82 83 157 159,               stand,  ,                         ,
4411.83 -543.441 -360.205,   0 71 156 158,                stand,  ,                         ,
4474.23 -971.529 -354.828,   0 72 74 157,                 stand,  ,                         ,
4142.58 -162.591 -343.875,   84 156 160,                  stand,  ,                         ,
4136.1 52.5058 -343.875,     84 85 159 161,               stand,  ,                         ,
4266.68 44.1479 -343.875,    160 162 165 167,             stand,  ,                         ,
4509.5 -189.326 -343.875,    161 163,                     stand,  ,                         ,
4522.32 -324.176 -343.875,   162 164,                     stand,  ,                         ,
4318.28 -337.177 -346.875,   163,                         stand,  ,                         ,
4356.06 181.943 -343.875,    161 166,                     stand,  ,                         ,
4514.45 172.052 -343.875,    165 167,                     stand,  ,                         ,
4507.05 30.4021 -343.875,    161 166,                     stand,  ,                         ,
1351.06 496.453 -347.875,    10 169 169 174,              stand,  ,                         ,
1480.7 479.852 -347.875,     168 168 170,                 stand,  ,                         ,
1500.93 634.349 -347.875,    169 171 172,                 stand,  ,                         ,
1527.74 802.076 -347.875,    41 170 175,                  stand,  ,                         ,
1639.87 625.711 -347.875,    170 173,                     stand,  ,                         ,
1695.87 556.814 -347.875,    172,                         stand,  ,                         ,
1232.14 577.832 -355.807,    119 168 175,                 stand,  ,                         ,
1234.2 802.851 -355.704,     40 171 174,                  stand,  ,                         ,
314.404 660.876 -357.623,    23 112 113 114 115 177 186,  stand,  ,                         ,
215.125 822.073 -355.049,    23 176 178,                  climb,  8.9032 175.386 0.0,       ,
197.354 822.41 -93.875,      177 179,                     climb,  0.0756836 -179.918 0.0,   ,
91.9995 831.115 -95.875,     178 180 185,                 stand,  ,                         ,
90.7423 660.578 -95.875,     179 181,                     stand,  ,                         ,
96.3921 490.258 -95.875,     180 182 187,                 stand,  ,                         ,
194.189 396.547 -95.875,     181 183,                     stand,  ,                         ,
293.063 493.35 -95.875,      182 184,                     stand,  ,                         ,
299.568 820.521 -95.875,     183 185,                     stand,  ,                         ,
203.018 913.136 -95.875,     179 184,                     stand,  ,                         ,
215.126 484.545 -354.859,    176 187,                     climb,  18.8458 175.045 0.0,      ,
200.497 484.685 -93.875,     181 186,                     climb,  25.7013 -179.445 0.0,     ,
-57.9512 795.202 -360.447,   22 113 189 222,              stand,  ,                         ,
-81.8766 559.416 -353.986,   113 188 190,                 stand,  ,                         ,
-120.823 199.313 -363.378,   189 191,                     stand,  ,                         ,
-257.908 -222.269 -360.373,  190 192 196 199,             stand,  ,                         ,
-745.469 -245.39 -368.632,   191 193 200,                 stand,  ,                         ,
-871.52 -510.596 -354.412,   20 192 200,                  stand,  ,                         ,
-621.702 -999.989 -356.188,  20 195,                      stand,  ,                         ,
-403.614 -906.773 -355.818,  194 196 197,                 stand,  ,                         ,
-361.61 -527.716 -360.218,   191 195 197,                 stand,  ,                         ,
-147.544 -930.056 -371.961,  195 196 198 199,             stand,  ,                         ,
12.4117 -1357.33 -366.623,   21 197,                      stand,  ,                         ,
-112.209 -522.962 -372.748,  191 197,                     stand,  ,                         ,
-1028.38 -184.617 -351.54,   192 193 201 215,             stand,  ,                         ,
-1306.73 -208.859 -353.671,  200 202,                     stand,  ,                         ,
-1582.79 32.9668 -359.313,   201 203 215,                 stand,  ,                         ,
-1732.34 239.28 -352.771,    202 204,                     stand,  ,                         ,
-1908.4 475.774 -351.875,    203 205 207,                 stand,  ,                         ,
-1843.95 703.636 -352.404,   18 204 206 208,              stand,  ,                         ,
-1794.99 1023.58 -354.464,   18 205 213,                  stand,  ,                         ,
-1586.52 443.829 -354.074,   204 208 209,                 stand,  ,                         ,
-1355.59 638.587 -355.942,   205 207 211,                 stand,  ,                         ,
-1384.84 414.27 -358.151,    19 207 210,                  stand,  ,                         ,
-1221.64 461.736 -356.939,   209 211 215,                 stand,  ,                         ,
-1184.17 714.955 -353.876,   208 210 212,                 stand,  ,                         ,
-1027.68 1012.08 -356.54,    211 213 214,                 stand,  ,                         ,
-1463.35 1019.16 -352.305,   206 212,                     stand,  ,                         ,
-967.715 1171.57 -351.625,   212 216,                     stand,  ,                         ,
-1124.61 83.7492 -363.759,   19 200 202 210,              stand,  ,                         ,
-763.339 1321.61 -361.559,   17 214 217 219,              stand,  ,                         ,
-645.341 1598.4 -349.875,    216 218,                     stand,  ,                         ,
-449.946 1571.28 -349.875,   217 219,                     stand,  ,                         ,
-390.344 1318.43 -353.779,   216 218 220 222,             stand,  ,                         ,
-147.708 1433.43 -354.796,   34 219 221 222,              stand,  ,                         ,
-200.635 1781.2 -359.827,    31 33 34 220,                stand,  ,                         ,
-174.691 1120.59 -360.345,   22 188 219 220,              stand,  ,                         ,
1245.24 -377.149 -353.591,   11 107 108 124 131,          stand,  ,                         ,
