197
1863.18 -848.051 -4.03997,   1 65 66 165 181,              stand,  0.0 0.0 0.0,  ,
1965.88 -39.1794 -6.875,     58 59 61 63 182,              stand,  0.0 0.0 0.0,  ,
1717.84 -101.749 -17.4421,   62 64 99 100 124 165,         stand,  0.0 0.0 0.0,  ,
1684.59 -402.703 -23.875,    63 65 100 165 174 181,        stand,  0.0 0.0 0.0,  ,
1601.87 -877.656 -23.875,    0 1 64 66 165,                stand,  0.0 0.0 0.0,  ,
1415.63 -1079.66 -23.875,    0 1 65 67 161 164,            stand,  0.0 0.0 0.0,  ,
969.989 -1186.0 -23.875,     4 66 68 161 164 174,          stand,  0.0 0.0 0.0,  ,
472.007 -1256.95 -23.875,    6 67 69,                      stand,  0.0 0.0 0.0,  ,
167.462 -1252.64 -23.875,    7 68 70 163,                  stand,  0.0 0.0 0.0,  ,
-342.62 -1214.93 -23.875,    9 10 69 71 110,               stand,  0.0 0.0 0.0,  ,
-701.819 -1154.93 -23.875,   70 72 109 141,                stand,  0.0 0.0 0.0,  ,
-988.082 -1117.23 -23.875,   15 16 71 73 141,              stand,  0.0 0.0 0.0,  ,
-1169.48 -927.04 -19.875,    72 74 141,                    stand,  0.0 0.0 0.0,  ,
-1282.21 -631.598 -23.875,   16 18 20 73 75 109 138 141,   stand,  0.0 0.0 0.0,  ,
-1307.79 83.6865 -23.875,    74 76 137 138 144,            stand,  0.0 0.0 0.0,  ,
-1302.42 384.723 -23.875,    75 78 136 139 144,            stand,  0.0 0.0 0.0,  ,
-1733.86 561.315 -17.352,    27 28 29 136,                 stand,  0.0 0.0 0.0,  ,
-1620.31 787.583 -23.875,    29 30 76 139,                 stand,  0.0 0.0 0.0,  ,
-1532.99 1128.78 -23.875,    30 128 129 140,               stand,  0.0 0.0 0.0,  ,
-1019.59 1473.38 -23.875,    81 129 131,                   stand,  0.0 0.0 0.0,  ,
-829.049 1668.71 -23.875,    37 38 39 80 82 91 127 131,    stand,  0.0 0.0 0.0,  ,
-611.246 1991.11 -23.875,    81 83 131,                    stand,  0.0 0.0 0.0,  ,
-489.562 2260.06 -23.875,    40 41 82 84,                  stand,  0.0 0.0 0.0,  ,
-245.057 2177.54 -23.875,    83 125 132 166,               stand,  0.0 0.0 0.0,  ,
38.895 1991.65 -23.875,      86 132 166,                   stand,  0.0 0.0 0.0,  ,
214.479 1925.32 -23.875,     44 85 87 91,                  stand,  0.0 0.0 0.0,  ,
384.784 1847.07 -23.875,     46 86 88 90 91,               stand,  0.0 0.0 0.0,  ,
683.11 1711.71 -23.875,      47 48 87 89 95 96,            stand,  0.0 0.0 0.0,  ,
642.28 1483.71 -23.875,      48 88 90 95 96,               stand,  0.0 0.0 0.0,  ,
375.186 1463.92 -23.875,     87 89 91 92 93,               stand,  0.0 0.0 0.0,  ,
50.1999 1686.14 -23.875,     81 86 87 90 130 132,          stand,  0.0 0.0 0.0,  ,
-59.9952 1237.28 -23.875,    90 93 114 130 134,            stand,  0.0 0.0 0.0,  ,
353.54 1246.23 -23.875,      90 92 94,                     stand,  0.0 0.0 0.0,  ,
817.894 1184.15 -23.875,     93 95 96 97 152,              stand,  0.0 0.0 0.0,  ,
1169.88 1159.43 -23.875,     88 89 94 96 97 123 152 155,   stand,  0.0 0.0 0.0,  ,
1124.01 1537.98 -23.875,     48 88 89 94 95,               stand,  0.0 0.0 0.0,  ,
1394.85 948.711 -23.875,     54 94 95 98 123 149 155,      stand,  0.0 0.0 0.0,  ,
1498.75 555.231 -23.875,     54 97 117 124 149 151,        stand,  0.0 0.0 0.0,  ,
1736.06 330.645 -23.875,     57 58 63 100 124 176,         stand,  0.0 0.0 0.0,  ,
1474.37 3.11909 -23.875,     63 64 99 101 117 149 165,     stand,  0.0 0.0 0.0,  ,
1236.36 -36.8141 -23.875,    100 102 117 159 160,          stand,  0.0 0.0 0.0,  ,
1184.41 -280.086 -23.875,    101 103 119 164 165,          stand,  0.0 0.0 0.0,  ,
923.216 -297.692 -23.875,    102 104 160,                  stand,  0.0 0.0 0.0,  ,
564.959 -309.387 -23.875,    103 105 159 167,              stand,  0.0 0.0 0.0,  ,
241.075 -252.852 -23.875,    104 106,                      stand,  0.0 0.0 0.0,  ,
-83.7831 -215.894 -23.875,   105 142 156 168,              stand,  0.0 0.0 0.0,  ,
-427.007 -241.888 -23.875,   108 142 143 157,              stand,  0.0 0.0 0.0,  ,
-557.264 -410.061 -23.875,   107 109 171,                  stand,  0.0 0.0 0.0,  ,
-789.438 -677.834 -46.1144,  71 74 108 141 172,            stand,  0.0 0.0 0.0,  ,
-236.708 -776.913 -23.875,   70 171 172 173,               stand,  0.0 0.0 0.0,  ,
-173.06 24.842 -23.875,      146 146 146 156 157,          stand,  0.0 0.0 0.0,  ,
-172.545 459.418 -23.875,    113 133 146,                  stand,  0.0 0.0 0.0,  ,
72.6339 621.044 -23.875,     112 114 115 133 148,          stand,  0.0 0.0 0.0,  ,
104.432 1042.19 -23.875,     92 113 153,                   stand,  0.0 0.0 0.0,  ,
347.561 420.586 -23.7304,    113 116 118 151,              stand,  0.0 0.0 0.0,  ,
771.609 256.467 -31.773,     115 117 151 160,              stand,  0.0 0.0 0.0,  ,
1170.68 207.321 -23.875,     98 100 101 116 149 160,       stand,  0.0 0.0 0.0,  ,
210.464 301.931 -23.875,     115 146 156,                  stand,  0.0 0.0 0.0,  ,
901.914 -547.489 -23.875,    102 161 167,                  stand,  0.0 0.0 0.0,  ,
1847.16 1241.64 -23.875,     51 52 121,                    stand,  0.0 0.0 0.0,  ,
1868.86 1085.85 -17.875,     120 122 123,                  stand,  0.0 0.0 0.0,  ,
2001.39 1046.69 -23.875,     52 121,                       stand,  0.0 0.0 0.0,  ,
1619.31 1002.67 -23.875,     53 54 95 97 121,              stand,  0.0 0.0 0.0,  ,
1601.59 322.14 -23.875,      54 63 98 99 165,              stand,  0.0 0.0 0.0,  ,
-94.3867 2332.75 -23.875,    84 126,                       stand,  0.0 0.0 0.0,  ,
24.8853 2255.93 -23.875,     43 125 166,                   stand,  0.0 0.0 0.0,  ,
-1163.39 1765.6 -23.875,     36 37 38 39 81 128,           stand,  0.0 0.0 0.0,  ,
-1449.63 1559.31 -23.875,    35 36 79 127 129,             stand,  0.0 0.0 0.0,  ,
-1317.57 1319.46 -23.875,    79 80 128 140,                stand,  0.0 0.0 0.0,  ,
-371.608 1476.69 -23.875,    91 92 131 132 134,            stand,  0.0 0.0 0.0,  ,
-781.18 1479.61 -23.875,     80 81 82 130,                 stand,  0.0 0.0 0.0,  ,
-230.963 1913.42 -23.875,    84 85 91 130 166,             stand,  0.0 0.0 0.0,  ,
-179.661 701.643 -23.875,    112 113 134 145 147,          stand,  0.0 0.0 0.0,  ,
-199.976 1062.47 -23.875,    92 130 133 135,               stand,  0.0 0.0 0.0,  ,
-692.606 1227.59 -51.9258,   134 140,                      stand,  0.0 0.0 0.0,  ,
-1552.35 442.593 -23.875,    76 77 137,                    stand,  0.0 0.0 0.0,  ,
-1565.62 264.744 -23.875,    22 23 26 75 136,              stand,  0.0 0.0 0.0,  ,
-1388.37 -198.384 -23.875,   22 74 75 143,                 stand,  0.0 0.0 0.0,  ,
-1206.84 723.104 -23.875,    76 78 140 144 147,            stand,  0.0 0.0 0.0,  ,
-1202.47 1202.16 -23.875,    79 129 135 139,               stand,  0.0 0.0 0.0,  ,
-1026.32 -831.06 -23.875,    71 72 73 74 109,              stand,  0.0 0.0 0.0,  ,
-257.076 -244.263 -23.875,   106 107 157 171,              stand,  0.0 0.0 0.0,  ,
-911.917 -342.503 -23.875,   107 138,                      stand,  0.0 0.0 0.0,  ,
-991.682 337.904 -23.875,    75 76 139 145,                stand,  0.0 0.0 0.0,  ,
-435.824 349.806 -23.923,    133 144 146,                  stand,  0.0 0.0 0.0,  ,
-174.77 278.988 -23.875,     111 111 111 112 118 145 156,  stand,  0.0 0.0 0.0,  ,
-767.426 608.942 -23.875,    133 139,                      stand,  0.0 0.0 0.0,  ,
355.073 648.681 -23.875,     113 150,                      stand,  0.0 0.0 0.0,  ,
1181.18 641.774 -23.875,     97 98 100 117 150 155,        stand,  0.0 0.0 0.0,  ,
786.998 659.591 -23.875,     148 149 151 154,              stand,  0.0 0.0 0.0,  ,
849.602 456.8 -23.875,       98 115 116 150 160,           stand,  0.0 0.0 0.0,  ,
950.24 908.184 -19.8865,     94 95 153 154 155,            stand,  0.0 0.0 0.0,  ,
516.124 876.676 -59.875,     114 152 154,                  stand,  0.0 0.0 0.0,  ,
786.781 783.565 -23.875,     150 152 153,                  stand,  0.0 0.0 0.0,  ,
1190.75 839.936 -23.875,     95 97 149 152,                stand,  0.0 0.0 0.0,  ,
-15.1371 57.6465 -23.875,    106 111 118 146 158,          stand,  0.0 0.0 0.0,  ,
-344.912 -104.429 -19.875,   107 111 142,                  stand,  0.0 0.0 0.0,  ,
199.936 -64.1749 -23.875,    156 159,                      stand,  0.0 0.0 0.0,  ,
525.728 -118.839 -42.7553,   101 104 158 160,              stand,  0.0 0.0 0.0,  ,
977.326 48.6887 -23.875,     101 103 116 117 151 159,      stand,  0.0 0.0 0.0,  ,
983.788 -775.234 -23.875,    66 67 119 162 164,            stand,  0.0 0.0 0.0,  ,
634.997 -644.202 -47.2468,   161 163 167,                  stand,  0.0 0.0 0.0,  ,
198.556 -913.599 -19.8849,   69 162 169,                   stand,  0.0 0.0 0.0,  ,
1196.19 -712.545 -23.875,    66 67 102 161 165,            stand,  0.0 0.0 0.0,  ,
1507.04 -450.594 -23.875,    0 63 64 65 100 102 124 164,   stand,  0.0 0.0 0.0,  ,
-70.9215 2050.27 -23.875,    84 85 126 132,                stand,  0.0 0.0 0.0,  ,
623.527 -463.687 -19.9773,   104 119 162 168,              stand,  0.0 0.0 0.0,  ,
415.812 -469.93 -23.875,     106 167 169 170,              stand,  0.0 0.0 0.0,  ,
83.6922 -657.8 -23.875,      163 168 170 173,              stand,  0.0 0.0 0.0,  ,
-7.41984 -466.551 -23.875,   168 169 171,                  stand,  0.0 0.0 0.0,  ,
-191.678 -464.579 -23.875,   108 110 142 170 172,          stand,  0.0 0.0 0.0,  ,
-393.659 -685.3 -23.875,     109 110 171,                  stand,  0.0 0.0 0.0,  ,
-89.4239 -889.82 -23.875,    110 169,                      stand,  0.0 0.0 0.0,  ,
1339.35 -1237.76 -23.875,    2 64 67,                      stand,  0.0 0.0 0.0,  ,
-2255.89 1689.06 -15.875,    33 34 35,                     stand,  0.0 0.0 0.0,  ,
2119.56 283.133 -23.875,     57 58 99 185,                 stand,  0.0 0.0 0.0,  ,
2267.99 729.299 -7.875,      55 56 178 186,                stand,  0.0 0.0 0.0,  ,
2348.99 505.638 -7.875,      177,                          stand,  0.0 0.0 0.0,  ,
-2082.53 989.366 -11.5262,   29 193,                       stand,  0.0 0.0 0.0,  ,
-1861.75 -102.057 -15.2998,  22,                           stand,  0.0 0.0 0.0,  ,
1846.6 -526.193 -9.54922,    0 64,                         stand,  0.0 0.0 0.0,  ,
1808.26 -235.215 -6.875,     62,                           stand,  0.0 0.0 0.0,  ,
2379.95 32.2763 -6.875,      59,                           stand,  0.0 0.0 0.0,  ,
2184.64 414.425 -23.875,     185,                          stand,  0.0 0.0 0.0,  ,
2184.48 292.942 -23.875,     176 184,                      stand,  0.0 0.0 0.0,  ,
2121.93 517.898 -7.875,      56 177,                       stand,  0.0 0.0 0.0,  ,
1757.4 877.075 -7.875,       54 56,                        stand,  0.0 0.0 0.0,  ,
1563.97 1674.97 -23.875,     49 50,                        stand,  0.0 0.0 0.0,  ,
-764.489 3021.22 -23.875,    190,                          stand,  0.0 0.0 0.0,  ,
-614.863 2926.83 -23.875,    41 189,                       stand,  0.0 0.0 0.0,  ,
-936.792 2160.63 -1.875,     39 40,                        stand,  0.0 0.0 0.0,  ,
-1889.59 1817.64 -15.875,    32 35,                        stand,  0.0 0.0 0.0,  ,
-2077.24 1078.04 -10.1586,   179,                          stand,  0.0 0.0 0.0,  ,
-2045.98 396.126 -15.875,    25 26,                        stand,  0.0 0.0 0.0,  ,
-1758.55 98.6263 -15.875,    23,                           stand,  0.0 0.0 0.0,  ,
-2348.24 566.215 -19.4081,   27,                           stand,  0.0 0.0 0.0,  ,
