284
944.383 1502.54 56.125,      67 68 73,                     stand,  0.0 0.0 0.0,           ,
-1082.83 2350.14 20.125,     6 51 137,                     stand,  0.0 0.0 0.0,           ,
-947.221 32.0858 150.125,    140 147 186,                  stand,  0.0 0.0 0.0,           ,
-1080.48 -59.2417 150.125,   139 141 186,                  stand,  0.0 0.0 0.0,           ,
-1359.14 -82.9246 134.063,   140 142,                      stand,  0.0 0.0 0.0,           ,
-1659.86 -85.15 115.251,     141 143 144,                  stand,  0.0 0.0 0.0,           ,
-1795.65 15.571 109.418,     3 142 144,                    stand,  0.0 0.0 0.0,           ,
-1875.85 -184.215 103.277,   142 143 145,                  stand,  0.0 0.0 0.0,           ,
-1905.79 -434.939 58.31,     144 146,                      stand,  0.0 0.0 0.0,           ,
-1872.37 -651.449 44.125,    20 21 22 145 177,             stand,  0.0 0.0 0.0,           ,
-941.029 280.224 150.125,    139 148,                      stand,  0.0 0.0 0.0,           ,
-975.487 477.049 150.125,    147 149,                      stand,  0.0 0.0 0.0,           ,
-960.259 638.69 164.125,     148 150,                      stand,  0.0 0.0 0.0,           ,
-866.937 791.56 164.125,     149 151,                      stand,  0.0 0.0 0.0,           ,
-901.425 971.795 164.125,    150 152,                      stand,  0.0 0.0 0.0,           ,
-983.296 946.598 164.125,    151 153,                      stand,  0.0 0.0 0.0,           ,
-999.609 799.174 92.125,     152 154,                      stand,  0.0 0.0 0.0,           ,
-1167.51 782.51 16.125,      153 155 157,                  stand,  0.0 0.0 0.0,           ,
-1167.67 902.334 16.125,     154 156,                      stand,  0.0 0.0 0.0,           ,
-1052.08 1032.08 16.125,     17 128 155,                   stand,  0.0 0.0 0.0,           ,
-1173.58 587.084 -37.0301,   154 159 160,                  stand,  0.0 0.0 0.0,           ,
-1023.63 337.253 16.125,     159 196 198,                  stand,  0.0 0.0 0.0,           ,
-1191.02 333.971 -40.881,    157 158 160 167 168,          stand,  0.0 0.0 0.0,           ,
-1298.97 592.412 -46.2591,   157 159 161 166,              stand,  0.0 0.0 0.0,           ,
-1415.76 656.345 -73.4596,   160 162 166 167,              stand,  0.0 0.0 0.0,           ,
-1579.69 566.606 -71.2579,   161 163 164,                  stand,  0.0 0.0 0.0,           ,
-1645.86 335.409 -74.3051,   3 7 162 168,                  stand,  0.0 0.0 0.0,           ,
-1634.33 751.088 -66.5028,   162 165,                      stand,  0.0 0.0 0.0,           ,
-1577.45 993.438 -59.962,    5 133 164 166,                stand,  0.0 0.0 0.0,           ,
-1414.54 894.737 -65.3819,   160 161 165,                  stand,  0.0 0.0 0.0,           ,
-1349.72 403.357 -63.2636,   159 161 168,                  stand,  0.0 0.0 0.0,           ,
-1426.2 152.24 -80.9186,     7 159 163 167 169,            stand,  0.0 0.0 0.0,           ,
-1466.62 -101.546 -113.651,  168 170,                      stand,  0.0 0.0 0.0,           ,
-1473.71 -412.58 -147.789,   169 171 279,                  stand,  0.0 0.0 0.0,           ,
-1558.67 -629.025 -116.526,  170 172 279,                  stand,  0.0 0.0 0.0,           ,
-1703.11 -864.762 -107.934,  171 173,                      stand,  0.0 0.0 0.0,           ,
-1782.96 -991.478 -107.492,  172 174,                      stand,  0.0 0.0 0.0,           ,
-1994.34 -1006.64 -27.875,   173 175,                      stand,  0.0 0.0 0.0,           ,
-1930.73 -1220.29 44.125,    30 32 174 176,                stand,  0.0 0.0 0.0,           ,
-2088.89 -1193.22 44.125,    10 175 177,                   stand,  0.0 0.0 0.0,           ,
-2084.61 -898.513 44.125,    10 146 176,                   stand,  0.0 0.0 0.0,           ,
-1522.6 -1097.1 44.125,      27 29 179,                    stand,  0.0 0.0 0.0,           ,
-1315.01 -1034.85 37.0519,   178 180 274,                  stand,  0.0 0.0 0.0,           ,
-1125.76 -930.966 36.964,    179 181 273,                  stand,  0.0 0.0 0.0,           ,
-1126.95 -704.751 64.125,    180 182 273,                  stand,  0.0 0.0 0.0,           ,
-1084.53 -483.154 16.125,    19 181 183 184,               stand,  0.0 0.0 0.0,           ,
-839.493 -404.308 16.125,    182 184 187,                  stand,  0.0 0.0 0.0,           ,
-933.147 -227.266 16.125,    182 183 185,                  climb,  -5.42175 89.3573 0.0,  ,
-933.09 -197.661 180.125,    184 186,                      climb,  84.978 90.022 0.0,     ,
-930.0 -141.22 150.125,      139 140 185,                  stand,  0.0 0.0 0.0,           ,
-636.384 -477.439 16.125,    183 188 189,                  stand,  0.0 0.0 0.0,           ,
-568.987 -592.69 16.125,     187 189 257,                  stand,  0.0 0.0 0.0,           ,
-432.147 -461.437 16.125,    187 188 190 191,              stand,  0.0 0.0 0.0,           ,
-291.59 -320.929 16.125,     96 189 191,                   stand,  0.0 0.0 0.0,           ,
-166.872 -419.197 16.125,    189 190 199,                  stand,  0.0 0.0 0.0,           ,
-632.046 87.8859 16.125,     97 193 194 195,               stand,  0.0 0.0 0.0,           ,
-722.349 210.859 14.125,     109 192 194 195 196 197,      stand,  0.0 0.0 0.0,           ,
-897.966 135.496 15.125,     15 192 193 196,               stand,  0.0 0.0 0.0,           ,
-738.881 -45.4933 15.125,    15 192 193,                   stand,  0.0 0.0 0.0,           ,
-868.054 346.083 15.125,     158 193 194 197 198,          stand,  0.0 0.0 0.0,           ,
-649.236 361.261 16.125,     99 109 193 196,               stand,  0.0 0.0 0.0,           ,
-904.835 500.205 15.125,     109 158 196,                  stand,  0.0 0.0 0.0,           ,
-3.00559 -503.626 -7.875,    191 200,                      stand,  0.0 0.0 0.0,           ,
117.846 -667.103 -39.875,    199 201,                      stand,  0.0 0.0 0.0,           ,
314.857 -682.772 -39.875,    200 202,                      stand,  0.0 0.0 0.0,           ,
422.702 -676.723 0.125,      201 203 242 243,              stand,  0.0 0.0 0.0,           ,
517.316 -858.669 -0.878629,  202 204 242,                  stand,  0.0 0.0 0.0,           ,
488.816 -1042.75 0.124998,   203 205 206 253,              stand,  0.0 0.0 0.0,           ,
310.573 -1104.58 -39.875,    204 206 254,                  stand,  0.0 0.0 0.0,           ,
494.249 -1206.26 -1.62985,   204 205 207,                  stand,  0.0 0.0 0.0,           ,
611.142 -1283.12 0.124999,   206 208,                      stand,  0.0 0.0 0.0,           ,
795.82 -1298.54 0.124999,    207 209,                      stand,  0.0 0.0 0.0,           ,
1002.17 -1207.33 0.124999,   8 208 210,                    stand,  0.0 0.0 0.0,           ,
1070.51 -1011.81 0.124999,   209 211 213,                  stand,  0.0 0.0 0.0,           ,
951.603 -833.086 3.125,      210 212 213,                  stand,  0.0 0.0 0.0,           ,
822.199 -826.142 0.124999,   211 240 242 253,              stand,  0.0 0.0 0.0,           ,
1176.5 -797.24 0.124999,     210 211 214,                  stand,  0.0 0.0 0.0,           ,
1296.7 -818.38 0.124999,     213 215,                      stand,  0.0 0.0 0.0,           ,
1281.9 -1092.64 158.125,     214 216 267 268,              stand,  0.0 0.0 0.0,           ,
1298.35 -1277.25 161.125,    12 215 217 267 268,           stand,  0.0 0.0 0.0,           ,
1478.26 -1264.28 158.125,    12 216 218,                   stand,  0.0 0.0 0.0,           ,
1457.26 -949.212 0.125,      217 219,                      stand,  0.0 0.0 0.0,           ,
1424.43 -668.042 0.125,      218 220,                      stand,  0.0 0.0 0.0,           ,
1431.97 -382.87 0.125,       219 221 222,                  stand,  0.0 0.0 0.0,           ,
1263.73 -302.219 -7.875,     14 220 222 224 230 231,       stand,  0.0 0.0 0.0,           ,
1431.69 -234.256 0.124999,   220 221 223,                  stand,  0.0 0.0 0.0,           ,
1433.62 -52.722 0.124999,    222 224,                      stand,  0.0 0.0 0.0,           ,
1259.87 37.2487 -7.875,      221 223 225 229 230 232,      stand,  0.0 0.0 0.0,           ,
1431.26 106.348 0.124999,    224 226,                      stand,  0.0 0.0 0.0,           ,
1422.67 313.898 0.124999,    225 227,                      stand,  0.0 0.0 0.0,           ,
1237.27 392.859 -7.875,      226 228 229 234,              stand,  0.0 0.0 0.0,           ,
1133.21 616.006 20.8869,     84 227 233 234,               stand,  0.0 0.0 0.0,           ,
1171.39 205.26 -7.95312,     224 227 232,                  stand,  0.0 0.0 0.0,           ,
1139.29 -107.528 -7.99085,   221 224 231 232,              stand,  0.0 0.0 0.0,           ,
1036.8 -315.04 -7.875,       14 221 230 237 241,           stand,  0.0 0.0 0.0,           ,
971.311 94.9482 -7.875,      224 229 230 235 236 237,      stand,  0.0 0.0 0.0,           ,
909.183 540.439 8.55403,     83 86 228 234,                stand,  0.0 0.0 0.0,           ,
1063.7 500.186 1.98458,      86 227 228 233,               stand,  0.0 0.0 0.0,           ,
803.996 223.412 -0.399727,   85 86 87 232 236,             stand,  0.0 0.0 0.0,           ,
734.065 63.431 -1.21547,     87 232 235 237 238,           stand,  0.0 0.0 0.0,           ,
859.559 -108.458 -7.875,     231 232 236 238,              stand,  0.0 0.0 0.0,           ,
704.843 -157.483 0.124998,   236 237 239 244,              stand,  0.0 0.0 0.0,           ,
636.074 -385.587 -0.334054,  238 240 242 243 244 252,      stand,  0.0 0.0 0.0,           ,
766.724 -543.477 1.23505,    212 239 241 242,              stand,  0.0 0.0 0.0,           ,
909.565 -468.001 0.124997,   231 240,                      stand,  0.0 0.0 0.0,           ,
635.593 -702.22 -3.61804,    202 203 212 239 240 243 253,  stand,  0.0 0.0 0.0,           ,
547.874 -494.105 0.125,      202 239 242 252,              stand,  0.0 0.0 0.0,           ,
490.665 -124.954 0.929047,   238 239 245 252,              climb,  14.8193 87.9181 0.0,   ,
490.56 -85.5748 182.125,     244 246,                      climb,  85.0 90.011 0.0,       ,
490.571 -42.0338 152.125,    245 247,                      stand,  0.0 0.0 0.0,           ,
414.621 138.216 152.125,     246 248,                      stand,  0.0 0.0 0.0,           ,
210.331 154.883 152.125,     247 249,                      stand,  0.0 0.0 0.0,           ,
197.937 -43.3317 80.125,     248 250,                      stand,  0.0 0.0 0.0,           ,
370.752 -28.4581 16.125,     249 251,                      stand,  0.0 0.0 0.0,           ,
385.365 137.284 16.125,      88 250,                       stand,  0.0 0.0 0.0,           ,
513.412 -285.053 0.116117,   239 243 244,                  stand,  0.0 0.0 0.0,           ,
630.43 -926.07 -0.680048,    204 212 242,                  stand,  0.0 0.0 0.0,           ,
155.099 -1110.94 -39.875,    205 255,                      stand,  0.0 0.0 0.0,           ,
-43.3455 -1118.14 36.125,    254 256 260,                  stand,  0.0 0.0 0.0,           ,
-351.804 -1129.56 36.125,    255 258 259 260,              stand,  0.0 0.0 0.0,           ,
-558.444 -782.243 16.125,    188 258,                      stand,  0.0 0.0 0.0,           ,
-556.131 -961.149 34.7089,   256 257 259,                  stand,  0.0 0.0 0.0,           ,
-711.041 -1070.72 36.125,    256 258 272 273,              stand,  0.0 0.0 0.0,           ,
-225.578 -1311.53 36.7196,   255 256 261 270,              stand,  0.0 0.0 0.0,           ,
-87.021 -1520.67 37.8249,    1 260 262,                    stand,  0.0 0.0 0.0,           ,
146.565 -1539.53 134.125,    261 263,                      stand,  0.0 0.0 0.0,           ,
374.945 -1535.25 134.125,    262 264,                      stand,  0.0 0.0 0.0,           ,
554.5 -1509.29 134.125,      263 265,                      stand,  0.0 0.0 0.0,           ,
693.311 -1438.31 158.125,    264 266,                      stand,  0.0 0.0 0.0,           ,
788.021 -1342.9 161.125,     265 267,                      stand,  0.0 0.0 0.0,           ,
971.08 -1290.16 158.125,     215 216 266 268,              stand,  0.0 0.0 0.0,           ,
983.809 -1076.9 158.125,     215 216 267 269,              stand,  0.0 0.0 0.0,           ,
961.711 -773.388 158.125,    268,                          stand,  0.0 0.0 0.0,           ,
-415.769 -1539.26 36.0635,   1 260 271,                    stand,  0.0 0.0 0.0,           ,
-673.948 -1494.83 36.125,    11 270 272,                   stand,  0.0 0.0 0.0,           ,
-815.644 -1284.11 35.687,    11 259 271 273 274,           stand,  0.0 0.0 0.0,           ,
-960.12 -991.39 36.125,      180 181 259 272 274,          stand,  0.0 0.0 0.0,           ,
-1080.52 -1138.47 36.125,    179 272 273,                  stand,  0.0 0.0 0.0,           ,
707.68 2006.37 56.125,       41 62 65 66,                  stand,  0.0 0.0 0.0,           ,
607.133 2427.36 53.125,      44 45 277 278,                stand,  0.0 0.0 0.0,           ,
599.382 2258.65 53.125,      62 63 276 278,                stand,  0.0 0.0 0.0,           ,
434.233 2318.36 56.125,      61 276 277,                   stand,  0.0 0.0 0.0,           ,
-1414.31 -599.41 -150.301,   18 170 171,                   stand,  0.0 0.0 0.0,           ,
-1462.97 2210.7 18.4376,     6 13 136 137 281,             stand,  0.0 0.0 0.0,           ,
-1537.44 1935.36 17.125,     13 136 280 282,               stand,  0.0 0.0 0.0,           ,
-1562.37 1697.73 2.87692,    134 281 283,                  stand,  0.0 0.0 0.0,           ,
-1587.87 1425.13 -19.7061,   132 133 282,                  stand,  0.0 0.0 0.0,           ,
