189
6089.45 -870.212 144.125,   1 177,                    stand,  ,                       ,
4675.22 -227.796 47.3517,   75 81,                    stand,  ,                       ,
4826.37 -29.4307 -3.875,    71 75,                    stand,  ,                       ,
5014.31 2.22257 50.7763,    69 80 174,                stand,  ,                       ,
4984.75 500.044 49.2197,    59 64 68 69 87,           stand,  ,                       ,
4955.25 -133.676 45.9682,   78 81,                    stand,  ,                       ,
4685.11 -292.349 45.8655,   76 80 82 121,             stand,  ,                       ,
4499.15 -224.846 48.7017,   81 83,                    stand,  ,                       ,
4358.58 -157.703 48.9475,   82 84,                    stand,  ,                       ,
4326.59 -39.0615 48.4143,   83 85,                    stand,  ,                       ,
4343.76 130.126 49.5135,    73 84 159,                stand,  ,                       ,
4725.41 313.312 46.7162,    69 70 87 88,              stand,  ,                       ,
4865.11 459.266 47.8395,    59 69 79 86,              stand,  ,                       ,
4571.9 319.112 46.4487,     73 86 157 159,            stand,  ,                       ,
5240.36 128.816 52.4229,    90,                       stand,  ,                       ,
5249.74 -77.0338 44.2009,   89 91 92 101,             stand,  ,                       ,
5409.92 -89.9078 44.3186,   15 66 67 90 92 101,       stand,  ,                       ,
5437.44 -279.277 48.487,    15 67 90 91 97 101,       stand,  ,                       ,
5584.68 -794.876 47.7732,   17 94 95 97 103,          stand,  ,                       ,
5606.08 -892.668 47.8991,   93 95 96 106,             stand,  ,                       ,
5745.05 -895.733 48.3681,   14 93 94 96 98 99,        stand,  ,                       ,
5571.79 -1016.73 47.5823,   94 95 99 100 106,         stand,  ,                       ,
5516.44 -615.637 48.2486,   16 17 92 93 102 103,      stand,  ,                       ,
5825.8 -769.22 48.5785,     14 95,                    stand,  ,                       ,
5659.24 -1139.98 42.897,    95 96 100,                stand,  ,                       ,
5475.78 -1153.64 47.1761,   96 99 107 181,            stand,  ,                       ,
5292.81 -297.983 51.7758,   90 91 92 102,             stand,  ,                       ,
5285.04 -562.206 45.9105,   97 101 103,               stand,  ,                       ,
5257.56 -746.083 46.1142,   93 97 102 104,            stand,  ,                       ,
5234.91 -894.94 47.5988,    103 105,                  stand,  ,                       ,
5381.3 -950.479 52.9136,    104 106,                  stand,  ,                       ,
5465.36 -955.749 47.641,    94 96 105,                stand,  ,                       ,
5302.81 -1223.77 46.3718,   100 108 178,              stand,  ,                       ,
5200.18 -1427.14 59.9031,   107 109 125 178 181,      stand,  ,                       ,
5174.71 -1731.64 72.125,    108 110,                  stand,  ,                       ,
4958.59 -1857.64 72.125,    18 109 111,               stand,  ,                       ,
4888.91 -1811.03 72.125,    110,                      stand,  ,                       ,
3883.59 -1640.16 60.0477,   21 113,                   stand,  ,                       ,
3674.12 -1617.47 65.473,    112 114,                  stand,  ,                       ,
3650.73 -1427.65 51.9258,   113 115 180 184,          stand,  ,                       ,
3848.83 -1422.26 45.718,    114 116 117,              stand,  ,                       ,
3847.62 -1225.37 42.0956,   115 134 135,              stand,  ,                       ,
4088.96 -1431.09 48.062,    115 133 173,              stand,  ,                       ,
4475.89 -1088.5 48.625,     129 131 132 171,          stand,  ,                       ,
4673.43 -741.579 -3.875,    120 170 171,              stand,  ,                       ,
4676.91 -624.732 46.7906,   119 121 130 179,          stand,  ,                       ,
4730.46 -556.684 47.4006,   81 120 179,               stand,  ,                       ,
5011.03 -859.594 41.726,    124 179,                  stand,  ,                       ,
4857.23 -1086.58 48.625,    124 126 127 170 178,      stand,  ,                       ,
5027.14 -1052.79 47.782,    122 123 178,              stand,  ,                       ,
4983.54 -1439.74 54.351,    108 126 127,              stand,  ,                       ,
4964.08 -1319.56 45.4267,   123 125 127 178,          stand,  ,                       ,
4798.8 -1330.74 49.2979,    123 125 126 128,          stand,  ,                       ,
4680.41 -1440.28 57.9177,   127 129,                  stand,  ,                       ,
4527.93 -1307.66 52.6563,   118 128 132 173,          stand,  ,                       ,
4486.98 -638.883 43.742,    120 172,                  stand,  ,                       ,
4303.9 -1061.07 45.8223,    118 132 172,              stand,  ,                       ,
4337.33 -1206.04 48.126,    118 129 131 133 173,      stand,  ,                       ,
4169.28 -1250.29 48.1566,   117 132 134,              stand,  ,                       ,
4002.43 -1162.38 48.1416,   116 133 135,              stand,  ,                       ,
3872.1 -1062.84 48.1325,    116 134 137,              stand,  ,                       ,
3645.99 -1022.75 42.5489,   137 180,                  stand,  ,                       ,
3792.86 -927.036 48.1636,   135 136 138 141 143,      stand,  ,                       ,
3758.09 -761.064 48.1257,   137 139 140 143,          stand,  ,                       ,
3733.41 -613.519 48.1602,   138 140 146 147,          stand,  ,                       ,
3626.01 -616.544 49.3486,   138 139,                  stand,  ,                       ,
3983.71 -835.994 50.1515,   137 142 143 144,          stand,  ,                       ,
4169.93 -928.862 49.847,    141,                      stand,  ,                       ,
3920.22 -732.386 46.1782,   137 138 141 144 145 146,  stand,  ,                       ,
4034.9 -635.236 48.1117,    141 143 145,              stand,  ,                       ,
4027.84 -431.724 34.5524,   143 144 146 149 150,      stand,  ,                       ,
3883.76 -583.294 42.88,     139 143 145,              stand,  ,                       ,
3714.29 -430.594 48.1166,   30 139 148,               stand,  ,                       ,
3735.14 -220.301 48.1638,   36 147 149,               stand,  ,                       ,
3775.13 -122.132 48.2328,   36 145 148 150 152,       stand,  ,                       ,
3990.53 -36.7888 48.5983,   145 149 151 152,          stand,  ,                       ,
4161.9 71.291 53.3713,      150,                      stand,  ,                       ,
3786.13 55.6308 48.1902,    149 150 153,              stand,  ,                       ,
3893.51 249.21 48.1607,     152 154 182,              stand,  ,                       ,
4058.27 372.478 48.2255,    153 155 158 182,          stand,  ,                       ,
4084.24 589.567 65.625,     40 154 156,               stand,  ,                       ,
4183.64 601.017 50.7262,    155 157 158,              stand,  ,                       ,
4405.12 596.542 45.6387,    88 156 159,               stand,  ,                       ,
4216.99 397.958 48.1538,    154 156 159,              stand,  ,                       ,
4371.48 333.573 48.1445,    73 85 88 157 158,         stand,  ,                       ,
6151.63 616.699 144.125,    6,                        stand,  ,                       ,
6286.96 287.374 144.125,    5 6,                      stand,  ,                       ,
4732.38 854.901 50.0067,    53 58 163,                stand,  ,                       ,
4570.52 868.916 44.7603,    162,                      stand,  ,                       ,
3827.51 824.977 38.1966,    44 45,                    stand,  ,                       ,
4519.59 1063.8 96.125,      56,                       stand,  ,                       ,
3654.34 589.989 88.125,     32 39 40,                 stand,  ,                       ,
3466.42 -422.648 88.125,    29 30 31,                 stand,  ,                       ,
3510.56 -1881.29 72.125,    22 24,                    stand,  ,                       ,
4262.78 -1796.91 72.125,    20 186,                   stand,  ,                       ,
4804.08 -1013.02 -3.875,    119 123 171,              stand,  ,                       ,
4531.58 -1006.41 -3.875,    118 119 170,              stand,  ,                       ,
4346.58 -857.201 49.0141,   130 131,                  stand,  ,                       ,
4337.41 -1451.54 48.0985,   117 129 132,              stand,  ,                       ,
5078.17 258.773 50.157,     64 65 68 69 78,           stand,  ,                       ,
5694.82 85.4201 48.452,     8 10 66 67 176,           stand,  ,                       ,
5832.8 -55.472 48.1176,     175,                      stand,  ,                       ,
6062.21 -1417.93 144.125,   0 188,                    stand,  ,                       ,
5117.45 -1240.39 49.1513,   107 108 123 124 126,      stand,  ,                       ,
4809.52 -627.897 47.7271,   120 121 122,              stand,  ,                       ,
3648.88 -1322.03 42.2597,   114 136 184,              stand,  ,                       ,
5430.43 -1415.77 51.8529,   100 108 187,              stand,  ,                       ,
3734.63 379.87 40.9487,     153 154 183,              climb,  -1.93359 -179.989 0.0,  ,
3716.88 379.87 88.125,      32 38 182,                climb,  -1.73035 -179.989 0.0,  ,
3599.27 -1353.5 46.5766,    114 180 185,              climb,  2.48291 176.006 0.0,    ,
3583.27 -1353.5 88.1248,    26 184,                   climb,  1.75781 175.886 0.0,    ,
4649.26 -1769.83 72.125,    18 169,                   stand,  ,                       ,
5540.88 -1434.75 79.2037,   181 188,                  climb,  3.07617 -0.181274 0.0,  ,
5563.34 -1434.75 144.125,   177 187,                  climb,  1.86218 -0.41748 0.0,   ,
