316
1269.17 -1859.71 64.125,    7 258 259 261,                stand,   0.0 0.0 0.0,             ,
-328.529 429.286 223.514,   42 44 45 244,                 stand,   0.0 0.0 0.0,             ,
-679.63 440.314 234.878,    43 45 245,                    stand,   0.0 0.0 0.0,             ,
-416.293 572.198 230.338,   43 44 46 47,                  stand,   0.0 0.0 0.0,             ,
-482.08 812.354 240.006,    45 48 242,                    stand,   0.0 0.0 0.0,             ,
-339.133 1037.19 239.331,   45 48 49 76 77 78 243,        stand,   0.0 0.0 0.0,             ,
-495.721 1210.0 249.104,    46 47 49 52 53,               stand,   0.0 0.0 0.0,             ,
-255.836 1184.36 232.249,   47 48 50 77,                  stand,   0.0 0.0 0.0,             ,
-326.09 1413.8 235.843,     49 241 313,                   stand,   0.0 0.0 0.0,             ,
-308.927 1769.98 231.84,    54 55 312 314 315,            stand,   0.0 0.0 0.0,             ,
-528.565 1450.0 275.966,    48 53 77 241 312,             stand,   0.0 0.0 0.0,             ,
-641.758 1359.36 249.506,   48 52 209 304,                stand,   0.0 0.0 0.0,             ,
-497.817 1711.83 251.891,   51 55 240 241 312,            stand,   0.0 0.0 0.0,             ,
-481.032 2025.47 250.494,   51 54 56 67,                  stand,   0.0 0.0 0.0,             ,
-492.859 2154.51 245.155,   55 57 67 216,                 stand,   0.0 0.0 0.0,             ,
-640.763 2123.21 254.125,   56 58 220 221,                stand,   0.0 0.0 0.0,             ,
-753.163 1933.79 254.125,   57 192 220,                   stand,   0.0 0.0 0.0,             ,
-933.963 1948.61 254.125,   60 192,                       stand,   0.0 0.0 0.0,             ,
-924.721 2191.67 390.125,   59 61,                        stand,   0.0 0.0 0.0,             ,
-812.852 2167.88 390.125,   60 62 223,                    stand,   0.0 0.0 0.0,             ,
-672.524 2131.63 390.125,   61 187 226 227 233 234,       stand,   0.0 0.0 0.0,             ,
-702.602 1517.53 413.753,   64 187 210,                   stand,   0.0 0.0 0.0,             ,
-594.071 1558.09 412.879,   63 186 235,                   stand,   0.0 0.0 0.0,             ,
-58.372 1923.6 224.125,     67 71 72 197 315,             stand,   0.0 0.0 0.0,             ,
-180.041 1465.6 228.595,    77 314,                       stand,   0.0 0.0 0.0,             ,
-138.642 2109.3 228.973,    55 56 65 68 69 216 217,       stand,   0.0 0.0 0.0,             ,
3.52358 2177.32 236.125,    67 69 70 218,                 stand,   0.0 0.0 0.0,             ,
126.449 2039.6 236.125,     67 68 70 71,                  stand,   0.0 0.0 0.0,             ,
165.553 2255.77 236.125,    68 69 218 219,                stand,   0.0 0.0 0.0,             ,
108.382 1908.19 224.125,    65 69 197,                    stand,   0.0 0.0 0.0,             ,
124.01 1820.76 224.125,     65 73 197,                    stand,   0.0 0.0 0.0,             ,
364.581 1815.79 127.098,    72 198 301 302,               stand,   0.0 0.0 0.0,             ,
331.592 1379.54 137.125,    81 198,                       stand,   0.0 0.0 0.0,             ,
203.977 1502.88 125.218,    76 198 299,                   stand,   0.0 0.0 0.0,             ,
150.192 1141.64 146.368,    47 75 77 78 79 88,            stand,   0.0 0.0 0.0,             ,
-150.865 1173.99 214.041,   47 49 52 66 76 78,            stand,   0.0 0.0 0.0,             ,
161.456 974.936 147.964,    47 76 77 79 88,               stand,   0.0 0.0 0.0,             ,
317.938 796.451 128.964,    76 78 80 88 94 100,           stand,   0.0 0.0 0.0,             ,
199.353 769.616 130.514,    79 95 203,                    stand,   0.0 0.0 0.0,             ,
365.102 1295.22 137.125,    74 82 86 290,                 stand,   0.0 0.0 0.0,             ,
633.478 1322.08 137.125,    81 83 107 291 292,            stand,   0.0 0.0 0.0,             ,
547.651 1421.19 151.004,    82 84,                        stand,   0.0 0.0 0.0,             ,
336.604 1411.11 273.125,    83 85,                        stand,   0.0 0.0 0.0,             ,
334.937 1153.36 273.125,    84 208 294 297,               stand,   0.0 0.0 0.0,             ,
444.03 1173.31 137.125,     81 87 290,                    stand,   0.0 0.0 0.0,             ,
541.305 1158.48 137.125,    86 88 202,                    stand,   0.0 0.0 0.0,             ,
528.738 983.917 155.942,    76 78 79 87 89 90,            stand,   0.0 0.0 0.0,             ,
719.541 1048.64 140.504,    88 90,                        stand,   0.0 0.0 0.0,             ,
641.191 925.027 163.507,    88 89 91,                     stand,   0.0 0.0 0.0,             ,
717.56 717.327 143.935,     90 92 93 105,                 stand,   0.0 0.0 0.0,             ,
610.755 492.106 139.235,    91 93 101 102 287 289,        stand,   0.0 0.0 0.0,             ,
595.299 655.106 143.906,    91 92 94,                     stand,   0.0 0.0 0.0,             ,
397.733 660.7 138.582,      79 93 95,                     stand,   0.0 0.0 0.0,             ,
133.777 589.401 136.125,    80 94 96,                     stand,   0.0 0.0 0.0,             ,
63.791 350.448 136.125,     95 97 101,                    stand,   0.0 0.0 0.0,             ,
-3.37649 85.6927 136.125,   96 98,                        stand,   0.0 0.0 0.0,             ,
-72.189 -60.8907 134.008,   97 99 122 127 195,            stand,   0.0 0.0 0.0,             ,
-143.115 -137.174 136.125,  39 98 184 195,                stand,   0.0 0.0 0.0,             ,
263.732 464.993 139.806,    79 101,                       stand,   0.0 0.0 0.0,             ,
290.567 229.111 136.116,    92 96 100 102 122 123 184,    stand,   0.0 0.0 0.0,             ,
617.72 335.107 143.347,     92 101 103 116 117 118 123,   stand,   0.0 0.0 0.0,             ,
971.549 448.641 134.836,    102 104 114 116,              stand,   0.0 0.0 0.0,             ,
1330.64 661.889 132.402,    103 105 112 114 115 183 191,  stand,   0.0 0.0 0.0,             ,
958.475 806.097 138.993,    91 104 106 112 114,           stand,   0.0 0.0 0.0,             ,
930.602 1114.4 131.949,     105 107 113 311,              stand,   0.0 0.0 0.0,             ,
896.576 1307.13 128.818,    82 106 108 113 199,           stand,   0.0 0.0 0.0,             ,
1145.15 1375.29 133.201,    107 109,                      stand,   0.0 0.0 0.0,             ,
1410.75 1348.64 136.125,    108 110 113,                  stand,   0.0 0.0 0.0,             ,
1538.15 1127.1 136.125,     109 111,                      stand,   0.0 0.0 0.0,             ,
1490.92 954.805 136.125,    110 112 200,                  stand,   0.0 0.0 0.0,             ,
1315.35 855.416 133.978,    104 105 111 113 114,          stand,   0.0 0.0 0.0,             ,
1236.0 1124.94 134.577,     106 107 109 112,              stand,   0.0 0.0 0.0,             ,
1155.02 641.371 121.468,    103 104 105 112 115 286,      stand,   0.0 0.0 0.0,             ,
1139.76 404.442 135.065,    104 114 116,                  stand,   0.0 0.0 0.0,             ,
1016.16 241.294 152.125,    102 103 115 117,              stand,   0.0 0.0 0.0,             ,
684.323 256.128 152.125,    102 116 118,                  stand,   0.0 0.0 0.0,             ,
648.525 -34.2147 152.125,   102 117 119 120 121,          stand,   0.0 0.0 0.0,             ,
800.051 -51.8376 152.125,   118 123,                      stand,   0.0 0.0 0.0,             ,
642.732 -229.455 152.125,   118 124 126 146,              stand,   0.0 0.0 0.0,             ,
502.134 1.32684 143.041,    118 122 123,                  stand,   0.0 0.0 0.0,             ,
295.98 -239.116 132.625,    98 101 121 124 126 184,       stand,   0.0 0.0 0.0,             ,
454.018 203.11 138.395,     101 102 119 121,              stand,   0.0 0.0 0.0,             ,
662.203 -467.111 155.925,   120 122 125 126 149,          stand,   0.0 0.0 0.0,             ,
749.351 -597.902 109.07,    124 142 149 150,              stand,   0.0 0.0 0.0,             ,
365.495 -451.001 136.125,   120 122 124 127 128,          stand,   0.0 0.0 0.0,             ,
82.8365 -440.782 136.125,   98 126 139,                   stand,   0.0 0.0 0.0,             ,
340.744 -559.476 136.125,   126 129 137 194,              stand,   0.0 0.0 0.0,             ,
403.892 -663.21 144.125,    128 130,                      stand,   0.0 0.0 0.0,             ,
397.939 -810.703 200.125,   129 131,                      stand,   0.0 0.0 0.0,             ,
222.962 -785.306 272.125,   130 132 189,                  stand,   0.0 0.0 0.0,             ,
131.008 -795.098 272.125,   131 133 136 246,              stand,   0.0 0.0 0.0,             ,
142.017 -573.307 272.125,   132 134,                      stand,   0.0 0.0 0.0,             ,
-10.0494 -569.091 272.125,  133 135,                      stand,   0.0 0.0 0.0,             ,
-23.1825 -897.228 272.125,  134 136 246 248,              stand,   0.0 0.0 0.0,             ,
144.555 -916.518 272.125,   132 135 246,                  stand,   0.0 0.0 0.0,             ,
238.643 -729.129 136.125,   128 138 194,                  stand,   0.0 0.0 0.0,             ,
143.678 -731.112 136.125,   137 139 140,                  stand,   0.0 0.0 0.0,             ,
68.5732 -531.372 136.125,   127 138,                      stand,   0.0 0.0 0.0,             ,
17.4699 -800.753 136.125,   138 141,                      stand,   0.0 0.0 0.0,             ,
17.3697 -913.155 136.125,   140 145,                      stand,   0.0 0.0 0.0,             ,
727.66 -896.83 88.6634,     125 143 255 256,              stand,   0.0 0.0 0.0,             ,
443.694 -1085.49 96.125,    142 144 185 255,              stand,   0.0 0.0 0.0,             ,
261.982 -920.761 107.379,   143 145 185,                  stand,   0.0 0.0 0.0,             ,
183.537 -907.89 136.125,    141 144,                      stand,   0.0 0.0 0.0,             ,
708.313 -276.713 134.915,   120 147,                      stand,   0.0 0.0 0.0,             ,
940.551 -288.421 124.575,   146 148,                      stand,   0.0 0.0 0.0,             ,
1195.18 -325.195 85.9686,   147 149 151 156,              stand,   0.0 0.0 0.0,             ,
1027.06 -447.323 91.8721,   124 125 148 150 151 152,      stand,   0.0 0.0 0.0,             ,
1069.45 -622.471 76.6503,   125 149 151 154,              stand,   0.0 0.0 0.0,             ,
1274.81 -421.913 74.5568,   148 149 150 152 156,          stand,   0.0 0.0 0.0,             ,
1321.69 -550.234 71.125,    149 151 153 154 155 156,      stand,   0.0 0.0 0.0,             ,
1231.38 -885.123 64.2415,   15 20 152 154,                stand,   0.0 0.0 0.0,             ,
1107.84 -815.829 66.1411,   17 20 150 152 153,            stand,   0.0 0.0 0.0,             ,
1322.84 -911.07 71.125,     15 152,                       stand,   0.0 0.0 0.0,             ,
1403.91 -357.092 69.0579,   148 151 152 157 201 272,      stand,   0.0 0.0 0.0,             ,
1453.64 -223.598 69.2018,   156 158 160 162 188,          stand,   0.0 0.0 0.0,             ,
1349.69 -154.998 96.125,    157 159,                      stand,   0.0 0.0 0.0,             ,
1318.0 -9.9136 152.125,     158 161 274,                  stand,   0.0 0.0 0.0,             ,
1479.33 105.609 123.811,    157 161 162 163 182,          stand,   0.0 0.0 0.0,             ,
1334.18 156.234 125.675,    159 160 162 182 275,          stand,   0.0 0.0 0.0,             ,
1544.46 -20.8428 109.032,   157 160 161 163 276,          stand,   0.0 0.0 0.0,             ,
1773.25 166.161 137.279,    160 162 164 182 276,          stand,   0.0 0.0 0.0,             ,
1790.62 348.294 244.125,    163 212,                      stand,   0.0 0.0 0.0,             ,
1507.41 362.995 308.125,    166 211 212,                  stand,   0.0 0.0 0.0,             ,
1523.37 442.568 308.125,    165 167 176 177 281,          stand,   0.0 0.0 0.0,             ,
1790.22 450.994 308.125,    166 168 177 278,              stand,   0.0 0.0 0.0,             ,
1787.2 677.216 460.125,     167 169,                      stand,   0.0 0.0 0.0,             ,
1607.95 685.467 580.125,    168 170 174,                  stand,   0.0 0.0 0.0,             ,
1483.94 683.256 580.125,    169 171 172 277,              stand,   0.0 0.0 0.0,             ,
1474.45 445.496 580.125,    170 214,                      stand,   0.0 0.0 0.0,             ,
1769.11 446.402 587.125,    170 173 214,                  stand,   0.0 0.0 0.0,             ,
1795.81 762.948 580.125,    172 174,                      stand,   0.0 0.0 0.0,             ,
1594.79 751.411 580.125,    169 173,                      stand,   0.0 0.0 0.0,             ,
1509.12 676.99 308.125,     178 279 281,                  stand,   0.0 0.0 0.0,             ,
1641.21 608.917 308.125,    166 177 178,                  stand,   0.0 0.0 0.0,             ,
1657.17 484.933 308.125,    166 167 176,                  stand,   0.0 0.0 0.0,             ,
1658.16 723.65 308.125,     175 176 179,                  stand,   0.0 0.0 0.0,             ,
1782.55 725.414 308.125,    178 180 280,                  stand,   0.0 0.0 0.0,             ,
1779.94 457.879 140.125,    179 181,                      stand,   0.0 0.0 0.0,             ,
1648.83 457.137 140.125,    180 182 207,                  stand,   0.0 0.0 0.0,             ,
1622.67 272.048 142.694,    160 161 163 181,              stand,   0.0 0.0 0.0,             ,
1499.77 664.062 140.125,    104 190 207,                  stand,   0.0 0.0 0.0,             ,
210.499 -35.9916 127.358,   99 101 122,                   stand,   0.0 0.0 0.0,             ,
325.051 -1152.52 96.125,    143 144,                      stand,   0.0 0.0 0.0,             ,
-596.083 1807.02 418.942,   64 236,                       stand,   0.0 0.0 0.0,             ,
-695.83 1902.42 398.125,    62 63 232 233 234,            stand,   0.0 0.0 0.0,             ,
1793.88 -151.125 75.1669,   157 276,                      stand,   0.0 0.0 0.0,             ,
265.755 -558.88 272.125,    131,                          stand,   0.0 0.0 0.0,             ,
1509.15 481.096 140.125,    183 310,                      stand,   0.0 0.0 0.0,             ,
1304.22 305.499 138.058,    104,                          stand,   0.0 0.0 0.0,             ,
-825.823 1939.75 254.125,   58 59 193,                    stand,   0.0 0.0 0.0,             ,
-862.075 2159.49 254.125,   192 222,                      stand,   0.0 0.0 0.0,             ,
242.871 -571.773 136.125,   128 137,                      stand,   0.0 0.0 0.0,             ,
-145.21 8.84962 135.517,    98 99,                        stand,   0.0 0.0 0.0,             ,
-229.754 26.6119 135.912,   41,                           stand,   0.0 0.0 0.0,             ,
-6.07648 1804.56 224.125,   65 71 72,                     stand,   0.0 0.0 0.0,             ,
334.575 1492.93 126.125,    73 74 75 300,                 stand,   0.0 0.0 0.0,             ,
839.36 1393.56 129.762,     107,                          stand,   0.0 0.0 0.0,             ,
1509.83 851.857 135.089,    111,                          stand,   0.0 0.0 0.0,             ,
1697.9 -337.218 68.1248,    156 272 273,                  stand,   0.0 0.0 0.0,             ,
687.949 1168.56 137.125,    87,                           stand,   0.0 0.0 0.0,             ,
31.9717 840.635 137.213,    80 298,                       stand,   0.0 0.0 0.0,             ,
966.009 -877.157 304.125,   205 257,                      stand,   0.0 0.0 0.0,             ,
1055.36 -1108.42 304.125,   204 206,                      stand,   0.0 0.0 0.0,             ,
915.586 -1113.41 304.125,   205,                          stand,   0.0 0.0 0.0,             ,
1627.75 652.932 140.125,    181 183 309,                  stand,   0.0 0.0 0.0,             ,
722.281 1172.92 273.125,    85 293 295 296,               stand,   0.0 0.0 0.0,             ,
-814.545 1266.08 245.733,   53 237 238 304,               stand,   0.0 0.0 0.0,             ,
-842.469 1520.99 410.388,   63 303,                       stand,   0.0 0.0 0.0,             ,
1603.33 384.447 308.125,    165 212 213,                  climb,   81.0999 -44.0717 0.0,    ,
1647.99 363.849 308.125,    164 165 211,                  stand,   0.0 0.0 0.0,             ,
1604.64 412.734 627.125,    211 214,                      climb,   73.8928 86.8854 0.0,     ,
1604.26 450.046 580.125,    171 172 213,                  stand,   0.0 0.0 0.0,             ,
-752.862 2260.38 243.125,   216,                          crouch,  6.04248 -0.214233 0.0,   ,
-465.996 2260.34 239.602,   56 67 215 217,                stand,   6.04248 -0.214233 0.0,   ,
-77.125 2276.88 236.125,    67 216,                       crouch,  4.31763 -141.284 0.0,    ,
-40.8749 2284.88 236.125,   68 70,                        crouch,  3.80127 -50.2954 0.0,    ,
232.867 2310.88 236.125,    70,                           crouch,  3.27942 -131.973 0.0,    ,
-543.125 1898.25 254.125,   57 58,                        crouch,  3.4552 141.18 0.0,       ,
-748.935 2152.54 254.125,   57,                           crouch,  5.18005 -30.6244 0.0,    ,
-840.859 2216.88 254.125,   193,                          crouch,  5.00977 -90.5438 0.0,    ,
-816.731 2069.24 390.125,   61 224,                       stand,   12.431 -94.1693 0.0,     ,
-799.125 1891.13 390.125,   223 225,                      crouch,  2.93335 105.765 0.0,     ,
-944.875 1891.13 390.125,   224,                          crouch,  5.52612 67.7802 0.0,     ,
-723.961 2216.88 390.125,   62,                           crouch,  4.14185 -54.7998 0.0,    ,
-543.723 2207.39 426.125,   62,                           crouch,  8.1134 -121.619 0.0,     ,
-501.308 2194.93 390.125,   231,                          stand,   15.7104 -85.7043 0.0,    ,
-499.405 1916.68 390.125,   230,                          stand,   16.9189 -90.5383 0.0,    ,
-489.518 2061.06 390.125,   229 231 233,                  stand,   31.4264 -88.2971 0.0,    ,
-494.081 2152.68 390.125,   228 230,                      crouch,  26.5924 -9.73938 0.0,    ,
-760.875 1891.13 390.125,   187,                          crouch,  5.35034 55.1733 0.0,     ,
-592.069 2052.88 390.125,   62 187 230 234,               stand,   27.2791 -5.08667 0.0,    ,
-594.176 1957.79 391.399,   62 187 233,                   stand,   26.7627 65.0171 0.0,     ,
-549.37 1464.67 414.291,    64,                           stand,   27.2791 -44.1046 0.0,    ,
-539.858 1849.75 452.149,   186,                          crouch,  23.6536 -63.2648 0.0,    ,
-952.875 1420.87 248.206,   209 238 304,                  crouch,  7.08069 -32.7063 0.0,    ,
-952.875 1195.13 255.019,   209 237,                      crouch,  7.59705 60.3589 0.0,     ,
-612.875 1615.23 256.125,   241,                          crouch,  5.52612 -7.15759 0.0,    ,
-557.945 1832.88 256.125,   54,                           crouch,  5.52612 -40.8252 0.0,    ,
-509.931 1593.3 256.125,    50 52 54 239 312,             stand,   14.6777 68.8184 0.0,     ,
-556.875 733.125 258.125,   46,                           crouch,  4.14185 45.6812 0.0,     ,
-550.875 1132.88 258.125,   47,                           crouch,  5.18005 -34.4366 0.0,    ,
-156.13 528.875 229.787,    43,                           crouch,  6.04248 -135.445 0.0,    ,
-740.875 383.125 237.326,   44,                           crouch,  6.04248 22.0276 0.0,     ,
40.0465 -804.0 272.125,     132 135 136,                  stand,   18.7714 10.6293 0.0,     ,
-91.125 -887.23 121.983,    37 248,                       climb,   -85.0 -0.0769043 0.0,    ,
-84.4378 -884.399 319.125,  135 247,                      climb,   85.0 -178.44 0.0,        ,
-342.875 -2128.87 206.22,   26,                           crouch,  8.24097 48.4332 0.0,     ,
752.875 -2128.88 153.969,   24,                           crouch,  5.82398 129.067 0.0,     ,
681.073 -1293.32 127.642,   252 253 254,                  stand,   20.3259 4.06494 0.0,     ,
902.221 -1291.07 125.838,   20 251,                       stand,   27.0605 -2.66968 0.0,    ,
306.713 -1276.15 126.362,   18 251 308,                   stand,   35.5255 133.039 0.0,     ,
696.925 -1237.45 142.125,   251 255,                      stand,   32.0703 91.2469 0.0,     ,
690.213 -1109.07 91.1899,   142 143 254 256,              stand,   4.96155 -92.6367 0.0,    ,
768.875 -970.38 87.223,     142 255 257,                  climb,   -85.0 1.10413 0.0,       ,
774.561 -967.961 319.125,   204 256,                      climb,   85.0 179.802 0.0,        ,
1180.62 -2000.88 64.125,    0 259,                        crouch,  0.12207 75.1849 0.0,     ,
1318.88 -2000.88 64.125,    0 258,                        crouch,  3.2312 113.516 0.0,      ,
1357.13 -1992.88 66.125,    261,                          crouch,  1.85242 47.2192 0.0,     ,
1409.91 -1862.51 66.125,    0 1 260,                      stand,   7.37854 -4.75159 0.0,    ,
1694.88 -1992.88 202.125,   5,                            crouch,  5.64819 127.507 0.0,     ,
1631.24 -1659.98 226.125,   6 264 266,                    stand,   11.3501 -177.594 0.0,    ,
1438.76 -1667.64 226.125,   263 265 269,                  stand,   16.3544 83.8147 0.0,     ,
1447.43 -1435.62 226.125,   264 266 267 268,              stand,   19.2932 6.63025 0.0,     ,
1623.54 -1435.52 227.125,   263 265 270,                  stand,   17.2168 -73.136 0.0,     ,
1298.88 -1493.55 226.125,   265 268,                      stand,   24.8138 85.8856 0.0,     ,
1297.68 -1415.08 226.125,   265 267,                      stand,   18.255 -47.5818 0.0,     ,
1357.13 -1768.88 233.125,   264,                          crouch,  4.09363 52.207 0.0,      ,
1694.88 -1367.13 226.125,   266,                          crouch,  1.67664 -133.231 0.0,    ,
1696.88 -1039.13 65.125,    13 16,                        crouch,  0.98999 -131.506 0.0,    ,
1808.88 -496.875 68.125,    156 201 273,                  crouch,  3.75305 154.77 0.0,      ,
1808.88 -269.125 68.1253,   201 272,                      crouch,  -2.29492 -136.857 0.0,   ,
1243.37 -7.53793 152.125,   159,                          crouch,  3.75305 0.933838 0.0,    ,
1354.09 228.27 197.23,      161,                          stand,   13.421 88.4784 0.0,      ,
1772.11 -35.9376 111.733,   162 163 188,                  stand,   23.7811 -119.416 0.0,    ,
1459.12 764.875 580.125,    170,                          crouch,  2.54456 -53.4869 0.0,    ,
1804.88 427.125 308.125,    167,                          crouch,  3.57727 150.43 0.0,      ,
1459.13 764.875 340.125,    175,                          crouch,  1.85242 -51.405 0.0,     ,
1804.88 764.875 308.125,    179,                          crouch,  3.75305 -118.575 0.0,    ,
1502.96 564.533 308.125,    166 175 282,                  stand,   17.5629 72.2131 0.0,     ,
1418.16 556.151 308.125,    281 283 284,                  stand,   35.3497 -171.074 0.0,    ,
1412.17 452.898 308.125,    282,                          crouch,  16.3544 133.682 0.0,     ,
1408.13 634.779 308.125,    282 285,                      stand,   23.6053 91.5546 0.0,     ,
1407.51 740.481 308.125,    284,                          stand,   65.5676 15.5841 0.0,     ,
1040.02 625.939 126.694,    114 288,                      stand,   2.89063 -164.141 0.0,    ,
710.106 520.335 152.898,    92 288,                       crouch,  2.54456 15.9412 0.0,     ,
934.903 588.521 141.136,    286 287,                      crouch,  1.16028 -166.047 0.0,    ,
458.646 469.344 147.81,     92,                           crouch,  1.16028 12.821 0.0,      ,
303.125 1135.13 137.125,    81 86,                        crouch,  3.57727 50.1196 0.0,     ,
752.875 1440.88 137.125,    82,                           crouch,  2.36877 -144.992 0.0,    ,
752.875 1247.13 137.125,    82,                           crouch,  2.19849 144.393 0.0,     ,
694.875 1225.84 273.125,    208,                          prone,   36.3824 122.822 0.0,     ,
438.332 1119.13 274.125,    85 295,                       crouch,  12.5586 -90.9283 0.0,    ,
528.476 1119.15 274.118,    208 294,                      crouch,  10.3119 -89.5441 0.0,    ,
752.875 1168.22 274.125,    208,                          crouch,  16.1841 -0.631714 0.0,   ,
303.125 1167.49 274.125,    85,                           crouch,  19.1174 177.896 0.0,     ,
-3.90821 936.887 136.548,   203,                          crouch,  4.09363 -52.7838 0.0,    ,
95.1252 1584.87 132.923,    75,                           crouch,  4.96155 -72.4713 0.0,    ,
432.875 1479.13 129.37,     198,                          crouch,  3.92334 131.451 0.0,     ,
432.875 1968.88 131.141,    73 302,                       crouch,  4.09363 -117.356 0.0,    ,
303.125 1968.87 132.531,    73 301,                       crouch,  3.2312 -70.0433 0.0,     ,
-847.531 1422.21 450.125,   210 304,                      climb,   85.0 -90.2417 0.0,       ,
-846.595 1412.87 245.436,   53 209 237 303,               climb,   -85.0 91.0547 0.0,       ,
89.2412 -1325.22 67.9735,   19 306 308,                   stand,   22.5726 -87.4951 0.0,    ,
54.5599 -1481.71 64.125,    31 32 305 307,                stand,   17.5684 -1.34033 0.0,    ,
223.322 -1490.05 64.125,    31 33 306 308,                stand,   21.1938 47.5269 0.0,     ,
231.673 -1360.62 64.125,    18 253 305 307,               stand,   9.27917 47.3566 0.0,     ,
1793.38 732.932 140.125,    207,                          crouch,  3.23669 -165.366 0.0,    ,
1508.34 447.125 140.125,    190,                          crouch,  -0.218506 86.0284 0.0,   ,
783.125 943.125 140.783,    106,                          crouch,  -0.0482178 48.3893 0.0,  ,
-388.769 1641.37 235.202,   51 52 54 241 313,             stand,   19.1656 -91.3074 0.0,    ,
-296.595 1525.77 232.594,   50 312 314,                   stand,   16.4026 55.8051 0.0,     ,
-228.416 1668.89 229.698,   51 66 313 315,                stand,   17.265 78.7665 0.0,      ,
-157.419 1843.94 228.554,   51 65 314,                    stand,   20.0281 64.5996 0.0,     ,
