363
-796.213 1116.21 8.125,      256 257,              stand,  0.0 0.0 0.0,            ,
329.713 1405.29 8.125,       262 263,              stand,  0.0 0.0 0.0,            ,
840.0 1713.5 0.125,          263 265,              stand,  0.0 0.0 0.0,            ,
173.5 442.5 8.125,           291 325,              stand,  0.0 0.0 0.0,            ,
-335.787 400.787 8.125,      294 295,              stand,  0.0 0.0 0.0,            ,
-356.287 -95.2868 8.125,     297 298,              stand,  0.0 0.0 0.0,            ,
-87.7132 -314.213 8.12501,   298 350,              stand,  0.0 0.0 0.0,            ,
48.2868 -494.787 16.125,     301 351,              stand,  0.0 0.0 0.0,            ,
186.213 -481.787 16.125,     302 352,              stand,  0.0 0.0 0.0,            ,
460.787 -175.787 16.125,     305 307,              stand,  0.0 0.0 0.0,            ,
280.287 -203.713 152.125,    39 355 357,           stand,  0.0 0.0 0.0,            ,
270.0 -550.0 152.125,        38 357,               stand,  0.0 0.0 0.0,            ,
-838.5 -29.0 8.125,          230 362,              stand,  0.0 0.0 0.0,            ,
-374.0 534.5 8.125,          290 320,              stand,  0.0 0.0 0.0,            ,
562.5 290.0 8.125,           280 288,              stand,  0.0 0.0 0.0,            ,
1029.79 823.713 8.125,       276 316,              stand,  0.0 0.0 0.0,            ,
833.0 37.5 8.125,            280 310,              stand,  0.0 0.0 0.0,            ,
1310.0 -149.5 8.125,         104 287,              stand,  0.0 0.0 0.0,            ,
1148.21 -644.787 8.125,      114 132 133 286,      stand,  0.0 0.0 0.0,            ,
-558.5 -1318.5 40.125,       173 188,              stand,  0.0 0.0 0.0,            ,
-284.5 -1077.0 40.125,       171 172,              stand,  0.0 0.0 0.0,            ,
-480.5 -184.5 8.125,         318 319,              stand,  0.0 0.0 0.0,            ,
-677.213 -1004.79 7.125,     168 361,              stand,  0.0 0.0 0.0,            ,
-1756.57 -2277.82 0.125,     52 151 220,           stand,  0.0 0.0 0.0,            ,
-1633.5 -2049.8 0.125,       51 53,                stand,  0.0 0.0 0.0,            ,
-1577.38 -1885.63 0.125,     18 52 54,             stand,  0.0 0.0 0.0,            ,
-1550.53 -1716.59 0.125,     53 55 149 150,        stand,  0.0 0.0 0.0,            ,
-1534.69 -1547.05 0.125,     54 56,                stand,  0.0 0.0 0.0,            ,
-1520.51 -1377.18 0.125,     55 57 207,            stand,  0.0 0.0 0.0,            ,
-1525.92 -1203.76 0.125,     19 56 58,             stand,  0.0 0.0 0.0,            ,
-1567.91 -1039.48 0.125,     57 59 161,            stand,  0.0 0.0 0.0,            ,
-1650.48 -889.846 0.125,     58 60,                stand,  0.0 0.0 0.0,            ,
-1732.88 -742.585 8.125,     59 61 210,            stand,  0.0 0.0 0.0,            ,
-1803.63 -585.023 8.125,     60 62 222,            stand,  0.0 0.0 0.0,            ,
-1828.2 -419.642 8.125,      61 63,                stand,  0.0 0.0 0.0,            ,
-1792.26 -251.612 8.125,     62 64 240,            stand,  0.0 0.0 0.0,            ,
-1740.96 -88.0681 8.125,     63 65,                stand,  0.0 0.0 0.0,            ,
-1670.96 68.9214 8.125,      64 66,                stand,  0.0 0.0 0.0,            ,
-1563.58 201.525 8.125,      65 67 238 242,        stand,  0.0 0.0 0.0,            ,
-1400.95 235.625 8.125,      66 68 241,            stand,  0.0 0.0 0.0,            ,
-1238.81 276.225 15.0459,    67 69 234,            stand,  0.0 0.0 0.0,            ,
-1185.78 437.235 13.3573,    68 70,                stand,  0.0 0.0 0.0,            ,
-1169.19 607.331 8.125,      25 69 71 253,         stand,  0.0 0.0 0.0,            ,
-1153.99 776.335 0.124998,   70 72,                stand,  0.0 0.0 0.0,            ,
-1093.07 936.533 0.124998,   71 73 326,            stand,  0.0 0.0 0.0,            ,
-1028.59 1092.23 8.125,      26 72 74 256,         stand,  0.0 0.0 0.0,            ,
-974.178 1254.02 8.125,      73 75 341,            stand,  0.0 0.0 0.0,            ,
-911.82 1413.63 8.125,       74 76,                stand,  0.0 0.0 0.0,            ,
-767.609 1501.83 8.125,      75 77,                stand,  0.0 0.0 0.0,            ,
-606.156 1503.94 8.125,      76 78 258,            stand,  0.0 0.0 0.0,            ,
-438.636 1478.22 8.125,      27 77 79,             stand,  0.0 0.0 0.0,            ,
-338.958 1446.0 8.125,       2 78 80,              stand,  0.0 0.0 0.0,            ,
-240.737 1410.03 8.125,      79 81,                stand,  0.0 0.0 0.0,            ,
-142.514 1374.03 8.125,      80 82 259 340,        stand,  0.0 0.0 0.0,            ,
-44.2901 1338.04 8.125,      1 81 83,              stand,  0.0 0.0 0.0,            ,
53.9336 1302.05 8.125,       82 84,                stand,  0.0 0.0 0.0,            ,
152.157 1266.06 8.125,       1 83 85 259,          stand,  0.0 0.0 0.0,            ,
250.419 1230.17 8.125,       84 86 261,            stand,  0.0 0.0 0.0,            ,
354.24 1220.56 8.125,        85 87 262,            stand,  0.0 0.0 0.0,            ,
454.54 1237.65 0.125,        86 88,                stand,  0.0 0.0 0.0,            ,
557.891 1257.81 0.125,       87 89 263,            stand,  0.0 0.0 0.0,            ,
658.759 1277.7 4.93007,      88 90,                stand,  0.0 0.0 0.0,            ,
762.523 1297.13 9.36576,     89 91 273 274,        stand,  0.0 0.0 0.0,            ,
866.64 1302.05 10.6631,      90 92,                stand,  0.0 0.0 0.0,            ,
967.799 1270.49 8.27703,     91 93,                stand,  0.0 0.0 0.0,            ,
1050.29 1205.27 5.96592,     7 92 94 314,          stand,  0.0 0.0 0.0,            ,
1125.74 1132.29 7.02495,     93 95,                stand,  0.0 0.0 0.0,            ,
1169.96 1039.65 8.4879,      7 94 96 329,          stand,  0.0 0.0 0.0,            ,
1181.06 933.364 4.61776,     95 97 315 316,        stand,  0.0 0.0 0.0,            ,
1238.16 846.909 3.03944,     96 98 328,            stand,  0.0 0.0 0.0,            ,
1290.99 757.358 8.125,       97 99,                stand,  0.0 0.0 0.0,            ,
1309.35 521.763 8.125,       8 98 100,             stand,  0.0 0.0 0.0,            ,
1324.28 361.78 8.125,        99 101,               stand,  0.0 0.0 0.0,            ,
1492.46 341.209 8.125,       9 100 102,            stand,  0.0 0.0 0.0,            ,
1612.08 225.021 8.125,       101 103 130 342,      stand,  0.0 0.0 0.0,            ,
1634.4 54.7847 8.125,        102 104,              stand,  0.0 0.0 0.0,            ,
1650.29 -115.948 8.125,      45 103 105,           stand,  0.0 0.0 0.0,            ,
1663.36 -284.757 0.125,      104 106 129,          stand,  0.0 0.0 0.0,            ,
1672.57 -451.624 8.125,      13 105 107,           stand,  0.0 0.0 0.0,            ,
1678.26 -624.289 5.79122,    106 108,              stand,  0.0 0.0 0.0,            ,
1678.65 -793.858 5.78343,    13 107 109 134,       stand,  0.0 0.0 0.0,            ,
1661.56 -963.94 6.12685,     108 110,              stand,  0.0 0.0 0.0,            ,
1538.44 -1079.79 8.125,      109 111,              stand,  0.0 0.0 0.0,            ,
1367.12 -1087.71 8.125,      110 112 134,          stand,  0.0 0.0 0.0,            ,
1222.67 -1048.15 8.125,      111 113,              stand,  0.0 0.0 0.0,            ,
1229.87 -877.491 8.125,      112 114 133,          stand,  0.0 0.0 0.0,            ,
1111.13 -818.796 8.125,      46 113 115,           stand,  0.0 0.0 0.0,            ,
1010.95 -790.264 8.125,      12 114 116,           stand,  0.0 0.0 0.0,            ,
905.481 -786.164 8.125,      115 117,              stand,  0.0 0.0 0.0,            ,
831.426 -861.722 8.125,      116 118,              stand,  0.0 0.0 0.0,            ,
795.101 -945.635 8.125,      117 119 135,          stand,  0.0 0.0 0.0,            ,
663.426 -947.876 8.125,      118 120,              stand,  0.0 0.0 0.0,            ,
558.928 -947.305 8.125,      119 121 136,          stand,  0.0 0.0 0.0,            ,
523.338 -833.709 8.125,      120 122,              stand,  0.0 0.0 0.0,            ,
537.229 -664.169 8.125,      121 123,              stand,  0.0 0.0 0.0,            ,
550.11 -493.411 8.125,       14 122 124,           stand,  0.0 0.0 0.0,            ,
683.07 -386.611 8.125,       123 125,              stand,  0.0 0.0 0.0,            ,
852.961 -365.286 0.125,      124 126,              stand,  0.0 0.0 0.0,            ,
1023.65 -349.826 0.125,      125 127 132,          stand,  0.0 0.0 0.0,            ,
1192.06 -334.572 0.125,      126 128 287,          stand,  0.0 0.0 0.0,            ,
1362.75 -319.112 0.125,      127 129,              stand,  0.0 0.0 0.0,            ,
1532.9 -298.641 0.125,       105 128 134 342,      stand,  0.0 0.0 0.0,            ,
1273.5 187.585 8.125,        10 102 131,           stand,  0.0 0.0 0.0,            ,
1148.69 213.91 8.125,        130 343 354,          stand,  0.0 0.0 0.0,            ,
1232.91 -453.104 0.57176,    46 126 134,           stand,  0.0 0.0 0.0,            ,
1237.11 -698.785 8.125,      46 113 134,           stand,  0.0 0.0 0.0,            ,
1433.8 -670.742 8.125,       108 111 129 132 133,  stand,  0.0 0.0 0.0,            ,
786.434 -694.784 8.125,      12 118,               stand,  0.0 0.0 0.0,            ,
470.616 -937.161 8.125,      120 137,              stand,  0.0 0.0 0.0,            ,
307.138 -963.954 8.1053,     136 138 181,          stand,  0.0 0.0 0.0,            ,
229.346 -1115.03 7.90251,    15 137,               stand,  0.0 0.0 0.0,            ,
-81.919 -1184.04 0.125001,   15 140 181,           stand,  0.0 0.0 0.0,            ,
-64.8323 -1354.66 0.125001,  139 141 180,          stand,  0.0 0.0 0.0,            ,
-27.3837 -1523.74 0.125001,  140 142,              stand,  0.0 0.0 0.0,            ,
-112.64 -1649.89 0.125001,   141 143,              stand,  0.0 0.0 0.0,            ,
-282.953 -1670.08 0.125001,  142 144,              stand,  0.0 0.0 0.0,            ,
-451.724 -1683.56 0.125001,  143 145 190,          stand,  0.0 0.0 0.0,            ,
-620.811 -1654.85 0.125001,  16 144 146,           stand,  0.0 0.0 0.0,            ,
-880.841 -1806.92 7.125,     145 147,              stand,  0.0 0.0 0.0,            ,
-1052.16 -1801.85 7.125,     146 148,              stand,  0.0 0.0 0.0,            ,
-1220.89 -1789.02 7.125,     147 149,              stand,  0.0 0.0 0.0,            ,
-1390.71 -1776.2 7.125,      54 148,               stand,  0.0 0.0 0.0,            ,
-1587.01 -1707.58 0.125,     18 54,                stand,  0.0 0.0 0.0,            ,
-1752.28 -2315.08 0.125,     51 221,               stand,  0.0 0.0 0.0,            ,
-1655.6 -2492.44 7.125,      153 221,              stand,  0.0 0.0 0.0,            ,
-1497.85 -2430.21 7.125,     152 154,              stand,  0.0 0.0 0.0,            ,
-1419.0 -2281.8 7.125,       153 155,              stand,  0.0 0.0 0.0,            ,
-1411.08 -2110.5 7.125,      154 156,              stand,  0.0 0.0 0.0,            ,
-1405.79 -1939.76 7.125,     155 157,              stand,  0.0 0.0 0.0,            ,
-1384.46 -1632.29 7.125,     156 158,              stand,  0.0 0.0 0.0,            ,
-1371.31 -1462.54 7.125,     157 159,              stand,  0.0 0.0 0.0,            ,
-1373.17 -1292.13 7.125,     158 160,              stand,  0.0 0.0 0.0,            ,
-1379.81 -1121.2 7.125,      159 161,              stand,  0.0 0.0 0.0,            ,
-1377.02 -948.925 7.125,     58 160 162,           stand,  0.0 0.0 0.0,            ,
-1318.39 -863.392 7.125,     161 163,              stand,  0.0 0.0 0.0,            ,
-1222.12 -822.212 0.125,     162 164,              stand,  0.0 0.0 0.0,            ,
-1122.69 -805.195 0.125,     21 163 165 224,       stand,  0.0 0.0 0.0,            ,
-1015.42 -800.902 0.125,     164 166,              stand,  0.0 0.0 0.0,            ,
-913.756 -799.876 0.125,     21 165 167,           stand,  0.0 0.0 0.0,            ,
-807.31 -820.193 0.125,      166 168 227,          stand,  0.0 0.0 0.0,            ,
-715.153 -958.469 7.125,     50 167 169,           stand,  0.0 0.0 0.0,            ,
-556.417 -980.994 40.125,    168 170,              stand,  0.0 0.0 0.0,            ,
-386.52 -972.544 40.125,     169 185 186,          stand,  0.0 0.0 0.0,            ,
-342.857 -1077.13 40.125,    48 172 186 187,       stand,  0.0 0.0 0.0,            ,
-368.882 -1178.3 40.125,     48 171 173,           stand,  0.0 0.0 0.0,            ,
-415.479 -1271.88 40.125,    47 172 174,           stand,  0.0 0.0 0.0,            ,
-448.315 -1371.15 40.125,    173 175 178,          stand,  0.0 0.0 0.0,            ,
-396.92 -1408.54 40.125,     174 176,              stand,  0.0 0.0 0.0,            ,
-292.393 -1411.18 40.125,    175 179,              stand,  0.0 0.0 0.0,            ,
-743.78 -1498.35 7.125,      16 178 190 191,       stand,  0.0 0.0 0.0,            ,
-509.788 -1402.99 40.125,    174 177,              stand,  0.0 0.0 0.0,            ,
-218.875 -1414.17 40.1248,   176 180,              climb,  4.29016 179.044 0.0,    ,
-202.875 -1416.53 0.125,     140 179,              climb,  15.1776 -173.474 0.0,   ,
-93.1631 -944.722 5.14032,   137 139 182,          stand,  0.0 0.0 0.0,            ,
-190.134 -964.598 8.125,     181 183,              climb,  3.41125 -173.364 0.0,   ,
-244.874 -967.446 52.125,    182 184,              climb,  0.65918 -176.336 0.0,   ,
-267.001 -971.865 112.125,   183 185,              stand,  0.0 0.0 0.0,            ,
-289.855 -967.009 40.125,    170 184,              climb,  -38.1665 1.61134 0.0,   ,
-342.217 -1018.15 40.125,    170 171,              stand,  0.0 0.0 0.0,            ,
-509.655 -1073.56 40.125,    171 189,              stand,  0.0 0.0 0.0,            ,
-561.041 -1196.1 40.125,     47 189,               stand,  0.0 0.0 0.0,            ,
-557.743 -1070.07 40.125,    187 188,              stand,  0.0 0.0 0.0,            ,
-813.498 -1512.08 7.125,     144 177 191,          stand,  0.0 0.0 0.0,            ,
-917.97 -1514.59 7.125,      17 177 190 192,       stand,  0.0 0.0 0.0,            ,
-1022.43 -1509.96 7.125,     191 193,              stand,  0.0 0.0 0.0,            ,
-1126.61 -1522.08 7.125,     17 192 194 209,       stand,  0.0 0.0 0.0,            ,
-1181.39 -1597.95 40.125,    193 195,              stand,  0.0 0.0 0.0,            ,
-1128.34 -1682.38 56.125,    194 196,              stand,  0.0 0.0 0.0,            ,
-1044.33 -1684.36 112.125,   195 197,              stand,  0.0 0.0 0.0,            ,
-909.608 -1627.23 144.125,   196 359,              stand,  0.0 0.0 0.0,            ,
-1054.4 -1263.38 144.125,    199 360,              stand,  0.0 0.0 0.0,            ,
-1092.99 -1199.32 144.125,   198 200 208,          stand,  0.0 0.0 0.0,            ,
-1011.0 -1063.81 171.707,    199 201,              stand,  0.0 0.0 0.0,            ,
-1005.69 -986.399 149.817,   200 202,              stand,  0.0 0.0 0.0,            ,
-1072.6 -986.888 149.912,    201 203,              stand,  0.0 0.0 0.0,            ,
-1243.02 -999.195 153.025,   202 204,              stand,  0.0 0.0 0.0,            ,
-1272.66 -1168.2 151.689,    203 205 208,          stand,  0.0 0.0 0.0,            ,
-1250.63 -1337.05 154.511,   204 206,              stand,  0.0 0.0 0.0,            ,
-1312.14 -1401.27 157.625,   205 207,              climb,  37.3688 134.821 0.0,    ,
-1351.96 -1385.7 7.125,      56 206,               climb,  -21.0059 0.699477 0.0,  ,
-1169.41 -1212.78 172.125,   199 204,              stand,  0.0 0.0 0.0,            ,
-1173.18 -1382.1 7.125,      19 193,               stand,  0.0 0.0 0.0,            ,
-1736.37 -815.986 8.125,     60 211,               stand,  0.0 0.0 0.0,            ,
-1742.82 -979.448 44.125,    210 358,              stand,  0.0 0.0 0.0,            ,
-1816.28 -1137.3 44.125,     20 213,               stand,  0.0 0.0 0.0,            ,
-1832.29 -1240.72 44.125,    20 212 214,           stand,  0.0 0.0 0.0,            ,
-1843.04 -1344.74 44.125,    213 215,              stand,  0.0 0.0 0.0,            ,
-1840.78 -1449.6 44.125,     214 216,              stand,  0.0 0.0 0.0,            ,
-1722.15 -1558.25 44.125,    215 217,              stand,  0.0 0.0 0.0,            ,
-1714.28 -1662.55 33.519,    216 218,              stand,  0.0 0.0 0.0,            ,
-1710.44 -1720.73 8.125,     217 219,              stand,  0.0 0.0 0.0,            ,
-1705.15 -1891.77 8.125,     218 220,              stand,  0.0 0.0 0.0,            ,
-1720.01 -2062.77 8.125,     51 219,               stand,  0.0 0.0 0.0,            ,
-1766.48 -2467.87 7.125,     151 152,              stand,  0.0 0.0 0.0,            ,
-1725.4 -528.477 8.125,      22 61 223,            stand,  0.0 0.0 0.0,            ,
-1426.4 -526.78 8.125,       22 222 224,           stand,  0.0 0.0 0.0,            ,
-1263.57 -521.38 8.125,      164 223 225,          stand,  0.0 0.0 0.0,            ,
-1130.04 -584.037 8.125,     224 226,              stand,  0.0 0.0 0.0,            ,
-959.677 -572.671 8.125,     225 227,              stand,  0.0 0.0 0.0,            ,
-784.754 -632.479 0.125,     167 226 228,          stand,  0.0 0.0 0.0,            ,
-727.443 -472.895 0.125,     227 229 318 361 362,  stand,  0.0 0.0 0.0,            ,
-717.42 -299.836 0.125,      228 230,              stand,  0.0 0.0 0.0,            ,
-710.067 -127.974 0.125,     40 229 231,           stand,  0.0 0.0 0.0,            ,
-705.853 41.2807 0.125,      230 232 319,          stand,  0.0 0.0 0.0,            ,
-757.417 201.176 0.125,      231 233 243,          stand,  0.0 0.0 0.0,            ,
-919.727 237.15 4.43451,     25 232 234,           stand,  0.0 0.0 0.0,            ,
-1088.23 266.274 6.36387,    68 233,               stand,  0.0 0.0 0.0,            ,
-1342.05 117.956 8.125,      236 255,              stand,  0.0 0.0 0.0,            ,
-1303.2 18.0562 8.125,       24 235 237,           stand,  0.0 0.0 0.0,            ,
-1484.44 -33.4156 8.125,     24 236 238,           stand,  0.0 0.0 0.0,            ,
-1589.5 -36.1028 8.125,      66 237 239,           stand,  0.0 0.0 0.0,            ,
-1687.46 -72.847 8.125,      23 238,               stand,  0.0 0.0 0.0,            ,
-1593.5 -354.113 8.125,      23 63,                stand,  0.0 0.0 0.0,            ,
-1794.23 281.138 8.125,      67 242,               stand,  0.0 0.0 0.0,            ,
-1570.36 317.242 8.125,      66 241 255,           stand,  0.0 0.0 0.0,            ,
-728.252 266.308 0.125,      232 244,              stand,  0.0 0.0 0.0,            ,
-700.554 425.425 0.125,      243 245 319 320,      stand,  0.0 0.0 0.0,            ,
-769.33 580.429 0.125,       244 246,              stand,  0.0 0.0 0.0,            ,
-862.789 722.137 0.125,      245 247 324,          stand,  0.0 0.0 0.0,            ,
-974.476 853.029 0.125,      246 248 252,          stand,  0.0 0.0 0.0,            ,
-1146.45 945.125 0.125,      26 247 249,           stand,  0.0 0.0 0.0,            ,
-1315.48 973.615 0.125,      248 250,              stand,  0.0 0.0 0.0,            ,
-1384.06 763.482 8.125,      249 251,              stand,  0.0 0.0 0.0,            ,
-1203.15 726.356 8.125,      250 252,              stand,  0.0 0.0 0.0,            ,
-1147.18 805.967 0.125,      247 251,              stand,  0.0 0.0 0.0,            ,
-1324.27 613.137 8.125,      70 254,               stand,  0.0 0.0 0.0,            ,
-1324.32 458.263 19.5104,    253 255,              stand,  0.0 0.0 0.0,            ,
-1324.31 325.867 18.3567,    235 242 254,          stand,  0.0 0.0 0.0,            ,
-923.35 1066.61 8.125,       0 73,                 stand,  0.0 0.0 0.0,            ,
-777.896 1272.09 8.125,      0 258,                stand,  0.0 0.0 0.0,            ,
-496.802 1264.48 8.125,      77 257,               stand,  0.0 0.0 0.0,            ,
-183.81 1311.81 8.125,       2 81 84 260,          stand,  0.0 0.0 0.0,            ,
-205.888 1154.02 8.125,      259 261,              stand,  0.0 0.0 0.0,            ,
34.4085 1155.48 8.125,       85 260,               stand,  0.0 0.0 0.0,            ,
402.775 1287.98 0.125,       29 86 263,            stand,  0.0 0.0 0.0,            ,
543.767 1387.53 0.125,       29 30 88 262 264,     stand,  0.0 0.0 0.0,            ,
574.085 1556.78 0.125,       263 265,              stand,  0.0 0.0 0.0,            ,
570.307 1728.19 0.125,       30 264 266,           stand,  0.0 0.0 0.0,            ,
578.116 1896.88 0.125,       265 267,              stand,  0.0 0.0 0.0,            ,
567.632 2068.43 0.125,       266 268,              stand,  0.0 0.0 0.0,            ,
665.67 2202.21 0.125,        267 269,              stand,  0.0 0.0 0.0,            ,
826.846 2182.35 0.125,       268 270,              stand,  0.0 0.0 0.0,            ,
864.924 2012.31 0.125,       269 271,              stand,  0.0 0.0 0.0,            ,
848.667 1842.62 0.125,       270 272,              stand,  0.0 0.0 0.0,            ,
831.623 1672.48 4.1491,      271 273,              stand,  0.0 0.0 0.0,            ,
815.594 1504.7 15.7246,      90 272 330,           stand,  0.0 0.0 0.0,            ,
777.954 1111.07 11.3297,     90 275,               stand,  0.0 0.0 0.0,            ,
791.154 955.013 5.92838,     274 276 316 317,      stand,  0.0 0.0 0.0,            ,
793.404 795.936 8.125,       43 275 277 317,       stand,  0.0 0.0 0.0,            ,
770.517 644.127 0.125,       276 278 288 347,      stand,  0.0 0.0 0.0,            ,
745.28 489.702 0.125,        277 279 288,          stand,  0.0 0.0 0.0,            ,
728.591 334.656 0.125,       278 280,              stand,  0.0 0.0 0.0,            ,
713.426 178.9 0.125,         42 44 279 281,        stand,  0.0 0.0 0.0,            ,
702.435 27.9095 0.125,       280 282,              stand,  0.0 0.0 0.0,            ,
719.692 -76.6392 0.125,      281 283,              stand,  0.0 0.0 0.0,            ,
756.316 -172.782 0.125,      282 284,              stand,  0.0 0.0 0.0,            ,
797.373 -268.128 0.125,      14 283 285 353,       stand,  0.0 0.0 0.0,            ,
897.02 -429.837 0.125,       284 286,              stand,  0.0 0.0 0.0,            ,
1062.81 -537.961 8.125,      46 285,               stand,  0.0 0.0 0.0,            ,
1112.72 -181.687 8.125,      45 127,               stand,  0.0 0.0 0.0,            ,
532.559 531.352 8.125,       42 277 278 289,       stand,  0.0 0.0 0.0,            ,
333.199 554.281 8.125,       288 290 311,          stand,  0.0 0.0 0.0,            ,
162.687 552.261 8.125,       41 289 291 321,       stand,  0.0 0.0 0.0,            ,
49.7006 431.339 8.125,       31 290 292,           stand,  0.0 0.0 0.0,            ,
-75.5867 420.903 8.125,      291 293,              stand,  0.0 0.0 0.0,            ,
-179.961 415.3 8.125,        292 294,              stand,  0.0 0.0 0.0,            ,
-284.317 409.809 8.125,      32 293 295,           stand,  0.0 0.0 0.0,            ,
-333.28 312.226 8.125,       32 294 296,           stand,  0.0 0.0 0.0,            ,
-325.743 143.033 8.125,      295 297 319,          stand,  0.0 0.0 0.0,            ,
-339.743 -28.7074 8.125,     33 296 298,           stand,  0.0 0.0 0.0,            ,
-167.809 -94.0194 8.125,     33 34 297 299,        stand,  0.0 0.0 0.0,            ,
-132.462 -283.17 8.125,      298 300,              stand,  0.0 0.0 0.0,            ,
-29.5708 -422.671 16.125,    299 301,              stand,  0.0 0.0 0.0,            ,
72.8661 -422.202 16.125,     35 300 302,           stand,  0.0 0.0 0.0,            ,
177.363 -424.484 16.125,     36 301 303,           stand,  0.0 0.0 0.0,            ,
281.837 -427.335 16.125,     302 304,              stand,  0.0 0.0 0.0,            ,
370.224 -307.778 16.125,     303 305 351 352,      stand,  0.0 0.0 0.0,            ,
376.65 -203.401 16.125,      37 304 306,           stand,  0.0 0.0 0.0,            ,
383.534 -99.0639 16.125,     305 307,              stand,  0.0 0.0 0.0,            ,
396.17 4.75117 16.125,       37 306 308 356,       stand,  0.0 0.0 0.0,            ,
549.959 59.8189 8.125,       307 309,              stand,  0.0 0.0 0.0,            ,
651.526 38.6535 8.125,       308 310,              stand,  0.0 0.0 0.0,            ,
753.779 36.4314 0.125,       44 309,               stand,  0.0 0.0 0.0,            ,
341.511 842.07 8.125,        289 312 321,          stand,  0.0 0.0 0.0,            ,
464.816 983.63 0.125,        311 317 331,          stand,  0.0 0.0 0.0,            ,
1187.88 1511.45 12.2511,     6 314,                stand,  0.0 0.0 0.0,            ,
1100.7 1428.8 7.61773,       6 93 313,             stand,  0.0 0.0 0.0,            ,
1311.51 930.377 5.35571,     8 96,                 stand,  0.0 0.0 0.0,            ,
1000.3 887.257 3.29008,      43 96 275,            stand,  0.0 0.0 0.0,            ,
638.855 918.9 0.124998,      275 276 312,          stand,  0.0 0.0 0.0,            ,
-466.931 -438.299 8.125,     49 228 350,           stand,  0.0 0.0 0.0,            ,
-491.588 104.446 8.125,      49 231 244 296,       stand,  0.0 0.0 0.0,            ,
-508.489 495.11 8.125,       41 244 323,           stand,  0.0 0.0 0.0,            ,
132.904 685.263 0.125001,    290 311 322,          stand,  0.0 0.0 0.0,            ,
39.799 843.393 8.125,        321 323,              stand,  0.0 0.0 0.0,            ,
-408.656 839.64 8.125,       28 320 322,           stand,  0.0 0.0 0.0,            ,
-715.98 892.23 8.125,        28 246,               stand,  0.0 0.0 0.0,            ,
-88.276 578.506 8.125,       31 326,               stand,  0.0 0.0 0.0,            ,
-611.833 718.656 0.125002,   72 325,               stand,  0.0 0.0 0.0,            ,
1232.93 367.725 8.125,       9 328,                stand,  0.0 0.0 0.0,            ,
1233.22 597.415 8.125,       97 327,               stand,  0.0 0.0 0.0,            ,
1177.74 1259.97 14.9662,     95 330,               stand,  0.0 0.0 0.0,            ,
868.088 1337.33 11.8343,     273 329,              stand,  0.0 0.0 0.0,            ,
406.142 1007.93 0.125,       312 332,              climb,  -7.69592 -175.314 0.0,  ,
340.126 1010.34 64.125,      331 333,              climb,  5.60852 176.765 0.0,    ,
265.606 1012.19 144.125,     5 332,                climb,  7.1521 176.105 0.0,     ,
-290.99 1014.82 144.125,     4 5,                  stand,  0.0 0.0 0.0,            ,
-282.32 1265.51 144.125,     3 4,                  stand,  0.0 0.0 0.0,            ,
-175.705 1410.87 144.125,    3 337,                stand,  0.0 0.0 0.0,            ,
