558
932.372 -2869.11 -159.875,   1 228 427,                            stand,   ,                        ,
-1118.46 -3479.73 -119.875,  96 100 123 125,                       stand,   ,                        ,
-958.015 -3473.67 -107.875,  124 126 312 313 315 316,              stand,   ,                        ,
-756.38 -3558.6 -107.875,    125 127 130 315 316,                  stand,   ,                        ,
-746.126 -3465.86 -107.875,  117 126 128,                          stand,   ,                        ,
-563.019 -3446.71 -91.503,   127 129 318 319,                      stand,   ,                        ,
-559.054 -3679.98 -91.8977,  128 130 320,                          stand,   ,                        ,
-736.532 -3659.28 -107.875,  126 129 131,                          stand,   ,                        ,
-737.24 -3789.82 -107.875,   101 130 132,                          stand,   ,                        ,
-1036.37 -3774.21 28.125,    131 133 321,                          stand,   ,                        ,
-1019.56 -3677.81 28.125,    132 134 322,                          stand,   ,                        ,
-923.109 -3683.18 28.125,    133 137 328,                          stand,   ,                        ,
-924.085 -3440.54 28.125,    136 325 326 327 328,                  stand,   ,                        ,
-731.853 -3444.27 28.125,    135 137 324,                          stand,   ,                        ,
-765.465 -3701.45 28.125,    134 136 323,                          stand,   ,                        ,
-238.004 -4290.32 -278.031,  88 108 139,                           stand,   ,                        ,
-87.4378 -3984.53 -288.879,  105 138 140,                          stand,   ,                        ,
57.9382 -3786.51 -296.693,   86 105 106 109 110 139,               stand,   ,                        ,
-777.784 -2436.8 -175.875,   118 119 120 142 144,                  stand,   ,                        ,
-945.797 -2199.01 -183.724,  141 143 153 502,                      stand,   ,                        ,
-1036.15 -2301.46 -183.875,  142 144 149 150,                      stand,   ,                        ,
-995.736 -2524.19 -183.877,  118 120 121 141 143 150 152,          stand,   ,                        ,
-1419.91 -2739.33 -182.212,  97 152 505,                           stand,   ,                        ,
-1456.7 -2091.65 -183.875,   147 250 305 504 505,                  stand,   ,                        ,
-1415.45 -1677.98 -183.203,  146 148 154,                          stand,   ,                        ,
-1232.95 -1684.64 -179.875,  147 154 155 503,                      stand,   ,                        ,
-1169.51 -2212.62 -198.256,  143 150 151 153 502 503 504,          stand,   ,                        ,
-1153.35 -2390.06 -194.52,   143 144 149 151,                      stand,   ,                        ,
-1249.8 -2466.55 -188.036,   121 149 150 152 505,                  stand,   ,                        ,
-1294.19 -2773.81 -187.579,  121 122 144 145 151,                  stand,   ,                        ,
-1142.75 -1851.1 -193.112,   142 149 501 502 503,                  stand,   ,                        ,
-1273.9 -1470.41 -181.338,   147 148 155 172 249,                  stand,   ,                        ,
-1061.57 -1507.72 -184.142,  148 154 170 171 175 249,              stand,   ,                        ,
-741.372 -1935.45 -135.875,  157 499 500,                          stand,   ,                        ,
-583.548 -2010.81 -135.875,  156 158 159,                          stand,   ,                        ,
-704.882 -2207.0 -135.875,   115 157 479,                          stand,   ,                        ,
-394.193 -1974.77 -135.875,  157 160 480 483,                      stand,   ,                        ,
-367.171 -2141.85 -135.875,  159 161 246 483,                      stand,   ,                        ,
-531.936 -2332.13 0.125,     160 486 487 488,                      stand,   ,                        ,
-649.853 -2220.16 0.125,     163 488 490 491,                      stand,   ,                        ,
-543.944 -1961.33 0.125,     162 164 165 491 494,                  stand,   ,                        ,
-459.05 -1764.68 0.125,      163 165 495,                          stand,   ,                        ,
-389.801 -1945.43 0.125,     163 164 166,                          stand,   ,                        ,
-284.122 -2007.61 0.125,     165 167 496,                          stand,   ,                        ,
-211.471 -1901.15 0.125,     166 168 497,                          stand,   ,                        ,
-414.201 -1732.13 -135.875,  167 169 498,                          stand,   ,                        ,
-310.682 -1634.01 -146.491,  168 170 173 174 217 242 243,          stand,   ,                        ,
-456.783 -1556.32 -177.806,  155 169 171 173 174 175 219 482,      stand,   ,                        ,
-726.42 -1722.69 -182.565,   155 170 172 175 482 500 501,          stand,   ,                        ,
-905.159 -1260.46 -183.875,  154 171 191 249,                      stand,   ,                        ,
-442.063 -1066.41 -179.875,  169 170 174 177 190 191 200 201 219,  stand,   ,                        ,
-505.561 -1187.75 -190.029,  169 170 173 176 219,                  stand,   ,                        ,
-755.103 -1426.99 -194.637,  155 170 171 176,                      stand,   ,                        ,
-623.283 -1253.24 -180.399,  174 175,                              stand,   ,                        ,
-716.221 -745.012 -183.277,  173 178 190 191 200,                  stand,   ,                        ,
-864.79 -420.833 -183.875,   177 189 295 296 301,                  stand,   ,                        ,
-725.365 -42.2323 -175.875,  180 189 296,                          stand,   ,                        ,
-675.609 208.65 -175.875,    179 181 240 291 293,                  stand,   ,                        ,
-454.009 210.609 -175.875,   180 182 185 238 239 287,              stand,   ,                        ,
-177.492 195.039 -175.857,   181 184 187 277,                      stand,   ,                        ,
47.9153 620.831 -175.875,    237 273 277 280 281 284,              stand,   ,                        ,
-1.39137 -116.542 -175.875,  182 187 188 193 194 195 271 274,      stand,   ,                        ,
-596.985 84.1431 -170.251,   181 186 288,                          stand,   ,                        ,
-474.985 -6.70551 -175.875,  185 187 288 289 298,                  stand,   ,                        ,
-272.092 -7.30256 -173.63,   182 184 186 188,                      stand,   ,                        ,
-314.647 -177.742 -181.151,  184 187 189 195 297 300,              stand,   ,                        ,
-539.499 -259.903 -183.875,  178 179 188 190 195 296 297 300,      stand,   ,                        ,
-425.089 -629.568 -183.875,  173 177 189 191 192 200 299,          stand,   ,                        ,
-648.315 -1029.81 -183.302,  172 173 177 190,                      stand,   ,                        ,
173.724 -586.251 -183.894,   190 193 200 276,                      stand,   ,                        ,
377.644 -560.132 -171.963,   184 192 194 198 199 203 276,          stand,   ,                        ,
375.596 -124.443 -171.707,   184 193 195 197 198 199 270 271 276,  stand,   ,                        ,
-139.946 -334.774 -183.918,  184 188 189 194 276 300,              stand,   ,                        ,
674.28 562.726 -174.984,     197 209 237 275 279,                  stand,   ,                        ,
668.187 141.652 -167.875,    194 196 198 236 237 270,              stand,   ,                        ,
604.301 -253.531 -173.72,    193 194 197 199 270,                  stand,   ,                        ,
620.27 -687.439 -171.845,    193 194 198 203 204 205,              stand,   ,                        ,
-246.419 -918.46 -177.024,   173 177 190 192 201,                  stand,   ,                        ,
-201.157 -1096.47 -180.55,   173 200 202 214 218 219,              stand,   ,                        ,
297.229 -1049.39 -185.88,    201 203 213 214 215 216,              stand,   ,                        ,
420.269 -849.855 -185.665,   193 199 202 214,                      stand,   ,                        ,
727.834 -903.269 -189.84,    199 521 522,                          stand,   ,                        ,
807.399 -690.748 -175.941,   199 206 212,                          stand,   ,                        ,
1185.31 -720.668 -334.101,   32 205 207 210 211 212,               stand,   ,                        ,
1096.98 -294.759 -299.485,   206 208 212 538,                      stand,   ,                        ,
1054.59 372.804 -299.331,    207 209 210 538 539 542 543,          stand,   ,                        ,
861.672 536.177 -216.997,    196 208 275 539,                      stand,   ,                        ,
1417.63 -330.253 -273.682,   32 206 208 543,                       stand,   ,                        ,
1141.7 -1110.96 -348.232,    206 225 226 536 537,                  stand,   ,                        ,
1002.63 -568.251 -277.434,   205 206 207,                          stand,   ,                        ,
617.112 -1185.03 -175.875,   202 214 215 516 522,                  stand,   ,                        ,
453.665 -1253.12 -188.696,   201 202 203 213 215 516,              stand,   ,                        ,
366.323 -1415.03 -167.875,   202 213 214 216 511 516,              stand,   ,                        ,
271.206 -1400.25 -183.875,   202 215 217 510,                      stand,   ,                        ,
158.683 -1565.84 -179.583,   169 216 218 242 510,                  stand,   ,                        ,
-189.353 -1330.69 -193.035,  201 217 219,                          stand,   ,                        ,
-316.869 -1281.58 -198.101,  170 173 174 201 218,                  stand,   ,                        ,
409.257 -1730.35 -164.295,   221 241 511 512 513,                  stand,   ,                        ,
642.721 -1487.41 -166.196,   220 241 515 517,                      stand,   ,                        ,
769.543 -1483.3 -167.875,    223 517,                              stand,   ,                        ,
794.753 -1821.74 -312.73,    112 222 224,                          stand,   ,                        ,
924.484 -1852.02 -342.018,   112 223 225 226,                      stand,   ,                        ,
901.483 -1406.71 -343.875,   211 224 537,                          stand,   ,                        ,
1282.84 -1545.25 -350.338,   211 224 536,                          stand,   ,                        ,
679.937 -3021.41 -215.265,   82 531 533,                           stand,   ,                        ,
1055.34 -2847.17 -159.875,   0 1 428,                              stand,   ,                        ,
1167.36 -2253.7 -159.875,    11 12 443 444,                        stand,   ,                        ,
1485.6 -1554.01 -193.109,    231 465,                              stand,   ,                        ,
1469.06 -1722.55 -191.875,   230 433,                              stand,   ,                        ,
1772.06 -1667.83 -197.232,   22 23 431 433,                        stand,   ,                        ,
1588.84 -1221.53 -210.509,   29 457 461,                           stand,   ,                        ,
1700.63 -1334.19 -195.916,   24 460,                               stand,   ,                        ,
1823.92 -185.433 -117.698,   31 452 453,                           stand,   ,                        ,
477.447 259.328 -178.535,    197 237 270 272,                      stand,   ,                        ,
415.424 502.072 -176.149,    183 196 197 236 272 278,              stand,   ,                        ,
-294.775 444.616 -175.875,   181 239 286,                          stand,   ,                        ,
-568.384 418.463 -175.875,   181 238 285,                          stand,   ,                        ,
-671.156 277.691 -175.875,   180 290 291 293,                      stand,   ,                        ,
622.77 -1678.13 -162.311,    220 221 514,                          stand,   ,                        ,
246.363 -1714.84 -174.577,   169 217 243 509 510,                  stand,   ,                        ,
-43.6699 -1902.63 -207.066,  169 242 244,                          stand,   ,                        ,
-124.632 -2104.74 -207.888,  243 506 507,                          stand,   ,                        ,
-489.846 -2185.43 -135.875,  246 484 485,                          stand,   ,                        ,
-417.56 -2112.78 -135.875,   160 245 483,                          stand,   ,                        ,
-1545.08 -1155.93 -179.875,  248 302 303,                          stand,   ,                        ,
-1317.26 -1176.19 -179.875,  247 249 302,                          stand,   ,                        ,
-1158.87 -1334.89 -181.48,   154 155 172 248,                      stand,   ,                        ,
-1849.32 -1811.81 -179.875,  146 304 305,                          stand,   ,                        ,
-1807.52 -4093.43 -134.156,  95 467 468 469,                       stand,   ,                        ,
-1447.59 -4899.67 -151.342,  92 253 346 347 348 349 350,           stand,   ,                        ,
-1609.15 -4735.25 -130.532,  94 252 354,                           stand,   ,                        ,
-683.68 -4924.15 -168.078,   90 91 338 339,                        stand,   ,                        ,
1805.76 -4083.01 -135.399,   64 396 399,                           stand,   ,                        ,
1143.81 -4068.73 -119.875,   68 72 380,                            stand,   ,                        ,
1340.36 -4332.29 -119.875,   68 71,                                stand,   ,                        ,
2791.79 -2543.23 -143.875,   42 408,                               stand,   ,                        ,
2747.47 -2069.48 -158.093,   260 420,                              stand,   ,                        ,
2631.94 -2004.02 -164.395,   35 37 259 261,                        stand,   ,                        ,
2463.14 -1871.51 -170.033,   21 36 37 260 441,                     stand,   ,                        ,
1307.95 -2334.21 -31.875,    19 449,                               stand,   ,                        ,
1033.05 -2776.94 -31.875,    20 269,                               stand,   ,                        ,
1141.42 -4197.1 -13.875,     383 384 385,                          stand,   ,                        ,
1177.95 -4400.04 -13.875,    385 386 387,                          stand,   ,                        ,
1593.62 -4431.4 -13.875,     267 387 389 393,                      stand,   ,                        ,
1651.43 -4133.27 -13.875,    266 390 392 394,                      stand,   ,                        ,
1085.57 -2964.97 -170.51,    47 48 269,                            climb,   65.2972 90.6024 0.0,     ,
1086.23 -2923.96 -31.875,    263 268,                              climb,   85.0 -113.985 0.0,       ,
405.787 106.042 -175.481,    194 197 198 236 271,                  stand,   69.5819 65.7367 0.0,     ,
246.598 29.916 -177.429,     184 194 270 272 274,                  stand,   16.7487 76.9537 0.0,     ,
253.755 329.179 -178.315,    236 237 271 273,                      stand,   19.682 177.962 0.0,      ,
34.1535 317.201 -178.099,    183 272 274 277,                      stand,   10.1898 7.20703 0.0,     ,
16.8234 58.5558 -177.635,    184 271 273,                          stand,   17.6111 76.6132 0.0,     ,
777.053 376.763 -170.79,     196 209,                              stand,   19.1656 -86.5448 0.0,    ,
147.335 -370.016 -183.875,   192 193 194 195,                      stand,   18.1274 -72.0154 0.0,    ,
-90.6549 335.464 -178.992,   182 183 273 284,                      stand,   42.4731 -163.004 0.0,    ,
492.079 708.694 -176.564,    237 279 280,                          stand,   11.0522 67.1375 0.0,     ,
676.875 808.875 -160.142,    196 278,                              crouch,  4.01978 -128.837 0.0,    ,
339.613 779.667 -167.875,    183 278 281,                          stand,   16.1047 -177.177 0.0,    ,
-231.847 741.343 -167.875,   183 280 282 283 284,                  stand,   81.5448 -166.992 0.0,    ,
-413.477 808.875 -167.875,   281 283,                              crouch,  0.570068 -32.1405 0.0,   ,
-416.875 631.125 -169.882,   281 282,                              crouch,  6.0907 18.6218 0.0,      ,
-142.087 580.481 -175.875,   183 277 281,                          stand,   15.072 -67.0221 0.0,     ,
-608.875 464.875 -175.875,   239,                                  crouch,  4.71191 -47.1643 0.0,    ,
-271.125 464.872 -175.875,   238,                                  crouch,  9.02954 -127.112 0.0,    ,
-271.125 127.125 -175.875,   181,                                  crouch,  5.40405 135.676 0.0,     ,
-606.683 -34.5898 -175.875,  185 186,                              crouch,  3.84949 36.7493 0.0,     ,
-367.128 64.875 -175.875,    186,                                  crouch,  5.05798 -131.946 0.0,    ,
-647.125 322.875 -175.875,   240,                                  crouch,  4.36584 -127.123 0.0,    ,
-833.895 279.388 -175.875,   180 240 292 293,                      stand,   15.5884 -102.953 0.0,    ,
-963.875 322.32 -175.875,    291,                                  crouch,  2.98706 -49.5978 0.0,    ,
-850.802 88.1882 -175.875,   180 240 291 294,                      stand,   17.6593 -97.597 0.0,     ,
-941.665 -47.5287 -175.875,  293 295,                              stand,   14.2096 -46.9995 0.0,    ,
-904.079 -235.185 -183.917,  178 294 296,                          stand,   22.1527 -54.6021 0.0,    ,
-793.016 -235.223 -183.875,  178 179 189 295,                      stand,   25.9485 47.6147 0.0,     ,
-434.384 -135.442 -178.64,   188 189 298,                          stand,   22.2266 91.8182 0.0,     ,
-439.72 -39.2125 -175.875,   186 297,                              stand,   63.3209 86.1218 0.0,     ,
-269.556 -529.711 -183.875,  190 300,                              crouch,  1.8524 -109.512 0.0,     ,
-277.653 -370.196 -183.875,  188 189 195 299,                      stand,   32.5867 -13.8538 0.0,    ,
-963.875 -659.125 -183.875,  178,                                  crouch,  3.40696 54.5142 0.0,     ,
-1377.19 -909.508 -179.929,  247 248,                              crouch,  4.0991 -91.0437 0.0,     ,
-1646.97 -1161.59 -179.875,  247,                                  crouch,  3.40696 -1.42822 0.0,    ,
-1913.37 -1710.7 -177.761,   250,                                  crouch,  3.06089 -57.887 0.0,     ,
-1795.5 -2127.42 -179.875,   146 250 306,                          stand,   35.6958 -116.592 0.0,    ,
-1871.22 -2182.82 -179.875,  305,                                  crouch,  3.23118 24.9939 0.0,     ,
-1916.97 -2793.13 -199.799,  98,                                   crouch,  -0.910664 -42.3523 0.0,  ,
-1943.57 -3261.89 -158.712,  99 309 310,                           stand,   7.54881 -107.1 0.0,      ,
-2024.23 -3374.88 -145.98,   308,                                  crouch,  3.75303 37.7655 0.0,     ,
-1687.31 -3311.38 -132.696,  96 99 308 470,                        stand,   9.10337 -13.5132 0.0,    ,
-1581.01 -3806.51 -119.973,  95 96 100,                            stand,   19.2932 -12.8265 0.0,    ,
-817.625 -3343.63 -107.875,  125,                                  crouch,  5.82396 -135.247 0.0,    ,
-1039.38 -3343.63 -107.875,  125,                                  crouch,  2.89061 -52.5421 0.0,    ,
-1039.38 -3721.38 -107.875,  315,                                  crouch,  5.64817 55.7227 0.0,     ,
-974.224 -3630.57 -107.875,  125 126 314 316,                      stand,   12.7289 53.1299 0.0,     ,
-870.168 -3637.83 -107.875,  125 126 315 317,                      stand,   27.923 -23.8733 0.0,     ,
-817.625 -3721.38 -107.875,  316,                                  crouch,  6.51609 122.201 0.0,     ,
-501.625 -3343.63 -74.4311,  128,                                  crouch,  7.54881 -120.729 0.0,    ,
-655.375 -3561.38 -107.875,  128,                                  crouch,  3.23118 47.6093 0.0,     ,
-501.625 -3809.38 -60.3337,  129,                                  crouch,  2.71482 121.849 0.0,     ,
-1039.38 -3809.38 28.125,    132,                                  crouch,  22.7429 46.9061 0.0,     ,
-1039.38 -3639.63 28.125,    133,                                  crouch,  11.3501 -38.9081 0.0,    ,
-689.625 -3809.38 28.125,    137,                                  crouch,  3.06089 119.773 0.0,     ,
-734.155 -3343.63 28.125,    136,                                  crouch,  11.1743 93.1805 0.0,     ,
-1039.37 -3407.2 28.125,     135,                                  crouch,  16.0083 178.66 0.0,      ,
-967.052 -3354.13 28.125,    135,                                  crouch,  13.0749 93.186 0.0,      ,
-809.625 -3343.63 64.125,    135,                                  crouch,  17.7386 -136.285 0.0,    ,
-925.393 -3573.43 28.125,    134 135 329 330,                      stand,   25.506 -92.2577 0.0,     ,
-809.625 -3601.38 60.125,    328,                                  crouch,  15.3216 148.436 0.0,     ,
-1016.96 -3601.38 28.125,    328,                                  crouch,  8.93309 42.0721 0.0,     ,
-885.067 -4030.88 -130.247,  101,                                  crouch,  5.82396 31.1957 0.0,     ,
-554.47 -4221.14 -135.875,   102 333 334 335,                      stand,   17.2168 -99.5032 0.0,    ,
-586.764 -4456.43 -130.382,  91 332 336,                           stand,   17.2168 -94.6692 0.0,    ,
-648.875 -4292.88 -128.416,  332,                                  crouch,  8.58702 54.8547 0.0,     ,
-433.664 -4153.37 -142.581,  102 332,                              crouch,  10.6579 83.8641 0.0,     ,
-648.875 -4371.13 -128.159,  333,                                  crouch,  7.54881 -56.3489 0.0,    ,
-473.809 -4975.97 -165.751,  91,                                   crouch,  2.71482 134.786 0.0,     ,
-736.875 -4984.88 -170.247,  254,                                  crouch,  2.36876 46.5546 0.0,     ,
-862.709 -4828.41 -161.275,  91 92 254 350,                        stand,   15.838 164.13 0.0,       ,
-660.086 -5121.77 -164.319,  89 90 341 343 344,                    stand,   18.0847 -102.64 0.0,     ,
-622.466 -5292.19 -167.875,  89 340 342 343 344,                   stand,   17.2168 42.9181 0.0,     ,
-479.128 -5368.88 -159.875,  89 341,                               crouch,  6.85667 131.49 0.0,      ,
-728.875 -5331.59 -164.577,  340 341 344,                          crouch,  5.47789 39.8035 0.0,     ,
-728.875 -5023.13 -159.875,  340 341 343,                          crouch,  6.17002 -45.3186 0.0,    ,
-479.125 -5023.13 -160.871,  89,                                   crouch,  6.51609 -136.483 0.0,    ,
-1800.83 -5022.89 -167.73,   252 347 348 352 353,                  stand,   15.6677 131.484 0.0,     ,
