248
4094.0 1010.0 20.7461,      39 63,                 stand,  ,  ,
3999.25 1360.83 202.125,    11 163 165,            stand,  ,  ,
3899.16 1166.73 206.966,    11 164 166,            stand,  ,  ,
3858.7 1018.47 196.77,      165 226,               stand,  ,  ,
3645.01 120.606 196.625,    168 227,               stand,  ,  ,
3645.04 -14.3882 148.625,   167 171 228,           stand,  ,  ,
3563.51 -290.784 148.625,   170 228,               stand,  ,  ,
3797.21 -298.118 148.625,   169 171 174,           stand,  ,  ,
3877.2 -145.226 148.625,    168 170 179,           stand,  ,  ,
3487.87 -556.196 148.625,   12 173,                stand,  ,  ,
3664.91 -506.765 148.625,   172 174 175 181,       stand,  ,  ,
3812.45 -433.256 148.625,   170 173 175,           stand,  ,  ,
3820.39 -572.524 148.625,   173 174 229,           stand,  ,  ,
3565.38 -783.193 20.761,    13 177,                stand,  ,  ,
3557.09 -522.254 4.625,     14 176 230,            stand,  ,  ,
3564.64 -194.046 4.625,     14 179,                stand,  ,  ,
3766.91 -191.988 148.625,   171 178,               stand,  ,  ,
3849.67 -355.294 4.625,     14 230,                stand,  ,  ,
3663.9 -615.453 148.625,    173 182,               stand,  ,  ,
3661.61 -846.297 14.8984,   13 181 183,            stand,  ,  ,
3732.35 -915.276 4.61965,   13 57 58 182,          stand,  ,  ,
6236.0 1168.01 2.64287,     185 216 217 219,       stand,  ,  ,
6096.41 1314.05 1.45277,    184 186 220,           stand,  ,  ,
5955.45 1475.55 -3.875,     43 185 210,            stand,  ,  ,
5277.78 -841.743 4.125,     16 188 222,            stand,  ,  ,
5406.66 -838.704 42.125,    187 189,               stand,  ,  ,
5526.54 -827.931 84.625,    188 190,               stand,  ,  ,
5679.22 -656.696 84.625,    189 191,               stand,  ,  ,
5872.44 -670.574 84.625,    190 192,               stand,  ,  ,
5870.98 -787.241 151.125,   191 193,               stand,  ,  ,
5973.48 -869.749 151.125,   192 194,               stand,  ,  ,
6118.55 -875.977 245.38,    193 233,               stand,  ,  ,
5169.94 483.979 189.125,    110 155 156,           stand,  ,  ,
4499.57 1724.17 2.20081,    9 29 134 204,          stand,  ,  ,
4120.72 2167.27 4.125,      208,                   stand,  ,  ,
5830.23 1853.93 -1.70693,   28 43 140 247,         stand,  ,  ,
6392.7 450.624 4.02087,     45 46,                 stand,  ,  ,
5829.31 769.818 4.125,      32 33 220,             stand,  ,  ,
5453.82 1402.21 -3.875,     30 129 202 221,        stand,  ,  ,
5258.03 1391.67 -3.875,     127 201 203,           stand,  ,  ,
5018.3 1402.45 -4.64091,    29 128 202,            stand,  ,  ,
4468.71 1492.41 4.125,      29 41 196 205,         stand,  ,  ,
4333.53 1415.11 6.11512,    136 204,               stand,  ,  ,
4048.03 1392.22 10.9642,    10 135 160 207,        stand,  ,  ,
4087.15 1676.28 18.9963,    206 208,               stand,  ,  ,
4179.52 1875.79 4.02334,    9 197 207,             stand,  ,  ,
5227.16 -308.508 -3.875,    36 49 51 52 122 242,   stand,  ,  ,
5895.26 1253.87 -3.875,     31 32 186 221,         stand,  ,  ,
4589.56 -57.3649 4.125,     65 67 212,             stand,  ,  ,
4795.74 -169.706 19.312,    50 122 123 211,        stand,  ,  ,
5181.83 320.155 5.125,      120 121 124 125,       stand,  ,  ,
5290.01 812.838 6.70676,    117 126 231,           stand,  ,  ,
5063.89 565.666 5.125,      70 125 231,            stand,  ,  ,
6503.65 949.29 8.125,       44 45 184 217 219,     stand,  ,  ,
6221.77 917.311 4.12036,    45 184 216 218,        stand,  ,  ,
6059.04 661.371 3.8187,     158 217 220,           stand,  ,  ,
6428.85 1161.29 3.98989,    184 216,               stand,  ,  ,
6006.02 985.053 -2.4681,    32 185 200 218,        stand,  ,  ,
5727.18 1438.34 -3.875,     30 43 201 210,         stand,  ,  ,
5138.17 -697.915 4.125,     16 49 51 187,          stand,  ,  ,
4899.56 2084.05 240.125,    147 224,               stand,  ,  ,
5305.68 2100.19 240.125,    223 246,               stand,  ,  ,
5740.43 2110.44 240.125,    146 246,               stand,  ,  ,
3600.24 795.594 196.625,    166 227,               stand,  ,  ,
3651.11 455.762 196.625,    167 226,               stand,  ,  ,
3500.05 -86.8868 148.625,   168 169,               stand,  ,  ,
3791.41 -916.466 148.625,   12 175,                stand,  ,  ,
3844.64 -503.481 4.625,     58 177 180,            stand,  ,  ,
5449.65 613.982 5.125,      119 120 214 215,       stand,  ,  ,
4161.74 372.317 4.96247,    37 38,                 stand,  ,  ,
6192.12 -668.034 246.125,   82 194 234,            stand,  ,  ,
5794.12 -627.403 251.191,   81 233,                stand,  ,  ,
6662.0 757.716 240.125,     87 88 103 104,         stand,  ,  ,
6037.2 937.226 220.125,     105 237,               stand,  ,  ,
6266.71 982.144 220.125,    104 236,               stand,  ,  ,
5609.45 518.088 189.772,    106 107,               stand,  ,  ,
5064.13 116.727 189.125,    19 109,                stand,  ,  ,
4287.7 744.37 180.125,      111 241,               stand,  ,  ,
4308.44 557.954 182.125,    112 240,               stand,  ,  ,
5421.03 -442.241 10.9765,   48 49 209,             stand,  ,  ,
5351.96 1770.02 104.924,    138 244,               stand,  ,  ,
5502.64 1785.26 176.125,    243 245,               stand,  ,  ,
5508.06 1903.04 240.125,    244 246,               stand,  ,  ,
5492.86 2100.74 240.125,    224 225 245,           stand,  ,  ,
5959.64 2179.77 4.49125,    28 198,                stand,  ,  ,
