100
525.8 -1071.4 -12.2376,      20 21,                    stand,  0.0 0.0 0.0,          ,
322.016 -489.313 -5.13118,   25 33 36,                 stand,  0.0 0.0 0.0,          ,
46.7604 -328.475 -15.875,    16 25 32 35 37 38,        stand,  0.0 0.0 0.0,          ,
-372.109 -64.0897 -19.875,   32 36 38 43 58 60 62 98,  stand,  0.0 0.0 0.0,          ,
-482.174 -284.631 -11.875,   32 36 37 39 43 58 60,     stand,  0.0 0.0 0.0,          ,
-475.95 -432.72 -11.875,     3 38 51,                  stand,  0.0 0.0 0.0,          ,
-351.414 -562.564 0.185561,  3 41 51,                  stand,  0.0 0.0 0.0,          ,
-296.554 -562.208 27.125,    40 42,                    stand,  0.0 0.0 0.0,          ,
-221.517 -578.446 -11.875,   24 41,                    stand,  0.0 0.0 0.0,          ,
-942.827 -97.266 -19.875,    37 38 44 58 60,           stand,  0.0 0.0 0.0,          ,
-944.016 -484.39 -12.0201,   43 45 60,                 stand,  0.0 0.0 0.0,          ,
-950.426 -796.02 168.125,    6 44 46,                  stand,  0.0 0.0 0.0,          ,
-767.846 -841.123 168.125,   6 45 47 50 55,            stand,  0.0 0.0 0.0,          ,
-435.038 -637.247 168.125,   46 49 55,                 stand,  0.0 0.0 0.0,          ,
-812.607 -410.402 168.125,   49 54,                    stand,  0.0 0.0 0.0,          ,
-626.025 -429.535 168.125,   47 48 50,                 stand,  0.0 0.0 0.0,          ,
-705.818 -610.329 168.125,   4 46 49,                  stand,  0.0 0.0 0.0,          ,
-656.93 -548.475 -11.875,    3 39 40 52,               stand,  0.0 0.0 0.0,          ,
-754.728 -578.042 -11.875,   51 53,                    stand,  0.0 0.0 0.0,          ,
-823.153 -492.126 -11.875,   52 54,                    climb,  6.95435 89.8627 0.0,  ,
-823.565 -459.111 171.125,   48 53,                    climb,  66.0663 89.7144 0.0,  ,
-536.843 -875.698 168.125,   46 47 56,                 stand,  0.0 0.0 0.0,          ,
-506.879 -974.234 177.055,   55 57,                    stand,  0.0 0.0 0.0,          ,
-551.193 -1117.41 179.125,   5 56,                     stand,  0.0 0.0 0.0,          ,
-691.768 181.651 -11.875,    17 37 38 43 59,           stand,  0.0 0.0 0.0,          ,
-642.08 416.265 0.124999,    58 61 92,                 stand,  0.0 0.0 0.0,          ,
-1021.12 99.2738 -19.875,    37 38 43 44,              stand,  0.0 0.0 0.0,          ,
-437.522 486.861 0.125,      59 62 94 95,              stand,  0.0 0.0 0.0,          ,
-298.537 326.444 -11.875,    37 61 63 64 84,           stand,  0.0 0.0 0.0,          ,
145.334 450.555 -19.875,     62 64 83 84 85,           stand,  0.0 0.0 0.0,          ,
387.076 649.867 -11.875,     62 63 65 85,              stand,  0.0 0.0 0.0,          ,
574.583 664.419 -11.875,     64 66 68 69,              stand,  0.0 0.0 0.0,          ,
574.669 1123.52 -11.875,     11 65 68,                 stand,  0.0 0.0 0.0,          ,
1007.32 868.068 -11.875,     11 68 71 73,              stand,  0.0 0.0 0.0,          ,
633.759 857.767 -11.875,     65 66 67 71,              stand,  0.0 0.0 0.0,          ,
505.636 489.108 -11.875,     65 70 72,                 stand,  0.0 0.0 0.0,          ,
714.498 447.691 -11.875,     69 71 72,                 stand,  0.0 0.0 0.0,          ,
779.974 742.344 -11.875,     67 68 70,                 stand,  0.0 0.0 0.0,          ,
951.025 363.126 -11.875,     12 69 70 79,              stand,  0.0 0.0 0.0,          ,
1130.69 830.166 -11.875,     67 74,                    stand,  0.0 0.0 0.0,          ,
1140.74 542.886 150.125,     73 75,                    stand,  0.0 0.0 0.0,          ,
990.634 478.574 150.125,     13 74 76,                 stand,  0.0 0.0 0.0,          ,
977.068 635.242 150.125,     75 77,                    stand,  0.0 0.0 0.0,          ,
587.273 612.763 153.091,     76 78,                    stand,  0.0 0.0 0.0,          ,
472.524 387.721 150.125,     13 77,                    stand,  0.0 0.0 0.0,          ,
954.779 248.614 -11.875,     14 72 80 82,              stand,  0.0 0.0 0.0,          ,
641.4 232.73 -11.875,        28 79 81,                 stand,  0.0 0.0 0.0,          ,
436.226 -79.1022 -19.875,    28 80 82 83,              stand,  0.0 0.0 0.0,          ,
1113.93 -30.0275 -19.875,    14 79 81,                 stand,  0.0 0.0 0.0,          ,
247.427 -8.75778 -19.875,    63 81,                    stand,  0.0 0.0 0.0,          ,
58.9275 286.445 -16.4876,    62 63,                    stand,  0.0 0.0 0.0,          ,
126.458 1049.18 -19.875,     19 63 64 86 96 97,        stand,  0.0 0.0 0.0,          ,
-1.46279 1353.5 -19.875,     9 19 85 87 96 97,         stand,  0.0 0.0 0.0,          ,
-363.182 1364.98 0.125,      8 86 88,                  stand,  0.0 0.0 0.0,          ,
-415.494 1203.58 0.125001,   7 8 87,                   stand,  0.0 0.0 0.0,          ,
-797.658 1211.69 0.125002,   7 90,                     stand,  0.0 0.0 0.0,          ,
-803.175 1075.68 0.125002,   18 89 91 92,              stand,  0.0 0.0 0.0,          ,
-798.472 787.573 0.356315,   90 92 93 95,              stand,  0.0 0.0 0.0,          ,
-818.05 432.487 0.125,       59 90 91,                 stand,  0.0 0.0 0.0,          ,
-640.546 791.689 0.125001,   91 94 95,                 stand,  0.0 0.0 0.0,          ,
-623.051 656.46 0.125001,    61 93,                    stand,  0.0 0.0 0.0,          ,
-430.267 995.338 0.125001,   18 61 91 93 96,           stand,  0.0 0.0 0.0,          ,
-228.251 1004.14 -11.875,    10 85 86 95 97,           stand,  0.0 0.0 0.0,          ,
279.397 1456.8 -16.3019,     9 19 85 86 96,            stand,  0.0 0.0 0.0,          ,
-164.416 108.843 -19.875,    37,                       stand,  0.0 0.0 0.0,          ,
-511.418 -1140.92 -5.875,    1 23,                     stand,  0.0 0.0 0.0,          ,
