622
-1133.21 -2180.29 -251.875,   1 19 20,                      stand,   0.0 0.0 0.0,             ,
-1613.19 -2457.64 -250.049,   21 237 239,                   stand,   0.0 0.0 0.0,             ,
-1646.51 -2964.52 -256.734,   24 236 237,                   stand,   0.0 0.0 0.0,             ,
-1455.49 -2978.97 -255.176,   8 23 25,                      stand,   0.0 0.0 0.0,             ,
-1453.06 -2709.53 -116.375,   24 26,                        stand,   0.0 0.0 0.0,             ,
-1333.02 -2701.68 -116.875,   25 240 242,                   stand,   0.0 0.0 0.0,             ,
-1600.0 -1809.54 -181.928,    21 28 33,                     stand,   0.0 0.0 0.0,             ,
-1237.25 -1511.44 -127.875,   20 27 30 33,                  stand,   0.0 0.0 0.0,             ,
-746.691 -1389.94 -124.255,   18 30 151 190 325 326 327,    stand,   0.0 0.0 0.0,             ,
-1056.97 -1477.17 -127.875,   28 29 31,                     stand,   0.0 0.0 0.0,             ,
-1108.02 -1172.51 -55.6536,   30 32 35,                     stand,   0.0 0.0 0.0,             ,
-1109.56 -797.912 7.125,      31 36 37,                     stand,   0.0 0.0 0.0,             ,
-1595.7 -1492.62 -127.874,    27 28 34 35 580 581,          stand,   0.0 0.0 0.0,             ,
-1611.78 -1151.58 -59.602,    33 35 582,                    stand,   0.0 0.0 0.0,             ,
-1453.21 -1175.45 -73.6335,   31 33 34 36,                  stand,   0.0 0.0 0.0,             ,
-1461.7 -675.178 -37.2284,    32 35 37 40 579,              stand,   0.0 0.0 0.0,             ,
-1208.72 -491.438 -3.875,     32 36 38 42 575,              stand,   0.0 0.0 0.0,             ,
-1046.27 -500.06 83.125,      37 39,                        stand,   0.0 0.0 0.0,             ,
-930.658 -497.418 -13.445,    38 190 534,                   stand,   0.0 0.0 0.0,             ,
-1680.11 -591.408 -29.3955,   36 41 576 583,                stand,   0.0 0.0 0.0,             ,
-1686.03 -366.314 4.15606,    40 50 557 559,                stand,   0.0 0.0 0.0,             ,
-1215.18 -365.417 4.125,      37 43,                        stand,   0.0 0.0 0.0,             ,
-852.717 -374.293 148.125,    42 535 539,                   stand,   0.0 0.0 0.0,             ,
-844.541 -59.21 148.125,      45 535 536 543 544,           stand,   0.0 0.0 0.0,             ,
-574.296 -264.23 148.125,     44 546 548 549,               stand,   0.0 0.0 0.0,             ,
-849.088 385.06 148.125,      47 543 552,                   stand,   0.0 0.0 0.0,             ,
-1333.06 380.077 1.54881,     46 48 565,                    stand,   0.0 0.0 0.0,             ,
-1482.96 371.003 2.42599,     47 60 554 564,                stand,   0.0 0.0 0.0,             ,
-1956.15 -370.22 7.10356,     559 560 570,                  stand,   0.0 0.0 0.0,             ,
-1347.01 -389.364 2.27185,    41 51 571 572 574,            stand,   0.0 0.0 0.0,             ,
-1340.68 -0.876709 3.35995,   50 52 571,                    stand,   0.0 0.0 0.0,             ,
-765.037 23.3784 4.125,       51 53 54,                     stand,   0.0 0.0 0.0,             ,
-669.429 -153.737 3.92813,    52 187,                       stand,   0.0 0.0 0.0,             ,
-344.437 3.44399 1.68685,     52 55 184,                    stand,   0.0 0.0 0.0,             ,
-355.435 175.158 -0.87191,    54 56 183,                    stand,   0.0 0.0 0.0,             ,
-646.804 210.118 2.125,       55 57,                        stand,   0.0 0.0 0.0,             ,
-650.075 703.122 -39.4102,    56 58 177 178 393,            stand,   0.0 0.0 0.0,             ,
-1071.63 720.576 -55.875,     57 59 177,                    stand,   0.0 0.0 0.0,             ,
-1100.62 520.762 -23.875,     58 60 585,                    stand,   0.0 0.0 0.0,             ,
-1479.15 524.393 -23.875,     48 59 61 586,                 stand,   0.0 0.0 0.0,             ,
-1698.02 565.871 -23.875,     60 62 69 584,                 stand,   0.0 0.0 0.0,             ,
-1617.16 953.122 48.125,      61 63,                        stand,   0.0 0.0 0.0,             ,
-1494.78 944.701 48.125,      62 64 70,                     stand,   0.0 0.0 0.0,             ,
-1494.64 703.355 -31.875,     63 65,                        stand,   0.0 0.0 0.0,             ,
-1264.37 737.266 -103.875,    64 594 595 599,               stand,   0.0 0.0 0.0,             ,
-1239.24 1318.54 -103.875,    67 599 601,                   stand,   0.0 0.0 0.0,             ,
-1339.91 1551.83 -103.875,    66 68 181 601 603 604,        stand,   0.0 0.0 0.0,             ,
-1766.61 1518.42 -135.535,    67 69 73 74 604,              stand,   0.0 0.0 0.0,             ,
-1759.82 946.221 -116.512,    61 68,                        stand,   0.0 0.0 0.0,             ,
-1216.8 925.849 48.125,       63 71 587 588 589,            stand,   0.0 0.0 0.0,             ,
-1228.66 1466.14 48.125,      70 72 591 592,                stand,   0.0 0.0 0.0,             ,
-1218.87 1843.78 48.125,      71 73 593,                    stand,   0.0 0.0 0.0,             ,
-1629.5 1867.75 -143.875,     68 72 76 604,                 stand,   0.0 0.0 0.0,             ,
-2089.61 1528.63 -135.024,    68 75 606,                    stand,   0.0 0.0 0.0,             ,
-2023.11 2063.34 -143.875,    74 76 607 608,                stand,   0.0 0.0 0.0,             ,
-1579.14 2059.0 -143.875,     73 75 77,                     stand,   0.0 0.0 0.0,             ,
-1259.67 1987.68 -139.326,    76 78 609,                    stand,   0.0 0.0 0.0,             ,
-1108.64 1979.53 -143.875,    77 181 407 610,               stand,   0.0 0.0 0.0,             ,
-1033.95 2567.91 -149.875,    80 411 612 614,               stand,   0.0 0.0 0.0,             ,
-1033.54 2837.11 -148.975,    79 81 613,                    stand,   0.0 0.0 0.0,             ,
-766.898 2838.96 -143.875,    80 411 418,                   stand,   0.0 0.0 0.0,             ,
-568.661 2329.14 -139.875,    83 84 408 413,                stand,   0.0 0.0 0.0,             ,
-814.628 2205.32 -139.875,    82 407 408 409 410,           stand,   0.0 0.0 0.0,             ,
-378.906 2313.92 -135.875,    82 416 432,                   stand,   0.0 0.0 0.0,             ,
-365.235 2902.18 -135.875,    416 417 434,                  stand,   0.0 0.0 0.0,             ,
42.1309 2959.69 -135.875,     434 619 620,                  stand,   0.0 0.0 0.0,             ,
190.62 2634.62 -135.875,      91 433 440 619,               stand,   0.0 0.0 0.0,             ,
759.238 2523.91 -135.875,     89 93 440 444 445 450,        stand,   0.0 0.0 0.0,             ,
742.965 2912.62 -135.875,     88 437 438 439,               stand,   0.0 0.0 0.0,             ,
-139.565 2440.77 -135.875,    416 431 433 435 454,          stand,   0.0 0.0 0.0,             ,
233.714 2380.94 -135.875,     87 92 435 436 444,            stand,   0.0 0.0 0.0,             ,
295.788 1973.06 -153.147,     91 173 207 401 402 404,       stand,   0.0 0.0 0.0,             ,
759.164 2297.33 -135.875,     88 94 442,                    stand,   0.0 0.0 0.0,             ,
962.735 2267.57 -166.134,     93 95 207 224 458,            stand,   0.0 0.0 0.0,             ,
985.76 2800.16 -176.899,      94 96 457,                    stand,   0.0 0.0 0.0,             ,
1282.07 3040.06 -186.404,     95 97 455 456 457,            stand,   0.0 0.0 0.0,             ,
1728.8 2653.98 -183.897,      96 98 457 459 466 467,        stand,   0.0 0.0 0.0,             ,
2317.64 2563.94 -172.811,     97 99 226 465,                stand,   0.0 0.0 0.0,             ,
2688.57 2682.52 -177.261,     98 100 468,                   stand,   0.0 0.0 0.0,             ,
2889.58 2183.53 -178.667,     99 101 464 465,               stand,   0.0 0.0 0.0,             ,
2830.04 1626.87 -177.415,     100 102 463 472,              stand,   0.0 0.0 0.0,             ,
3133.56 1346.65 -174.736,     101 103 471 472,              stand,   0.0 0.0 0.0,             ,
3129.47 773.532 -159.899,     102 104 220 473,              stand,   0.0 0.0 0.0,             ,
3460.31 580.085 -159.875,     103 105 116 477,              stand,   0.0 0.0 0.0,             ,
3417.24 142.926 -170.309,     104 106 115 116 473,          stand,   0.0 0.0 0.0,             ,
3798.67 138.346 -166.801,     105 107 110 477,              stand,   0.0 0.0 0.0,             ,
4110.28 115.387 -156.417,     106 109 477 481,              stand,   0.0 0.0 0.0,             ,
3973.7 674.299 -156.611,      477 478 479 480,              stand,   0.0 0.0 0.0,             ,
4088.71 -320.801 -149.875,    107 110 492 493,              stand,   0.0 0.0 0.0,             ,
3790.97 -325.996 -149.875,    106 109 489 490 491,          stand,   0.0 0.0 0.0,             ,
3834.37 -680.917 -164.139,    112 113 485 488 489,          stand,   0.0 0.0 0.0,             ,
4204.25 -586.143 -173.106,    111 486 487,                  stand,   0.0 0.0 0.0,             ,
3527.55 -708.468 -168.118,    111 114 115 485,              stand,   0.0 0.0 0.0,             ,
3105.33 -648.348 -167.931,    113 117 118 217 218,          stand,   0.0 0.0 0.0,             ,
3373.41 -272.473 -169.102,    105 113,                      stand,   0.0 0.0 0.0,             ,
3023.54 114.913 -177.523,     104 105 117 218 219 473,      stand,   0.0 0.0 0.0,             ,
3000.93 -461.014 -172.32,     114 116 217 218,              stand,   0.0 0.0 0.0,             ,
3079.41 -1216.08 -167.191,    114 119 494,                  stand,   0.0 0.0 0.0,             ,
3046.45 -1756.98 -167.625,    118 120 496 497,              stand,   0.0 0.0 0.0,             ,
2838.7 -2011.8 -171.652,      119 121 497,                  stand,   0.0 0.0 0.0,             ,
2254.92 -2011.66 -164.642,    120 122 125 126,              stand,   0.0 0.0 0.0,             ,
2101.92 -2398.55 -176.617,    121 123 498,                  stand,   0.0 0.0 0.0,             ,
1899.32 -2419.3 -182.415,     122 124 125,                  stand,   0.0 0.0 0.0,             ,
1474.26 -2377.11 -256.107,    123 128 129,                  stand,   0.0 0.0 0.0,             ,
1919.82 -2001.39 -166.499,    121 123 128,                  stand,   0.0 0.0 0.0,             ,
2248.57 -1637.91 -193.777,    121 127 216,                  stand,   0.0 0.0 0.0,             ,
1767.34 -1656.59 -193.895,    126 128 231 232,              stand,   0.0 0.0 0.0,             ,
1743.27 -2021.96 -190.956,    124 125 127,                  stand,   0.0 0.0 0.0,             ,
1150.48 -2437.89 -255.875,    14 124 130 293 294 299,       stand,   0.0 0.0 0.0,             ,
1233.77 -1884.92 -255.875,    129 131 298 304 308,          stand,   0.0 0.0 0.0,             ,
1013.48 -1479.13 -255.784,    130 132 306 307 309,          stand,   0.0 0.0 0.0,             ,
820.814 -1487.65 -247.875,    131 264 310 312,              stand,   0.0 0.0 0.0,             ,
849.669 -1890.17 -239.875,    262 263 264 265,              stand,   0.0 0.0 0.0,             ,
840.664 -2371.26 -239.875,    265 266 269,                  stand,   0.0 0.0 0.0,             ,
305.773 -2354.54 -255.875,    15 257 266 268 617,           stand,   0.0 0.0 0.0,             ,
11.2398 -1881.42 -239.875,    16 137 258,                   stand,   0.0 0.0 0.0,             ,
275.02 -1884.28 -239.875,     136 138 263,                  stand,   0.0 0.0 0.0,             ,
267.48 -1606.45 -239.875,     137 139 140,                  stand,   0.0 0.0 0.0,             ,
3.94901 -1617.13 -239.875,    138 260 261,                  stand,   0.0 0.0 0.0,             ,
681.107 -1605.59 -79.875,     138 141 272,                  stand,   0.0 0.0 0.0,             ,
648.916 -1885.84 -79.875,     140 142 148 272,              stand,   0.0 0.0 0.0,             ,
638.718 -2004.31 -79.875,     141 144 284 285,              stand,   0.0 0.0 0.0,             ,
652.857 -2334.04 -79.875,     285 289 290 291 292,          stand,   0.0 0.0 0.0,             ,
867.249 -2009.85 56.125,      142 322,                      stand,   0.0 0.0 0.0,             ,
532.956 -1887.77 56.125,      320 322,                      stand,   0.0 0.0 0.0,             ,
124.248 -1731.07 56.125,      147 316 318 319 320,          stand,   0.0 0.0 0.0,             ,
553.436 -1588.44 56.125,      146 323,                      stand,   0.0 0.0 0.0,             ,
283.559 -1884.99 -79.875,     141 277 278,                  stand,   0.0 0.0 0.0,             ,
-158.747 -2016.48 -247.875,   16 17 150,                    stand,   0.0 0.0 0.0,             ,
-120.732 -1492.29 -121.875,   149 151 313 317 324 325,      stand,   0.0 0.0 0.0,             ,
-416.848 -1319.42 -121.875,   29 150 152 324,               stand,   0.0 0.0 0.0,             ,
-381.3 -1063.49 6.125,        151 328 331,                  stand,   0.0 0.0 0.0,             ,
-97.4868 -1208.32 6.125,      154 329 331 332 532,          stand,   0.0 0.0 0.0,             ,
110.292 -1131.63 0.125,       153 155 188 332 333 334,      stand,   0.0 0.0 0.0,             ,
347.046 -985.978 0.124998,    154 156 191 334 335,          stand,   0.0 0.0 0.0,             ,
320.71 -465.24 0.125,         155 157 185,                  stand,   0.0 0.0 0.0,             ,
323.945 -322.329 2.125,       156 180 348 354 355 356,      stand,   0.0 0.0 0.0,             ,
1137.32 -527.449 50.125,      206 346 511,                  stand,   0.0 0.0 0.0,             ,
1295.54 -98.5209 50.125,      160 192 509,                  stand,   0.0 0.0 0.0,             ,
1067.89 -52.2642 50.125,      159 161 507,                  stand,   0.0 0.0 0.0,             ,
1038.96 226.808 2.125,        160 351 368,                  stand,   0.0 0.0 0.0,             ,
356.537 800.794 1.04918,      178 179 370 395 397 399 400,  stand,   0.0 0.0 0.0,             ,
477.613 1273.86 4.125,        373 374 377 380 400,          stand,   0.0 0.0 0.0,             ,
-50.8697 1216.69 18.125,      165 167 380 382 383,          stand,   0.0 0.0 0.0,             ,
-91.1568 1415.54 18.125,      164 166 384 385,              stand,   0.0 0.0 0.0,             ,
-389.127 1388.11 18.125,      165 167 386 391,              stand,   0.0 0.0 0.0,             ,
-376.345 1188.12 18.125,      164 166 168 388,              stand,   0.0 0.0 0.0,             ,
-490.205 1195.97 18.125,      167 169 387,                  stand,   0.0 0.0 0.0,             ,
-501.703 1523.16 18.125,      168 170,                      stand,   0.0 0.0 0.0,             ,
85.9419 1573.79 -69.875,      169 171 396,                  stand,   0.0 0.0 0.0,             ,
143.844 1456.41 -69.875,      170 172 396,                  stand,   0.0 0.0 0.0,             ,
399.381 1467.4 -178.628,      171 173 208,                  stand,   0.0 0.0 0.0,             ,
379.029 1688.66 -191.522,     92 172 174 207 208 403,       stand,   0.0 0.0 0.0,             ,
-34.7254 1694.47 -191.875,    173 175 182 404,              stand,   0.0 0.0 0.0,             ,
-519.569 1736.34 -193.255,    174 176 181 182 405 615,      stand,   0.0 0.0 0.0,             ,
-820.671 1418.54 -179.113,    175 177 181 394,              stand,   0.0 0.0 0.0,             ,
-903.339 911.199 -75.7508,    57 58 176 393,                stand,   0.0 0.0 0.0,             ,
-146.552 628.135 0.124999,    57 162 183 395,               stand,   0.0 0.0 0.0,             ,
320.134 216.392 0.124999,     162 183 621,                  stand,   0.0 0.0 0.0,             ,
394.894 -105.836 2.125,       157 357 358 621,              stand,   0.0 0.0 0.0,             ,
-977.024 1577.82 -149.377,    67 78 175 176 407 603 605,    stand,   0.0 0.0 0.0,             ,
-542.676 1963.81 -153.251,    174 175 406 407,              stand,   0.0 0.0 0.0,             ,
-15.9607 243.646 0.124998,    55 178 179 184,               stand,   0.0 0.0 0.0,             ,
-52.1884 -206.78 0.125001,    54 183 185,                   stand,   0.0 0.0 0.0,             ,
-62.5405 -432.95 0.0803193,   156 184 186 188,              stand,   0.0 0.0 0.0,             ,
-457.464 -724.025 -6.38167,   185 187 189 190 533,          stand,   0.0 0.0 0.0,             ,
-712.442 -551.66 -19.5893,    53 186,                       stand,   0.0 0.0 0.0,             ,
46.6553 -852.752 0.00537964,  154 185 531,                  stand,   0.0 0.0 0.0,             ,
-385.177 -948.645 0.0791609,  186 531 533,                  stand,   0.0 0.0 0.0,             ,
-806.038 -883.929 -32.9141,   29 39 186 533,                stand,   0.0 0.0 0.0,             ,
761.843 -957.95 0.124998,     155 339 344 345,              stand,   0.0 0.0 0.0,             ,
1310.15 276.451 50.125,       159 193 197 506,              stand,   0.0 0.0 0.0,             ,
1413.14 502.884 -37.875,      192 194 504 505,              stand,   0.0 0.0 0.0,             ,
1494.5 235.92 -157.875,       193 195 499 500 503,          stand,   0.0 0.0 0.0,             ,
1669.22 -173.514 -197.875,    194 196 484,                  stand,   0.0 0.0 0.0,             ,
2150.58 -212.518 -183.505,    195 212 213 218,              stand,   0.0 0.0 0.0,             ,
1262.3 553.187 162.125,       192 198,                      stand,   0.0 0.0 0.0,             ,
1379.52 551.118 162.125,      197 199,                      stand,   0.0 0.0 0.0,             ,
1354.9 374.287 250.125,       198 200 530,                  stand,   0.0 0.0 0.0,             ,
1036.49 380.341 250.125,      199 201 529,                  stand,   0.0 0.0 0.0,             ,
782.125 547.901 250.125,      200 202,                      stand,   0.0 0.0 0.0,             ,
607.078 433.752 250.125,      201 524 525 526 527 528,      stand,   0.0 0.0 0.0,             ,
616.411 -110.422 250.125,     519 522 524,                  stand,   0.0 0.0 0.0,             ,
610.269 -700.868 250.125,     205 518 519,                  stand,   0.0 0.0 0.0,             ,
942.47 -822.291 250.125,      204 206 516,                  stand,   0.0 0.0 0.0,             ,
1179.91 -804.448 162.125,     158 205 517,                  stand,   0.0 0.0 0.0,             ,
886.6 1737.58 -191.875,       92 94 173 208,                stand,   0.0 0.0 0.0,             ,
699.371 1448.84 -179.06,      172 173 207 209,              stand,   0.0 0.0 0.0,             ,
1092.19 1108.15 -190.707,     208 210 225 474,              stand,   0.0 0.0 0.0,             ,
1584.6 848.164 -183.559,      209 211 225 476,              stand,   0.0 0.0 0.0,             ,
1978.16 585.263 -174.84,      210 212 221,                  stand,   0.0 0.0 0.0,             ,
2186.87 218.964 -132.282,     196 211 219,                  stand,   0.0 0.0 0.0,             ,
2135.72 -708.141 -131.515,    196 214 227,                  stand,   0.0 0.0 0.0,             ,
2100.71 -1147.41 -197.993,    213 215 227 232,              stand,   0.0 0.0 0.0,             ,
2443.24 -1180.24 -192.339,    214 216 217,                  stand,   0.0 0.0 0.0,             ,
2445.18 -1538.42 -192.553,    126 215 495,                  stand,   0.0 0.0 0.0,             ,
2563.04 -661.706 -179.103,    114 117 215 218,              stand,   0.0 0.0 0.0,             ,
2585.81 -203.75 -175.262,     114 116 117 196 217 219,      stand,   0.0 0.0 0.0,             ,
2670.09 262.927 -144.443,     116 212 218 220 473,          stand,   0.0 0.0 0.0,             ,
2725.72 697.762 -159.71,      103 219 221 473,              stand,   0.0 0.0 0.0,             ,
2299.69 868.707 -142.325,     211 220 222 470 474 476,      stand,   0.0 0.0 0.0,             ,
2114.87 1365.58 -160.875,     221 223 461 470 474,          stand,   0.0 0.0 0.0,             ,
1831.95 1770.74 -158.455,     222 224 226 458 474,          stand,   0.0 0.0 0.0,             ,
1485.94 2032.9 -160.534,      94 223 225 458 460,           stand,   0.0 0.0 0.0,             ,
1327.42 1498.16 -191.754,     209 210 224,                  stand,   0.0 0.0 0.0,             ,
2085.51 2303.36 -154.499,     98 223 460 462,               stand,   0.0 0.0 0.0,             ,
1674.51 -845.609 -111.894,    213 214 228 229 232,          stand,   0.0 0.0 0.0,             ,
1547.01 -347.064 2.45901,     227,                          stand,   0.0 0.0 0.0,             ,
1478.75 -981.729 -120.173,    227 230 231,                  stand,   0.0 0.0 0.0,             ,
1189.84 -889.957 28.125,      229 338 339 340,              stand,   0.0 0.0 0.0,             ,
1492.21 -1345.37 -139.127,    127 229,                      stand,   0.0 0.0 0.0,             ,
1901.47 -1248.43 -192.105,    127 214 227,                  stand,   0.0 0.0 0.0,             ,
-364.875 -2924.88 -247.875,   12 234,                       crouch,  2.41699 50.1286 0.0,     ,
-341.554 -2650.99 -254.27,    10 233,                       stand,   11.5686 -150.328 0.0,    ,
-409.125 -3114.88 -257.397,   9,                            crouch,  1.90063 132.147 0.0,     ,
-1731.92 -3037.31 -259.952,   23,                           crouch,  0.692139 39.9387 0.0,    ,
-1628.66 -2749.35 -253.203,   22 23 238,                    stand,   19.1656 72.2276 0.0,     ,
-1428.24 -2812.73 -262.011,   237,                          prone,   -2.76306 110.899 0.0,    ,
-1228.06 -2505.38 -248.482,   22,                           crouch,  5.35034 165.452 0.0,     ,
-1190.73 -2856.4 -116.094,    26 241,                       crouch,  7.08069 11.7808 0.0,     ,
-1191.77 -2545.63 -115.875,   240 242,                      crouch,  7.25098 43.2072 0.0,     ,
-1380.47 -2545.63 -116.182,   26 241,                       crouch,  3.97156 90.8604 0.0,     ,
-1491.28 -2179.38 -235.875,   3,                            crouch,  2.2467 12.2916 0.0,      ,
-1375.28 -2073.63 -235.875,   3,                            crouch,  3.10913 -35.021 0.0,     ,
-1491.28 -2347.38 -223.875,   2 246,                        crouch,  3.80127 14.5383 0.0,     ,
-1478.78 -2217.63 -235.875,   245,                          crouch,  1.03821 -91.4797 0.0,    ,
-1143.52 -2404.53 -248.751,   1 2 4 7,                      stand,   7.59705 141.441 0.0,     ,
-788.016 -2079.73 -231.875,   6 249,                        crouch,  3.4552 -129.295 0.0,     ,
-711.751 -2184.7 -243.875,    248,                          crouch,  1.90063 144.715 0.0,     ,
-689.269 -2215.65 -243.875,   251,                          crouch,  4.83398 -143.286 0.0,    ,
-783.214 -2284.12 -243.875,   5 250,                        stand,   20.7202 -56.2685 0.0,    ,
-675.651 -2336.47 -243.875,   5,                            crouch,  1.90063 -173.85 0.0,     ,
-516.074 -2286.21 -242.587,   10 17 18 254,                 stand,   7.42676 90.4978 0.0,     ,
-714.033 -2006.15 -196.129,   17 18 19 253,                 stand,   14.848 45.9428 0.0,      ,
25.2592 -2326.97 -255.963,    11 15 256 616,                stand,   12.9474 44.564 0.0,      ,
-61.8595 -2528.06 -255.875,   11 12 255,                    stand,   19.8578 -100.824 0.0,    ,
487.875 -1976.93 -228.789,    16 135 617,                   crouch,  7.59705 -133.623 0.0,    ,
-70.875 -1789.13 -239.875,    136,                          crouch,  -0.346069 -43.4805 0.0,  ,
-70.875 -1750.88 -239.875,    260,                          crouch,  1.37878 33.8688 0.0,     ,
6.84355 -1700.63 -239.875,    139 259,                      stand,   18.9954 15.5656 0.0,     ,
170.875 -1723.88 -239.875,    139,                          crouch,  4.48792 131.768 0.0,     ,
633.125 -1612.63 -239.875,    133 263 264,                  crouch,  1.03821 -41.069 0.0,     ,
704.743 -1875.62 -239.875,    133 137 262 264,              stand,   19.1656 47.8544 0.0,     ,
831.185 -1664.75 -239.875,    132 133 262 263,              stand,   24.6918 -176.085 0.0,    ,
854.946 -2014.63 -239.875,    133 134 267 270,              stand,   11.2225 -138.633 0.0,    ,
595.491 -2386.34 -239.875,    134 135 267,                  stand,   15.7104 83.5819 0.0,     ,
626.556 -2022.65 -239.875,    265 266 271,                  stand,   16.9189 -3.09471 0.0,    ,
498.875 -2454.88 -247.875,    135,                          crouch,  2.41699 132.098 0.0,     ,
906.875 -2446.88 -211.875,    134,                          crouch,  6.90491 138.827 0.0,     ,
906.875 -1973.13 -239.875,    265,                          crouch,  0.516357 -127.24 0.0,    ,
537.125 -1989.13 -239.875,    267,                          crouch,  6.21826 -29.6816 0.0,    ,
793.25 -1826.56 -79.875,      140 141 273 274,              stand,   15.8862 106.379 0.0,     ,
831.95 -1640.87 -79.875,      272 275,                      stand,   10.7062 20.9104 0.0,     ,
884.875 -1918.88 -79.875,     272,                          crouch,  2.58728 138.316 0.0,     ,
777.951 -1573.13 -79.875,     273,                          crouch,  1.72485 -122.923 0.0,    ,
301.908 -1629.06 -79.875,     277 280 282,                  stand,   14.3317 -167.132 0.0,    ,
302.058 -1743.96 -79.875,     148 276 279,                  stand,   17.9572 -163.852 0.0,    ,
-22.4581 -1876.1 -79.875,     148 279,                      stand,   16.9189 92.3765 0.0,     ,
-19.6405 -1748.29 -79.875,    277 278 280,                  stand,   17.9572 20.2073 0.0,     ,
-25.1041 -1623.8 -79.875,     276 279 281,                  stand,   18.4735 4.49684 0.0,     ,
-70.875 -1573.13 -79.875,     280,                          crouch,  3.97156 -61.2948 0.0,    ,
338.871 -1588.13 -39.875,     276,                          crouch,  7.76733 -131.574 0.0,    ,
537.125 -2142.88 -79.875,     284 285,                      crouch,  3.10913 35.9122 0.0,     ,
537.125 -1973.13 -79.875,     142 283,                      crouch,  2.07092 -33.5049 0.0,    ,
635.805 -2095.89 -79.875,     142 143 283 287,              stand,   13.2935 -81.3284 0.0,    ,
906.875 -2122.38 -79.875,     287,                          crouch,  3.62549 175.768 0.0,     ,
812.231 -2112.14 -79.875,     285 286 288,                  stand,   5.00977 172.659 0.0,     ,
882.375 -1993.63 -79.875,     287,                          crouch,  3.4552 -143.319 0.0,     ,
537.125 -2240.26 -79.875,     143 290,                      crouch,  12.085 -177.349 0.0,     ,
537.129 -2416.89 -79.875,     143 289,                      crouch,  10.7062 179.542 0.0,     ,
906.875 -2264.06 -79.875,     143,                          crouch,  11.0522 0.146255 0.0,    ,
951.392 -2416.36 -69.875,     143 293,                      climb,   85.0 0.486832 0.0,       ,
953.126 -2415.24 -250.698,    129 292 294,                  climb,   -85.0 179.707 0.0,       ,
1009.66 -2533.6 -255.875,     14 129 293 295,               stand,   6.34033 -141.967 0.0,    ,
929.463 -2600.74 -239.875,    14 294 296,                   stand,   14.1076 -170.466 0.0,    ,
609.598 -2606.55 -247.875,    13 295 297,                   stand,   13.4155 -172.191 0.0,    ,
374.38 -2613.75 -255.875,     13 14 15 296,                 stand,   18.2495 -153.031 0.0,    ,
996.223 -2059.85 -228.432,    130 299,                      prone,   1.67664 -3.37126 0.0,    ,
992.577 -2300.79 -226.681,    129 298,                      prone,   3.92334 2.32515 0.0,     ,
945.136 -1867.64 -247.875,    301,                          crouch,  4.09363 -1.83317 0.0,    ,
1002.45 -1870.77 -247.875,    300 302 304,                  stand,   58.6572 29.0714 0.0,     ,
997.973 -1718.01 -247.875,    301 303,                      stand,   38.4534 85.8762 0.0,     ,
945.125 -1723.73 -247.875,    302,                          crouch,  7.89488 25.2701 0.0,     ,
994.35 -1998.87 -247.875,     130 301 305,                  stand,   67.9791 -95.2499 0.0,    ,
945.125 -1998.88 -247.875,    304,                          crouch,  3.2312 0.924397 0.0,     ,
945.125 -1678.88 -255.875,    131,                          crouch,  4.95605 45.9793 0.0,     ,
1189.75 -1411.24 -255.875,    131 308 309,                  stand,   17.2168 -62.6315 0.0,    ,
