126
1619.21 -874.787 -798.875,   38 39 41,             stand,  ,  ,
1850.54 -684.461 -798.875,   0 40 42 52,           stand,  ,  ,
1949.92 -373.425 -798.875,   41 43 46 52,          stand,  ,  ,
2149.45 -611.556 -798.875,   1 39 42 44,           stand,  ,  ,
2140.0 -426.178 -798.875,    43,                   stand,  ,  ,
2111.76 -888.512 -798.875,   39,                   stand,  ,  ,
2094.1 -243.624 -798.875,    42 47,                stand,  ,  ,
2145.33 -153.252 -851.736,   46 48 55,             stand,  ,  ,
2152.73 235.404 -964.36,     47 49,                stand,  ,  ,
2017.26 405.453 -962.875,    2 48 50 51,           stand,  ,  ,
2007.9 567.484 -951.875,     49 69 70,             stand,  ,  ,
1782.39 387.453 -962.278,    49,                   stand,  ,  ,
1779.33 -248.895 -798.875,   41 42 53,             stand,  ,  ,
1795.43 -156.539 -799.875,   52 54,                stand,  ,  ,
1885.92 -157.285 -799.875,   53,                   stand,  ,  ,
1974.47 164.429 -942.395,    47 56,                stand,  ,  ,
1781.56 175.051 -897.787,    55 57,                stand,  ,  ,
1785.98 242.956 -923.985,    56 58,                stand,  ,  ,
1791.81 424.4 -819.397,      57 59,                stand,  ,  ,
1796.38 503.354 -783.875,    58 60 61,             stand,  ,  ,
2031.84 645.394 -783.875,    3 59 63 124 125,      stand,  ,  ,
1863.27 1363.03 -783.875,    59 62 63,             stand,  ,  ,
1648.49 1377.62 -799.875,    4 61 74 77,           stand,  ,  ,
2046.92 1352.47 -783.875,    3 60 61,              stand,  ,  ,
2245.82 976.782 -783.875,    65 124 125,           stand,  ,  ,
2245.29 1124.65 -882.875,    64 66,                stand,  ,  ,
2162.0 1070.06 -882.875,     65 67,                stand,  ,  ,
2172.75 971.062 -951.875,    66 68,                stand,  ,  ,
2208.24 855.805 -951.875,    67 69 123,            stand,  ,  ,
2027.18 758.538 -951.875,    50 68 122,            stand,  ,  ,
1740.68 595.321 -951.875,    50 71,                stand,  ,  ,
1601.37 585.809 -957.596,    70 72 73 121,         stand,  ,  ,
1499.06 832.878 -922.279,    71 73 74 120,         stand,  ,  ,
1353.96 802.999 -938.104,    26 71 72,             stand,  ,  ,
1572.95 1121.66 -811.809,    62 72 75,             stand,  ,  ,
1338.28 1300.26 -799.875,    74 76,                stand,  ,  ,
921.002 1501.79 -799.875,    75 77 78 79,          stand,  ,  ,
1232.49 1611.34 -799.875,    4 62 76 79,           stand,  ,  ,
696.798 1588.15 -799.875,    5 76 79,              stand,  ,  ,
806.389 1173.62 -799.875,    17 18 76 77 78,       stand,  ,  ,
-412.291 918.114 -799.875,   17 19 20 85 118,      stand,  ,  ,
-160.692 687.961 -832.563,   19 82,                stand,  ,  ,
-238.181 506.994 -859.251,   81 83,                stand,  ,  ,
-609.395 467.667 -881.323,   82 84 86,             stand,  ,  ,
-609.951 626.096 -851.069,   83 85 86,             stand,  ,  ,
-606.188 839.192 -799.959,   80 84,                stand,  ,  ,
-774.967 379.318 -880.319,   9 83 84 88 99,        stand,  ,  ,
-958.573 577.108 -875.721,   9,                    stand,  ,  ,
-728.743 194.845 -878.217,   86 89 99 117,         stand,  ,  ,
-371.643 189.592 -804.419,   88 90 116,            stand,  ,  ,
-150.498 233.062 -783.875,   89 91 92,             stand,  ,  ,
129.869 96.698 -783.875,     16 90 92 97,          stand,  ,  ,
95.1817 288.176 -783.875,    90 91 93 98,          stand,  ,  ,
466.039 293.947 -783.875,    92 94,                stand,  ,  ,
518.908 221.899 -783.875,    16 31 93,             stand,  ,  ,
963.984 331.457 -799.978,    30,                   stand,  ,  ,
622.388 417.81 -783.875,     31,                   stand,  ,  ,
-69.6823 81.5226 -783.875,   91,                   stand,  ,  ,
-79.6019 308.3 -783.875,     92,                   stand,  ,  ,
-766.005 8.13773 -888.825,   10 86 88 100 104,     stand,  ,  ,
-469.926 -47.919 -822.852,   99 101,               stand,  ,  ,
-431.184 -206.528 -783.875,  100 102 105,          stand,  ,  ,
-462.554 -529.872 -783.875,  101 103 106 107 113,  stand,  ,  ,
-749.052 -274.31 -783.875,   11 102 104,           stand,  ,  ,
-771.067 -151.255 -827.676,  99 103,               stand,  ,  ,
-228.434 -361.459 -783.875,  101 106 107,          stand,  ,  ,
-226.543 -571.504 -783.875,  102 105 107 113,      stand,  ,  ,
-401.205 -650.394 -783.875,  102 105 106 108,      stand,  ,  ,
-373.9 -964.998 -783.875,    34 107 109,           stand,  ,  ,
-510.757 -762.664 -783.875,  108,                  stand,  ,  ,
-59.695 -750.002 -783.875,   34 111 112 113,       stand,  ,  ,
193.959 -771.007 -783.875,   110,                  stand,  ,  ,
-25.8463 -979.019 -783.875,  110,                  stand,  ,  ,
-33.6241 -569.923 -783.875,  12 102 106 110,       stand,  ,  ,
614.185 114.362 -783.875,    31,                   stand,  ,  ,
-339.229 87.9139 -797.732,   116,                  stand,  ,  ,
-523.323 101.325 -825.773,   89 115,               stand,  ,  ,
-918.0 197.681 -901.65,      88,                   stand,  ,  ,
-515.0 1086.04 -799.875,     80,                   stand,  ,  ,
81.0071 1376.28 -799.875,    8 17 19,              stand,  ,  ,
1636.69 840.59 -925.852,     72,                   stand,  ,  ,
1403.33 567.685 -957.808,    71,                   stand,  ,  ,
2022.96 921.511 -951.875,    69,                   stand,  ,  ,
2248.81 768.874 -951.875,    68,                   stand,  ,  ,
2205.4 584.408 -783.875,     60 64,                stand,  ,  ,
2079.08 848.431 -783.875,    3 60 64,              stand,  ,  ,
