222
369.213 -1267.21 -67.4014,   24 35,                   stand,  ,                      ,
-893.141 1418.45 -39.875,    10 60 158 213,           stand,  ,                      ,
-539.959 1560.86 -39.875,    10 212 214,              stand,  ,                      ,
-528.903 1602.79 -39.875,    11 61 86 213,            stand,  ,                      ,
68.6193 2098.41 96.125,      20 95 106 108 164,       stand,  ,                      ,
-99.627 2868.92 96.125,      99 100 161 162 165,      stand,  ,                      ,
-662.288 2010.44 -37.9111,   62 148 157 218,          stand,  ,                      ,
-659.415 1981.63 -2.875,     217 219,                 stand,  ,                      ,
-659.367 1946.63 26.125,     218 221,                 climb,  14.6283 -90.0552 0.0,  ,
-657.268 1398.59 96.125,     196 198 221,             stand,  ,                      ,
-662.273 1927.57 96.125,     219 220,                 climb,  23.7634 -88.5992 0.0,  ,
