181
3102.01 -957.248 4.125,    1 9 71 94,                     stand,     0.0 0.0 0.0,            ,
3239.77 1167.13 4.125,     61,                            claymore,  11.9434 33.2776 0.0,    ,
3154.16 654.092 4.125,     42,                            grenade,   -32.326 -61.9574 0.0,   ,
4031.39 -326.558 4.125,    13 24 25 67,                   grenade,   -29.7662 88.797 0.0,    ,
2967.13 -815.125 4.125,    71,                            crouch,    0.170288 -20.3741 0.0,  ,
2993.33 -1125.18 4.125,    0,                             crouch,    2.93335 42.8192 0.0,    ,
3950.03 -1103.16 56.125,   8,                             crouch,    7.59705 88.7476 0.0,    ,
3542.41 -1103.13 56.125,   8,                             crouch,    5.87219 92.8949 0.0,    ,
4281.88 -783.125 4.125,    69,                            crouch,    0.346069 -157.637 0.0,  ,
4281.88 -871.541 4.125,    69,                            crouch,    -0.692139 146.591 0.0,  ,
3667.9 -551.125 4.125,     3 103,                         crouch,    4.48792 93.0652 0.0,    ,
3768.06 -552.309 4.125,    3 104,                         crouch,    2.93335 96.3446 0.0,    ,
2973.13 -527.125 38.125,   56,                            crouch,    6.55884 -23.9996 0.0,   ,
3199.17 -530.903 4.125,    18 19 132,                     crouch,    5.35034 87.7148 0.0,    ,
3670.1 -440.232 4.125,     16 99 104,                     stand,     39.7156 175.781 0.0,    ,
3768.97 -441.194 4.125,    13 100 103,                    stand,     35.744 140.037 0.0,     ,
4281.87 -421.125 4.125,    14,                            crouch,    5.69641 -145.02 0.0,    ,
4281.88 -744.875 4.125,    15 68,                         crouch,    3.4552 146.431 0.0,     ,
4281.88 -111.125 4.125,    108,                           crouch,    1.72485 -171.958 0.0,   ,
4225.3 -118.036 4.125,     25 107 109,                    stand,     78.7335 -168.503 0.0,   ,
4165.44 -122.838 4.125,    25 108 117,                    stand,     48.5211 31.4374 0.0,    ,
4280.01 -371.875 4.125,    67,                            crouch,    6.04248 138.488 0.0,    ,
3592.57 230.791 236.125,   113,                           crouch,    13.4692 91.7084 0.0,    ,
3610.7 105.327 236.125,    113,                           crouch,    17.7869 -88.374 0.0,    ,
3593.29 169.218 236.125,   60 111 112,                    stand,     55.08 8.66272 0.0,      ,
3937.81 32.3144 4.125,     49 115 116 120,                stand,     21.5826 -131.017 0.0,   ,
3874.36 -42.5438 4.125,    23 24 114,                     stand,     21.4124 -119.279 0.0,   ,
4095.67 31.9364 4.125,     26 114 117,                    stand,     40.9241 -2.90588 0.0,   ,
4169.97 -28.6143 4.125,    26 109 116 118 119,            stand,     24.6918 -80.9528 0.0,   ,
4236.88 -72.875 4.125,     117,                           crouch,    10.014 155.759 0.0,     ,
4033.13 -72.875 4.125,     117,                           crouch,    4.31763 39.7266 0.0,    ,
3994.88 178.575 4.125,     54 114,                        crouch,    3.27942 -147.431 0.0,   ,
3994.88 472.875 4.125,     49 122,                        crouch,    -3.10913 -130.182 0.0,  ,
3942.17 404.421 4.125,     49 121 123,                    stand,     36.7767 3.29041 0.0,    ,
4103.42 409.187 4.125,     27 77 122 124,                 stand,     45.0659 -103.42 0.0,    ,
4172.62 482.694 4.125,     27 28 77 123,                  stand,     15.0238 -107.21 0.0,    ,
3692.53 278.477 4.125,     49 54 126 127,                 stand,     30.2179 143.322 0.0,    ,
3523.5 280.269 4.125,      50 51 125,                     stand,     63.9337 175.089 0.0,    ,
3518.19 497.967 4.125,     46 49 50 125,                  stand,     28.3655 148.156 0.0,    ,
2967.13 253.071 4.125,     65,                            crouch,    5.57434 -38.4796 0.0,   ,
2967.13 -462.277 4.125,    21,                            crouch,    3.33313 19.7095 0.0,    ,
3134.19 -294.792 4.125,    21 131 132,                    stand,     33.0292 17.4683 0.0,    ,
3229.65 -279.104 4.125,    17 20 21 130 132,              stand,     18.0054 -12.9254 0.0,   ,
3198.27 -431.219 4.125,    17 20 21 102 130 131,          stand,     22.8394 -56.0852 0.0,   ,
2967.13 792.875 4.125,     43,                            crouch,    4.01978 -30.3827 0.0,   ,
2967.13 396.129 4.125,     44,                            crouch,    4.01978 39.2047 0.0,    ,
3119.13 583.125 4.125,     42,                            crouch,    5.05798 50.7733 0.0,    ,
3347.23 724.934 4.125,     42 47 137,                     stand,     39.2474 -10.3491 0.0,   ,
3339.57 873.507 4.125,     40 136 138 142 145,            stand,     38.9014 93.5925 0.0,    ,
3266.15 895.568 4.125,     137 139 141 156,               stand,     38.2092 163.004 0.0,    ,
3272.16 997.449 4.125,     40 86 138 140,                 stand,     42.5269 -176.622 0.0,   ,
3102.99 1006.33 4.125,     41 86 139 141,                 stand,     34.754 -106.688 0.0,    ,
3098.24 883.522 4.125,     41 43 138 140 143 156,         stand,     37.171 -9.82178 0.0,    ,
3345.36 831.125 4.125,     137,                           crouch,    2.46521 -86.1493 0.0,   ,
3027.68 831.126 4.125,     41 58 141,                     crouch,    3.33313 -88.396 0.0,    ,
2967.13 1123.88 4.125,     58,                            crouch,    5.92041 -48.4991 0.0,   ,
3448.88 831.125 4.125,     40 137,                        crouch,    4.36584 138.658 0.0,    ,
2967.13 1167.13 4.125,     39,                            crouch,    5.40405 32.6459 0.0,    ,
3000.32 1366.68 4.125,     39,                            crouch,    4.8822 -40.2209 0.0,    ,
3706.44 831.125 4.125,     35 152,                        crouch,    3.15735 -89.6045 0.0,   ,
3600.53 831.125 4.125,     35 73 151,                     crouch,    2.98706 -92.5378 0.0,   ,
3583.13 1024.88 4.125,     35,                            crouch,    1.77856 -47.8235 0.0,   ,
3596.0 707.958 4.125,      47 149 152 153 155,            stand,     26.4703 6.04797 0.0,    ,
3704.09 711.942 4.125,     48 148 151 154,                stand,     25.6024 -2.75757 0.0,   ,
3584.88 599.125 4.125,     47 151 155,                    crouch,    5.22827 144.179 0.0,    ,
3623.13 599.125 4.125,     152,                           crouch,    4.71191 54.0472 0.0,    ,
3471.93 599.125 4.125,     47 151 153,                    crouch,    6.26648 -177.66 0.0,    ,
3194.61 834.856 4.125,     42 138 141,                    stand,     55.304 93.587 0.0,      ,
3699.24 845.02 132.125,    37,                            crouch,    8.68347 -90.2911 0.0,   ,
3527.51 847.486 132.125,   37,                            crouch,    10.238 -86.3196 0.0,    ,
3678.38 966.134 132.125,   37,                            stand,     23.1854 -154.863 0.0,   ,
3675.83 1351.88 4.125,     32 34,                         crouch,    1.25671 -53.8605 0.0,   ,
4281.88 1379.88 4.125,     162,                           crouch,    0.394287 -135.187 0.0,  ,
4226.38 1317.6 4.125,      33 57 161,                     stand,     38.7256 -77.168 0.0,    ,
4209.6 937.011 4.125,      29 63 164 166,                 stand,     24.2236 -89.7748 0.0,   ,
4281.88 909.78 4.125,      163,                           crouch,    3.15735 160.06 0.0,     ,
4281.88 1123.88 4.125,     166,                           crouch,    5.05798 -118.614 0.0,   ,
4249.27 1064.23 4.125,     63 163 165,                    stand,     14.5557 -127.249 0.0,   ,
4074.08 652.973 4.125,     28 29 168 170,                 stand,     30.9583 165.24 0.0,     ,
3921.55 646.674 4.125,     48 167 174,                    stand,     35.4462 102.563 0.0,    ,
3892.88 766.186 4.125,     48 170 171 175,                stand,     29.2279 37.1173 0.0,    ,
4073.73 785.901 4.125,     28 167 169 173,                stand,     23.7073 45.2362 0.0,    ,
3875.03 909.236 4.125,     31 88 169 172,                 stand,     16.2805 -82.6996 0.0,   ,
3775.13 871.125 4.125,     171,                           crouch,    5.92041 42.1436 0.0,    ,
4070.98 893.833 4.125,     30 88 170,                     stand,     21.4606 3.29041 0.0,    ,
3994.88 511.125 4.125,     168,                           crouch,    4.54163 136.939 0.0,    ,
3775.13 832.875 4.125,     48 169,                        crouch,    3.15735 -50.7513 0.0,   ,
3680.23 -1030.35 4.125,    1 2 177,                       stand,     21.0663 3.3728 0.0,     ,
3843.96 -1027.55 4.125,    4 5 6 176,                     stand,     17.7869 32.8986 0.0,    ,
3688.22 1082.55 4.125,     31 32 34 35 179,               stand,     31.4264 -161.862 0.0,   ,
3508.68 1098.26 4.125,     36 37 38 86 178,               stand,     66.9946 -171.359 0.0,   ,
3579.43 1340.88 4.125,     36 38,                         crouch,    6.55884 -123.354 0.0,   ,
