172
-400.925 -1848.68 -75.875,    1 33 34 35 96 102 103,              stand,  0.0 0.0 0.0,  ,
-1678.45 -406.202 -91.875,    48 50 53 54,                        stand,  0.0 0.0 0.0,  ,
-1520.3 -304.784 -91.8367,    49 51 53,                           stand,  0.0 0.0 0.0,  ,
-1517.99 5.44182 -89.2867,    50 52,                              stand,  0.0 0.0 0.0,  ,
-1707.05 -87.5747 -91.875,    51 53,                              stand,  0.0 0.0 0.0,  ,
-1715.82 -354.494 -91.875,    49 50 52,                           stand,  0.0 0.0 0.0,  ,
-1515.81 -509.597 -91.0506,   48 49 55,                           stand,  0.0 0.0 0.0,  ,
-1376.65 -508.579 -91.8743,   54,                                 stand,  0.0 0.0 0.0,  ,
-943.787 -937.081 -32.0102,   31 38 39 46 57 58 158 159,          stand,  0.0 0.0 0.0,  ,
-656.817 -747.483 -3.88513,   38 56 58 83 85,                     stand,  0.0 0.0 0.0,  ,
-653.182 -650.72 -7.49576,    56 57 59 82 83 84,                  stand,  0.0 0.0 0.0,  ,
-1004.78 -632.049 0.124999,   58 60 61 82 84,                     stand,  0.0 0.0 0.0,  ,
-1017.29 -799.638 -0.681175,  59,                                 stand,  0.0 0.0 0.0,  ,
-1160.66 -573.202 0.330718,   59 62 63 160,                       stand,  0.0 0.0 0.0,  ,
-1175.83 -767.76 -4.35261,    61,                                 stand,  0.0 0.0 0.0,  ,
-1264.68 -515.476 0.125,      61 64 160,                          stand,  0.0 0.0 0.0,  ,
-1354.66 -634.425 3.06842,    63,                                 stand,  0.0 0.0 0.0,  ,
-1269.23 472.956 1.125,       29 69 78 149 157,                   stand,  0.0 0.0 0.0,  ,
-1400.31 256.397 0.125,       29 67 79 157 160,                   stand,  0.0 0.0 0.0,  ,
-1365.6 -327.454 0.125,       66 78 79 80 160,                    stand,  0.0 0.0 0.0,  ,
-609.182 328.472 4.125,       74 77 78,                           stand,  0.0 0.0 0.0,  ,
-1049.59 586.035 0.125,       65 70 82,                           stand,  0.0 0.0 0.0,  ,
-968.756 611.568 4.125,       69 71 75 76 77 79 157,              stand,  0.0 0.0 0.0,  ,
-976.187 936.642 4.125,       70 76 77,                           stand,  0.0 0.0 0.0,  ,
-437.928 929.933 36.125,      74 75 77 144 144,                   stand,  0.0 0.0 0.0,  ,
-454.443 708.46 36.125,       74 144,                             stand,  0.0 0.0 0.0,  ,
-605.696 697.122 4.125,       68 72 73 75 77 78,                  stand,  0.0 0.0 0.0,  ,
-757.659 931.333 4.125,       70 72 74 76 77,                     stand,  0.0 0.0 0.0,  ,
-841.907 931.309 4.125,       70 71 75,                           stand,  0.0 0.0 0.0,  ,
-797.713 724.604 4.125,       68 70 71 72 74 75,                  stand,  0.0 0.0 0.0,  ,
-786.511 353.013 4.125,       65 67 68 74 79 157,                 stand,  0.0 0.0 0.0,  ,
-796.275 162.649 4.125,       29 66 67 70 78 80 81 157,           stand,  0.0 0.0 0.0,  ,
-583.247 74.3371 4.125,       29 67 79,                           stand,  0.0 0.0 0.0,  ,
-828.747 -215.216 1.5047,     29 79 82 157 161,                   stand,  0.0 0.0 0.0,  ,
-875.146 -470.45 0.194482,    58 59 69 81 161,                    stand,  0.0 0.0 0.0,  ,
-354.144 -659.62 -5.79208,    29 39 57 58 84,                     stand,  0.0 0.0 0.0,  ,
-340.637 -421.783 -0.263573,  29 58 59 83 85 87,                  stand,  0.0 0.0 0.0,  ,
-307.35 -199.125 0.125002,    29 29 57 84 86 87 90,               stand,  0.0 0.0 0.0,  ,
25.242 -231.612 -0.602708,    27 28 30 85 87 90,                  stand,  0.0 0.0 0.0,  ,
-192.384 -415.934 0.0549812,  29 84 85 86 88 89 90,               stand,  0.0 0.0 0.0,  ,
-152.44 -503.454 -0.75003,    87 89 90,                           stand,  0.0 0.0 0.0,  ,
71.5007 -503.328 -1.43379,    30 87 88 90,                        stand,  0.0 0.0 0.0,  ,
94.1748 -355.087 -0.264561,   15 28 85 86 87 88 89,               stand,  0.0 0.0 0.0,  ,
740.317 -2117.49 -48.3124,    6 7 8 12 92 101,                    stand,  0.0 0.0 0.0,  ,
597.614 -1874.31 -61.6157,    12 13 91 93 101,                    stand,  0.0 0.0 0.0,  ,
367.679 -1965.96 -72.8608,    2 12 92 100 104,                    stand,  0.0 0.0 0.0,  ,
296.917 -2443.71 -20.98,      5 6 8 9,                            stand,  0.0 0.0 0.0,  ,
-481.031 -2413.81 -58.2712,   1 2,                                stand,  0.0 0.0 0.0,  ,
-596.897 -1875.62 -75.875,    0 33 35,                            stand,  0.0 0.0 0.0,  ,
-541.398 -1335.18 -75.875,    34 35 36 37 99,                     stand,  0.0 0.0 0.0,  ,
-1013.83 -1750.09 -75.875,    32 37 38,                           stand,  0.0 0.0 0.0,  ,
-795.504 -1366.92 -75.875,    35 36 37 38 97,                     stand,  0.0 0.0 0.0,  ,
200.083 -1798.97 -77.9005,    2 4 5 93 103 104,                   stand,  0.0 0.0 0.0,  ,
603.804 -2150.06 -54.7511,    4 5 6 7 91 92,                      stand,  0.0 0.0 0.0,  ,
-209.994 -2126.41 -65.6496,   0 1 2 3 13 103,                     stand,  0.0 0.0 0.0,  ,
-63.664 -1789.82 -81.7122,    0 1 13 100 102 104 105 106,         stand,  0.0 0.0 0.0,  ,
153.038 -1393.14 -89.7674,    13 93 100 103 105 106 109 111 115,  stand,  0.0 0.0 0.0,  ,
-51.1535 -1477.54 -90.5695,   103 104,                            stand,  0.0 0.0 0.0,  ,
6.26634 -1188.54 -90.6516,    103 104 107 108 109,                stand,  0.0 0.0 0.0,  ,
-184.402 -1281.53 -86.9327,   106,                                stand,  0.0 0.0 0.0,  ,
-50.5431 -1037.26 -66.1512,   106 109,                            stand,  0.0 0.0 0.0,  ,
41.2954 -1047.24 -70.7989,    104 106 108 110 112 112,            stand,  0.0 0.0 0.0,  ,
-93.369 -690.413 -59.5182,    109 111,                            stand,  0.0 0.0 0.0,  ,
418.432 -694.647 -88.2799,    104 110 112,                        stand,  0.0 0.0 0.0,  ,
371.864 -1015.78 -82.42,      14 109 109 111 116,                 stand,  0.0 0.0 0.0,  ,
1268.84 -2149.08 -17.3702,    9 10 11,                            stand,  0.0 0.0 0.0,  ,
883.566 -1353.57 -62.1382,    11 12 14 19 115,                    stand,  0.0 0.0 0.0,  ,
363.714 -1351.07 -88.8687,    12 13 14 104 114 116,               stand,  0.0 0.0 0.0,  ,
458.396 -1106.59 -79.5428,    18 112 115,                         stand,  0.0 0.0 0.0,  ,
986.214 -627.4 -28.8414,      15 16 17 19 24 25,                  stand,  0.0 0.0 0.0,  ,
1302.15 -635.43 -15.7807,     16 22 122,                          stand,  0.0 0.0 0.0,  ,
1165.15 291.451 36.125,       120 121 122,                        stand,  0.0 0.0 0.0,  ,
1401.22 199.086 36.125,       119 121 122,                        stand,  0.0 0.0 0.0,  ,
1372.13 35.3535 36.125,       119 120 122,                        stand,  0.0 0.0 0.0,  ,
1223.43 47.6628 36.125,       22 118 119 120 121 123,             stand,  0.0 0.0 0.0,  ,
964.716 131.156 36.125,       122 124 125,                        stand,  0.0 0.0 0.0,  ,
847.46 243.265 36.125,        123,                                stand,  0.0 0.0 0.0,  ,
971.312 258.063 36.125,       123 128,                            stand,  0.0 0.0 0.0,  ,
971.536 1201.52 36.125,       136 137 162,                        stand,  0.0 0.0 0.0,  ,
679.824 484.92 36.125,        128 129 130 163 164 167,            stand,  0.0 0.0 0.0,  ,
971.698 496.16 36.125,        125 127 162 163,                    stand,  0.0 0.0 0.0,  ,
725.228 337.533 36.125,       127 139 167,                        stand,  0.0 0.0 0.0,  ,
135.131 436.101 38.4257,      127 131 148 163 164 168,            stand,  0.0 0.0 0.0,  ,
131.516 855.92 36.125,        130 132 137 143 167 169,            stand,  0.0 0.0 0.0,  ,
314.518 843.849 36.125,       131 133 134 138,                    stand,  0.0 0.0 0.0,  ,
361.253 981.972 36.125,       132 134 138,                        stand,  0.0 0.0 0.0,  ,
499.522 993.247 36.125,       132 133 138 166,                    stand,  0.0 0.0 0.0,  ,
484.19 1217.18 36.125,        136 137 143 165 166,                stand,  0.0 0.0 0.0,  ,
667.395 1171.03 36.125,       126 135 139 165 166,                stand,  0.0 0.0 0.0,  ,
232.178 1265.64 36.125,       126 131 135 169,                    stand,  0.0 0.0 0.0,  ,
482.672 731.274 36.125,       132 133 134 139,                    stand,  0.0 0.0 0.0,  ,
726.439 706.955 36.125,       129 136 138 163 165,                stand,  0.0 0.0 0.0,  ,
-134.697 1206.2 36.125,       141 142 169 170,                    stand,  0.0 0.0 0.0,  ,
-323.627 1338.62 36.125,      140,                                stand,  0.0 0.0 0.0,  ,
-262.462 1000.76 36.125,      140 143 144 170,                    stand,  0.0 0.0 0.0,  ,
-249.82 819.868 36.125,       131 135 142 144 145,                stand,  0.0 0.0 0.0,  ,
-437.521 821.067 36.125,      72 72 73 142 143 145,               stand,  0.0 0.0 0.0,  ,
-260.733 675.697 36.125,      143 144 146 147 148,                stand,  0.0 0.0 0.0,  ,
-228.17 337.602 36.125,       145 147 148,                        stand,  0.0 0.0 0.0,  ,
-329.664 510.816 36.125,      145 146 148,                        stand,  0.0 0.0 0.0,  ,
-107.991 471.498 37.86,       130 145 146 147 167 168,            stand,  0.0 0.0 0.0,  ,
-1480.79 450.343 28.1251,     65 150 151 153,                     stand,  0.0 0.0 0.0,  ,
-1498.75 547.084 28.125,      149 151,                            stand,  0.0 0.0 0.0,  ,
-1604.32 363.616 28.3066,     149 150 152,                        stand,  0.0 0.0 0.0,  ,
-1611.58 -53.2727 28.1252,    151 153 156,                        stand,  0.0 0.0 0.0,  ,
-1723.8 -40.2433 28.1365,     149 152 154,                        stand,  0.0 0.0 0.0,  ,
-1629.12 -699.568 28.125,     153 155,                            stand,  0.0 0.0 0.0,  ,
-1582.6 -334.505 28.2239,     154 156,                            stand,  0.0 0.0 0.0,  ,
-1504.8 -32.4221 28.2102,     152 155,                            stand,  0.0 0.0 0.0,  ,
-1264.78 331.562 0.125001,    65 66 70 78 79 81 160,              stand,  0.0 0.0 0.0,  ,
-624.2 -1121.13 -76.413,      31 38 56,                           stand,  0.0 0.0 0.0,  ,
-1788.11 -1332.66 -85.2217,   39 41 42 56,                        stand,  0.0 0.0 0.0,  ,
-1239.1 -365.322 0.528249,    61 63 66 67 157,                    stand,  0.0 0.0 0.0,  ,
-745.233 -298.013 0.117016,   29 81 82,                           stand,  0.0 0.0 0.0,  ,
955.794 848.356 36.125,       126 128,                            stand,  0.0 0.0 0.0,  ,
681.232 597.401 36.125,       127 128 130 139 164,                stand,  0.0 0.0 0.0,  ,
340.939 344.295 36.125,       127 130 163 167 168,                stand,  0.0 0.0 0.0,  ,
746.832 1338.86 36.125,       135 136 139,                        stand,  0.0 0.0 0.0,  ,
490.991 1065.31 36.125,       134 135 136,                        stand,  0.0 0.0 0.0,  ,
26.5156 672.111 68.177,       127 129 131 148 164,                stand,  0.0 0.0 0.0,  ,
-30.6656 368.992 36.125,      130 148 164 169,                    stand,  0.0 0.0 0.0,  ,
-66.3247 1199.87 36.125,      131 137 140 168,                    stand,  0.0 0.0 0.0,  ,
-307.197 1119.2 36.125,       140 142,                            stand,  0.0 0.0 0.0,  ,
-1398.82 -1490.03 -95.9568,   39 40 46,                           stand,  0.0 0.0 0.0,  ,
