521
-3187.32 2925.31 9.37074,    85 204 207 208,                    stand,   0.0 0.0 0.0,             ,
-3321.72 1443.21 0.124999,   75 137 370,                        stand,   0.0 0.0 0.0,             ,
-3221.21 901.728 -111.875,   72 74 370 435 440,                 stand,   0.0 0.0 0.0,             ,
-3592.02 852.833 -111.875,   71 73 440,                         stand,   0.0 0.0 0.0,             ,
-3574.51 511.577 -111.875,   72 74,                             stand,   0.0 0.0 0.0,             ,
-3239.15 522.985 -111.875,   71 73,                             stand,   0.0 0.0 0.0,             ,
-3318.06 1595.2 0.125002,    70 76 83,                          stand,   0.0 0.0 0.0,             ,
-3125.72 1598.81 0.125002,   75 77 458,                         stand,   0.0 0.0 0.0,             ,
-2812.88 1589.5 134.125,     76 78 459 460,                     stand,   0.0 0.0 0.0,             ,
-2835.92 1914.69 134.125,    77 79 460 461,                     stand,   0.0 0.0 0.0,             ,
-3296.91 1903.05 134.125,    78 462 463,                        stand,   0.0 0.0 0.0,             ,
-2930.74 1854.66 0.125002,   453 455 456 458,                   stand,   0.0 0.0 0.0,             ,
-3504.74 1862.45 0.125002,   82 83 84 449 451,                  stand,   0.0 0.0 0.0,             ,
-3910.48 1708.11 0.125002,   6 81,                              stand,   0.0 0.0 0.0,             ,
-3565.8 1599.37 0.125002,    75 81 450,                         stand,   0.0 0.0 0.0,             ,
-3615.39 2099.91 9.85866,    6 81 505,                          stand,   0.0 0.0 0.0,             ,
-3213.94 2541.38 38.9577,    0 502 503,                         stand,   0.0 0.0 0.0,             ,
-2608.52 2051.91 14.451,     466 468 471 474 518,               stand,   0.0 0.0 0.0,             ,
-2610.1 2869.9 61.9561,      189 200 201 202 208,               stand,   0.0 0.0 0.0,             ,
-2199.88 2794.01 67.8283,    186 188 189 199 200,               stand,   0.0 0.0 0.0,             ,
-1994.08 2263.09 25.4813,    185 186 195 517,                   stand,   0.0 0.0 0.0,             ,
-1997.28 1827.26 24.125,     91 161 162 163 517,                stand,   0.0 0.0 0.0,             ,
-2214.69 1977.74 24.125,     90 93 164 165 166 518,             stand,   0.0 0.0 0.0,             ,
-2492.51 1487.02 28.8862,    93 101 474 476,                    stand,   0.0 0.0 0.0,             ,
-2170.41 1494.77 15.8199,    91 92 100 151 152,                 stand,   0.0 0.0 0.0,             ,
-1650.37 1825.65 24.125,     148 157 160 161,                   stand,   0.0 0.0 0.0,             ,
-1619.99 1232.21 24.125,     96 99 140 147 149 150,             stand,   0.0 0.0 0.0,             ,
-1474.41 1179.87 24.125,     95 99 140 170,                     stand,   0.0 0.0 0.0,             ,
-1490.13 1664.27 160.125,    98 170 171,                        stand,   0.0 0.0 0.0,             ,
-2073.6 1735.73 158.125,     97 519 520,                        stand,   0.0 0.0 0.0,             ,
-1640.47 909.372 24.125,     95 96 140 141 142 143,             stand,   0.0 0.0 0.0,             ,
-2090.81 1208.71 16.8285,    93 146 151 152,                    stand,   0.0 0.0 0.0,             ,
-2495.05 1179.81 20.125,     92 102 104 477 478,                stand,   0.0 0.0 0.0,             ,
-2642.2 1059.74 20.125,      101 103 477 479,                   stand,   0.0 0.0 0.0,             ,
-2463.01 827.875 20.125,     102 104 479 481,                   stand,   0.0 0.0 0.0,             ,
-2386.82 1056.46 20.125,     101 103 478,                       stand,   0.0 0.0 0.0,             ,
-2057.8 778.501 14.0891,     106 146 153 481 482,               stand,   0.0 0.0 0.0,             ,
-2063.8 525.44 -7.27555,     105 107 108 125 126 364 482 484,   stand,   0.0 0.0 0.0,             ,
-2504.48 518.403 20.125,     106 127 368 482 485,               stand,   0.0 0.0 0.0,             ,
-2207.5 241.214 -67.4658,    106 364 378 484 486,               stand,   0.0 0.0 0.0,             ,
-2127.31 -108.857 -47.875,   125 359 363 486,                   stand,   0.0 0.0 0.0,             ,
-2317.83 -592.002 -27.4137,  111 358 360,                       stand,   0.0 0.0 0.0,             ,
-2403.83 -953.757 -41.7629,  110 112 355,                       stand,   0.0 0.0 0.0,             ,
-2714.42 -923.258 -76.9678,  111 113 115 124 355 357,           stand,   0.0 0.0 0.0,             ,
-3258.12 -1119.61 -111.617,  112 114 124 337 345,               stand,   0.0 0.0 0.0,             ,
-3604.46 -1342.89 -127.448,  31 32 113 122 337,                 stand,   0.0 0.0 0.0,             ,
-2980.97 -656.579 -31.875,   112 116 121,                       stand,   0.0 0.0 0.0,             ,
-2946.61 -367.327 -31.875,   115 117 494 497,                   stand,   0.0 0.0 0.0,             ,
-3126.27 -293.543 -31.875,   116 118 495,                       stand,   0.0 0.0 0.0,             ,
-3305.8 -460.968 -31.875,    117 119,                           stand,   0.0 0.0 0.0,             ,
-3564.5 -441.724 -31.875,    118 120,                           stand,   0.0 0.0 0.0,             ,
-3846.61 -256.125 -137.138,  33 119 381 499 500,                stand,   0.0 0.0 0.0,             ,
-3201.08 -680.679 -53.875,   115 344,                           stand,   0.0 0.0 0.0,             ,
-3285.23 -1431.6 -91.8133,   114 123 336,                       stand,   0.0 0.0 0.0,             ,
-2972.81 -1393.11 -91.875,   122 124 350,                       stand,   0.0 0.0 0.0,             ,
-2967.1 -1040.45 -103.809,   112 113 123 357,                   stand,   0.0 0.0 0.0,             ,
-1745.47 67.934 -28.3741,    106 109 364,                       stand,   0.0 0.0 0.0,             ,
-1652.68 564.854 18.3053,    106 364 365 366 367,               stand,   0.0 0.0 0.0,             ,
-2736.92 508.471 46.8293,    107 128 369,                       stand,   0.0 0.0 0.0,             ,
-2759.88 1019.05 46.125,     127 129,                           stand,   0.0 0.0 0.0,             ,
-2741.05 1442.88 112.125,    128 377,                           stand,   0.0 0.0 0.0,             ,
-3585.46 1147.44 -365.355,   68 516,                            stand,   0.0 0.0 0.0,             ,
-3672.29 376.449 -286.916,   66 132 516,                        stand,   0.0 0.0 0.0,             ,
-4141.69 364.517 -142.524,   131 403 419 425,                   stand,   0.0 0.0 0.0,             ,
-4648.14 351.178 -169.821,   54 402 403 404 405 406,            stand,   0.0 0.0 0.0,             ,
-3485.22 592.322 -279.875,   427 428 430 431 516,               stand,   0.0 0.0 0.0,             ,
-3276.84 758.317 -279.875,   67 427 428,                        stand,   0.0 0.0 0.0,             ,
-4149.42 819.163 -324.042,   50 516,                            stand,   0.0 0.0 0.0,             ,
-3711.21 1422.86 93.1427,    70 138,                            stand,   0.0 0.0 0.0,             ,
-4164.47 1462.14 70.1235,    137 215 216,                       stand,   0.0 0.0 0.0,             ,
-4316.12 1923.37 -80.0255,   6 51 214,                          stand,   0.0 0.0 0.0,             ,
-1713.23 1105.42 24.125,     95 96 99 143 150,                  stand,   0.0 0.0 0.0,             ,
-1531.5 837.172 24.125,      99 142 144,                        stand,   18.6975 153.067 0.0,     ,
-1805.46 867.342 24.125,     99 141 143 145,                    stand,   12.309 66.0388 0.0,      ,
-1801.74 1018.25 24.125,     99 140 142 146,                    stand,   13.6877 87.2809 0.0,     ,
-1431.13 823.462 24.125,     141,                               crouch,  3.67371 157.725 0.0,     ,
-1823.75 772.637 24.125,     142,                               crouch,  4.36584 77.6129 0.0,     ,
-2061.84 1027.03 24.7231,    100 105 143 151 153 481,           stand,   11.7871 82.1008 0.0,     ,
-1626.3 1429.66 24.125,      95 148 149 150,                    stand,   12.309 87.973 0.0,       ,
-1630.78 1588.12 24.125,     94 147 154 155,                    stand,   15.5884 73.8116 0.0,     ,
-1790.5 1498.29 24.125,      95 147 150,                        crouch,  5.05798 -52.0532 0.0,    ,
-1795.11 1223.06 24.125,     95 140 147 149 151,                stand,   15.7587 93.4937 0.0,     ,
-1961.77 1228.93 16.1241,    93 100 146 150 152,                stand,   15.5884 101.783 0.0,     ,
-1981.32 1502.11 32.4453,    93 100 151,                        stand,   17.6593 91.4227 0.0,     ,
-2278.88 1197.78 32.1153,    105 146 481,                       crouch,  5.57434 -56.8872 0.0,    ,
-1704.88 1551.13 24.125,     148,                               crouch,  4.71191 38.9465 0.0,     ,
-1514.11 1614.1 24.125,      148 156,                           stand,   9.37012 96.9653 0.0,     ,
-1531.01 1895.44 24.125,     155 157 158,                       stand,   14.0338 97.6575 0.0,     ,
-1662.49 1876.41 24.125,     94 156 159 161,                    stand,   35.7922 -72.757 0.0,     ,
-1431.13 1960.88 24.125,     156,                               crouch,  5.74463 -139.581 0.0,    ,
-1832.88 1922.41 24.125,     157 161,                           crouch,  6.78284 -59.2877 0.0,    ,
-1832.88 1710.47 24.125,     94 161,                            crouch,  4.53613 50.1801 0.0,     ,
-1822.1 1806.64 24.125,      90 94 157 159 160,                 stand,   10.5786 42.2369 0.0,     ,
-1871.13 1960.88 24.125,     90,                                crouch,  3.32764 -134.418 0.0,    ,
-1973.13 1687.13 24.125,     90,                                crouch,  2.29492 109.556 0.0,     ,
-2184.13 2128.88 24.125,     91 165,                            crouch,  3.84399 -129.578 0.0,    ,
-2323.25 2085.93 24.125,     91 164,                            crouch,  0.740357 175.512 0.0,    ,
-2309.5 1819.13 25.258,      91 167,                            climb,   -85.0 -89.8682 0.0,      ,
-2306.74 1814.02 160.125,    166 168 519,                       climb,   85.0 90.39 0.0,          ,
-2329.67 1734.52 158.125,    167 519,                           crouch,  11.9629 147.36 0.0,      ,
-1776.62 1696.87 160.125,    170 171 173,                       stand,   15.0665 -28.2513 0.0,    ,
-1482.07 1492.0 160.125,     96 97 169 171,                     stand,   33.1995 -137.719 0.0,    ,
-1752.06 1484.49 158.125,    97 169 170 172,                    stand,   18.8678 89.6759 0.0,     ,
-1832.88 1504.88 158.125,    171,                               crouch,  14.726 -65.0226 0.0,     ,
-1761.25 1829.98 160.125,    169 174 175,                       stand,   12.1332 51.8719 0.0,     ,
-1774.67 2061.43 160.125,    173 178 181,                       stand,   15.7587 44.2749 0.0,     ,
-1465.74 1821.89 160.125,    173 176 177,                       stand,   5.39856 -178.984 0.0,    ,
-1431.13 1759.13 160.125,    175,                               crouch,  2.98157 157.017 0.0,     ,
-1431.13 1857.75 160.125,    175,                               crouch,  3.84399 -154.638 0.0,    ,
-1557.26 2039.88 160.125,    174 179 180,                       stand,   13.5175 0.933838 0.0,    ,
-1431.13 2147.45 160.125,    178,                               crouch,  2.6355 -142.202 0.0,     ,
-1431.13 1959.13 160.125,    178,                               crouch,  3.32764 -164.993 0.0,    ,
-1831.22 2104.93 160.125,    174 182,                           stand,   11.441 -74.1742 0.0,     ,
-1832.88 2152.88 160.125,    181,                               crouch,  7.2992 -72.0978 0.0,     ,
-1871.13 1999.13 23.6312,    517,                               crouch,  1.08643 125.76 0.0,      ,
-2120.88 1999.13 16.125,     517,                               crouch,  2.29492 49.4385 0.0,     ,
-2181.6 2279.31 35.3852,     89 186 196,                        stand,   9.02954 93.642 0.0,      ,
-2144.61 2566.79 56.9597,    88 89 185 187 198,                 stand,   12.309 -65.7257 0.0,     ,
-1827.73 2557.96 95.0891,    186 188 194,                       stand,   12.655 85.6989 0.0,      ,
-1852.51 2801.78 74.1399,    88 187 193,                        stand,   31.4746 115.741 0.0,     ,
-2157.58 2995.11 70.3663,    87 88 190 200 202,                 stand,   19.2139 2.13135 0.0,     ,
-1911.72 2995.29 88.2944,    189 191 192,                       stand,   27.3273 1.09314 0.0,     ,
-1815.13 3072.88 87.6093,    190,                               crouch,  4.36584 -152.748 0.0,    ,
-1815.13 2943.68 84.9489,    190,                               crouch,  3.15735 168.234 0.0,     ,
-1815.13 2838.82 74.5166,    188,                               crouch,  4.8822 -136.17 0.0,      ,
-1829.33 2497.26 83.1638,    187,                               crouch,  9.5459 -106.474 0.0,     ,
-1815.13 2191.13 52.9961,    89,                                crouch,  7.2992 148.716 0.0,      ,
-2301.55 2252.3 103.256,     185 197 198,                       stand,   13.6877 -176.759 0.0,    ,
-2400.3 2248.76 138.942,     196,                               crouch,  6.43677 -177.621 0.0,    ,
-2289.73 2473.97 74.1193,    186 196 199,                       stand,   17.8351 88.0939 0.0,     ,
-2288.69 2680.89 76.5941,    88 198 200,                        stand,   11.2708 95.8667 0.0,     ,
-2359.49 2834.31 78.6673,    87 88 189 199 202,                 stand,   14.8962 -165.718 0.0,    ,
-2698.98 2767.13 75.4992,    87,                                crouch,  4.36584 37.3315 0.0,     ,
-2609.49 3022.31 65.8625,    87 189 200 203,                    stand,   10.4083 154.742 0.0,     ,
-2760.41 3065.86 70.1151,    202,                               prone,   -1.16028 -18.9569 0.0,   ,
-3185.73 3104.06 12.8819,    0 205 206 207 208,                 stand,   13.5175 104.15 0.0,      ,
-3278.62 3216.87 3.90667,    204,                               crouch,  2.98157 -74.5532 0.0,    ,
-3107.19 3216.88 27.5433,    204,                               crouch,  6.43677 -117.548 0.0,    ,
-3494.07 2931.8 36.1931,     0 1 204,                           stand,   25.2563 2.45544 0.0,     ,
-2927.63 2897.26 50.3214,    0 87 204 465,                      stand,   13.8635 130.743 0.0,     ,
-4201.6 2976.47 58.1459,     210 212,                           stand,   12.1332 -107.375 0.0,    ,
-4220.02 2624.71 40.125,     4 5 7 209,                         stand,   7.64526 -93.5651 0.0,    ,
-4626.3 3072.88 74.8081,     3 212,                             crouch,  6.43677 -42.1051 0.0,    ,
-4294.07 3072.88 75.972,     3 209 211,                         crouch,  6.26648 -90.4559 0.0,    ,
-3788.81 3072.88 56.8332,    1 2,                               crouch,  2.29492 -145.887 0.0,    ,
-4254.27 2081.71 -12.6678,   6 7 8 139,                         stand,   32.5073 -82.359 0.0,     ,
-4227.04 1397.94 38.9135,    138 216,                           prone,   24.0479 -131.265 0.0,    ,
-4058.56 1213.75 7.66583,    138 215,                           prone,   8.68347 -91.8896 0.0,    ,
-4533.74 2095.72 76.8409,    8 218,                             stand,   7.47498 -79.4531 0.0,    ,
-4533.93 1992.04 133.918,    217 219,                           stand,   42.005 123.245 0.0,      ,
-4590.19 1870.25 140.61,     218 220,                           stand,   23.0151 91.994 0.0,      ,
-4795.34 1741.9 148.851,     219 221,                           stand,   24.74 56.6125 0.0,       ,
-4919.19 1760.3 79.6621,     11 220,                            stand,   45.8063 -178.38 0.0,     ,
-5374.88 1776.87 85.2891,    12,                                crouch,  7.12891 -53.3771 0.0,    ,
-5162.42 1826.3 84.1778,     224 225,                           crouch,  7.12891 -96.026 0.0,     ,
-5132.61 1826.36 81.5481,    11 223 225,                        crouch,  4.01978 -96.8884 0.0,    ,
-5108.16 1962.63 80.125,     9 223 224 226,                     stand,   24.2236 -99.646 0.0,     ,
-5268.69 2062.67 80.125,     9 10 225,                          stand,   16.2805 161.752 0.0,     ,
-5081.75 2321.96 80.125,     9,                                 crouch,  1.94885 -103.458 0.0,    ,
-4848.21 2183.01 80.125,     8 9 229,                           stand,   4.19006 12.2223 0.0,     ,
-4767.13 2336.88 80.125,     228,                               crouch,  1.4325 -137.126 0.0,     ,
-5425.91 2136.42 81.7482,    10 231,                            stand,   12.655 92.6862 0.0,      ,
-5432.66 2252.07 80.125,     230 232,                           stand,   29.92 94.411 0.0,        ,
-5435.53 2298.01 80.125,     231,                               prone,   -2.71484 -90.4999 0.0,   ,
-5454.02 1413.23 84.125,     16 17 234 235,                     stand,   27.5031 -110.363 0.0,    ,
-5600.99 1552.98 84.5467,    233,                               crouch,  8.50769 -50.7953 0.0,    ,
-5601.0 1263.0 67.4258,      233,                               crouch,  6.43677 34.4971 0.0,     ,
-5565.87 401.783 -159.416,   15 55 58 237,                      stand,   40.2802 15.1556 0.0,     ,
-5804.88 315.065 -94.4433,   58 236,                            crouch,  12.1387 -2.98828 0.0,    ,
-4991.13 911.275 -189.563,   18 239 240,                        crouch,  1.427 -125.568 0.0,      ,
-5026.35 669.462 -199.875,   18 19 54 238 240,                  stand,   7.81555 9.28345 0.0,     ,
-5157.59 863.319 -238.384,   18 53 238 239,                     stand,   7.12341 14.458 0.0,      ,
-5155.91 1192.2 -285.687,    52 53 242 246,                     stand,   21.8011 -90.5273 0.0,    ,
-4993.59 1135.13 -224.871,   241 246,                           crouch,  9.71619 127.722 0.0,     ,
-5203.73 1526.75 -265.871,   52,                                crouch,  0.0482178 -38.8861 0.0,  ,
-5110.4 1613.54 -269.254,    52,                                crouch,  -1.16028 -56.8433 0.0,   ,
-5024.69 1437.22 -243.375,   52 246 247,                        stand,   9.5459 -83.7762 0.0,     ,
-5032.0 1216.63 -221.875,    241 242 245,                       stand,   24.5642 -87.3962 0.0,    ,
-4775.09 1451.84 -191.119,   245 248,                           stand,   27.5031 2.54333 0.0,     ,
-4554.58 1452.79 -177.744,   51 247 249,                        stand,   64.104 -90.8679 0.0,     ,
-4538.01 1240.88 -162.268,   248 250,                           stand,   20.4224 -88.1415 0.0,    ,
-4543.43 1126.32 -191.875,   48 49 249,                         stand,   85.0 -73.4692 0.0,       ,
-4494.65 751.15 -191.875,    423,                               crouch,  0.740357 87.4585 0.0,    ,
-4576.88 878.018 -191.875,   48,                                crouch,  -3.2312 44.2932 0.0,     ,
-4887.9 1074.07 -191.875,    254 256 263,                       stand,   26.4648 -4.56299 0.0,    ,
-4762.63 1071.46 -191.875,   46 47 253 267,                     stand,   28.8818 -73.8043 0.0,    ,
-4767.88 936.304 -191.875,   46 256 261 262,                    stand,   26.6406 -138.376 0.0,    ,
-4896.49 925.786 -191.875,   253 255 261 262,                   stand,   15.5884 60.8716 0.0,     ,
-4671.2 700.167 -191.875,    19 258 260 261,                    stand,   18.6975 -102.286 0.0,    ,
-4673.53 600.301 -191.875,   257 259,                           stand,   16.6211 -106.774 0.0,    ,
-4615.13 567.125 -191.875,   258,                               crouch,  1.427 128.218 0.0,       ,
-4664.91 808.052 -191.875,   19 257 262,                        stand,   17.489 136.166 0.0,      ,
-4825.81 801.957 -191.875,   19 255 256 257 262,                stand,   15.9344 97.6648 0.0,     ,
-4766.47 813.621 -191.875,   255 256 260 261,                   stand,   24.3939 -160.805 0.0,    ,
-4952.88 1096.21 -191.875,   253,                               crouch,  5.92041 -33.0231 0.0,    ,
-4617.26 1354.38 -191.875,   47,                                crouch,  2.81128 -123.677 0.0,    ,
-4923.88 1362.47 -191.875,   47,                                crouch,  3.67371 -53.9246 0.0,    ,
-4943.88 1210.2 -191.875,    47,                                crouch,  4.36584 -44.4269 0.0,    ,
-4627.05 1096.38 -191.875,   46 254,                            crouch,  3.67371 -125.061 0.0,    ,
-4615.13 1096.88 -57.875,    21,                                crouch,  18.8678 -136.624 0.0,    ,
-4952.88 1019.04 -57.875,    22,                                crouch,  25.4321 -22.4982 0.0,    ,
-4952.86 931.718 -57.875,    22,                                crouch,  23.7018 -87.7679 0.0,    ,
-4379.98 710.112 -57.875,    23,                                prone,   2.46521 85.7446 0.0,     ,
-4502.47 702.356 -57.875,    23 515,                            prone,   2.11914 80.7404 0.0,     ,
-4432.31 382.861 -57.875,    23 274 275,                        stand,   33.5455 -1.44836 0.0,    ,
-4432.42 309.768 -57.875,    24 273 276,                        stand,   33.5455 -1.44836 0.0,    ,
-4407.13 376.441 -57.875,    273,                               crouch,  2.98157 3.8855 0.0,      ,
-4407.13 309.934 -57.875,    274,                               crouch,  3.50342 0.0897217 0.0,   ,
-4840.88 136.875 -55.875,    38,                                crouch,  6.78284 -59.3024 0.0,    ,
-4079.13 136.875 -55.875,    25,                                crouch,  3.49792 -138.904 0.0,    ,
-4079.13 -456.875 80.125,    280 294,                           crouch,  1.94885 147.015 0.0,     ,
-4071.13 -336.721 80.125,    279 294,                           crouch,  12.6495 159.622 0.0,     ,
-5032.88 -382.859 83.5837,   45 282,                            climb,   -85.0 -179.828 0.0,      ,
-5036.36 -384.832 292.125,   281 283,                           climb,   85.0 0.0787354 0.0,      ,
-5029.17 -307.225 310.4,     282 284,                           climb,   66.8671 -3.20068 0.0,    ,
-5022.91 -163.646 352.125,   283 285 286,                       climb,   30.9528 164.11 0.0,      ,
-5066.03 -180.005 352.125,   284,                               climb,   28.7115 113.172 0.0,     ,
-4078.98 -165.007 352.125,   284 501,                           crouch,  20.7684 2.66602 0.0,     ,
-5023.94 36.4267 6.125,      39 288,                            stand,   48.3936 16.9977 0.0,     ,
-5018.47 117.34 56.125,      287 289,                           stand,   55.6445 -50.5078 0.0,    ,
-4976.92 122.007 56.125,     288 290,                           stand,   16.9672 89.1724 0.0,     ,
-4978.19 209.738 18.125,     289 291 292,                       stand,   -12.7289 -39.1095 0.0,   ,
-4825.66 217.962 18.125,     290,                               prone,   23.1854 13.894 0.0,      ,
-5036.09 222.588 18.125,     290,                               crouch,  16.4508 127.339 0.0,     ,
-4303.19 -387.913 80.125,    44 294 295,                        stand,   25.4321 5.78613 0.0,     ,
-4209.63 -369.945 80.125,    25 279 280 293,                    stand,   23.7018 82.4487 0.0,     ,
-4293.9 -568.546 67.4301,    293 296 300,                       stand,   24.2236 -91.7889 0.0,    ,
-4293.89 -721.553 45.2194,   26 295 298 299,                    stand,   23.7018 -89.0259 0.0,    ,
-4336.88 -889.723 20.8077,   26,                                crouch,  16.2805 171.174 0.0,     ,
-4239.13 -729.153 44.1161,   296,                               crouch,  15.2423 -1.6626 0.0,     ,
-4336.88 -730.213 43.9623,   296,                               crouch,  18.6975 178.766 0.0,     ,
-4336.87 -565.083 67.9328,   295,                               crouch,  18.6975 -171.742 0.0,    ,
-4264.77 -1220.45 8.125,     26 27 302,                         stand,   21.8066 -92.6679 0.0,    ,
-4200.64 -1232.18 12.125,    301,                               prone,   9.02405 2.64404 0.0,     ,
-4784.88 -1464.88 8.125,     28,                                crouch,  4.53613 29.0662 0.0,     ,
