511
1682.46 4110.21 215.801,     1 469,                        stand,   0.0 0.0 0.0,             ,
2000.41 2942.68 278.125,     19 22 26,                     stand,   0.0 0.0 0.0,             ,
2168.1 3415.87 278.125,      19 25,                        stand,   0.0 0.0 0.0,             ,
1908.77 3398.47 414.125,     24 471,                       stand,   0.0 0.0 0.0,             ,
1906.41 2768.84 278.125,     23 27 478,                    stand,   0.0 0.0 0.0,             ,
1944.41 2439.36 142.125,     15 26 28,                     stand,   0.0 0.0 0.0,             ,
1920.92 2267.31 142.125,     27 29,                        stand,   0.0 0.0 0.0,             ,
2356.59 2257.39 142.125,     14 28 30,                     stand,   0.0 0.0 0.0,             ,
2367.34 1857.82 128.125,     29 31 484 507,                stand,   0.0 0.0 0.0,             ,
2851.89 1842.11 128.125,     30 32 482 485 489,            stand,   0.0 0.0 0.0,             ,
2857.41 2410.77 128.125,     31 33,                        stand,   0.0 0.0 0.0,             ,
2838.03 2976.64 134.818,     12 32,                        stand,   0.0 0.0 0.0,             ,
2837.17 3387.38 110.641,     12 35 36,                     stand,   0.0 0.0 0.0,             ,
2765.18 3708.44 51.0296,     34,                           stand,   0.0 0.0 0.0,             ,
2995.33 3402.95 72.2751,     34 37 38,                     stand,   0.0 0.0 0.0,             ,
3243.61 3419.32 -15.875,     36 43,                        stand,   0.0 0.0 0.0,             ,
2976.81 2815.21 124.782,     36 404,                       stand,   0.0 0.0 0.0,             ,
2973.35 2217.46 128.252,     40 404,                       stand,   0.0 0.0 0.0,             ,
2969.08 1619.97 128.74,      39 41 45,                     stand,   0.0 0.0 0.0,             ,
2977.74 1055.32 129.772,     40 42 192 202,                stand,   0.0 0.0 0.0,             ,
2604.63 1051.07 128.125,     41 191 193 199,               stand,   0.0 0.0 0.0,             ,
3277.39 2829.93 -15.875,     37 405,                       stand,   0.0 0.0 0.0,             ,
3383.23 2245.21 -15.875,     45 405,                       stand,   0.0 0.0 0.0,             ,
3462.24 1725.76 -15.875,     40 44 46,                     stand,   0.0 0.0 0.0,             ,
3613.27 1240.11 -15.875,     45 47 192,                    stand,   0.0 0.0 0.0,             ,
3813.29 737.935 -15.875,     46 48,                        stand,   0.0 0.0 0.0,             ,
3574.62 236.806 -15.875,     47 49,                        stand,   0.0 0.0 0.0,             ,
3101.94 44.7411 -15.875,     48 50 201 241 383,            stand,   0.0 0.0 0.0,             ,
2596.37 17.7995 -15.875,     49 51 200 242,                stand,   0.0 0.0 0.0,             ,
2022.05 81.5055 -15.875,     50 52 380 381,                stand,   0.0 0.0 0.0,             ,
1543.28 -199.711 -15.875,    51 53 56 379 381,             stand,   0.0 0.0 0.0,             ,
1088.3 -312.15 -15.875,      52 54 171 378,                stand,   0.0 0.0 0.0,             ,
1206.09 -810.259 106.39,     53 55 135 136,                stand,   0.0 0.0 0.0,             ,
1450.8 -717.851 125.343,     54 56 197,                    stand,   0.0 0.0 0.0,             ,
1628.82 -681.299 112.929,    52 55 236,                    stand,   0.0 0.0 0.0,             ,
952.457 258.154 24.2892,     58 378,                       stand,   0.0 0.0 0.0,             ,
918.148 813.041 61.7902,     57 59 62 195,                 stand,   0.0 0.0 0.0,             ,
497.082 963.073 114.529,     58 60 62 63,                  stand,   0.0 0.0 0.0,             ,
216.429 935.185 111.157,     59 61 299,                    stand,   0.0 0.0 0.0,             ,
213.556 355.727 106.02,      60 62 74 372,                 stand,   0.0 0.0 0.0,             ,
540.584 374.401 113.633,     58 59 61 172,                 stand,   0.0 0.0 0.0,             ,
473.378 1326.06 112.203,     59 64 82 83 432,              stand,   0.0 0.0 0.0,             ,
293.744 1427.77 106.125,     63 65 430 432,                stand,   0.0 0.0 0.0,             ,
51.8786 1438.47 192.125,     64 66,                        stand,   0.0 0.0 0.0,             ,
52.2497 1337.35 192.125,     65 67,                        stand,   0.0 0.0 0.0,             ,
319.703 1346.12 298.125,     66 68 425 429,                stand,   0.0 0.0 0.0,             ,
235.139 1024.56 298.125,     67 69 417 418 419 420,        stand,   0.0 0.0 0.0,             ,
173.396 709.004 298.125,     68 70 411 413,                stand,   0.0 0.0 0.0,             ,
60.3476 725.838 298.125,     69 71 409,                    stand,   0.0 0.0 0.0,             ,
41.3412 1083.13 198.125,     70 72,                        stand,   0.0 0.0 0.0,             ,
-173.746 1070.12 198.125,    71 408,                       stand,   0.0 0.0 0.0,             ,
-147.609 514.523 106.125,    74 298 408,                   stand,   0.0 0.0 0.0,             ,
-1.87957 339.909 96.2896,    61 73 75,                     stand,   0.0 0.0 0.0,             ,
-262.185 308.293 26.4728,    74 76 173 174,                stand,   0.0 0.0 0.0,             ,
-294.277 895.822 92.0528,    75 77 175 176,                stand,   0.0 0.0 0.0,             ,
-309.493 1288.12 94.2895,    76 78 80,                     stand,   0.0 0.0 0.0,             ,
-117.347 1289.24 117.787,    77 79 499,                    stand,   0.0 0.0 0.0,             ,
-126.549 1733.09 96.1563,    78 80 81 433,                 stand,   0.0 0.0 0.0,             ,
-352.159 1700.73 90.5384,    77 79 177 433,                stand,   0.0 0.0 0.0,             ,
208.071 1650.93 102.632,     79 82 105,                    stand,   0.0 0.0 0.0,             ,
560.569 1620.21 123.625,     63 81 92,                     stand,   0.0 0.0 0.0,             ,
1045.44 1379.37 112.937,     63 84 195 493 494 495,        stand,   0.0 0.0 0.0,             ,
1310.98 1647.41 116.524,     83 85 91 492 494,             stand,   0.0 0.0 0.0,             ,
1868.65 1578.12 128.125,     84 190 492 507 510,           stand,   0.0 0.0 0.0,             ,
1760.32 2055.58 132.107,     87 509,                       stand,   0.0 0.0 0.0,             ,
1657.8 2628.03 113.371,      86 88,                        stand,   0.0 0.0 0.0,             ,
1626.41 3165.31 142.319,     2 16 87 89,                   stand,   0.0 0.0 0.0,             ,
1297.84 2908.8 115.932,      8 88 90 463,                  stand,   0.0 0.0 0.0,             ,
1321.37 2333.11 116.567,     89 91 94 464,                 stand,   0.0 0.0 0.0,             ,
1353.86 1824.15 117.619,     84 90 92,                     stand,   0.0 0.0 0.0,             ,
764.306 1834.45 113.542,     82 91 93,                     stand,   0.0 0.0 0.0,             ,
577.676 2302.35 123.625,     92 94 101 105 466,            stand,   0.0 0.0 0.0,             ,
934.058 2226.18 176.003,     90 93 95 465 466 467,         stand,   0.0 0.0 0.0,             ,
914.268 2575.83 320.125,     94 461 462,                   stand,   0.0 0.0 0.0,             ,
344.856 2515.63 320.125,     97 461,                       stand,   0.0 0.0 0.0,             ,
264.254 2534.15 320.125,     96 98,                        stand,   0.0 0.0 0.0,             ,
263.382 2915.2 176.125,      97 99 100 101,                stand,   0.0 0.0 0.0,             ,
282.953 3465.84 176.125,     98 103,                       stand,   0.0 0.0 0.0,             ,
-18.9711 2946.96 120.125,    98 102 104 106,               stand,   0.0 0.0 0.0,             ,
644.387 2827.63 117.726,     7 93 98 463,                  stand,   0.0 0.0 0.0,             ,
67.162 3182.77 123.205,      7 100 103,                    stand,   0.0 0.0 0.0,             ,
73.0353 3495.54 120.935,     99 102 457 459,               stand,   0.0 0.0 0.0,             ,
-39.7296 2494.19 120.125,    100 105,                      stand,   0.0 0.0 0.0,             ,
141.08 2126.36 133.789,      81 93 104,                    stand,   0.0 0.0 0.0,             ,
-312.203 2679.91 131.836,    100 444 457,                  stand,   0.0 0.0 0.0,             ,
-706.089 2690.86 138.125,    108 437 444 446,              stand,   0.0 0.0 0.0,             ,
-602.009 3076.54 138.125,    107 439 440 441 442 443,      stand,   0.0 0.0 0.0,             ,
-1146.05 2694.67 115.622,    110 181 446 448 454,          stand,   0.0 0.0 0.0,             ,
-1255.18 2903.7 137.161,     109 111 448 454,              stand,   0.0 0.0 0.0,             ,
-1237.04 3485.75 156.811,    110 112 114 449,              stand,   0.0 0.0 0.0,             ,
-851.961 3412.5 131.904,     111 113,                      stand,   0.0 0.0 0.0,             ,
-503.849 3422.25 239.559,    112 455 456 457,              stand,   0.0 0.0 0.0,             ,
-1684.06 3793.59 178.754,    111 115 450 451,              stand,   0.0 0.0 0.0,             ,
-2002.46 3388.9 212.12,      114 116 449,                  stand,   0.0 0.0 0.0,             ,
-2175.97 2877.21 140.417,    115 117,                      stand,   0.0 0.0 0.0,             ,
-2266.02 2308.56 89.0875,    116 118 452 453,              stand,   0.0 0.0 0.0,             ,
-2314.72 1719.33 62.5209,    117 119,                      stand,   0.0 0.0 0.0,             ,
-2443.07 1197.51 30.4329,    118 120 183,                  stand,   0.0 0.0 0.0,             ,
-2364.84 613.54 32.3302,     119 121,                      stand,   0.0 0.0 0.0,             ,
-2123.47 80.6065 0.516194,   120 122,                      stand,   0.0 0.0 0.0,             ,
-2073.84 -511.834 -2.10692,  121 123 130,                  stand,   0.0 0.0 0.0,             ,
-2296.45 -906.279 33.125,    122 129 267 269 270,          stand,   0.0 0.0 0.0,             ,
-2142.8 -1272.57 33.125,     261 264 267,                  stand,   0.0 0.0 0.0,             ,
-2222.16 -1606.65 33.125,    126 127 257 258 259 261,      stand,   0.0 0.0 0.0,             ,
-2055.88 -1955.69 68.309,    125 206 208 257,              stand,   0.0 0.0 0.0,             ,
-1757.26 -1589.21 45.857,    125 128 205 206,              stand,   0.0 0.0 0.0,             ,
-1776.89 -1279.83 9.00706,   127 129 264 278,              stand,   0.0 0.0 0.0,             ,
-1770.93 -899.591 4.92298,   123 128 130 277,              stand,   0.0 0.0 0.0,             ,
-1696.77 -563.914 -8.87188,  122 129 186 276 277,          stand,   0.0 0.0 0.0,             ,
-1175.32 -856.485 -25.0894,  271 276 286 287 369,          stand,   0.0 0.0 0.0,             ,
-597.386 -846.654 -26.3512,  133 288 369,                  stand,   0.0 0.0 0.0,             ,
-28.6427 -741.624 30.9978,   132 134 169 170 306 370,      stand,   0.0 0.0 0.0,             ,
510.893 -762.588 94.5299,    133 300,                      stand,   0.0 0.0 0.0,             ,
871.076 -714.994 127.917,    54 147 300,                   stand,   0.0 0.0 0.0,             ,
1358.64 -1222.59 80.2112,    54 137 145,                   stand,   0.0 0.0 0.0,             ,
1294.58 -1806.46 52.3464,    136 138,                      stand,   0.0 0.0 0.0,             ,
1259.13 -2331.6 61.2872,     137 139 398,                  stand,   0.0 0.0 0.0,             ,
1221.66 -2730.21 94.7808,    138 140 398,                  stand,   0.0 0.0 0.0,             ,
919.826 -2695.8 131.349,     139 141 150 229,              stand,   0.0 0.0 0.0,             ,
930.176 -2220.28 127.33,     140 142,                      stand,   0.0 0.0 0.0,             ,
949.548 -1837.01 121.897,    141 143 144,                  stand,   0.0 0.0 0.0,             ,
724.515 -1841.98 114.327,    142 149 151,                  stand,   0.0 0.0 0.0,             ,
962.103 -1544.9 119.752,     142 145 308,                  stand,   0.0 0.0 0.0,             ,
948.497 -1242.82 121.177,    136 144 146 147,              stand,   0.0 0.0 0.0,             ,
717.988 -1280.45 120.616,    145 148 304 307,              stand,   0.0 0.0 0.0,             ,
897.945 -924.737 123.625,    135 145 301,                  stand,   0.0 0.0 0.0,             ,
587.185 -1068.68 140.428,    146 301,                      stand,   0.0 0.0 0.0,             ,
740.516 -2231.89 121.292,    143 150,                      stand,   0.0 0.0 0.0,             ,
711.938 -2745.56 123.949,    140 149 220,                  stand,   0.0 0.0 0.0,             ,
719.554 -1686.74 121.121,    143 152 307,                  stand,   0.0 0.0 0.0,             ,
496.457 -1680.99 136.969,    151 153 155 305,              stand,   0.0 0.0 0.0,             ,
483.204 -1836.58 117.942,    152 154 311 312 313 314,      stand,   0.0 0.0 0.0,             ,
-69.9943 -1841.88 134.687,   153 155 156 161,              stand,   0.0 0.0 0.0,             ,
-84.5861 -1690.74 174.274,   152 154 168 169 280 305,      stand,   0.0 0.0 0.0,             ,
-618.479 -1880.32 133.596,   154 157,                      stand,   0.0 0.0 0.0,             ,
-833.739 -1971.43 130.816,   156 158 166,                  stand,   0.0 0.0 0.0,             ,
-821.936 -2152.78 130.125,   157 159,                      stand,   0.0 0.0 0.0,             ,
-504.206 -2166.42 118.125,   158 503,                      stand,   0.0 0.0 0.0,             ,
-212.636 -2570.08 110.613,   224 342 500 503,              stand,   0.0 0.0 0.0,             ,
-220.271 -2010.81 120.725,   154 342,                      stand,   0.0 0.0 0.0,             ,
-1844.32 -2869.23 118.917,   163 207 208,                  stand,   0.0 0.0 0.0,             ,
-1444.6 -2866.6 119.611,     162 164 207 209 255 363,      stand,   0.0 0.0 0.0,             ,
-1129.8 -2703.64 106.888,    163 165 209 358 361,          stand,   0.0 0.0 0.0,             ,
-1096.1 -2419.93 123.79,     164 166 357 358 361,          stand,   0.0 0.0 0.0,             ,
-1097.78 -1962.77 129.629,   157 165 167 357 364,          stand,   0.0 0.0 0.0,             ,
-1093.38 -1720.61 141.515,   166 168 205 272 279,          stand,   0.0 0.0 0.0,             ,
-651.504 -1697.84 159.59,    155 167 279,                  stand,   0.0 0.0 0.0,             ,
-144.638 -1243.58 104.762,   133 155 203 280 306,          stand,   0.0 0.0 0.0,             ,
282.408 -382.885 -15.875,    133 171 173 300 370 371 373,  stand,   0.0 0.0 0.0,             ,
765.288 -384.909 -15.875,    53 170 300,                   stand,   0.0 0.0 0.0,             ,
516.752 53.326 64.4877,      62 373 376,                   stand,   0.0 0.0 0.0,             ,
-81.1619 -26.5078 -15.875,   75 170 174 295 371,           stand,   0.0 0.0 0.0,             ,
-635.778 161.43 -15.875,     75 173 175 291,               stand,   0.0 0.0 0.0,             ,
-967.068 587.103 -15.875,    76 174 176 187 188 291,       stand,   0.0 0.0 0.0,             ,
-1016.74 1174.04 -11.7915,   76 175 177 180 188,           stand,   0.0 0.0 0.0,             ,
-781.546 1666.06 -15.875,    80 176 178 180 447,           stand,   0.0 0.0 0.0,             ,
-685.947 1998.88 144.448,    177 179 433 435 447,          stand,   0.0 0.0 0.0,             ,
-691.793 2219.15 138.125,    178 436 437,                  stand,   0.0 0.0 0.0,             ,
-1177.33 1808.2 21.6173,     176 177 181 182 447,          stand,   0.0 0.0 0.0,             ,
-1197.31 2367.89 97.5792,    109 180 445 447 448 452,      stand,   0.0 0.0 0.0,             ,
-1715.23 1679.94 15.1267,    180 183 452,                  stand,   0.0 0.0 0.0,             ,
-2083.75 1391.39 -6.07474,   119 182 184,                  stand,   0.0 0.0 0.0,             ,
-2135.75 798.475 4.79257,    183 185 189,                  stand,   0.0 0.0 0.0,             ,
-1935.55 245.363 -19.1153,   184 186 187 189,              stand,   0.0 0.0 0.0,             ,
-1692.77 -201.22 -15.0811,   130 185 187 286,              stand,   0.0 0.0 0.0,             ,
-1264.12 107.89 11.1185,     175 185 186 289 291,          stand,   0.0 0.0 0.0,             ,
-1546.72 1015.41 -15.875,    175 176 189,                  stand,   0.0 0.0 0.0,             ,
-1858.21 738.086 85.914,     184 185 188,                  stand,   0.0 0.0 0.0,             ,
2222.73 1337.46 128.125,     85 490 491 504 508,           stand,   0.0 0.0 0.0,             ,
2612.72 1220.26 128.125,     42 487 508,                   stand,   0.0 0.0 0.0,             ,
3363.23 1079.17 99.8088,     41 46,                        stand,   0.0 0.0 0.0,             ,
2086.7 995.283 109.082,      42 194,                       stand,   0.0 0.0 0.0,             ,
1507.32 983.646 132.54,      193 195 198 493,              stand,   0.0 0.0 0.0,             ,
1184.72 935.687 116.192,     58 83 194 196 382 493,        stand,   0.0 0.0 0.0,             ,
1211.01 401.433 126.431,     195 197 379 382,              stand,   0.0 0.0 0.0,             ,
1290.6 -188.468 128.247,     55 196,                       stand,   0.0 0.0 0.0,             ,
1761.37 628.024 65.8616,     194 199 199 380 382,          stand,   0.0 0.0 0.0,             ,
2305.18 591.252 66.6649,     42 198 198 200 201 380,       stand,   0.0 0.0 0.0,             ,
2406.44 162.68 24.3728,      50 199,                       stand,   0.0 0.0 0.0,             ,
2798.38 436.452 77.2858,     49 199 202,                   stand,   0.0 0.0 0.0,             ,
3310.04 663.896 150.235,     41 201,                       stand,   0.0 0.0 0.0,             ,
-639.529 -1335.89 103.125,   169 280 365 366,              stand,   0.0 0.0 0.0,             ,
-903.901 -1373.63 183.125,   281 365,                      stand,   0.0 0.0 0.0,             ,
-1385.45 -1624.82 77.6613,   127 167 272 274 364,          stand,   0.0 0.0 0.0,             ,
-1764.26 -1977.41 85.4478,   126 127 207,                  stand,   0.0 0.0 0.0,             ,
-1650.55 -2427.17 103.436,   162 163 206 208 364,          stand,   0.0 0.0 0.0,             ,
-1953.09 -2313.1 146.766,    126 162 207,                  stand,   0.0 0.0 0.0,             ,
-1036.23 -3127.55 101.412,   163 164 210 213 256,          stand,   0.0 0.0 0.0,             ,
-1033.01 -3534.43 102.507,   209 211 360,                  stand,   0.0 0.0 0.0,             ,
-607.561 -3549.15 90.125,    210 212 338 339 340,          stand,   0.0 0.0 0.0,             ,
-388.415 -3517.32 90.125,    211 213 214 338 339 340,      stand,   0.0 0.0 0.0,             ,
-545.078 -3051.39 96.3856,   209 212 218 341 359 500 501,  stand,   0.0 0.0 0.0,             ,
-273.534 -3494.81 90.125,    212 215,                      stand,   0.0 0.0 0.0,             ,
-263.314 -3657.9 90.125,     214 216 337,                  stand,   0.0 0.0 0.0,             ,
-105.29 -3631.57 90.125,     215 217 333 336,              stand,   0.0 0.0 0.0,             ,
-12.7595 -3468.46 90.125,    216 218 332 333,              stand,   0.0 0.0 0.0,             ,
-27.4522 -3112.46 87.1938,   213 217 219 331 500,          stand,   0.0 0.0 0.0,             ,
477.22 -3196.09 99.501,      218 220 225 330 402,          stand,   0.0 0.0 0.0,             ,
560.961 -2782.01 114.29,     150 219 221 330 402,          stand,   0.0 0.0 0.0,             ,
560.765 -2478.61 115.246,    220 222,                      stand,   0.0 0.0 0.0,             ,
298.592 -2471.81 112.927,    221 223 328 329,              stand,   0.0 0.0 0.0,             ,
153.133 -2532.38 110.537,    222 224 329,                  stand,   0.0 0.0 0.0,             ,
104.91 -2552.78 109.728,     160 223,                      stand,   0.0 0.0 0.0,             ,
685.303 -3393.81 120.454,    219 226,                      stand,   0.0 0.0 0.0,             ,
715.044 -3638.45 128.08,     225 227 401,                  stand,   0.0 0.0 0.0,             ,
969.62 -3642.86 129.125,     226 228 400,                  stand,   0.0 0.0 0.0,             ,
937.836 -3299.65 121.014,    227 229 229 399,              stand,   0.0 0.0 0.0,             ,
962.654 -2865.92 121.916,    140 228 228 397 402,          stand,   0.0 0.0 0.0,             ,
1509.65 -3289.7 104.06,      231 397 399,                  stand,   0.0 0.0 0.0,             ,
1780.81 -3254.23 111.646,    230 232 233 247 392 403,      stand,   0.0 0.0 0.0,             ,
1764.89 -3631.07 127.484,    231 394 395 396,              stand,   0.0 0.0 0.0,             ,
1902.38 -2704.29 40.611,     231 234 246 392 398 403,      stand,   0.0 0.0 0.0,             ,
1912.99 -2212.49 56.306,     233 235 246,                  stand,   0.0 0.0 0.0,             ,
1855.33 -1649.05 73.5452,    234 236 254 390,              stand,   0.0 0.0 0.0,             ,
1827.58 -1054.87 65.1371,    56 235 237 388,               stand,   0.0 0.0 0.0,             ,
2070.57 -560.296 85.2696,    236 238 388,                  stand,   0.0 0.0 0.0,             ,
2570.51 -657.887 82.9757,    237 239 242 243 384 385 388,  stand,   0.0 0.0 0.0,             ,
2933.49 -711.278 116.477,    238 240 253 383 384 385,      stand,   0.0 0.0 0.0,             ,
3443.61 -695.495 177.966,    239 241,                      stand,   0.0 0.0 0.0,             ,
3401.69 -183.426 97.5301,    49 240 383,                   stand,   0.0 0.0 0.0,             ,
2425.86 -214.89 65.6155,     50 238 383 384,               stand,   0.0 0.0 0.0,             ,
2618.64 -1206.85 51.4319,    238 244 252 385 387 388 389,  stand,   0.0 0.0 0.0,             ,
2606.34 -1708.08 44.0858,    243 245 250 254 389 390,      stand,   0.0 0.0 0.0,             ,
2361.26 -2253.69 48.4679,    244 246 249 250 390,          stand,   0.0 0.0 0.0,             ,
2065.55 -2524.49 38.9758,    233 234 245 391,              stand,   0.0 0.0 0.0,             ,
2175.51 -3237.31 180.44,     231 248 393,                  stand,   0.0 0.0 0.0,             ,
2566.99 -2946.11 190.123,    247 249 391 392,              stand,   0.0 0.0 0.0,             ,
2743.59 -2404.98 152.526,    245 248 250,                  stand,   0.0 0.0 0.0,             ,
2721.89 -1926.76 53.9896,    244 245 249 251,              stand,   0.0 0.0 0.0,             ,
2919.11 -1947.34 59.8074,    250,                          stand,   0.0 0.0 0.0,             ,
3150.34 -1330.7 151.631,     243 253 386,                  stand,   0.0 0.0 0.0,             ,
3146.65 -960.901 145.307,    239 252 385 386,              stand,   0.0 0.0 0.0,             ,
2253.96 -1666.68 105.402,    235 244 389,                  stand,   0.0 0.0 0.0,             ,
-1553.85 -2908.36 117.419,   163 256,                      stand,   0.0 0.0 0.0,             ,
-1560.87 -3240.87 122.092,   209 255,                      crouch,  2.2467 48.099 0.0,       ,
-2020.32 -1742.0 50.5567,    125 126 258,                  stand,   11.0522 148.953 0.0,     ,
-2017.13 -1534.13 32.1089,   125 257,                      crouch,  1.03821 -123.859 0.0,    ,
-2413.19 -1557.25 31.4589,   125,                          crouch,  1.55457 -23.5483 0.0,    ,
-2280.34 -1338.13 43.4622,   261,                          crouch,  3.10913 -53.7662 0.0,    ,
-2192.34 -1473.58 33.125,    124 125 260 262,              stand,   21.2366 -103.144 0.0,    ,
-2114.22 -1450.12 34.125,    261 263,                      stand,   11.2225 27.5546 0.0,     ,
-2016.39 -1407.67 33.125,    262 264,                      stand,   20.3741 81.2502 0.0,     ,
-2003.99 -1278.97 33.125,    124 128 263 266,              stand,   10.7062 -161.679 0.0,    ,
-1954.13 -1065.13 33.125,    266,                          crouch,  9.49768 -141.141 0.0,    ,
-2020.35 -1178.4 33.125,     264 265 267,                  stand,   13.1232 -130.605 0.0,    ,
-2197.55 -1129.87 33.125,    123 124 266 268,              stand,   13.9856 -123.7 0.0,      ,
-2307.88 -1260.97 33.125,    267,                          crouch,  2.76306 47.9287 0.0,     ,
-2418.88 -927.875 14.4108,   123,                          crouch,  2.93335 46.1929 0.0,     ,
-1917.13 -731.125 -1.43206,  123,                          crouch,  1.37878 -143.047 0.0,    ,
-1091.51 -1061.49 33.6565,   131 272 273,                  stand,   2.76306 -76.063 0.0,     ,
-1009.52 -1456.12 125.727,   167 205 271 279,              stand,   14.1559 -96.0911 0.0,    ,
-1224.63 -1163.27 85.7985,   271 274,                      stand,   10.014 -119.739 0.0,     ,
-1381.48 -1406.09 87.6719,   205 273 275,                  stand,   20.5444 -124.919 0.0,    ,
-1435.19 -1111.91 59.1028,   274 276 277 278,              stand,   12.085 -97.4644 0.0,     ,
-1439.03 -704.269 -21.483,   130 131 275 277 286,          stand,   13.8153 130.974 0.0,     ,
-1590.41 -857.873 5.34866,   129 130 275 276,              stand,   7.59705 -35.3037 0.0,    ,
-1618.68 -1122.17 16.2863,   128 275,                      stand,   11.7389 -101.43 0.0,     ,
-842.564 -1545.92 151.153,   167 168 272 280 366,          stand,   8.45947 -5.78344 0.0,    ,
-370.621 -1445.61 127.975,   155 169 203 279 366,          stand,   21.5826 144.262 0.0,     ,
-911.263 -1318.37 183.125,   204 282 284,                  stand,   24.1754 8.04285 0.0,     ,
-593.414 -1264.85 183.125,   281 283,                      stand,   20.5444 98.5153 0.0,     ,
-651.025 -942.458 183.125,   282 285,                      stand,   26.933 -170.315 0.0,     ,
-965.187 -1001.56 183.125,   281 285,                      stand,   18.6493 -80.3531 0.0,    ,
-897.553 -987.833 183.125,   283 284 367,                  stand,   50.9381 100.081 0.0,     ,
-1350.95 -432.636 44.0699,   131 186 276 287 289,          stand,   17.3132 154.698 0.0,     ,
-1060.45 -736.251 -23.8634,  131 286 288,                  stand,   10.5841 7.25027 0.0,     ,
-623.704 -687.123 -24.7587,  132 287 370,                  stand,   12.4792 -0.863136 0.0,   ,
-1287.05 -200.977 33.058,    187 286 290,                  stand,   8.68347 -21.0725 0.0,    ,
-1114.52 -127.416 64.0639,   289 291 292,                  stand,   11.6168 25.7183 0.0,     ,
-903.966 78.5553 -15.875,    174 175 187 290 292 296,      stand,   11.1005 30.0359 0.0,     ,
-1030.74 -273.733 83.8318,   290 291 293 296,              stand,   14.2096 -81.1622 0.0,    ,
-878.422 -539.737 93.8348,   292 294,                      stand,   20.5981 6.89321 0.0,     ,
-494.284 -518.09 111.569,    293 295,                      stand,   23.7018 29.168 0.0,      ,
-396.83 -293.345 82.1762,    173 294 297,                  stand,   27.8491 69.7405 0.0,     ,
-888.01 -200.331 82.9546,    291 292 297,                  stand,   16.1047 -7.10337 0.0,    ,
-576.625 -221.863 79.9994,   295 296,                      stand,   17.3132 -35.7667 0.0,    ,
30.3286 714.169 106.125,     73,                           crouch,  2.29492 -129.87 0.0,     ,
133.125 1073.88 120.816,     60,                           crouch,  7.2992 -47.8571 0.0,     ,
667.186 -665.364 110.379,    134 135 170 171,              stand,   15.072 174.534 0.0,      ,
724.067 -999.109 159.24,     147 148 302 303,              stand,   21.9769 -64.43 0.0,      ,
818.98 -1080.54 173.256,     301,                          crouch,  13.0011 137.587 0.0,     ,
656.869 -902.956 149.318,    301,                          crouch,  2.11914 -53.3778 0.0,    ,
478.396 -1314.13 191.523,    146 305 306,                  stand,   23.7018 37.2759 0.0,     ,
206.203 -1505.45 186.922,    152 155 304,                  stand,   11.4465 -179.583 0.0,    ,
213.813 -1132.14 145.696,    133 169 304,                  stand,   15.7587 177.137 0.0,     ,
723.12 -1548.93 123.592,     146 151 308,                  stand,   24.9103 -87.3859 0.0,    ,
864.504 -1552.4 175.625,     144 307 309 310,              stand,   24.3939 10.1726 0.0,     ,
849.996 -1338.74 175.625,    308,                          crouch,  1.60278 -91.8739 0.0,    ,
858.978 -1768.88 175.625,    308,                          crouch,  1.94885 91.8395 0.0,     ,
614.875 -1781.13 107.18,     153 312,                      stand,   1.77307 -133.66 0.0,     ,
616.875 -1994.87 123.071,    153 311 314,                  crouch,  -2.88513 144.502 0.0,    ,
