217
-2394.0 -3480.0 24.125,     37,                           stand,  ,  ,
-3410.0 -3232.0 19.3761,    14 142 143 149,               stand,  ,  ,
-2408.0 -3322.0 16.125,     193 195 196 197 200,          stand,  ,  ,
-2392.0 -1502.0 16.125,     91 92 210 213 215,            stand,  ,  ,
-2312.0 -2230.0 16.125,     173 175 176 178,              stand,  ,  ,
-2426.0 -2496.0 16.125,     172 178 190,                  stand,  ,  ,
-2578.0 -2304.0 16.125,     16 35 35 173 174,             stand,  ,  ,
-2622.0 -2384.0 16.125,     16 34 34 172,                 stand,  ,  ,
-2206.0 -2320.0 16.125,     17 178 179 180,               stand,  ,  ,
-2211.59 -3481.36 24.125,   0 38,                         stand,  ,  ,
-2081.19 -3469.77 16.0024,  22 37 39 40 193,              stand,  ,  ,
-2117.86 -3276.85 17.7022,  38 48 49 192 193,             stand,  ,  ,
-2034.91 -3594.1 16.125,    38 41,                        stand,  ,  ,
-1866.18 -3637.63 21.2844,  27 40,                        stand,  ,  ,
-1491.3 -3497.39 15.6019,   12 27 43,                     stand,  ,  ,
-1655.53 -3357.1 14.7069,   12 27 42 44,                  stand,  ,  ,
-1769.61 -3495.89 15.698,   27 43,                        stand,  ,  ,
-1472.98 -3047.11 17.2099,  12 46 81,                     stand,  ,  ,
-1549.24 -3041.26 16.9496,  45 47 81 82,                  stand,  ,  ,
-1826.46 -2971.37 17.6264,  46 48 49 50 51 82 83 85 86,   stand,  ,  ,
-1882.01 -3187.18 21.7623,  22 39 47 49 50 194,           stand,  ,  ,
-2097.29 -2997.66 16.125,   22 24 39 47 48 85 186,        stand,  ,  ,
-1774.53 -3156.26 22.0595,  47 48 86,                     stand,  ,  ,
-1905.38 -2804.01 20.2246,  47 52 83 85,                  stand,  ,  ,
-1904.03 -2605.54 20.3137,  51 53 83 84 87 181,           stand,  ,  ,
-1889.1 -2338.96 21.2957,   52 54 87 88 181 182,          stand,  ,  ,
-1875.37 -2047.0 22.1117,   53 55 61 88 183,              stand,  ,  ,
-1861.01 -1837.9 20.8087,   54 56 59 61 62 89 184,        stand,  ,  ,
-1861.2 -1613.11 20.8258,   55 57 58 59 70 89,            stand,  ,  ,
-1665.0 -1653.39 21.5009,   56 58 59 60 64 74,            stand,  ,  ,
-1753.97 -1479.36 16.125,   56 57 71 74,                  stand,  ,  ,
-1757.32 -1783.95 12.7669,  55 56 57 60 62,               stand,  ,  ,
-1607.83 -1903.08 10.4785,  57 59 61 62 63 185,           stand,  ,  ,
-1751.96 -2017.28 10.7639,  54 55 60 62 88 185,           stand,  ,  ,
-1739.63 -1887.16 10.0266,  55 59 60 61,                  stand,  ,  ,
-1477.23 -1867.72 11.2814,  20 60 64 77 185,              stand,  ,  ,
-1583.38 -1752.45 15.632,   57 63 73 77,                  stand,  ,  ,
-1445.05 -1547.44 17.5062,  66 72 76,                     stand,  ,  ,
-1461.03 -1356.35 16.125,   3 65 67 72 75,                stand,  ,  ,
-1627.06 -1270.47 16.125,   3 66 68,                      stand,  ,  ,
-1811.92 -1282.17 16.2872,  67 69 71,                     stand,  ,  ,
-1942.73 -1343.51 17.7678,  68 70 71 90 91,               stand,  ,  ,
-1967.31 -1505.41 16.1507,  56 69 89 90 91 211,           stand,  ,  ,
-1849.77 -1408.64 19.7731,  58 68 69,                     stand,  ,  ,
-1511.24 -1542.88 17.2791,  65 66 73 75,                  stand,  ,  ,
-1532.41 -1646.47 39.459,   64 72 74 76 77,               stand,  ,  ,
-1632.17 -1569.84 18.5743,  57 58 73 75,                  stand,  ,  ,
-1580.06 -1506.88 15.7596,  66 72 74,                     stand,  ,  ,
-1439.74 -1683.03 22.5738,  65 73 77,                     stand,  ,  ,
-1448.72 -1775.65 13.2837,  63 64 73 76,                  stand,  ,  ,
-1459.63 -2270.35 24.125,   20 28,                        stand,  ,  ,
-1554.1 -2616.39 24.125,    28 80,                        stand,  ,  ,
-1650.03 -2771.59 16.125,   79 81 82 83 84,               stand,  ,  ,
-1449.05 -2821.4 16.125,    1 45 46 80 82,                stand,  ,  ,
-1704.68 -2892.08 14.9369,  46 47 80 81 83 86,            stand,  ,  ,
-1791.47 -2795.52 16.125,   47 51 52 80 82 84,            stand,  ,  ,
-1743.21 -2646.59 16.125,   52 80 83,                     stand,  ,  ,
-1961.21 -2925.35 16.552,   23 47 49 51,                  stand,  ,  ,
-1705.78 -3074.65 18.4335,  47 50 82,                     stand,  ,  ,
-1774.13 -2476.81 16.038,   52 53 88,                     stand,  ,  ,
-1765.6 -2216.37 16.0592,   53 54 61 87 185,              stand,  ,  ,
-2019.91 -1716.09 17.3456,  26 55 56 70 184 211 212,      stand,  ,  ,
-2138.02 -1333.58 16.0089,  69 70 91,                     stand,  ,  ,
-2161.71 -1486.04 16.031,   31 69 70 90 211 213,          stand,  ,  ,
-2650.0 -1480.32 16.0542,   31 93 100 103 114 215,        stand,  ,  ,
-2792.14 -1337.37 16.0542,  92 94 95 100 102 103,         stand,  ,  ,
-2933.01 -1410.56 20.8104,  93 95 99 103 116 117,         stand,  ,  ,
-2937.19 -1251.7 20.9687,   15 93 94 99 102,              stand,  ,  ,
-3198.16 -1218.31 16.0256,  15 97,                        stand,  ,  ,
-3347.01 -1287.97 16.1171,  5 96 98,                      stand,  ,  ,
-3190.06 -1403.1 12.661,    5 97 99 117 205,              stand,  ,  ,
-3043.97 -1400.38 17.5486,  94 95 98 117,                 stand,  ,  ,
-2661.49 -1319.42 16.0284,  92 93 101 102,                stand,  ,  ,
-2617.59 -1236.28 16.0286,  4 100,                        stand,  ,  ,
-2810.61 -1252.49 16.1741,  93 95 100,                    stand,  ,  ,
-2818.61 -1431.47 16.477,   92 93 94 115 116,             stand,  ,  ,
-3415.39 -1540.45 17.0778,  5 106,                        stand,  ,  ,
-3253.43 -1730.25 16.4482,  106 118 120 206,              stand,  ,  ,
-3414.93 -1702.57 18.3028,  104 105 107,                  stand,  ,  ,
-3416.79 -1861.67 16.125,   106 108,                      stand,  ,  ,
-3326.73 -2010.72 15.6214,  6 7 107 109 120 121,          stand,  ,  ,
-3126.53 -1997.56 12.5451,  108 110 119 132 135,          stand,  ,  ,
-2952.26 -1983.79 21.5395,  109 111 119 130 131 132,      stand,  ,  ,
-2942.44 -1833.87 21.1677,  110 112 119 131,              stand,  ,  ,
-2923.85 -1699.94 20.4633,  111 113 118 131,              stand,  ,  ,
-2800.67 -1727.88 16.6074,  112 114 131 214,              stand,  ,  ,
-2675.06 -1636.98 21.7542,  92 113 115 209 214 215,       stand,  ,  ,
-2795.21 -1549.55 17.5189,  103 114 116,                  stand,  ,  ,
-2900.97 -1573.2 19.5969,   94 103 115 117,               stand,  ,  ,
-3024.87 -1491.71 18.7061,  94 98 99 116 118,             stand,  ,  ,
-3112.27 -1668.8 20.5645,   105 112 117 119 206,          stand,  ,  ,
-3090.57 -1829.18 14.7244,  109 110 111 118 120,          stand,  ,  ,
-3200.73 -1845.77 8.71014,  105 108 119,                  stand,  ,  ,
-3178.73 -2112.63 13.41,    108 122,                      stand,  ,  ,
-3237.2 -2306.84 24.125,    121 123,                      stand,  ,  ,
-3281.63 -2515.19 24.125,   8 122 124,                    stand,  ,  ,
-3274.87 -2697.24 15.3045,  8 21 123 125 138 139 140,     stand,  ,  ,
-3085.9 -2630.72 16.125,    21 124 126 134 139,           stand,  ,  ,
-2975.68 -2708.13 21.6876,  125 127 134,                  stand,  ,  ,
-2875.75 -2724.57 18.6414,  126 128 134 165 166,          stand,  ,  ,
-2862.97 -2508.61 18.1575,  16 127 129 133 134 167,       stand,  ,  ,
-2843.91 -2338.36 17.4354,  16 128 130 132 133,           stand,  ,  ,
-2845.09 -2112.01 17.4799,  110 129 131 132 171,          stand,  ,  ,
-2833.16 -1888.09 17.0281,  110 111 112 113 130,          stand,  ,  ,
-3001.76 -2105.55 20.1067,  109 110 129 130 133 135,      stand,  ,  ,
-2984.81 -2340.62 21.1336,  128 129 132 134 137,          stand,  ,  ,
-2984.85 -2519.87 21.1314,  21 125 126 127 128 133 137,   stand,  ,  ,
-3083.35 -2170.28 16.125,   109 132 136,                  stand,  ,  ,
-3036.22 -2177.01 18.0183,  135 137,                      stand,  ,  ,
-3075.25 -2341.3 16.0561,   21 133 134 136,               stand,  ,  ,
-3175.91 -2897.51 10.5624,  124 139 140 141 156 157,      stand,  ,  ,
-3094.33 -2779.72 16.125,   124 125 138,                  stand,  ,  ,
-3355.48 -2769.25 16.125,   8 124 138 141,                stand,  ,  ,
-3310.61 -2971.45 14.747,   14 138 140 142 156,           stand,  ,  ,
-3299.66 -3149.06 21.7396,  14 29 141 143 155 156,        stand,  ,  ,
-3315.95 -3338.28 15.8589,  29 142 144 149 155 163,       stand,  ,  ,
-3309.78 -3471.13 16.125,   143 145 149 150 151 163,      stand,  ,  ,
-3085.53 -3465.65 16.125,   144 146 160,                  stand,  ,  ,
-2978.43 -3447.69 21.5206,  145 147 153 160 204,          stand,  ,  ,
-2760.18 -3406.7 16.0317,   146 148 197 203 204,          stand,  ,  ,
-2643.58 -3504.58 16.0317,  147,                          stand,  ,  ,
-3412.11 -3440.38 16.0831,  29 143 144 150,               stand,  ,  ,
-3331.5 -3606.94 16.125,    144 149 151,                  stand,  ,  ,
-3232.78 -3589.31 16.125,   144 150 152,                  stand,  ,  ,
-3133.07 -3636.85 16.125,   151 153,                      stand,  ,  ,
-3017.44 -3600.52 19.1563,  146 152 154,                  stand,  ,  ,
-2885.09 -3617.11 18.9952,  13 153,                       stand,  ,  ,
-3161.83 -3203.29 20.4478,  142 143 156 163,              stand,  ,  ,
-3116.73 -3027.94 16.3581,  138 141 142 155 157 158,      stand,  ,  ,
-3073.28 -2930.58 15.7721,  138 156 164,                  stand,  ,  ,
-3052.25 -3114.79 23.2824,  156 159,                      stand,  ,  ,
-2954.83 -3153.22 44.8768,  158 160 161 162,              stand,  ,  ,
-2944.52 -3277.57 21.2463,  145 146 159 163 204,          stand,  ,  ,
-2946.72 -3033.14 21.4834,  159 164,                      stand,  ,  ,
-2803.22 -3155.58 22.0296,  159 202 203,                  stand,  ,  ,
-3165.68 -3310.16 16.4591,  143 144 155 160,              stand,  ,  ,
-2949.28 -2931.25 21.4266,  157 161 165 166 202,          stand,  ,  ,
-2970.86 -2859.01 21.9795,  127 164 166,                  stand,  ,  ,
-2805.39 -2859.06 15.9762,  25 127 164 165 167 202 202,   stand,  ,  ,
-2789.62 -2679.39 16.0618,  128 166,                      stand,  ,  ,
-2682.29 -2848.57 24.125,   25 169,                       stand,  ,  ,
-2701.28 -2711.5 24.125,    9 168,                        stand,  ,  ,
-2709.26 -2483.78 24.125,   9 16,                         stand,  ,  ,
-2771.66 -2270.64 16.125,   16 130,                       stand,  ,  ,
-2482.73 -2414.41 16.125,   33 35 173 174,                stand,  ,  ,
-2422.99 -2282.31 16.125,   32 34 172 174 175 178,        stand,  ,  ,
-2523.6 -2357.24 16.125,    34 172 173 178,               stand,  ,  ,
-2413.26 -2154.71 16.125,   18 32 173 176,                stand,  ,  ,
-2308.43 -2053.94 16.125,   18 32 175 177,                stand,  ,  ,
-2316.82 -1941.03 16.125,   18 176 207 208,               stand,  ,  ,
-2332.15 -2418.8 16.125,    32 33 36 173 174 179 191,     stand,  ,  ,
-2195.45 -2423.34 16.125,   17 36 178,                    stand,  ,  ,
-2222.95 -2249.62 24.125,   10 36,                        stand,  ,  ,
-1996.58 -2381.97 16.125,   17 52 53 182,                 stand,  ,  ,
-1978.71 -2217.25 16.0592,  53 181 183,                   stand,  ,  ,
-1944.21 -2074.36 17.6703,  54 182 184,                   stand,  ,  ,
-1953.97 -1862.84 17.0282,  55 89 183,                    stand,  ,  ,
-1579.06 -2092.65 13.3392,  2 20 60 61 63 88,             stand,  ,  ,
-2241.95 -3057.73 17.6814,  24 49 192 196 199,            stand,  ,  ,
-2366.18 -2887.04 16.125,   19 24 188 198 199,            stand,  ,  ,
-2431.48 -2785.59 16.125,   19 187 189 190 198,           stand,  ,  ,
-2340.51 -2696.84 16.125,   19 188 190 191,               stand,  ,  ,
-2399.7 -2596.92 16.125,    33 188 189 191,               stand,  ,  ,
-2321.44 -2521.75 16.125,   178 189 190,                  stand,  ,  ,
-2229.34 -3163.35 21.9385,  39 186 193 196,               stand,  ,  ,
-2268.19 -3323.03 16.0626,  30 38 39 192 196,             stand,  ,  ,
-1852.42 -3332.88 20.0168,  22 48,                        stand,  ,  ,
-2475.31 -3168.87 21.7324,  30 196 198 200,               stand,  ,  ,
-2338.26 -3139.36 21.3088,  30 186 192 193 195 198,       stand,  ,  ,
-2553.45 -3362.96 16.125,   30 147 200 203,               stand,  ,  ,
-2475.34 -2978.22 16.0842,  187 188 195 196 199 200 201,  stand,  ,  ,
-2307.37 -2984.01 16.1063,  24 186 187 198,               stand,  ,  ,
-2661.51 -3149.73 21.7695,  30 195 197 198 201 202 203,   stand,  ,  ,
-2578.8 -2898.16 16.0784,   198 200 202,                  stand,  ,  ,
-2809.61 -3000.03 16.1364,  25 162 164 166 166 200 201,   stand,  ,  ,
-2744.57 -3232.97 19.3399,  147 162 197 200 204,          stand,  ,  ,
-2879.43 -3341.62 18.7808,  146 147 160 203,              stand,  ,  ,
-3262.81 -1523.25 16.2447,  5 98 206,                     stand,  ,  ,
-3214.47 -1614.1 20.646,    105 118 205,                  stand,  ,  ,
-2257.81 -1824.89 16.125,   26 177 208 212,               stand,  ,  ,
-2389.92 -1826.77 16.125,   18 177 207 209 210 212 216,   stand,  ,  ,
-2540.88 -1756.45 16.125,   11 114 208 210 214 215 216,   stand,  ,  ,
-2387.46 -1640.39 21.9228,  31 208 209 211 212 215,       stand,  ,  ,
-2173.94 -1638.63 21.857,   70 89 91 210 212 213,         stand,  ,  ,
-2232.28 -1727.9 16.5816,   26 89 207 208 210 211,        stand,  ,  ,
-2275.77 -1570.32 18.5384,  31 91 211,                    stand,  ,  ,
-2674.1 -1760.82 16.125,    11 113 114 209,               stand,  ,  ,
-2513.89 -1600.17 19.9712,  31 92 114 209 210,            stand,  ,  ,
-2501.42 -1848.04 16.0652,  11 208 209,                   stand,  ,  ,
